Symbol,Rm-Rf %,SMB %,Adj-r_sq,const,high-low
SKIPPER,0.0,,0.177,0.2743,0.7694
MANGTIMBER,0.0,,0.0922,0.6684,0.0262
TRF,0.0,,0.0962,0.7441,0.3151
NAVNETEDUL,0.0048,,0.0343,0.374,0.6489
SPECIALITY,0.0562,,0.0341,0.1291,0.1232
KCPSUGIND,0.0,,0.1766,0.4133,0.0437
ROHLTD,0.0004,,0.0522,0.2355,0.8134
DAAWAT,0.0041,,0.0279,0.8934,0.7452
GMBREW,0.0018,,0.0335,0.2219,0.6236
EMMBI,0.0,,0.0592,0.1126,0.3365
JPINFRATEC,0.0039,,0.0643,0.2488,0.0559
TATAINVEST,0.0,,0.2142,0.5091,0.7703
SUBEX,0.0,,0.1387,0.5847,0.0101
SAKUMA,0.0001,,0.0598,0.0189,0.2987
LAXMIMACH,0.0,,0.1479,0.3554,0.197
GUJGASLTD,0.0002,,0.0746,0.1771,0.2156
JBFIND,0.0,,0.0737,0.7843,0.629
KOPRAN,0.0,,0.1547,0.8407,0.5572
IOC,0.0,,0.1599,0.849,0.6269
IVRCLINFRA,0.0001,,0.0822,0.9391,0.3424
KRIDHANINF,0.0,,0.1448,0.3396,0.0688
PRAKASH,0.0,,0.1819,0.1202,0.4032
CGCL,0.0,,0.1006,0.4154,0.3378
MINDTREE,0.0,,0.0617,0.7011,0.2906
SCHNEIDER,0.0,,0.2174,0.1518,0.5064
GRPLTD,0.1392,,0.0136,0.8627,0.2655
VIMTALABS,0.0005,,0.0425,0.355,0.4127
RSSOFTWARE,0.0,,0.1042,0.2578,0.7935
DCM,0.0,,0.1539,0.5015,0.6
RELAXO,0.0035,,0.0341,0.1514,0.8173
ABFRL,0.0002,,0.0836,0.8543,0.1355
SANGAMIND,0.0009,,0.066,0.2659,0.1683
LIBERTSHOE,0.0,,0.1297,0.345,0.2014
JAYBARMARU,0.0,,0.1541,0.5415,0.1348
RCF,0.0,,0.2164,0.4471,0.9771
ORIENTLTD,0.329,,-0.0008,0.0226,0.628
ICICIBANK,0.0,,0.1677,0.9921,0.3154
INDUSINDBK,0.0,,0.1691,0.1492,0.0012
CPSEETF,0.0,,0.4939,0.762,0.4847
ORBTEXP,0.0013,,0.0341,0.3925,0.3218
MANALIPETC,0.0,,0.1232,0.8168,0.4063
CENTURYPLY,0.0,,0.0892,0.0973,0.3497
VSTIND,0.0004,,0.0527,0.4869,0.8311
SUZLON,0.0,,0.2208,0.4978,0.1438
CRISIL,0.0011,,0.0503,0.1873,0.4982
RANEENGINE,0.0005,,0.0622,0.6389,0.3433
LINCPEN,0.0189,,0.0166,0.3027,0.8691
ADANIPORTS,0.0,,0.301,0.8131,0.589
EXCEL,0.0022,,0.0426,0.1735,0.7014
SONATSOFTW,0.0,,0.145,0.7202,0.2973
GOLDIAM,0.0063,,0.029,0.7785,0.8314
JSWHL,0.0,,0.1009,0.5438,0.2181
ASHIANA,0.0,,0.1427,0.8602,0.1999
POLYPLEX,0.0,,0.1452,0.3865,0.4119
ITI,0.0013,,0.0391,0.191,0.9471
VIDHIING,0.0,,0.0988,0.3177,0.1497
GODREJPROP,0.0,,0.1657,0.0925,0.6994
TVSSRICHAK,0.0021,,0.0564,0.8146,0.1919
JBCHEPHARM,0.0021,,0.0302,0.8114,0.26
RELCNX100,0.0,,0.2443,0.1026,0.5574
MUKANDLTD,0.0,,0.1697,0.9903,0.7206
VIJSHAN,0.0,,0.0837,0.3696,0.3687
BSE,0.0,,0.0959,0.2402,0.5184
DLINKINDIA,0.0,,0.1047,0.6674,0.7111
ACC,0.0,,0.2474,0.9484,0.0253
NAVINFLUOR,0.2742,,0.0568,0.529,0.0001
TRENT,0.0,,0.102,0.3825,0.1166
ORICONENT,0.0,,0.1844,0.6053,0.5887
FOSECOIND,0.0054,,0.0234,0.1857,0.3285
KELLTONTEC,0.021,,0.0289,0.8038,0.4522
MERCK,0.0002,,0.0516,0.4954,0.473
ELECTCAST,0.0,,0.1351,0.5779,0.0355
ORIENTREF,0.0,,0.1047,0.5345,0.9408
DPSCLTD,0.1188,,0.0034,0.7951,0.9933
TIIL,0.0,,0.062,0.3898,0.5874
TECHNOFAB,0.132,,0.0031,0.4586,0.9612
SETFNIF50,0.0,,0.675,0.0365,0.9873
TVTODAY,0.0449,,0.0091,0.2295,0.2516
STRTECH,0.0,,0.1121,0.0467,0.4176
NITINSPIN,0.0,,0.1062,0.5123,0.518
THERMAX,0.0,,0.1148,0.1842,0.5538
STAR,0.0,,0.2249,0.0339,0.6291
FEDERALBNK,0.0,,0.2122,0.4642,0.4317
METALFORGE,0.0001,,0.0674,0.2975,0.5013
PAISALO,0.0002,,0.0464,0.9211,0.1422
TFCILTD,0.0,,0.1891,0.1574,0.9869
SELAN,0.0,,0.0805,0.6632,0.1155
NLCINDIA,0.0004,,0.0543,0.5175,0.7483
DTIL,0.0004,,0.0468,0.7213,0.5161
TATASPONGE,0.0,,0.2875,0.5411,0.3978
ITC,0.0,,0.0739,0.9316,0.9471
NATIONALUM,0.0,,0.2137,0.6789,0.5381
WABAG,0.0,,0.0834,0.6836,0.7684
IBVENTURES,0.0,,0.1375,0.0001,0.3601
SETFNN50,0.0,,0.541,0.1108,0.0953
ADHUNIK,0.0004,,0.0546,0.595,0.7472
RKDL,0.0031,,0.0337,0.976,0.2142
PGEL,0.0004,,0.0433,0.0649,0.1703
ALKYLAMINE,0.0,,0.1139,0.2471,0.158
MALUPAPER,0.0009,,0.0541,0.5636,0.4425
ASTRAMICRO,0.0,,0.1508,0.4415,0.4873
RUSHIL,0.4087,,-0.0026,0.2101,0.6453
GPTINFRA,0.0108,,0.0216,0.7071,0.9182
RICOAUTO,0.0,,0.2015,0.613,0.6316
TMRVL,0.0,,0.069,0.3217,0.6197
POWERGRID,0.0001,,0.08,0.9951,0.4081
CASTROLIND,0.0171,,0.0161,0.3264,0.173
MAGMA,0.0001,,0.0666,0.432,0.6171
KDDL,0.002,,0.0361,0.407,0.7819
SHOPERSTOP,0.0518,,0.0353,0.1959,0.0782
ABB,0.0,,0.0682,0.4925,0.8694
MTNL,0.0,,0.0995,0.9148,0.0197
INDIACEM,0.0,,0.4503,0.4468,0.7821
VRLLOG,0.0,,0.1208,0.2038,0.1762
ALLSEC,0.0,,0.1126,0.9563,0.1431
DEEPIND,0.0,,0.1314,0.1322,0.167
HOTELEELA,0.0,,0.1025,0.9764,0.7165
RSWM,0.0,,0.1327,0.2097,0.1403
ADANIENT,0.0,,0.1815,0.4789,0.9377
MAWANASUG,0.0,,0.1056,0.9059,0.1327
UGARSUGAR,0.0,,0.1034,0.5956,0.9909
CYBERTECH,0.0,,0.1148,0.6666,0.058
GANESHHOUC,0.0,,0.2224,0.4163,0.1031
OMAXAUTO,0.0,,0.1186,0.9541,0.6529
JISLJALEQS,0.0,,0.2938,0.8406,0.0666
RTNINFRA,0.001,,0.072,0.0085,0.0002
SUMMITSEC,0.0,,0.0717,0.0283,0.973
ASIANHOTNR,0.0771,,0.0177,0.1682,0.306
INDIANCARD,0.0117,,0.0321,0.6413,0.3942
TDPOWERSYS,0.0,,0.1197,0.7632,0.7967
EICHERMOT,0.0,,0.2168,0.7872,0.0181
DEEPAKNTR,0.0,,0.1319,0.0722,0.0996
SIYSIL,0.9975,,-0.0023,0.8155,0.2652
BATAINDIA,0.0,,0.2159,0.2512,0.7915
RAMCOSYS,0.0,,0.0994,0.5743,0.1093
ITDC,0.0,,0.0846,0.3686,0.7299
CIGNITITEC,0.0,,0.0833,0.2537,0.5239
SITINET,0.0656,,0.0074,0.1049,0.9349
COUNCODOS,0.1449,,0.0065,0.5128,0.1049
MANAKCOAT,0.0187,,0.0734,0.3285,0.005
EMAMILTD,0.0,,0.1247,0.4554,0.1948
FDC,0.0001,,0.0516,0.7289,0.0701
CUMMINSIND,0.0,,0.0965,0.9268,0.212
PITTIENG,0.0,,0.0643,0.2121,0.1253
MONSANTO,0.0,,0.0718,0.8348,0.9897
SEQUENT,0.0,,0.1224,0.2215,0.5172
GARDENSILK,0.0,,0.2036,0.844,0.59
VASWANI,0.003,,0.0433,0.5051,0.4339
SARLAPOLY,0.0,,0.1774,0.6393,0.7481
CINELINE,0.0,,0.1489,0.7986,0.3909
MAITHANALL,0.0,,0.0896,0.0955,0.7966
JSL,0.0,,0.171,0.1495,0.8288
AKSHOPTFBR,0.0,,0.2346,0.8014,0.0165
RAYMOND,0.0,,0.1528,0.2659,0.4889
AMBIKCO,0.0013,,0.0657,0.5382,0.1274
MAHASTEEL,0.0091,,0.0228,0.3136,0.8966
GREENLAM,0.0,,0.0936,0.091,0.731
SREEL,0.0578,,0.0095,0.2822,0.6596
DHUNINV,0.002,,0.036,0.1785,0.9768
JSLHISAR,0.0,,0.1008,0.1252,0.8038
CORPBANK,0.0,,0.1838,0.3175,0.1567
COMPINFO,0.1455,,0.0153,0.7263,0.0208
OBEROIRLTY,0.0,,0.0934,0.4369,0.2795
BALKRISIND,0.107,,0.003,0.6864,0.7784
LGBBROSLTD,0.0,,0.1103,0.1287,0.3599
ADLABS,0.0,,0.1225,0.5394,0.8975
SSWL,0.0,,0.1057,0.1127,0.1833
NAHARSPING,0.0,,0.2401,0.3082,0.2774
IL&FSENGG,0.0,,0.1396,0.5865,0.0943
NECLIFE,0.0,,0.1117,0.7901,0.1069
GENESYS,0.0026,,0.0499,0.1683,0.273
JAYSREETEA,0.0,,0.1343,0.9509,0.9408
LEEL,0.0,,0.1324,0.6557,0.7489
BEML,0.0,,0.2494,0.9185,0.3399
AMBUJACEM,0.0,,0.2558,0.9713,0.0167
HINDNATGLS,0.0015,,0.0394,0.6552,0.9703
SHREECEM,0.0,,0.1144,0.8095,0.3837
TULSI,0.2467,,0.0069,0.8761,0.3195
ALKALI,0.0002,,0.0703,0.8583,0.7052
NAUKRI,0.0011,,0.0422,0.2469,0.9344
TATAMETALI,0.0,,0.1981,0.0772,0.2245
BSLGOLDETF,0.8018,,-0.0052,0.5613,0.3884
SOLARINDS,0.0,,0.1155,0.018,0.8077
PNB,0.0,,0.1645,0.9976,0.1308
BFINVEST,0.0,,0.1951,0.231,0.8075
FEDDERELEC,0.0,,0.1755,0.497,0.3914
PREMIER,0.0001,,0.055,0.967,0.4503
CADILAHC,0.0,,0.0969,0.9402,0.2895
TECHM,0.0048,,0.0335,0.907,0.6915
SUNCLAYLTD,0.0016,,0.0369,0.0383,0.9006
MAHINDCIE,0.0,,0.1109,0.4427,0.0939
KEI,0.0,,0.1056,0.0502,0.6818
COMPUSOFT,0.0,,0.0897,0.9679,0.3299
SIMBHALS,0.0,,0.0923,0.3438,0.6189
GSCLCEMENT,0.0,,0.1364,0.6023,0.1577
KEC,0.0,,0.1658,0.0505,0.4142
LINCOLN,0.0011,,0.0475,0.7904,0.6237
MUNJALAU,0.0003,,0.0595,0.7335,0.5446
TINPLATE,0.0,,0.1709,0.1083,0.0483
VARDHACRLC,0.0003,,0.0462,0.7761,0.5114
BAJAJELEC,0.0,,0.0874,0.1262,0.9257
INDRAMEDCO,0.0003,,0.0442,0.5102,0.2773
PDMJEPAPER,0.0001,,0.0787,0.7937,0.2988
ZEEL,0.0,,0.1253,0.6138,0.7724
GANDHITUBE,0.0,,0.1211,0.8371,0.1937
PARAGMILK,0.0,,0.1357,0.6839,0.59
BLUESTARCO,0.0023,,0.0349,0.1127,0.9561
HCLTECH,0.1116,,0.0023,0.5859,0.6162
DLF,0.0,,0.3141,0.4645,0.9586
SICAGEN,0.0001,,0.0685,0.3544,0.8781
JINDALSAW,0.0,,0.1671,0.1492,0.959
KIRLOSIND,0.0357,,0.0202,0.2616,0.4711
APARINDS,0.0,,0.1023,0.5336,0.3517
MANPASAND,0.0003,,0.0637,0.509,0.4485
HINDMOTORS,0.0,,0.1204,0.9555,0.2789
WELSPUNIND,0.0,,0.1299,0.56,0.4707
NTPC,0.0,,0.1243,0.8062,0.6966
SPLIL,0.0015,,0.0374,0.5461,0.8783
ESSELPACK,0.0,,0.121,0.9736,0.6374
SFL,0.061,,0.0101,0.0611,0.8257
SIEMENS,0.0,,0.3242,0.3299,0.8697
SPARC,0.0,,0.0909,0.413,0.4514
KIRLOSENG,0.0002,,0.0526,0.6815,0.7844
CENTUM,0.0,,0.0874,0.817,0.7974
KABRAEXTRU,0.0,,0.1038,0.9633,0.1232
RNAVAL,0.0,,0.1625,0.2838,0.2486
NAGREEKEXP,0.099,,0.0035,0.4223,0.6827
BANARISUG,0.0,,0.0953,0.9095,0.8876
STEL,0.0,,0.1973,0.1985,0.5766
PODDARMENT,0.0004,,0.0416,0.3971,0.2008
MINDAIND,0.0,,0.0925,0.0001,0.3746
PRSMJOHNSN,0.0,,0.218,0.985,0.2224
TEXMOPIPES,0.0007,,0.0488,0.5438,0.8434
AVTNPL,0.0,,0.1175,0.3678,0.4823
SUNILHITEC,0.0047,,0.0363,0.8952,0.5512
MRF,0.0,,0.1649,0.4627,0.0061
GUJALKALI,0.0013,,0.0455,0.0978,0.6461
GOLDBEES,0.0022,,0.0367,0.122,0.9051
VSSL,0.0,,0.094,0.5154,0.0892
ICSA,0.2509,,-0.0027,0.5474,0.6983
HESTERBIO,0.0005,,0.0429,0.0498,0.0446
ESABINDIA,0.002,,0.0447,0.6486,0.5256
SELMCL,0.0001,,0.0623,0.7603,0.834
RESPONIND,0.2751,,-0.0029,0.591,0.4976
MONTECARLO,0.0,,0.0997,0.644,0.5288
SOBHA,0.0001,,0.066,0.1319,0.6254
ALBERTDAVD,0.0,,0.0996,0.551,0.2731
BLUEBLENDS,0.0356,,0.0099,0.8724,0.411
TARMAT,0.0119,,0.0213,0.6266,0.8479
VIDEOIND,0.0003,,0.0481,0.0017,0.5722
RAMCOCEM,0.0,,0.1133,0.5133,0.8787
TRITURBINE,0.0064,,0.0222,0.7661,0.383
GREAVESCOT,0.0001,,0.0745,0.8857,0.4958
LUPIN,0.0,,0.0836,0.0154,0.9905
EROSMEDIA,0.0,,0.1145,0.789,0.6354
GAYAPROJ,0.0156,,0.017,0.5541,0.7076
MARATHON,0.0002,,0.0586,0.1057,0.7851
JPPOWER,0.0003,,0.0623,0.3864,0.4748
MBLINFRA,0.0987,,0.0045,0.5985,0.8268
WELENT,0.0,,0.0918,0.0627,0.9552
TIDEWATER,0.0,,0.1078,0.7581,0.2682
AARTIIND,0.0,,0.0831,0.2113,0.8218
AURIONPRO,0.0001,,0.0559,0.4751,0.4671
SANWARIA,0.0739,,0.0063,0.0306,0.325
QGOLDHALF,0.0017,,0.0378,0.1172,0.9935
JPASSOCIAT,0.0,,0.1399,0.4404,0.4219
HBLPOWER,0.0,,0.2181,0.7228,0.0417
20MICRONS,0.0,,0.0952,0.5572,0.9563
VIVIDHA,0.1503,,0.0037,0.8772,0.7486
UNITECH,0.0,,0.1097,0.5812,0.1761
SUTLEJTEX,0.1078,,0.003,0.4267,0.3424
AMARAJABAT,0.0,,0.115,0.3795,0.6072
WONDERLA,0.0002,,0.0572,0.9694,0.9744
SBIN,0.0,,0.1729,0.9282,0.1878
PANACEABIO,0.0002,,0.0844,0.547,0.102
SUBROS,0.0,,0.147,0.3223,0.1927
ORTINLABSS,0.0009,,0.0437,0.7034,0.7078
INDBANK,0.0,,0.1252,0.6402,0.1107
MADHUCON,0.0009,,0.0364,0.8987,0.1302
ONWARDTEC,0.0147,,0.0272,0.3258,0.5365
NAHARPOLY,0.0,,0.1109,0.9191,0.4297
IDEA,0.0005,,0.0414,0.5029,0.0838
TREEHOUSE,0.0768,,0.007,0.8713,0.2994
CCHHL,0.0002,,0.049,0.5098,0.4397
KAJARIACER,0.0,,0.1273,0.3305,0.7206
BBL,0.0,,0.13,0.4066,0.1862
MANAKSTEEL,0.0326,,0.0342,0.0518,0.1994
SWARAJENG,0.5475,,0.0179,0.1568,0.0386
DREDGECORP,0.0,,0.1642,0.5831,0.5969
KRBL,0.0,,0.0981,0.0629,0.0356
GEECEE,0.0,,0.0887,0.9119,0.7677
MOHOTAIND,0.0873,,0.0199,0.0024,0.2171
PREMEXPLN,0.0,,0.1608,0.848,0.5309
INDOTECH,0.0,,0.1163,0.6589,0.9846
SHANTIGEAR,0.0,,0.0592,0.432,0.323
JKLAKSHMI,0.0,,0.0967,0.8383,0.7448
OIL,0.0012,,0.0342,0.5351,0.2312
FCONSUMER,0.0,,0.1456,0.0474,0.6607
BHARATFORG,0.0018,,0.0396,0.6063,0.8241
PSL,0.0002,,0.0537,0.8373,0.1619
GULPOLY,0.0015,,0.0381,0.9253,0.9277
LAURUSLABS,0.0,,0.0856,0.8788,0.2718
CELESTIAL,0.0,,0.0692,0.8022,0.1618
MENONBE,0.0,,0.1489,0.9513,0.0574
PATSPINLTD,0.0,,0.0868,0.2928,0.524
IGL,0.4876,,-0.0006,0.7176,0.4084
IDFC,0.0,,0.2155,0.6126,0.705
JMFINANCIL,0.0,,0.2458,0.2786,0.6494
TRIVENI,0.0,,0.2314,0.4488,0.001
ZODIACLOTH,0.0814,,0.0222,0.5752,0.1861
PETRONET,0.144,,0.0011,0.6986,0.8348
VISASTEEL,0.0,,0.117,0.9192,0.827
CYIENT,0.0001,,0.0549,0.6505,0.2721
PNBGILTS,0.0,,0.1441,0.3972,0.7718
GREENPLY,0.0002,,0.0675,0.5841,0.4657
ZEEMEDIA,0.0,,0.0976,0.7923,0.1083
MUTHOOTFIN,0.0,,0.2686,0.7362,0.6121
BAJFINANCE,0.0,,0.2846,0.2131,0.0015
BASML,0.0141,,0.0229,0.8324,0.7871
KNRCON,0.0001,,0.0589,0.0896,0.6164
IBREALEST,0.0,,0.1203,0.2561,0.9924
VOLTAMP,0.0,,0.1263,0.8664,0.4405
KOTHARIPET,0.0001,,0.0553,0.529,0.4792
RATNAMANI,0.0,,0.1033,0.1743,0.3608
FIEMIND,0.0,,0.081,0.3658,0.4036
BALAJITELE,0.0,,0.1171,0.3955,0.7223
KOHINOOR,0.0,,0.1127,0.591,0.6054
ELGIEQUIP,0.0,,0.0902,0.2473,0.3067
DABUR,0.0,,0.106,0.4064,0.299
ASHOKLEY,0.0,,0.2317,0.712,0.9867
SRTRANSFIN,0.0,,0.1614,0.3605,0.8251
SUNDRMFAST,0.0,,0.1531,0.1099,0.696
KOTARISUG,0.0004,,0.0424,0.7705,0.3831
IVC,0.0,,0.0634,0.1751,0.3984
RBL,0.0002,,0.0539,0.9293,0.7851
SYMPHONY,0.0,,0.1033,0.3979,0.3762
NFL,0.0,,0.1488,0.2217,0.0912
UNITEDBNK,0.0,,0.0675,0.448,0.539
MAJESCO,0.0,,0.0903,0.8847,0.5295
MINDACORP,0.0,,0.1019,0.14,0.7322
MUKTAARTS,0.0,,0.1095,0.8699,0.1678
NITCO,0.0,,0.1726,0.5802,0.5383
ASAL,0.0003,,0.0519,0.4889,0.9585
CENTURYTEX,0.0,,0.3451,0.4681,0.0238
NCLIND,0.0,,0.1205,0.2787,0.0646
ASTRAL,0.0013,,0.0623,0.0258,0.1702
RKFORGE,0.0001,,0.0582,0.0112,0.8059
IGARASHI,0.0011,,0.0384,0.6584,0.7706
JPOLYINVST,0.0003,,0.0511,0.6439,0.9629
KIRIINDUS,0.0,,0.1654,0.644,0.2748
RPOWER,0.0,,0.3607,0.4344,0.0536
HINDCOPPER,0.0,,0.2207,0.7471,0.0517
PENINLAND,0.0,,0.1235,0.4537,0.7933
JAGRAN,0.0038,,0.0534,0.6841,0.1503
MTEDUCARE,0.0029,,0.0356,0.3342,0.9979
3IINFOTECH,0.0168,,0.0254,0.6119,0.5372
WOCKPHARMA,0.0,,0.119,0.7805,0.9937
ESTER,0.0005,,0.0581,0.3351,0.0067
KTIL,0.0,,0.0722,0.5211,0.3058
APOLLOHOSP,0.0117,,0.0439,0.7889,0.1367
EUROTEXIND,0.0312,,0.0149,0.7274,0.8938
SPMLINFRA,0.0005,,0.0473,0.1269,0.7271
GLOBALVECT,0.0,,0.0924,0.4448,0.2661
AJANTPHARM,0.0,,0.0935,0.1798,0.8543
GILLETTE,0.0,,0.0979,0.0212,0.4295
CLNINDIA,0.0,,0.1212,0.1193,0.2114
3PLAND,0.0,,0.0828,0.8232,0.1246
PAPERPROD,0.0,,0.0625,0.2132,0.021
SUPERHOUSE,0.0,,0.1105,0.9061,0.1373
MCDOWELL-N,0.0003,,0.0658,0.2011,0.4061
GULFPETRO,0.0,,0.1436,0.4134,0.1628
VOLTAS,0.0,,0.2053,0.1501,0.1635
HIMATSEIDE,0.0,,0.1891,0.9632,0.3342
INDOTHAI,0.0001,,0.0534,0.1068,0.2245
SWELECTES,0.0,,0.1128,0.8517,0.0651
KWALITY,0.0001,,0.0628,0.4778,0.7946
THYROCARE,0.0,,0.0897,0.5981,0.2222
BALLARPUR,0.0,,0.1323,0.6611,0.6203
JKIL,0.0,,0.0827,0.8561,0.3879
POLYMED,0.1322,,0.0091,0.9224,0.0631
AMRUTANJAN,0.0,,0.1042,0.9961,0.8265
RSYSTEMS,0.0003,,0.0451,0.5625,0.0711
UNIVCABLES,0.0,,0.1619,0.3415,0.5296
RCOM,0.0,,0.0832,0.8948,0.0573
SETCO,0.0,,0.1057,0.5476,0.8252
DALMIASUG,0.0,,0.218,0.1355,0.0474
JUBLINDS,0.0,,0.124,0.6392,0.0047
GODREJCP,0.0029,,0.0298,0.4755,0.6645
CAMLINFINE,0.0004,,0.0472,0.8105,0.7954
GSFC,0.0,,0.2279,0.8255,0.5384
IL&FSTRANS,0.0,,0.2381,0.0975,0.0402
PPAP,0.0,,0.1543,0.0048,0.5036
APOLLOTYRE,0.0,,0.2419,0.923,0.0188
ADVANIHOTR,0.0,,0.0924,0.7596,0.5182
ANSALAPI,0.0,,0.1772,0.879,0.8311
BODALCHEM,0.0,,0.1224,0.6969,0.6683
SUNTV,0.0,,0.1656,0.3802,0.469
HIL,0.0,,0.1866,0.0992,0.3646
SATIN,0.0,,0.1604,0.9051,0.8916
PRAJIND,0.0,,0.0896,0.7485,0.3895
INDIANHUME,0.0,,0.1689,0.6545,0.2939
