Adj-r_sq,Rm-Rf %,Symbol,const
-0.0047,0.8085,PTL,0.8217
0.0163,0.0252,VHL,0.0581
0.2697,0.0,ORIENTBANK,0.3315
0.2553,0.0,UJJIVAN,0.4572
0.1011,0.0,PAGEIND,0.0913
0.1759,0.0,NAHARINDUS,0.3599
0.2027,0.0,ASIANTILES,0.0091
0.0924,0.0,HERCULES,0.6864
0.1932,0.0,PURVA,0.0596
0.0446,0.0005,DHANUKA,0.7418
0.0507,0.0002,SKFINDIA,0.0694
0.1068,0.0,SAREGAMA,0.0743
0.1516,0.0,KAMDHENU,0.0738
0.1955,0.0,TATACOFFEE,0.7502
0.1387,0.0,NELCAST,0.4629
0.0651,0.0,NATCOPHARM,0.4092
0.0431,0.0006,TIMKEN,0.3717
0.1445,0.0,WHIRLPOOL,0.1192
0.1089,0.0,GOODLUCK,0.6675
0.0445,0.0005,NBCC,0.8051
0.0638,0.0,SYNGENE,0.5802
0.0519,0.0002,DRREDDY,0.2302
0.0239,0.0086,SETFGOLD,0.14
0.2559,0.0,BAJAJFINSV,0.2517
0.3073,0.0,TATASTEEL,0.1947
0.0659,0.0,JVLAGRO,0.6502
0.0826,0.0,ALPHAGEO,0.6236
0.0305,0.0034,MAANALU,0.3961
0.0455,0.0004,INDNIPPON,0.1658
0.055,0.0001,VINYLINDIA,0.317
0.2506,0.0,CGPOWER,0.8268
0.1608,0.0,TIL,0.099
0.0622,0.0001,ROSSELLIND,0.8176
0.18,0.0,SKIPPER,0.2629
0.0774,0.0,MANGTIMBER,0.7918
0.0961,0.0,TRF,0.8032
0.0374,0.0013,NAVNETEDUL,0.3544
0.0275,0.0097,SPECIALITY,0.0972
0.1661,0.0,KCPSUGIND,0.5041
0.0558,0.0001,ROHLTD,0.2267
0.0314,0.003,DAAWAT,0.8741
0.0365,0.0015,GMBREW,0.2338
0.0595,0.0001,EMMBI,0.1282
0.054,0.0001,JPINFRATEC,0.1974
0.2172,0.0,TATAINVEST,0.521
0.1187,0.0,SUBEX,0.4662
0.0595,0.0002,SAKUMA,0.0238
0.1456,0.0,LAXMIMACH,0.308
0.0725,0.0,GUJGASLTD,0.1493
0.0766,0.0,JBFIND,0.7563
0.157,0.0,KOPRAN,0.8066
0.1626,0.0,IOC,0.8764
0.0825,0.0,IVRCLINFRA,0.9944
0.1354,0.0,KRIDHANINF,0.435
0.1829,0.0,PRAKASH,0.133
0.1008,0.0,CGCL,0.4552
0.0612,0.0001,MINDTREE,0.7586
0.2192,0.0,SCHNEIDER,0.1644
0.0127,0.0426,GRPLTD,0.9269
0.0438,0.0005,VIMTALABS,0.3853
0.1076,0.0,RSSOFTWARE,0.2477
0.1564,0.0,DCM,0.5245
0.0378,0.0012,RELAXO,0.1448
0.0789,0.0,ABFRL,0.7697
0.0626,0.0,SANGAMIND,0.311
0.1271,0.0,LIBERTSHOE,0.4289
0.1498,0.0,JAYBARMARU,0.4716
0.2196,0.0,RCF,0.4462
0.0031,0.2058,ORIENTLTD,0.0196
0.1676,0.0,ICICIBANK,0.9493
0.1363,0.0,INDUSINDBK,0.0987
0.4949,0.0,CPSEETF,0.7225
0.0342,0.0021,ORBTEXP,0.3525
0.1243,0.0,MANALIPETC,0.7693
0.0897,0.0,CENTURYPLY,0.0835
0.0564,0.0001,VSTIND,0.4752
0.2171,0.0,SUZLON,0.4325
0.0524,0.0002,CRISIL,0.2026
0.0626,0.0,RANEENGINE,0.6883
0.0205,0.0137,LINCPEN,0.3061
0.303,0.0,ADANIPORTS,0.7818
0.0461,0.0006,EXCEL,0.1623
0.1447,0.0,SONATSOFTW,0.7773
0.0328,0.0025,GOLDIAM,0.7656
0.099,0.0,JSWHL,0.4851
0.1404,0.0,ASHIANA,0.9342
0.1463,0.0,POLYPLEX,0.4186
0.043,0.0006,ITI,0.1905
0.0948,0.0,VIDHIING,0.371
0.1686,0.0,GODREJPROP,0.0966
0.0536,0.0001,TVSSRICHAK,0.7412
0.0292,0.0041,JBCHEPHARM,0.7478
0.2464,0.0,RELCNX100,0.1116
0.1727,0.0,MUKANDLTD,0.9693
0.0844,0.0,VIJSHAN,0.3343
0.0983,0.0,BSE,0.2207
0.1078,0.0,DLINKINDIA,0.6858
0.2349,0.0,ACC,0.8201
-0.0033,0.671,NAVINFLUOR,0.7464
0.0965,0.0,TRENT,0.3234
0.1868,0.0,ORICONENT,0.5765
0.0236,0.009,FOSECOIND,0.2091
0.0309,0.0057,KELLTONTEC,0.8597
0.0535,0.0001,MERCK,0.5276
0.1229,0.0,ELECTCAST,0.6886
0.1083,0.0,ORIENTREF,0.5361
0.0075,0.0921,DPSCLTD,0.7946
0.0647,0.0,TIIL,0.41
0.0074,0.1006,TECHNOFAB,0.4539
0.6763,0.0,SETFNIF50,0.0355
0.0078,0.0882,TVTODAY,0.2625
0.1133,0.0,STRTECH,0.0527
0.1083,0.0,NITINSPIN,0.5415
0.1172,0.0,THERMAX,0.1687
0.2273,0.0,STAR,0.0361
0.2134,0.0,FEDERALBNK,0.4284
0.0698,0.0001,METALFORGE,0.2656
0.0419,0.0007,PAISALO,0.9934
0.1924,0.0,TFCILTD,0.1558
0.074,0.0,SELAN,0.7769
0.0578,0.0001,NLCINDIA,0.5006
0.0492,0.0004,DTIL,0.7584
0.2883,0.0,TATASPONGE,0.4997
0.0777,0.0,ITC,0.9274
0.2157,0.0,NATIONALUM,0.711
0.0868,0.0,WABAG,0.6665
0.1381,0.0,IBVENTURES,0.0001
0.5377,0.0,SETFNN50,0.0865
0.0581,0.0001,ADHUNIK,0.6098
0.031,0.0071,RKDL,0.9264
0.0399,0.0009,PGEL,0.0804
0.1103,0.0,ALKYLAMINE,0.2073
0.0557,0.0001,MALUPAPER,0.525
0.1526,0.0,ASTRAMICRO,0.4704
0.0006,0.2834,RUSHIL,0.1963
0.0256,0.0068,GPTINFRA,0.7002
0.204,0.0,RICOAUTO,0.6363
0.0718,0.0,TMRVL,0.3023
0.0812,0.0,POWERGRID,0.9467
0.0126,0.0428,CASTROLIND,0.2794
0.0695,0.0,MAGMA,0.409
0.0399,0.0013,KDDL,0.4169
0.0269,0.0056,SHOPERSTOP,0.1558
0.0719,0.0,ABB,0.4981
0.0829,0.0,MTNL,0.9492
0.4524,0.0,INDIACEM,0.4569
0.1178,0.0,VRLLOG,0.1706
0.1085,0.0,ALLSEC,0.8714
0.1282,0.0,DEEPIND,0.1081
0.1056,0.0,HOTELEELA,0.9976
0.1285,0.0,RSWM,0.2513
0.1848,0.0,ADANIENT,0.4732
0.101,0.0,MAWANASUG,0.8195
0.1071,0.0,UGARSUGAR,0.5933
0.1053,0.0,CYBERTECH,0.57
0.2171,0.0,GANESHHOUC,0.4881
0.1214,0.0,OMAXAUTO,0.9277
0.2869,0.0,JISLJALEQS,0.7379
0.0147,0.0422,RTNINFRA,0.0264
0.0755,0.0,SUMMITSEC,0.0277
0.0175,0.0213,ASIANHOTNR,0.1462
0.0332,0.0023,INDIANCARD,0.6855
0.123,0.0,TDPOWERSYS,0.7478
0.2019,0.0,EICHERMOT,0.6596
0.1258,0.0,DEEPAKNTR,0.0555
-0.0033,0.6605,SIYSIL,0.7524
0.2188,0.0,BATAINDIA,0.2412
0.0936,0.0,RAMCOSYS,0.6567
0.0879,0.0,ITDC,0.38
0.0856,0.0,CIGNITITEC,0.2735
0.0114,0.051,SITINET,0.1021
-0.0006,0.3553,COUNCODOS,0.5973
0.0469,0.0004,MANAKCOAT,0.2422
0.1222,0.0,EMAMILTD,0.5139
0.0426,0.0006,FDC,0.8308
0.0944,0.0,CUMMINSIND,0.8545
0.0591,0.0001,PITTIENG,0.256
0.0755,0.0,MONSANTO,0.8333
0.1245,0.0,SEQUENT,0.238
0.2059,0.0,GARDENSILK,0.8744
0.0448,0.0005,VASWANI,0.4678
0.1804,0.0,SARLAPOLY,0.6211
0.1498,0.0,CINELINE,0.8468
0.0931,0.0,MAITHANALL,0.0977
0.1742,0.0,JSL,0.152
0.2171,0.0,AKSHOPTFBR,0.63
0.1546,0.0,RAYMOND,0.2431
0.0606,0.0001,AMBIKCO,0.4673
0.0267,0.0058,MAHASTEEL,0.3068
0.0968,0.0,GREENLAM,0.0943
0.0134,0.0535,SREEL,0.2848
0.0399,0.0009,DHUNINV,0.1771
0.1043,0.0,JSLHISAR,0.1191
0.1804,0.0,CORPBANK,0.2698
-0.0024,0.5217,COMPINFO,0.6056
0.0928,0.0,OBEROIRLTY,0.3908
0.0067,0.104,BALKRISIND,0.7002
0.1109,0.0,LGBBROSLTD,0.1451
0.1265,0.0,ADLABS,0.5448
0.1029,0.0,SSWL,0.1359
0.2396,0.0,NAHARSPING,0.3461
0.1322,0.0,IL&FSENGG,0.48
0.1058,0.0,NECLIFE,0.7011
0.0491,0.0003,GENESYS,0.1442
0.1381,0.0,JAYSREETEA,0.946
0.1356,0.0,LEEL,0.6374
0.2497,0.0,BEML,0.863
0.2412,0.0,AMBUJACEM,0.8336
0.0433,0.0006,HINDNATGLS,0.6517
0.1153,0.0,SHREECEM,0.7599
0.0069,0.1012,TULSI,0.9335
0.0742,0.0,ALKALI,0.9028
0.046,0.0004,NAUKRI,0.2423
0.1966,0.0,TATAMETALI,0.0632
-0.0041,0.941,BSLGOLDETF,0.606
0.1189,0.0,SOLARINDS,0.0183
0.1601,0.0,PNB,0.9144
0.1982,0.0,BFINVEST,0.222
0.1764,0.0,FEDDERELEC,0.5362
0.0567,0.0001,PREMIER,0.9229
0.0964,0.0,CADILAHC,0.9981
0.0368,0.0014,TECHM,0.9297
0.0408,0.0008,SUNCLAYLTD,0.0382
0.1043,0.0,MAHINDCIE,0.5192
0.1087,0.0,KEI,0.0528
0.0898,0.0,COMPUSOFT,0.9753
0.0955,0.0,SIMBHALS,0.3279
0.1323,0.0,GSCLCEMENT,0.7282
0.167,0.0,KEC,0.0433
0.0505,0.0002,LINCOLN,0.762
0.0619,0.0,MUNJALAU,0.7661
0.1609,0.0,TINPLATE,0.145
0.0484,0.0003,VARDHACRLC,0.8124
0.0911,0.0,BAJAJELEC,0.1261
0.0435,0.0006,INDRAMEDCO,0.5616
0.0784,0.0,PDMJEPAPER,0.7352
0.1286,0.0,ZEEL,0.6272
0.1186,0.0,GANDHITUBE,0.7634
0.1382,0.0,PARAGMILK,0.7119
0.0388,0.0011,BLUESTARCO,0.1119
0.0053,0.1295,HCLTECH,0.6098
0.3169,0.0,DLF,0.4647
0.0722,0.0,SICAGEN,0.3464
0.1705,0.0,JINDALSAW,0.1462
0.0221,0.011,KIRLOSIND,0.2383
0.1028,0.0,APARINDS,0.578
0.0653,0.0,MANPASAND,0.5436
0.1198,0.0,HINDMOTORS,0.9813
0.1316,0.0,WELSPUNIND,0.5946
0.1273,0.0,NTPC,0.7834
0.0412,0.0008,SPLIL,0.5368
0.1238,0.0,ESSELPACK,0.999
0.014,0.0353,SFL,0.0578
0.3269,0.0,SIEMENS,0.3218
0.0925,0.0,SPARC,0.4434
0.0562,0.0001,KIRLOSENG,0.6949
0.0908,0.0,CENTUM,0.8016
0.0987,0.0,KABRAEXTRU,0.8739
0.1614,0.0,RNAVAL,0.2468
0.0071,0.1058,NAGREEKEXP,0.4394
0.0989,0.0,BANARISUG,0.9173
0.2,0.0,STEL,0.1646
0.039,0.0011,PODDARMENT,0.4505
0.0933,0.0,MINDAIND,0.0001
0.2164,0.0,PRSMJOHNSN,0.9438
0.0533,0.0005,TEXMOPIPES,0.5529
0.1194,0.0,AVTNPL,0.3394
0.0389,0.0011,SUNILHITEC,0.9294
0.1422,0.0,MRF,0.3546
0.0486,0.0003,GUJALKALI,0.0898
0.0406,0.0008,GOLDBEES,0.1224
0.0869,0.0,VSSL,0.5991
0.0007,0.2785,ICSA,0.5646
0.0309,0.0032,HESTERBIO,0.0703
0.047,0.0004,ESABINDIA,0.6143
0.066,0.0,SELMCL,0.7475
-0.0007,0.3647,RESPONIND,0.5559
0.102,0.0,MONTECARLO,0.61
0.0689,0.0,SOBHA,0.1215
0.0988,0.0,ALBERTDAVD,0.6049
0.0112,0.0525,BLUEBLENDS,0.8249
0.0255,0.0094,TARMAT,0.6361
0.0507,0.0002,VIDEOIND,0.0014
0.1169,0.0,RAMCOCEM,0.5042
0.0231,0.0095,TRITURBINE,0.8145
0.0765,0.0,GREAVESCOT,0.9248
0.0873,0.0,LUPIN,0.015
0.1173,0.0,EROSMEDIA,0.815
0.0204,0.014,GAYAPROJ,0.5341
0.0621,0.0,MARATHON,0.0999
0.0642,0.0,JPPOWER,0.3568
0.0093,0.0913,MBLINFRA,0.5809
0.0955,0.0,WELENT,0.061
0.107,0.0,TIDEWATER,0.8199
0.0867,0.0,AARTIIND,0.2152
0.0577,0.0001,AURIONPRO,0.507
0.0064,0.1242,SANWARIA,0.0377
0.0417,0.0007,QGOLDHALF,0.1154
0.1412,0.0,JPASSOCIAT,0.4049
0.2079,0.0,HBLPOWER,0.6157
0.0989,0.0,20MICRONS,0.558
0.0074,0.0936,VIVIDHA,0.8952
0.1067,0.0,UNITECH,0.5151
0.0034,0.1753,SUTLEJTEX,0.3862
0.1177,0.0,AMARAJABAT,0.3575
0.0611,0.0001,WONDERLA,0.9673
0.1704,0.0,SBIN,0.852
0.0781,0.0,PANACEABIO,0.4708
0.1445,0.0,SUBROS,0.2775
0.0475,0.0007,ORTINLABSS,0.7283
0.1196,0.0,INDBANK,0.7259
0.0312,0.0031,MADHUCON,0.8119
0.0299,0.0054,ONWARDTEC,0.2987
0.1123,0.0,NAHARPOLY,0.9648
0.0336,0.0022,IDEA,0.5872
0.0066,0.1292,TREEHOUSE,0.8222
0.0506,0.0002,CCHHL,0.5452
0.1304,0.0,KAJARIACER,0.3156
0.1274,0.0,BBL,0.4628
0.0312,0.0055,MANAKSTEEL,0.0381
0.0046,0.1446,SWARAJENG,0.1187
0.1666,0.0,DREDGECORP,0.6084
0.0854,0.0,KRBL,0.0892
0.092,0.0,GEECEE,0.8943
0.0178,0.0203,MOHOTAIND,0.0017
0.1629,0.0,PREMEXPLN,0.8116
0.1199,0.0,INDOTECH,0.6564
0.0592,0.0001,SHANTIGEAR,0.4742
0.1,0.0,JKLAKSHMI,0.8563
0.0324,0.0026,OIL,0.4784
0.1484,0.0,FCONSUMER,0.0431
0.0433,0.0006,BHARATFORG,0.6161
0.0495,0.0006,PSL,0.7031
0.042,0.0007,GULPOLY,0.9303
0.0848,0.0,LAURUSLABS,0.9423
0.0655,0.0,CELESTIAL,0.724
0.1397,0.0,MENONBE,0.938
0.089,0.0,PATSPINLTD,0.2702
0.0007,0.2824,IGL,0.7624
0.2182,0.0,IDFC,0.5917
0.2482,0.0,JMFINANCIL,0.2622
0.2,0.0,TRIVENI,0.6121
0.0191,0.017,ZODIACLOTH,0.5109
0.005,0.1357,PETRONET,0.686
0.1212,0.0,VISASTEEL,0.9358
0.0541,0.0001,CYIENT,0.7087
0.1473,0.0,PNBGILTS,0.4069
0.0692,0.0,GREENPLY,0.5467
0.0915,0.0,ZEEMEDIA,0.9206
0.2709,0.0,MUTHOOTFIN,0.7074
0.2575,0.0,BAJFINANCE,0.1458
0.0266,0.006,BASML,0.816
0.0618,0.0,KNRCON,0.0953
0.1239,0.0,IBREALEST,0.2535
0.1278,0.0,VOLTAMP,0.8217
0.0572,0.0001,KOTHARIPET,0.5619
0.1039,0.0,RATNAMANI,0.1949
0.0821,0.0,FIEMIND,0.3329
0.1202,0.0,BALAJITELE,0.4079
0.1153,0.0,KOHINOOR,0.5636
0.09,0.0,ELGIEQUIP,0.217
0.1057,0.0,DABUR,0.4494
0.2348,0.0,ASHOKLEY,0.7098
0.1646,0.0,SRTRANSFIN,0.3499
0.156,0.0,SUNDRMFAST,0.1147
0.0434,0.0006,KOTARISUG,0.819
0.0644,0.0,IVC,0.194
0.0575,0.0001,RBL,0.9448
0.1041,0.0,SYMPHONY,0.4334
0.1423,0.0,NFL,0.2723
0.0699,0.0,UNITEDBNK,0.4199
0.0926,0.0,MAJESCO,0.9207
0.1051,0.0,MINDACORP,0.145
0.1061,0.0,MUKTAARTS,0.7911
0.1747,0.0,NITCO,0.6099
0.0558,0.0001,ASAL,0.4844
0.334,0.0,CENTURYTEX,0.3757
0.1117,0.0,NCLIND,0.2243
0.0589,0.0001,ASTRAL,0.0198
0.0618,0.0,RKFORGE,0.0114
0.042,0.0007,IGARASHI,0.6725
0.055,0.0001,JPOLYINVST,0.6399
0.1647,0.0,KIRIINDUS,0.7015
0.3535,0.0,RPOWER,0.3575
0.2117,0.0,HINDCOPPER,0.8576
0.1269,0.0,PENINLAND,0.4402
0.0493,0.0003,JAGRAN,0.7628
0.0398,0.0013,MTEDUCARE,0.3318
0.0279,0.0049,3IINFOTECH,0.5792
0.1226,0.0,WOCKPHARMA,0.78
0.0294,0.0066,ESTER,0.425
0.072,0.0,KTIL,0.4727
0.0391,0.001,APOLLOHOSP,0.8737
0.0189,0.0177,EUROTEXIND,0.7185
0.051,0.0004,SPMLINFRA,0.1322
0.0915,0.0,GLOBALVECT,0.397
0.0971,0.0,AJANTPHARM,0.1821
0.0992,0.0,GILLETTE,0.0241
0.1191,0.0,CLNINDIA,0.0988
0.0768,0.0,3PLAND,0.9357
0.0457,0.0004,PAPERPROD,0.2848
0.1061,0.0,SUPERHOUSE,0.8207
0.067,0.0,MCDOWELL-N,0.1792
0.1403,0.0,GULFPETRO,0.3573
0.2022,0.0,VOLTAS,0.1232
0.1893,0.0,HIMATSEIDE,0.9069
0.0515,0.0002,INDOTHAI,0.1267
0.104,0.0,SWELECTES,0.748
0.0664,0.0,KWALITY,0.4877
0.0878,0.0,THYROCARE,0.6609
0.1349,0.0,BALLARPUR,0.6862
0.0837,0.0,JKIL,0.9015
-0.0009,0.3797,POLYMED,0.9692
0.1077,0.0,AMRUTANJAN,0.9911
0.0362,0.0016,RSYSTEMS,0.4779
0.164,0.0,UNIVCABLES,0.3633
0.0733,0.0,RCOM,0.7866
0.1092,0.0,SETCO,0.5566
0.2086,0.0,DALMIASUG,0.1789
0.0984,0.0,JUBLINDS,0.5036
0.033,0.0024,GODREJCP,0.4543
0.0508,0.0002,CAMLINFINE,0.8244
0.2298,0.0,GSFC,0.8601
0.2279,0.0,IL&FSTRANS,0.072
0.1562,0.0,PPAP,0.0053
0.2277,0.0,APOLLOTYRE,0.7893
0.0946,0.0,ADVANIHOTR,0.795
0.1804,0.0,ANSALAPI,0.8908
0.1253,0.0,BODALCHEM,0.719
0.1672,0.0,SUNTV,0.3505
0.1871,0.0,HIL,0.0855
0.1637,0.0,SATIN,0.8968
0.0905,0.0,PRAJIND,0.7959
0.1685,0.0,INDIANHUME,0.71
0.0717,0.0,RENUKA,0.8393
0.1093,0.0,GLENMARK,0.0399
-0.0039,0.8291,WHEELS,0.0106
0.0869,0.0,ELAND,0.6937
0.2275,0.0,JKTYRE,0.7414
-0.0004,0.3442,WIPRO,0.6881
0.0993,0.0,CHAMBLFERT,0.197
0.0469,0.0004,BASF,0.1753
0.0232,0.0094,ORIENTHOT,0.2359
0.0216,0.0121,KKCL,0.802
0.1325,0.0,BAFNAPHARM,0.385
0.0205,0.0138,INDOCO,0.9245
0.1521,0.0,MADHAV,0.6588
0.1872,0.0,GNFC,0.2302
0.0545,0.0001,TARAJEWELS,0.0536
0.021,0.0129,GKWLIMITED,0.5894
0.0265,0.006,BHARATRAS,0.0946
0.0746,0.0,MANUGRAPH,0.9793
-0.0041,0.9837,HATSUN,0.0048
0.1337,0.0,CAREERP,0.7064
0.3231,0.0,NCC,0.9262
0.1312,0.0,JBMA,0.2584
0.0409,0.0009,SQSBFSI,0.209
0.0611,0.0001,HARITASEAT,0.5425
0.2401,0.0,GATI,0.5448
0.0488,0.0003,LINDEINDIA,0.2361
0.0011,0.2597,ABBOTINDIA,0.4291
0.1285,0.0,ZUARI,0.2668
0.0786,0.0,DATAMATICS,0.689
0.1148,0.0,TALBROAUTO,0.1399
0.0653,0.0,NAHARCAP,0.1895
0.5294,0.0,BANKBEES,0.0306
0.0308,0.0033,NIBL,0.8413
0.0281,0.008,GENUSPAPER,0.2928
0.0625,0.0,ICRA,0.7419
0.2127,0.0,VLSFINANCE,0.7106
0.1024,0.0,HINDPETRO,0.4932
0.0606,0.0001,FINPIPE,0.1959
0.0261,0.0071,LICNETFN50,0.3994
0.0212,0.0125,NEULANDLAB,0.7788
0.0851,0.0,GOKEX,0.4265
0.0915,0.0,BALMLAWRIE,0.9886
0.1559,0.0,J&KBANK,0.9948
0.0085,0.0787,IFBIND,0.0017
0.069,0.0,NAGAROIL,0.4755
0.1382,0.0,ARCHIDPLY,0.5725
0.0479,0.0003,ADORWELD,0.4708
0.1178,0.0,MERCATOR,0.409
0.2125,0.0,JINDALPOLY,0.7365
0.2931,0.0,PSUBNKBEES,0.6691
0.1383,0.0,GIPCL,0.7332
0.0182,0.0192,ZYDUSWELL,0.2759
0.3433,0.0,PTC,0.8775
0.1866,0.0,UPL,0.7976
0.0136,0.0422,TI,0.4591
0.0429,0.0006,PGHH,0.0978
0.1686,0.0,JUSTDIAL,0.8893
0.105,0.0,VASCONEQ,0.7786
0.3045,0.0,TATACHEM,0.5541
0.097,0.0,SPICEMOBI,0.849
0.052,0.0002,REPRO,0.3082
0.0895,0.0,GRINDWELL,0.1054
0.1064,0.0,KARURVYSYA,0.4003
0.1653,0.0,AXISCADES,0.5274
0.0853,0.0,DIVISLAB,0.7957
0.0384,0.0011,CUB,0.4183
0.1253,0.0,RUCHIRA,0.2934
0.0277,0.005,DECCANCE,0.3321
0.1047,0.0,JMCPROJECT,0.0283
0.1091,0.0,GUJAPOLLO,0.5059
0.0076,0.0901,MAXINDIA,0.661
0.1302,0.0,SUNPHARMA,0.2824
0.0344,0.002,SCHAEFFLER,0.1721
-0.0031,0.6168,LTTS,0.1498
0.0517,0.0002,EVEREADY,0.0249
0.1136,0.0,ABAN,0.3005
0.1175,0.0,NILAINFRA,0.2722
0.0793,0.0,BHUSANSTL,0.6805
0.097,0.0,VSTTILLERS,0.4449
0.1061,0.0,THIRUSUGAR,0.3511
0.0488,0.0003,POWERMECH,0.3465
0.0291,0.0041,KOTAKGOLD,0.1771
0.1174,0.0,QUICKHEAL,0.9363
0.0815,0.0,IPCALAB,0.8688
0.1896,0.0,MEGH,0.2258
0.0881,0.0,ICICINF100,0.5496
0.0207,0.0134,MHRIL,0.6713
0.0862,0.0,3MINDIA,0.1403
0.1147,0.0,HDFC,0.182
0.0463,0.0008,GLOBUSSPR,0.5006
0.2148,0.0,TRIDENT,0.8863
0.1218,0.0,RALLIS,0.7179
0.0717,0.0,JKCEMENT,0.1784
0.0259,0.0065,KITEX,0.5121
0.1042,0.0,VGUARD,0.6922
0.1958,0.0,BANKBARODA,0.4187
0.0719,0.0,SAGCEM,0.53
0.046,0.0005,FRETAIL,0.0129
0.2449,0.0,KOTAKPSUBK,0.7483
0.1147,0.0,MAHSCOOTER,0.2595
0.0001,0.3096,SABTN,0.0
0.2229,0.0,MANAPPURAM,0.6289
0.0564,0.0001,ELGIRUBCO,0.9498
0.0321,0.0052,STINDIA,0.2389
0.1698,0.0,BERGEPAINT,0.8195
0.2145,0.0,IDFCBANK,0.1284
0.092,0.0,ICICIPRULI,0.7219
0.1094,0.0,CENTENKA,0.8549
0.0189,0.0173,AXISGOLD,0.2247
0.2809,0.0,HINDZINC,0.5259
0.1666,0.0,BINANIIND,0.5321
0.333,0.0,BFUTILITIE,0.4349
0.1186,0.0,ORIENTBELL,0.372
0.0641,0.0,QUESS,0.117
0.0386,0.0011,SUPREMEIND,0.1856
-0.0013,0.3922,PIONDIST,0.7121
0.1993,0.0,GICHSGFIN,0.5408
0.7489,0.0,ICICINIFTY,0.0109
0.004,0.1611,POLARIS,0.0081
0.0896,0.0,MAYURUNIQ,0.2608
0.158,0.0,HAVELLS,0.2406
0.1067,0.0,JAYNECOIND,0.922
0.0542,0.0001,MOSERBAER,0.2149
0.0159,0.0268,POKARNA,0.3589
-0.003,0.5856,IDBIGOLD,0.4672
0.0012,0.2546,INFIBEAM,0.4691
0.0954,0.0,IZMO,0.5865
0.0204,0.0141,63MOONS,0.4522
0.0437,0.0006,KOKUYOCMLN,0.3711
0.0065,0.1071,STERTOOLS,0.9026
0.0874,0.0,DYNAMATECH,0.1207
0.0416,0.0007,HMVL,0.6326
0.0013,0.2506,TTKPRESTIG,0.1675
0.141,0.0,INDIAGLYCO,0.1131
0.0788,0.0,VIPCLOTHNG,0.7362
0.1019,0.0,DENORA,0.8356
0.046,0.0004,AHLEAST,0.3559
0.1891,0.0,NETWORK18,0.6364
0.0614,0.0,JAGSNPHARM,0.8323
0.1399,0.0,BALRAMCHIN,0.4799
