Symbol,Rm-Rf %,SMB %,Adj-r_sq,const,high-low
COUNCODOS,0.0083,,0.0583,0.5832,0.3495
TAINWALCHM,0.0,,0.1257,0.4906,0.56
MANAKCOAT,0.0137,,0.0192,0.5842,0.385
EMAMILTD,0.0025,,0.0532,0.8259,0.8187
SOMATEX,0.0002,,0.0728,0.3757,0.8632
MVL,0.9995,,-0.0077,0.3713,0.7761
FDC,0.0,,0.1649,0.7923,0.3745
CUMMINSIND,0.0,,0.2033,0.5513,0.9065
PITTIENG,0.0,,0.1546,0.5901,0.8305
NITINFIRE,0.0,,0.3283,0.3234,0.4832
MONSANTO,0.1486,,0.065,0.7467,0.0147
SEQUENT,0.0006,,0.0714,0.2681,0.8691
GARDENSILK,0.0,,0.1214,0.7547,0.8596
VASWANI,0.0003,,0.0647,0.2993,0.7406
SARLAPOLY,0.0,,0.2464,0.8189,0.1923
CINELINE,0.0,,0.1526,0.0162,0.5868
MAITHANALL,0.0001,,0.0775,0.0493,0.8429
JSL,0.0,,0.1304,0.3447,0.9704
AKSHOPTFBR,0.0,,0.2397,0.3833,0.2661
RAYMOND,0.0,,0.2355,0.3574,0.3513
PETRONENGG,0.0,,0.1881,0.4402,0.7102
AMBIKCO,0.0,,0.1406,0.4546,0.7567
GREENLAM,0.0018,,0.0595,0.7764,0.7269
DHUNINV,0.0131,,0.0172,0.4952,0.191
JSLHISAR,0.0,,0.0857,0.0312,0.162
CORPBANK,0.0,,0.1979,0.7666,0.6057
OBEROIRLTY,0.0,,0.1587,0.5655,0.5101
BALKRISIND,0.0899,,0.0228,0.0908,0.4487
LGBBROSLTD,0.0,,0.1673,0.6126,0.4567
ADLABS,0.0,,0.1674,0.3266,0.551
SSWL,0.0,,0.2397,0.1922,0.1693
NAHARSPING,0.0,,0.3621,0.8496,0.2643
IL&FSENGG,0.0,,0.2588,0.4969,0.4007
NECLIFE,0.0,,0.3192,0.4194,0.9776
GENESYS,0.0,,0.1849,0.3192,0.1692
JAYSREETEA,0.0,,0.2638,0.4558,0.7704
LEEL,0.0,,0.3746,0.8756,0.0106
BEML,0.0,,0.3156,0.636,0.5938
AMBUJACEM,0.0,,0.3721,0.6355,0.8211
HINDNATGLS,0.1976,,0.0317,0.5151,0.1285
SHREECEM,0.0,,0.2104,0.1994,0.922
KGL,0.001,,0.0643,0.9224,0.7836
TULSI,0.0272,,0.0167,0.8525,0.0303
ALKALI,0.0037,,0.0933,0.6028,0.0837
NAUKRI,0.0529,,0.036,0.699,0.302
TATAMETALI,0.0,,0.1622,0.0194,0.3783
BSLGOLDETF,0.0508,,0.0152,0.3598,0.9323
SOLARINDS,0.1171,,0.012,0.3448,0.7302
PNB,0.0,,0.3637,0.6493,0.1253
BFINVEST,0.0,,0.2313,0.7985,0.8613
FEDDERELEC,0.0,,0.2239,0.5366,0.8015
PREMIER,0.0,,0.1506,0.4961,0.7012
CADILAHC,0.0,,0.1913,0.5309,0.6168
TECHM,0.0,,0.2252,0.8421,0.2566
SUNCLAYLTD,0.0,,0.2576,0.0556,0.7025
MAHINDCIE,0.0,,0.2448,0.6412,0.0258
KEI,0.0,,0.2524,0.5806,0.9516
COMPUSOFT,0.0013,,0.0671,0.537,0.6189
MIC,0.0,,0.1337,0.6149,0.6374
GSCLCEMENT,0.0,,0.2297,0.9303,0.3002
KEC,0.0,,0.2782,0.9812,0.475
LINCOLN,0.0,,0.2491,0.8469,0.0125
GOKUL,0.0003,,0.0462,0.5162,0.0903
MUNJALAU,0.0,,0.3306,0.7747,0.1793
TINPLATE,0.0,,0.2159,0.6279,0.968
BUTTERFLY,0.0,,0.2699,0.6961,0.0008
VARDHACRLC,0.0,,0.1143,0.3664,0.905
BAJAJELEC,0.0,,0.1926,0.6293,0.4209
ARIHANT,0.0112,,0.0318,0.5123,0.8361
INDRAMEDCO,0.0,,0.2866,0.5296,0.1328
ZEEL,0.0,,0.2862,0.5584,0.7479
GANDHITUBE,0.016,,0.0513,0.3828,0.3053
BLUESTARCO,0.0,,0.2378,0.1896,0.8288
HCLTECH,0.0,,0.13,0.7627,0.795
DLF,0.0,,0.5455,0.7576,0.8668
SICAGEN,0.0,,0.2343,0.3396,0.6403
JINDALSAW,0.0,,0.3087,0.8375,0.9388
KIRLOSIND,0.1468,,0.0263,0.2884,0.2346
APARINDS,0.0,,0.2405,0.419,0.6562
MANPASAND,0.0,,0.177,0.5222,0.9672
HINDMOTORS,0.0,,0.0929,0.7636,0.5504
WELSPUNIND,0.0484,,0.0098,0.3507,0.0834
NTPC,0.0,,0.2439,0.3031,0.7889
SPLIL,0.0003,,0.099,0.8544,0.3225
ESSELPACK,0.0,,0.1386,0.0927,0.3872
SIEMENS,0.0,,0.4565,0.9876,0.0084
SPARC,0.0,,0.1949,0.9685,0.1266
KIRLOSENG,0.0008,,0.0906,0.2211,0.2807
CENTUM,0.0,,0.1747,0.8256,0.4132
KABRAEXTRU,0.0,,0.2737,0.6197,0.138
RNAVAL,0.0,,0.2996,0.3896,0.4129
NAGREEKEXP,0.0003,,0.1263,0.8074,0.0946
BANARISUG,0.0,,0.1491,0.0992,0.1674
ASSAMCO,0.0,,0.1336,0.9152,0.4847
STEL,0.0,,0.1822,0.4359,0.0434
MINDAIND,0.0,,0.1089,0.9205,0.9648
PRSMJOHNSN,0.0,,0.3574,0.8232,0.3614
TEXMOPIPES,0.0,,0.1448,0.5322,0.2091
AVTNPL,0.0,,0.2111,0.9148,0.1499
SUNILHITEC,0.0003,,0.06,0.5095,0.5376
MRF,0.0,,0.3072,0.2782,0.0086
GUJALKALI,0.0,,0.2025,0.0601,0.4757
GOLDBEES,0.0032,,0.043,0.1392,0.8948
VSSL,0.0,,0.135,0.2317,0.9252
ICSA,0.0009,,0.045,0.9215,0.4519
HESTERBIO,0.0,,0.1869,0.3349,0.7984
ESABINDIA,0.0,,0.1393,0.9996,0.1821
SELMCL,0.0002,,0.1293,0.4696,0.0748
PNC,0.0,,0.0899,0.6027,0.6549
RESPONIND,0.0,,0.1288,0.2917,0.2788
MONTECARLO,0.0,,0.1694,0.6545,0.705
SOBHA,0.0,,0.1652,0.6663,0.2979
BLUEBLENDS,0.033,,0.0136,0.7404,0.1514
TARMAT,0.0001,,0.0877,0.3654,0.9741
VIDEOIND,0.0001,,0.0773,0.3432,0.7312
EDUCOMP,0.0,,0.2294,0.427,0.5742
RAMCOCEM,0.0,,0.2462,0.0892,0.088
TRITURBINE,0.0,,0.1553,0.5596,0.3139
GREAVESCOT,0.0,,0.241,0.8371,0.8155
LUPIN,0.0,,0.1494,0.7335,0.7596
EROSMEDIA,0.0,,0.2364,0.6855,0.5027
GALLISPAT,0.6083,,-0.0068,0.4022,0.9415
GLOBOFFS,0.0,,0.0891,0.0176,0.0123
GAYAPROJ,0.0,,0.3191,0.9431,0.1779
JPPOWER,0.0001,,0.1046,0.3275,0.4702
MBLINFRA,0.0,,0.2144,0.0118,0.9328
WELENT,0.0,,0.1655,0.7855,0.7654
TIDEWATER,0.3522,,0.025,0.2927,0.1018
AARTIIND,0.0,,0.1631,0.2037,0.1891
AURIONPRO,0.0,,0.1854,0.7111,0.283
SANWARIA,0.0,,0.1263,0.9545,0.3815
QGOLDHALF,0.0006,,0.0599,0.1067,0.8453
JPASSOCIAT,0.0,,0.2036,0.7436,0.8756
HBLPOWER,0.0,,0.3566,0.845,0.1973
20MICRONS,0.0,,0.2027,0.8455,0.1034
NDTV,0.0017,,0.0596,0.9801,0.7527
MBECL,0.0,,0.1678,0.1722,0.6727
VIVIDHA,0.015,,0.0261,0.0015,0.8704
UNITECH,0.0,,0.2346,0.6285,0.3733
SUTLEJTEX,0.0,,0.285,0.1439,0.0089
AMARAJABAT,0.0,,0.309,0.6717,0.4932
WONDERLA,0.0,,0.1872,0.7283,0.6809
SBIN,0.0,,0.4132,0.4413,0.6661
PANACEABIO,0.001,,0.1131,0.9513,0.0701
SUBROS,0.0,,0.1951,0.243,0.7754
ORTINLABSS,0.0,,0.1542,0.7465,0.8258
INDBANK,0.0,,0.1469,0.4268,0.3291
MADHUCON,0.0,,0.3465,0.2637,0.2424
ONWARDTEC,0.0,,0.185,0.5646,0.3578
NAHARPOLY,0.0,,0.1714,0.663,0.5214
IDEA,0.0,,0.0916,0.1672,0.7646
TREEHOUSE,0.0002,,0.0536,0.0061,0.1787
INDOSOLAR,0.0,,0.1338,0.4256,0.7907
CCHHL,0.0,,0.2534,0.9713,0.5145
KAJARIACER,0.1816,,0.0219,0.4243,0.2602
BBL,0.0,,0.2519,0.8922,0.858
MANAKSTEEL,0.0205,,0.0184,0.9288,0.6067
SWARAJENG,0.0,,0.2041,0.1118,0.6165
DREDGECORP,0.0,,0.2502,0.6998,0.5977
KRBL,0.0,,0.1554,0.2513,0.1795
GEECEE,0.0,,0.1694,0.8126,0.2708
MOHOTAIND,0.0002,,0.0728,0.1116,0.8168
INDOTECH,0.0,,0.2831,0.8032,0.6961
SHANTIGEAR,0.0,,0.2871,0.5619,0.0132
JKLAKSHMI,0.0,,0.2838,0.564,0.8609
OIL,0.0,,0.179,0.1972,0.0746
FCONSUMER,0.0,,0.2629,0.6801,0.2275
BHARATFORG,0.0,,0.2853,0.6118,0.7677
PSL,0.0,,0.1617,0.1472,0.7012
GULPOLY,0.7032,,0.0086,0.2847,0.1678
CELESTIAL,0.0,,0.2194,0.4747,0.803
MENONBE,0.0,,0.1583,0.7973,0.5511
PATSPINLTD,0.0,,0.0829,0.9633,0.0816
IGL,0.0,,0.2175,0.0101,0.0042
IDFC,0.0,,0.392,0.4607,0.1138
JMFINANCIL,0.0,,0.3302,0.1652,0.2
TRIVENI,0.0,,0.2274,0.3291,0.7762
ZODIACLOTH,0.0,,0.1287,0.3509,0.8489
PETRONET,0.0,,0.2521,0.0975,0.6064
VISASTEEL,0.0,,0.1151,0.707,0.5563
CYIENT,0.035,,0.0272,0.6829,0.6712
PNBGILTS,0.0016,,0.0339,0.0912,0.1822
GREENPLY,0.0138,,0.0256,0.629,0.7977
ZEEMEDIA,0.0,,0.2889,0.119,0.8248
MUTHOOTFIN,0.0001,,0.0987,0.1441,0.5503
BAJFINANCE,0.2532,,0.0463,0.5871,0.0303
BASML,0.0,,0.2364,0.5004,0.4193
KNRCON,0.0144,,0.0249,0.717,0.7845
IBREALEST,0.0,,0.3635,0.4978,0.8066
VOLTAMP,0.0,,0.2958,0.7673,0.4722
KOTHARIPET,0.0,,0.1961,0.8709,0.6007
RATNAMANI,0.0148,,0.0589,0.3782,0.21
FIEMIND,0.0,,0.1979,0.2009,0.2632
BALAJITELE,0.0,,0.3154,0.3255,0.0312
KOHINOOR,0.0,,0.1634,0.3086,0.2543
ELGIEQUIP,0.0,,0.1391,0.1392,0.9353
DABUR,0.0,,0.1766,0.6681,0.7879
ASHOKLEY,0.0,,0.3301,0.974,0.2735
BANG,0.0001,,0.1161,0.1319,0.599
SRTRANSFIN,0.0,,0.3239,0.7433,0.0748
SUNDRMFAST,0.0,,0.1414,0.0667,0.6846
KOTARISUG,0.0,,0.1103,0.3213,0.9481
IVC,0.0,,0.1183,0.5673,0.2174
RBL,0.0,,0.1254,0.0368,0.7611
SYMPHONY,0.0336,,0.0172,0.5117,0.8376
NFL,0.0,,0.2561,0.397,0.3361
UNITEDBNK,0.0,,0.2149,0.9646,0.5418
MAJESCO,0.0,,0.4012,0.2123,0.4388
MINDACORP,0.0,,0.1724,0.9385,0.0899
AGCNET,0.0004,,0.0635,0.7499,0.8316
MUKTAARTS,0.0,,0.1515,0.2187,0.6692
NITCO,0.0,,0.3215,0.6027,0.2717
BKMINDST,0.1914,,0.0094,0.1355,0.7429
ASAL,0.0033,,0.074,0.495,0.3129
CENTURYTEX,0.0,,0.5216,0.1551,0.4295
NCLIND,0.0,,0.2027,0.781,0.9575
ASTRAL,0.0012,,0.0645,0.975,0.7243
RKFORGE,0.0,,0.201,0.2432,0.7309
LGBFORGE,0.0,,0.2268,0.6959,0.1483
IGARASHI,0.0,,0.282,0.5189,0.2898
JPOLYINVST,0.0,,0.1434,0.7576,0.5193
KIRIINDUS,0.0,,0.0952,0.0653,0.6069
RPOWER,0.0,,0.5761,0.2623,0.8176
FCSSOFT,0.0101,,0.0358,0.6108,0.8798
HINDCOPPER,0.0,,0.2044,0.6573,0.2987
PENINLAND,0.0,,0.2489,0.3181,0.7613
JAGRAN,0.0,,0.1197,0.5177,0.3741
MTEDUCARE,0.0,,0.3428,0.4731,0.6844
3IINFOTECH,0.0,,0.1325,0.5542,0.9759
ADSL,0.0,,0.2118,0.7362,0.7109
WOCKPHARMA,0.0,,0.2416,0.0623,0.9149
ESTER,0.0,,0.3045,0.3253,0.3301
KTIL,0.0011,,0.0468,0.6509,0.5776
APOLLOHOSP,0.0,,0.1451,0.5935,0.4743
EUROTEXIND,0.0238,,0.0389,0.9943,0.4445
SPMLINFRA,0.0,,0.168,0.7888,0.6651
TANTIACONS,0.0,,0.1841,0.5532,0.4641
GLOBALVECT,0.0,,0.1572,0.7703,0.6408
AJANTPHARM,0.0,,0.2046,0.1341,0.0691
GILLETTE,0.0,,0.1399,0.9685,0.1456
CLNINDIA,0.0,,0.1912,0.9136,0.5922
3PLAND,0.0012,,0.0366,0.8555,0.0912
PAPERPROD,0.0,,0.2122,0.7256,0.1359
SUPERHOUSE,0.0,,0.2493,0.6549,0.7157
MCDOWELL-N,0.0,,0.1301,0.3022,0.1312
GULFPETRO,0.0,,0.3097,0.6286,0.1724
VOLTAS,0.0,,0.4217,0.5566,0.622
HIMATSEIDE,0.0,,0.3326,0.1878,0.1989
INDOTHAI,0.0001,,0.112,0.8652,0.3514
