Symbol,Rm-Rf %,SMB %,HML %,WML %,ent,Adj-r_sq,const,high-low
PROVOGE,0.0002,0.0036,0.0037,0.09,,0.1846,0.5878,0.2023
8KMILES,0.0001,0.0714,0.7404,0.8957,,0.1342,0.0392,0.6868
USHERAGRO,0.0,0.015,0.01,0.9804,,0.2369,0.8859,0.2299
JAICORPLTD,0.0,0.0,0.0,0.0518,,0.4998,0.9774,0.2827
MCX,0.0,0.2118,0.9411,0.3191,,0.2496,0.8927,0.4433
MANDHANA,0.0001,0.0197,0.4266,0.8614,,0.1222,0.9094,0.6616
TITAN,0.0011,0.7326,0.4564,0.1334,,0.0936,0.9479,0.9488
ZICOM,0.0,0.0,0.0783,0.5,,0.3563,0.2541,0.3283
MUNJALSHOW,0.0,0.0001,0.1083,0.8148,,0.307,0.9612,0.575
WSTCSTPAPR,0.0,0.0004,0.0033,0.274,,0.2559,0.2924,0.0991
IBULHSGFIN,0.0,0.2586,0.4367,0.0538,,0.2519,0.0463,0.8977
DEEPAKFERT,0.0002,0.1118,0.2604,0.7927,,0.0972,0.4231,0.1455
OMMETALS,0.0,0.0,0.0014,0.7422,,0.2554,0.4371,0.3296
FILATEX,0.4312,0.5467,0.1645,0.7147,,0.0227,0.2909,0.4527
BIL,0.0009,0.0158,0.1218,0.0277,,0.1743,0.236,0.3174
UJAAS,0.0,0.0001,0.0048,0.3808,,0.2644,0.8835,0.4473
GAMMNINFRA,0.0003,0.1618,0.0172,0.8232,,0.2315,0.0963,0.0932
ECEIND,0.0,0.1559,0.2381,0.3197,,0.1235,0.5386,0.1465
GALLANTT,0.1721,0.1742,0.1464,0.8373,,0.015,0.2304,0.254
SURANASOL,0.1015,0.0795,0.6883,0.7416,,0.0136,0.1105,0.7615
DEN,0.0,0.0234,0.7579,0.0099,,0.1952,0.9189,0.22
NBVENTURES,0.0782,0.0006,0.2207,0.119,,0.1202,0.5582,0.0945
TATAELXSI,0.0,0.0148,0.1575,0.0478,,0.306,0.0274,0.0454
JINDCOT,0.0009,0.0014,0.0003,0.3462,,0.184,0.9026,0.1357
KAKATCEM,0.0007,0.0,0.0075,0.1697,,0.1947,0.3898,0.7098
PERSISTENT,0.1192,0.4732,0.8933,0.996,,0.0273,0.2283,0.218
HIRECT,0.0489,0.0384,0.0284,0.4047,,0.1067,0.9912,0.4321
LICHSGFIN,0.0,0.0397,0.9382,0.2397,,0.4549,0.1338,0.1974
HEXAWARE,0.0,0.7343,0.9569,0.0602,,0.2692,0.3803,0.4676
RPPINFRA,0.0,0.0016,0.3982,0.2745,,0.2031,0.9292,0.6065
SASKEN,0.9203,0.1456,0.0309,0.0661,,0.0653,0.3664,0.0956
PTL,0.7365,0.0001,0.0098,0.0914,,0.1785,0.2223,0.0001
LITL,0.0038,0.3559,0.0001,0.7447,,0.1936,0.4244,0.796
ORIENTBANK,0.0,0.0067,0.0003,0.7603,,0.4702,0.4492,0.4869
PAGEIND,0.0,0.4664,0.6176,0.4657,,0.1846,0.3579,0.2435
NAHARINDUS,0.008,0.0047,0.0075,0.308,,0.1788,0.8126,0.2605
ASIANTILES,0.0,0.0007,0.4484,0.6817,,0.2258,0.8136,0.6958
HERCULES,0.0,0.0,0.0404,0.0978,,0.2863,0.6708,0.2939
PURVA,0.0001,0.3842,0.0284,0.0065,,0.2654,0.9373,0.0823
DHANUKA,0.0,0.159,0.4111,0.7154,,0.2126,0.9046,0.5059
SKFINDIA,0.0051,0.7308,0.7449,0.4998,,0.1078,0.8348,0.1018
SAREGAMA,0.0,0.0,0.0158,0.265,,0.1927,0.1661,0.015
KAMDHENU,0.0002,0.0063,0.0884,0.8127,,0.1267,0.8595,0.1881
TATACOFFEE,0.238,0.0035,0.257,0.2879,,0.0408,0.1463,0.6566
NELCAST,0.0,0.0002,0.4062,0.1277,,0.2165,0.1797,0.5924
NATCOPHARM,0.0368,0.9841,0.6155,0.0154,,0.0612,0.6219,0.2666
TIMKEN,0.0,0.0916,0.1158,0.0188,,0.3545,0.9401,0.285
WHIRLPOOL,0.0,0.6618,0.9386,0.3343,,0.181,0.6737,0.5292
GOODLUCK,0.0,0.0,0.2323,0.038,,0.3022,0.2498,0.073
NBCC,0.0,0.0012,0.0007,0.1526,,0.3709,0.7441,0.0683
ARSSINFRA,0.0,0.0001,0.0,0.6541,,0.2734,0.4071,0.0315
ZENITHBIR,0.9418,0.4685,0.078,0.8063,,0.0012,0.6382,0.8173
AMTEKAUTO,0.0098,0.3382,0.0,0.1987,,0.1801,0.8955,0.0914
DRREDDY,0.0004,0.5591,0.8728,0.8631,,0.1552,0.9794,0.033
BURNPUR,0.0018,0.0002,0.0138,0.0255,,0.1791,0.8653,0.9588
SETFGOLD,0.2381,0.5604,0.9799,0.9521,,-0.0059,0.8884,0.8785
BAJAJFINSV,0.0,0.1866,0.8709,0.1578,,0.2294,0.1317,0.5176
TATASTEEL,0.0,0.27,0.7132,0.0,,0.4737,0.9453,0.9877
JVLAGRO,0.0,0.0,0.0084,0.1622,,0.2676,0.9537,0.0843
ALPHAGEO,0.0,0.0014,0.0046,0.2967,,0.2579,0.5899,0.0002
INDNIPPON,0.0007,0.1958,0.7202,0.8615,,0.13,0.6963,0.2076
VINYLINDIA,0.0,0.0002,0.2207,0.072,,0.2168,0.9985,0.2883
CGPOWER,0.0,0.8142,0.1415,0.4695,,0.3865,0.2973,0.6973
TIL,0.0,0.0121,0.017,0.2406,,0.2642,0.5609,0.582
ROSSELLIND,0.0003,0.0014,0.1489,0.3365,,0.1964,0.4052,0.2011
MANGTIMBER,0.4648,0.3813,0.3723,0.2081,,0.0044,0.2406,0.9042
TRF,0.0001,0.0003,0.0008,0.8913,,0.2304,0.7264,0.7087
NAVNETEDUL,0.0001,0.0613,0.262,0.4269,,0.1325,0.8173,0.7539
SPECIALITY,0.1718,0.023,0.1538,0.6922,,0.1179,0.2822,0.0123
KCPSUGIND,0.1751,0.0004,0.0,0.2717,,0.1762,0.5664,0.3722
ROHLTD,0.0264,0.0346,0.1138,0.9196,,0.0738,0.2022,0.9515
DAAWAT,0.0226,0.0164,0.036,0.3518,,0.1216,0.0633,0.4128
GMBREW,0.2125,0.0069,0.0861,0.0494,,0.0838,0.0031,0.5307
EMMBI,0.1178,0.0115,0.0043,0.5238,,0.1157,0.0109,0.4626
JPINFRATEC,0.0004,0.049,0.0,0.1025,,0.3144,0.492,0.098
TATAINVEST,0.0,0.0155,0.7463,0.7788,,0.2905,0.9598,0.8235
SUBEX,0.0011,0.0004,0.0036,0.548,,0.1964,0.9719,0.914
CEREBRAINT,0.0261,0.1405,0.418,0.3039,,0.0372,0.2087,0.5201
SAKUMA,0.0049,0.0,0.2005,0.3526,,0.1397,0.0638,0.7817
LAXMIMACH,0.0019,0.7708,0.058,0.2067,,0.1618,0.7315,0.2556
JBFIND,0.0005,0.0003,0.0006,0.1003,,0.2495,0.9559,0.5914
KOPRAN,0.0,0.0,0.001,0.1066,,0.3766,0.7357,0.8128
BVCL,0.0119,0.8884,0.1306,0.7635,,0.1005,0.2731,0.4434
IOC,0.0,0.0641,0.1719,0.0211,,0.2446,0.2969,0.1425
IVRCLINFRA,0.0039,0.0028,0.0,0.9071,,0.335,0.3771,0.7208
PRAKASH,0.0,0.0001,0.001,0.0399,,0.3545,0.2735,0.2299
CGCL,0.0008,0.1223,0.605,0.3837,,0.1121,0.9003,0.5082
MINDTREE,0.0001,0.1841,0.9371,0.0709,,0.1701,0.8819,0.1902
SCHNEIDER,0.0,0.003,0.1208,0.0992,,0.3559,0.9021,0.0849
VIMTALABS,0.0009,0.0061,0.0217,0.8624,,0.176,0.5118,0.6387
RSSOFTWARE,0.0001,0.0,0.1454,0.9487,,0.1585,0.0645,0.1869
TVSELECT,0.0023,0.0029,0.3416,0.0148,,0.1065,0.2049,0.2322
DCM,0.0,0.0,0.151,0.7195,,0.181,0.8196,0.2427
RELAXO,0.3453,0.751,0.4765,0.3053,,0.0347,0.9731,0.1172
ABFRL,0.0,0.527,0.9967,0.1631,,0.1293,0.0367,0.0793
SANGAMIND,0.0013,0.0038,0.0017,0.4215,,0.235,0.0154,0.2081
LIBERTSHOE,0.0,0.0,0.0004,0.1583,,0.4409,0.6282,0.7373
JAYBARMARU,0.0,0.0009,0.0272,0.6614,,0.2061,0.9198,0.9648
RCF,0.0,0.0,0.0129,0.061,,0.241,0.5516,0.3882
ICICIBANK,0.0,0.0,0.9638,0.1183,,0.5604,0.7077,0.6545
INDUSINDBK,0.0,0.0026,0.8952,0.0,,0.4772,0.0936,0.5993
CPSEETF,0.0,0.297,0.7627,0.0014,,0.7101,0.3774,0.0197
ORBTEXP,0.0,0.0423,0.4426,0.9099,,0.1856,0.7915,0.6935
MANALIPETC,0.0005,0.0002,0.0004,0.5124,,0.284,0.2282,0.123
CENTURYPLY,0.0,0.079,0.5424,0.4393,,0.2939,0.6721,0.3869
VSTIND,0.0043,0.5682,0.789,0.2396,,0.0892,0.9843,0.3128
SUZLON,0.0004,0.2537,0.0024,0.1861,,0.2482,0.3604,0.1379
CRISIL,0.0,0.7045,0.8121,0.8771,,0.1819,0.6469,0.5888
SHARONBIO,0.1771,0.0043,0.2348,0.1947,,0.0638,0.7824,0.4084
ADANIPORTS,0.0,0.0746,0.8189,0.6002,,0.3548,0.7997,0.6005
EXCEL,0.0,0.1624,0.2629,0.6571,,0.097,0.3508,0.0961
SONATSOFTW,0.0091,0.0347,0.0607,0.4495,,0.1222,0.4717,0.5237
GOLDIAM,0.1951,0.0018,0.0038,0.4233,,0.1153,0.259,0.4449
SUJANAUNI,0.2014,0.0232,0.0246,0.0199,,0.0818,0.77,0.8036
JSWHL,0.0,0.0707,0.3865,0.1675,,0.1696,0.6167,0.9013
ASHIANA,0.0084,0.1228,0.1356,0.5971,,0.1282,0.8204,0.1832
POLYPLEX,0.0001,0.0,0.0,0.7388,,0.3502,0.8191,0.1217
ITI,0.0,0.0,0.0108,0.8905,,0.2345,0.8741,0.2544
GODREJPROP,0.0,0.0752,0.1541,0.7173,,0.2434,0.2154,0.938
TVSSRICHAK,0.0002,0.0443,0.0073,0.7376,,0.2056,0.1424,0.6797
JBCHEPHARM,0.0,0.0564,0.2229,0.5991,,0.2344,0.4387,0.1748
MUKANDLTD,0.0002,0.0003,0.0001,0.094,,0.235,0.6121,0.346
VIJSHAN,0.0022,0.1035,0.0222,0.7193,,0.1152,0.6009,0.3854
DLINKINDIA,0.0,0.3919,0.7141,0.9099,,0.1956,0.6319,0.6889
ACC,0.0,0.6869,0.0114,0.6535,,0.291,0.6812,0.6349
NAVINFLUOR,0.001,0.0242,0.192,0.5296,,0.1702,0.0293,0.1526
TRENT,0.0004,0.7108,0.0819,0.6397,,0.1711,0.2496,0.4093
FOSECOIND,0.0051,0.0003,0.0015,0.9571,,0.1898,0.7064,0.7181
MERCK,0.0,0.0004,0.0018,0.2503,,0.3381,0.6659,0.0317
ELECTCAST,0.0,0.0,0.0,0.049,,0.3354,0.7774,0.6095
ORIENTREF,0.0003,0.4786,0.6513,0.4092,,0.0785,0.811,0.9476
DPSCLTD,0.0003,0.0881,0.9111,0.4039,,0.0941,0.6023,0.966
TIIL,0.0,0.0033,0.1646,0.0107,,0.2275,0.5545,0.6612
TECHNOFAB,0.0271,0.0012,0.0792,0.2234,,0.0821,0.4618,0.5052
AHLWEST,0.2465,0.5471,0.2075,0.1581,,0.0103,0.6633,0.3339
SMPL,0.0259,0.0025,0.0066,0.3297,,0.14,0.9971,0.6257
TVTODAY,0.0,0.0521,0.1273,0.4799,,0.2324,0.2875,0.4174
STRTECH,0.0,0.0,0.0052,0.3703,,0.369,0.196,0.2272
NITINSPIN,0.0365,0.0211,0.0835,0.9132,,0.1658,0.1015,0.0103
THERMAX,0.0,0.0109,0.4876,0.3962,,0.2047,0.4785,0.9321
STAR,0.0,0.138,0.0595,0.0,,0.399,0.4555,0.8279
FEDERALBNK,0.0002,0.2461,0.8738,0.2609,,0.1267,0.5252,0.6255
METALFORGE,0.0007,0.0031,0.0002,0.4455,,0.1785,0.0557,0.043
PAISALO,0.0112,0.3824,0.8607,0.9215,,0.0419,0.6666,0.9073
TFCILTD,0.0,0.0009,0.0091,0.4695,,0.3479,0.764,0.2729
SELAN,0.0008,0.0005,0.0117,0.0132,,0.1919,0.3489,0.9094
NLCINDIA,0.0,0.0029,0.0015,0.0483,,0.2779,0.5418,0.6405
PARSVNATH,0.308,0.0699,0.0,0.3876,,0.1288,0.2089,0.3963
TATASPONGE,0.0,0.0,0.4347,0.0407,,0.4051,0.4049,0.4346
ITC,0.0,0.8724,0.7468,0.0128,,0.1872,0.5063,0.399
NATIONALUM,0.003,0.0,0.0712,0.0,,0.1789,0.5904,0.369
WABAG,0.0,0.4239,0.0219,0.6623,,0.137,0.3739,0.5396
GVKPIL,0.0448,0.0741,0.0,0.383,,0.2116,0.9021,0.175
IBVENTURES,0.0,0.0145,0.0715,0.5252,,0.2741,0.5836,0.5282
ADHUNIK,0.0003,0.0986,0.0814,0.3138,,0.1369,0.9532,0.5886
RKDL,0.1765,0.0052,0.0233,0.7379,,0.0559,0.4087,0.4693
FACT,0.0,0.0017,0.2331,0.2616,,0.1849,0.6196,0.8866
PGEL,0.3229,0.0087,0.0313,0.2976,,0.0888,0.3453,0.1654
ALKYLAMINE,0.0,0.0235,0.2069,0.4363,,0.1787,0.9004,0.2409
ASTRAMICRO,0.0002,0.2037,0.2419,0.7027,,0.118,0.565,0.7423
RUSHIL,0.2459,0.9712,0.0534,0.9914,,0.0671,0.0137,0.1837
RICOAUTO,0.0,0.0004,0.0024,0.1063,,0.3028,0.7026,0.7605
POWERGRID,0.0,0.0031,0.368,0.8982,,0.2465,0.1302,0.4793
CASTROLIND,0.0,0.1485,0.6973,0.4219,,0.1984,0.8503,0.7664
MAGMA,0.0,0.0213,0.4724,0.2148,,0.1874,0.7874,0.324
KSK,0.0125,0.0036,0.0615,0.1366,,0.1041,0.743,0.8223
SHOPERSTOP,0.0,0.1239,0.6354,0.0037,,0.2144,0.9683,0.7387
ABB,0.0,0.3067,0.931,0.288,,0.2277,0.912,0.5427
MTNL,0.0,0.0,0.0,0.976,,0.2962,0.8268,0.0094
INDIACEM,0.0,0.7071,0.0106,0.1912,,0.4524,0.3867,0.1692
OPTOCIRCUI,0.0078,0.0,0.0,0.1014,,0.2824,0.0849,0.1823
ALLSEC,0.019,0.0673,0.3977,0.4104,,0.0362,0.0042,0.2162
DEEPIND,0.0,0.0165,0.1988,0.1072,,0.1837,0.039,0.581
HOTELEELA,0.0,0.1421,0.0382,0.0306,,0.2339,0.4525,0.9199
RSWM,0.0,0.0,0.0,0.978,,0.3607,0.1335,0.7555
ADANIENT,0.1481,0.6184,0.0,0.063,,0.2643,0.9292,0.3005
MAWANASUG,0.0608,0.1163,0.382,0.7468,,0.0274,0.2792,0.7472
CYBERTECH,0.0,0.0,0.1102,0.767,,0.2079,0.8277,0.4547
GANESHHOUC,0.0,0.0033,0.008,0.7649,,0.2379,0.6554,0.2895
OMAXAUTO,0.0014,0.0015,0.0189,0.6238,,0.1714,0.475,0.7391
JISLJALEQS,0.0,0.0167,0.0002,0.1143,,0.447,0.469,0.7768
ANGIND,0.0,0.001,0.0189,0.3171,,0.2833,0.4624,0.1117
RTNINFRA,0.4416,0.4722,0.0072,0.3163,,0.0998,0.5032,0.0691
SUMMITSEC,0.0001,0.0011,0.0782,0.8773,,0.1843,0.5036,0.8985
ASIANHOTNR,0.0002,0.4593,0.5801,0.5164,,0.0607,0.6653,0.2715
SALSTEEL,0.0282,0.8569,0.8621,0.0923,,0.036,0.312,0.7638
INDIANCARD,0.0108,0.0021,0.0199,0.6603,,0.1295,0.0917,0.9667
TDPOWERSYS,0.0082,0.0077,0.093,0.3871,,0.1135,0.2449,0.8065
EICHERMOT,0.0,0.3995,0.1561,0.0082,,0.3333,0.8111,0.5934
DEEPAKNTR,0.0033,0.0305,0.012,0.5296,,0.1438,0.9894,0.9897
SIYSIL,0.0002,0.1001,0.0141,0.7054,,0.1777,0.2976,0.798
BATAINDIA,0.0004,0.3483,0.1892,0.0056,,0.0844,0.2195,0.8103
RAMCOSYS,0.0,0.0,0.8498,0.7737,,0.2726,0.5199,0.3806
HEXATRADEX,0.0089,0.3587,0.0065,0.8872,,0.132,0.7048,0.9186
CIGNITITEC,0.0,0.0093,0.371,0.5224,,0.162,0.9185,0.7312
SITINET,0.0001,0.4421,0.2561,0.0348,,0.1262,0.4405,0.3217
EMAMILTD,0.0009,0.7527,0.4413,0.0017,,0.1646,0.7568,0.0346
FDC,0.0,0.0003,0.9918,0.1542,,0.191,0.6108,0.8749
CUMMINSIND,0.0,0.1716,0.1243,0.9991,,0.2101,0.1953,0.4824
PITTIENG,0.0476,0.0024,0.0007,0.6209,,0.1484,0.7407,0.8104
NITINFIRE,0.0097,0.0,0.0077,0.032,,0.2597,0.8589,0.1569
MONSANTO,0.0003,0.4501,0.1184,0.1821,,0.1902,0.5965,0.1803
GARDENSILK,0.0049,0.0,0.0118,0.227,,0.1598,0.9282,0.6985
SARLAPOLY,0.0049,0.1257,0.8589,0.3525,,0.0379,0.6416,0.3959
CINELINE,0.2762,0.019,0.3666,0.797,,0.0236,0.3266,0.8847
MAITHANALL,0.062,0.0038,0.3614,0.4502,,0.0487,0.5701,0.8033
AKSHOPTFBR,0.0,0.0,0.0,0.4629,,0.3554,0.5729,0.3679
RAYMOND,0.0,0.0032,0.1458,0.9276,,0.2984,0.6021,0.9529
PETRONENGG,0.0005,0.0048,0.0129,0.2882,,0.1649,0.5452,0.5505
AMBIKCO,0.0018,0.0269,0.151,0.6572,,0.1063,0.1377,0.8304
DHUNINV,0.0,0.0851,0.6986,0.8527,,0.1285,0.4998,0.0758
CORPBANK,0.3683,0.7183,0.0966,0.8022,,0.0106,0.2682,0.4791
OBEROIRLTY,0.0,0.3439,0.1318,0.3041,,0.1922,0.5292,0.285
LGBBROSLTD,0.0,0.5159,0.0347,0.4082,,0.1286,0.4266,0.2246
SSWL,0.0,0.0002,0.0023,0.5266,,0.3194,0.3749,0.4334
NAHARSPING,0.0001,0.0043,0.0009,0.079,,0.2866,0.2998,0.2713
IL&FSENGG,0.0,0.0082,0.0115,0.0299,,0.2229,0.8978,0.3172
NECLIFE,0.0,0.0,0.5265,0.1812,,0.4188,0.8712,0.8329
GENESYS,0.0389,0.0013,0.0076,0.0627,,0.112,0.3061,0.4676
JAYSREETEA,0.002,0.2036,0.0008,0.0572,,0.2117,0.4974,0.6802
LEEL,0.0,0.0053,0.0084,0.005,,0.3463,0.0969,0.5888
BEML,0.0,0.8343,0.3111,0.0007,,0.2578,0.1681,0.5107
AMBUJACEM,0.0,0.2819,0.255,0.5998,,0.4084,0.7312,0.7813
SHREECEM,0.0003,0.9449,0.2458,0.1985,,0.1351,0.5112,0.0556
KGL,0.0381,0.8799,0.0149,0.3469,,0.0908,0.1818,0.9071
TULSI,0.6406,0.0675,0.6361,0.6539,,-0.0032,0.6947,0.4442
ALKALI,0.0027,0.0441,0.0131,0.8968,,0.1205,0.0509,0.3757
NAUKRI,0.0028,0.7028,0.4301,0.3517,,0.067,0.7222,0.3523
TATAMETALI,0.0,0.0,0.102,0.4846,,0.3333,0.2698,0.6304
BSLGOLDETF,0.7456,0.6374,0.6355,0.7927,,-0.0145,0.8483,0.4083
SOLARINDS,0.0001,0.2845,0.0548,0.6187,,0.1695,0.1287,0.9304
PNB,0.0,0.0082,0.0013,0.1813,,0.3847,0.705,0.5715
BFINVEST,0.0006,0.0005,0.0053,0.6131,,0.2088,0.6411,0.6564
FEDDERELEC,0.0,0.0,0.0009,0.0125,,0.344,0.5338,0.1856
PREMIER,0.0,0.0003,0.0118,0.661,,0.252,0.8855,0.6358
CADILAHC,0.3574,0.4271,0.5724,0.0122,,0.0278,0.2683,0.2506
TECHM,0.1779,0.9709,0.2087,0.0477,,0.0226,0.2731,0.4411
SUNCLAYLTD,0.0014,0.6443,0.491,0.002,,0.1735,0.4284,0.0712
MAHINDCIE,0.0,0.1118,0.0986,0.7538,,0.2195,0.5829,0.2855
KEI,0.0,0.0,0.0002,0.269,,0.3679,0.0861,0.9907
COMPUSOFT,0.0161,0.0008,0.0354,0.0198,,0.0994,0.5731,0.0871
MIC,0.0261,0.0003,0.0071,0.3669,,0.1107,0.0951,0.2799
GSCLCEMENT,0.0,0.0,0.0717,0.2085,,0.233,0.6959,0.7988
KEC,0.0,0.0078,0.049,0.3989,,0.2788,0.1496,0.0145
MUNJALAU,0.0008,0.0407,0.0021,0.2746,,0.1779,0.8509,0.6449
TINPLATE,0.0,0.0003,0.3742,0.2962,,0.283,0.7028,0.852
BUTTERFLY,0.0,0.0075,0.3068,0.9853,,0.2119,0.7272,0.4839
VARDHACRLC,0.0,0.0228,0.6767,0.6125,,0.1766,0.733,0.5163
BAJAJELEC,0.0001,0.0936,0.013,0.4024,,0.2483,0.9685,0.1911
INDRAMEDCO,0.0,0.0001,0.0543,0.0285,,0.2265,0.9463,0.0408
ZEEL,0.0,0.5451,0.1147,0.8007,,0.3011,0.1832,0.6427
GANDHITUBE,0.0654,0.599,0.1131,0.4149,,0.0446,0.6685,0.8342
BLUESTARCO,0.0,0.6003,0.582,0.7334,,0.1319,0.2944,0.7991
HCLTECH,0.0051,0.5465,0.567,0.5201,,0.0299,0.7038,0.6068
DLF,0.0,0.0104,0.0007,0.2159,,0.3964,0.2091,0.4918
SICAGEN,0.0038,0.0326,0.9319,0.6873,,0.0536,0.7643,0.6646
JINDALSAW,0.0009,0.0,0.0,0.4738,,0.3195,0.3196,0.9777
KIRLOSIND,0.0015,0.1102,0.1641,0.9406,,0.1,0.5645,0.7672
APARINDS,0.0,0.0066,0.1912,0.9754,,0.2656,0.5788,0.2162
HINDMOTORS,0.0002,0.0,0.0001,0.3926,,0.2995,0.7635,0.6855
WELSPUNIND,0.0,0.0001,0.0002,0.0123,,0.3238,0.0427,0.6448
NTPC,0.0,0.0278,0.4422,0.9093,,0.33,0.1331,0.0103
SPLIL,0.8432,0.0022,0.0111,0.0988,,0.1055,0.0728,0.0536
ESSELPACK,0.0,0.1155,0.5724,0.7418,,0.3296,0.2166,0.9025
SIEMENS,0.0,0.2611,0.4622,0.3965,,0.4745,0.0632,0.253
SPARC,0.0,0.11,0.5753,0.183,,0.1713,0.3617,0.3548
KIRLOSENG,0.0512,0.1976,0.1212,0.7786,,0.0376,0.8465,0.3817
CENTUM,0.0001,0.4136,0.7097,0.2441,,0.1262,0.9617,0.9674
KABRAEXTRU,0.0,0.0081,0.1098,0.4447,,0.186,0.5328,0.7943
RNAVAL,0.0236,0.1755,0.4882,0.8348,,0.0409,0.1066,0.932
BANARISUG,0.0003,0.0119,0.1754,0.0321,,0.1318,0.8491,0.4398
ASSAMCO,0.0815,0.001,0.0003,0.9084,,0.1389,0.7435,0.8655
MINDAIND,0.0,0.001,0.0014,0.2772,,0.2327,0.2243,0.4139
PRSMJOHNSN,0.0,0.0193,0.3206,0.2289,,0.2637,0.8692,0.3953
TEXMOPIPES,0.07,0.0005,0.0,0.5939,,0.2233,0.9422,0.7035
AVTNPL,0.0001,0.0001,0.0189,0.075,,0.2537,0.9162,0.2269
SUNILHITEC,0.0,0.0004,0.0536,0.1056,,0.232,0.3822,0.5866
MRF,0.0,0.0391,0.0992,0.0327,,0.4925,0.8822,0.0308
GUJALKALI,0.0,0.4841,0.0026,0.483,,0.2817,0.4799,0.8529
GOLDBEES,0.0072,0.2188,0.614,0.8871,,0.0278,0.7969,0.6642
VSSL,0.0814,0.0373,0.0291,0.9325,,0.0503,0.2567,0.2142
ICSA,0.1277,0.0983,0.0195,0.3302,,0.0678,0.9895,0.9852
ESABINDIA,0.0001,0.3063,0.8709,0.8787,,0.1076,0.8969,0.8017
SELMCL,0.017,0.0009,0.0242,0.0065,,0.159,0.5365,0.4624
PNC,0.0013,0.2894,0.0784,0.1543,,0.0895,0.2194,0.0363
RESPONIND,0.0222,0.3835,0.6008,0.8782,,0.1059,0.3414,0.0366
MONTECARLO,0.0002,0.0195,0.3794,0.1029,,0.1174,0.7274,0.505
SOBHA,0.0004,0.7479,0.1531,0.3773,,0.1202,0.4726,0.7671
VIDEOIND,0.2617,0.6701,0.555,0.3074,,0.0043,0.8473,0.9474
EDUCOMP,0.0,0.0,0.0,0.3379,,0.3459,0.6808,0.0862
RAMCOCEM,0.0,0.9121,0.0639,0.0368,,0.261,0.2903,0.152
TRITURBINE,0.0,0.0159,0.8841,0.938,,0.1647,0.905,0.8034
GREAVESCOT,0.0003,0.1705,0.261,0.0967,,0.1129,0.4919,0.2039
LUPIN,0.0,0.6832,0.0141,0.0359,,0.1878,0.3042,0.9161
EROSMEDIA,0.0,0.0015,0.2427,0.9058,,0.0962,0.4021,0.2276
GALLISPAT,0.0,0.8726,0.3998,0.0821,,0.2119,0.0004,0.1395
GLOBOFFS,0.3962,0.0926,0.1419,0.097,,0.0338,0.1582,0.8302
