,Adj-r_sq,F-statistics,HML %,P(F-value),Rm-Rf %,SMB %,Symbol,WML %,const,high-low
24,0.2794,95.5425,0.0,0.0,0.0,0.0,KSL,0.2621,0.0325,0.1435
25,0.0399,11.2208,0.3804,0.0,0.0,0.0081,NESCO,0.852,0.6756,0.392
26,0.1357,39.625,0.0,0.0,0.0,0.0,VENKEYS,0.1331,0.092,0.1073
27,0.0768,15.6401,0.1014,0.0,0.0,0.0,SILINV,0.9546,0.0731,0.0831
28,0.2674,88.5957,0.0,0.0,0.0,0.0,SPIC,0.5229,0.4853,0.0739
29,0.0813,21.2575,0.0009,0.0,0.0,0.0,AMDIND,0.7011,0.2559,0.2795
30,0.0486,13.5735,0.3156,0.0,0.0,0.0522,MPHASIS,0.9887,0.164,0.896
31,0.2281,73.7095,0.0058,0.0,0.0,0.0,VIPIND,0.3928,0.0685,0.0867
32,0.4932,240.433,0.0,0.0,0.0,0.0072,HDIL,0.0,0.9951,0.1511
33,0.0877,24.6352,0.0153,0.0,0.0,0.0,VIVIMEDLAB,0.6388,0.8877,0.1459
34,0.0146,3.8757,0.1642,0.0018,0.1148,0.0038,MAGNUM,0.807,0.196,0.6147
35,0.0439,6.7466,0.1051,0.0,0.0013,0.0,SHREERAMA,0.398,0.0744,0.2127
36,0.1356,37.5867,0.0,0.0,0.0,0.0,PVP,0.9152,0.9881,0.3934
37,0.1835,54.3441,0.0,0.0,0.0,0.0,PROVOGE,0.0001,0.8271,0.1441
38,0.1071,24.0573,0.3068,0.0,0.0,0.0,8KMILES,0.7296,0.1533,0.2006
39,0.1296,33.6811,0.0001,0.0,0.0,0.0,USHERAGRO,0.4812,0.118,0.8158
40,0.4229,181.2337,0.0,0.0,0.0,0.0,JAICORPLTD,0.054,0.3645,0.0453
41,0.1166,33.4753,0.4113,0.0,0.0,0.0001,MCX,0.322,0.6475,0.0855
42,0.1632,48.9945,0.0078,0.0,0.0,0.8447,TITAN,0.0969,0.1073,0.9666
43,0.1569,45.8062,0.0022,0.0,0.0,0.0,ZICOM,0.7399,0.1951,0.6488
44,0.2819,97.5772,0.0,0.0,0.0,0.0,MUNJALSHOW,0.0009,0.1527,0.4437
45,0.2382,76.0277,0.0,0.0,0.0,0.0,WSTCSTPAPR,0.9848,0.2912,0.1408
46,0.23,65.5156,0.1492,0.0,0.0,0.2603,IBULHSGFIN,0.6076,0.0236,0.8518
47,0.142,41.7064,0.0,0.0,0.0,0.0,DEEPAKFERT,0.023,0.1035,0.081
48,0.1027,27.2866,0.0,0.0,0.0,0.0,OMMETALS,0.9083,0.4016,0.4745
49,0.0737,17.1903,0.0098,0.0,0.0,0.0,FILATEX,0.8182,0.0629,0.3018
50,0.1154,32.0005,0.2765,0.0,0.0,0.0,BIL,0.693,0.1939,0.3661
51,0.16,46.4401,0.0,0.0,0.0,0.0,UJAAS,0.613,0.7582,0.8942
52,0.1973,60.9391,0.0,0.0,0.0,0.0,GAMMNINFRA,0.0531,0.1513,0.0012
53,0.0473,12.9012,0.1189,0.0,0.0,0.0,ECEIND,0.5212,0.1815,0.2266
54,0.0903,23.4653,0.0004,0.0,0.0,0.0,GALLANTT,0.8562,0.4966,0.3048
55,0.0358,8.601,0.0031,0.0,0.0156,0.0,SURANASOL,0.8634,0.7341,0.2895
56,0.1223,35.286,0.0083,0.0,0.0,0.0,DEN,0.3662,0.7477,0.5852
57,0.0131,2.8618,0.1768,0.0144,0.0021,0.8358,CRMFGETF,0.4518,0.658,0.5753
58,0.132,38.3969,0.0,0.0,0.0,0.0,NBVENTURES,0.6696,0.9169,0.2778
59,0.183,56.1106,0.0252,0.0,0.0,0.0,TATAELXSI,0.0226,0.3061,0.0018
60,0.2041,60.405,0.0009,0.0,0.0,0.0,KAKATCEM,0.7161,0.3687,0.1821
61,0.0343,9.7346,0.5528,0.0,0.0,0.0876,PERSISTENT,0.3662,0.5104,0.0514
62,0.1267,17.6554,0.0629,0.0,0.0,0.0,KAYA,0.3758,0.6043,0.6032
63,0.1396,39.3894,0.0,0.0,0.0,0.0,HIRECT,0.6816,0.346,0.4821
64,0.4687,217.9742,0.0457,0.0,0.0,0.1651,LICHSGFIN,0.0553,0.1558,0.925
65,0.1191,33.9892,0.0029,0.0,0.0,0.0,MASTEK,0.5169,0.2838,0.3051
66,0.1644,49.4029,0.0231,0.0,0.0,0.0002,HEXAWARE,0.1812,0.0737,0.5349
67,0.1019,28.9229,0.0098,0.0,0.0,0.0,RPPINFRA,0.6812,0.0553,0.766
68,0.078,21.8155,0.0056,0.0,0.0,0.0,SASKEN,0.0451,0.0409,0.4469
69,0.0706,17.6673,0.0034,0.0,0.0,0.0,PTL,0.0856,0.2279,0.0875
70,0.0427,10.1258,0.3303,0.0,0.0001,0.0006,VHL,0.2028,0.0268,0.6686
71,0.5269,275.0275,0.0,0.0,0.0,0.0,ORIENTBANK,0.0011,0.5395,0.4944
72,0.1027,29.1543,0.9651,0.0,0.0,0.0089,PAGEIND,0.0083,0.0057,0.0031
73,0.1791,54.1147,0.0,0.0,0.0,0.0,NAHARINDUS,0.6967,0.3972,0.2247
74,0.1644,46.749,0.0,0.0,0.0,0.0,ASIANTILES,0.5526,0.053,0.1561
75,0.2406,78.9547,0.0002,0.0,0.0,0.0,HERCULES,0.0034,0.9815,0.3351
76,0.2343,76.2857,0.004,0.0,0.0,0.0,PURVA,0.0071,0.4375,0.7835
77,0.1473,43.4846,0.116,0.0,0.0,0.0,DHANUKA,0.3223,0.0138,0.3037
78,0.0905,25.4637,0.5982,0.0,0.0,0.0332,SKFINDIA,0.4949,0.0174,0.0117
79,0.1918,57.1946,0.0,0.0,0.0,0.0,SAREGAMA,0.2184,0.0608,0.0584
80,0.1903,57.2102,0.0,0.0,0.0,0.0,KAMDHENU,0.0144,0.1029,0.1608
81,0.1093,31.1846,0.0239,0.0,0.0,0.0,TATACOFFEE,0.2378,0.3006,0.167
82,0.199,60.8211,0.0,0.0,0.0,0.0,NELCAST,0.9853,0.2421,0.995
83,0.0592,16.1497,0.4015,0.0,0.0,0.0847,NATCOPHARM,0.0033,0.2808,0.1126
84,0.1639,49.2072,0.0139,0.0,0.0,0.0,TIMKEN,0.0125,0.0736,0.7203
85,0.1552,45.7746,0.8845,0.0,0.0,0.0003,WHIRLPOOL,0.8775,0.0081,0.9267
86,0.2616,53.0187,0.0049,0.0,0.0,0.0,GOODLUCK,0.0882,0.6601,0.1071
87,0.1366,39.9282,0.0004,0.0,0.0,0.0,NBCC,0.4295,0.3779,0.1612
88,0.18,26.7665,0.1259,0.0,0.0,0.0001,SYNGENE,0.2683,0.2129,0.4996
89,0.0852,23.9109,0.0804,0.0,0.0,0.9658,DRREDDY,0.4567,0.4211,0.2149
90,0.0259,7.528,0.3071,0.0,0.0,0.3757,SETFGOLD,0.2793,0.1863,0.1492
91,0.2049,64.378,0.4554,0.0,0.0,0.0,BAJAJFINSV,0.0715,0.0076,0.2514
92,0.4364,191.4826,0.0,0.0,0.0,0.0003,TATASTEEL,0.0,0.1607,0.0952
93,0.1492,42.6661,0.0,0.0,0.0,0.0,JVLAGRO,0.4858,0.5989,0.3413
94,0.037,9.139,0.6135,0.0,0.0,0.0742,ALPHAGEO,0.2359,0.0814,0.8056
95,0.0402,9.4302,0.0407,0.0,0.0001,0.4206,MAANALU,0.1111,0.1022,0.6449
96,0.1144,32.683,0.0013,0.0,0.0,0.0,INDNIPPON,0.2689,0.0508,0.0876
97,0.0748,18.8769,0.2871,0.0,0.0,0.0001,VINYLINDIA,0.0354,0.0938,0.0061
98,0.2029,63.611,0.1691,0.0,0.0,0.0201,CGPOWER,0.3362,0.7492,0.648
99,0.2412,78.1745,0.0,0.0,0.0,0.0,TIL,0.0246,0.2796,0.5255
100,0.1318,32.279,0.0116,0.0,0.0,0.0,ROSSELLIND,0.4562,0.5293,0.0453
101,0.3162,60.291,0.0028,0.0,0.0,0.0,SKIPPER,0.155,0.9883,0.5942
102,0.0433,10.5481,0.3042,0.0,0.0023,0.0,MANGTIMBER,0.0955,0.3357,0.7767
103,0.1562,42.086,0.0001,0.0,0.0,0.0,TRF,0.0006,0.3068,0.6952
104,0.1343,39.1622,0.0114,0.0,0.0,0.0,NAVNETEDUL,0.1559,0.091,0.7334
105,0.1187,33.0626,0.0007,0.0,0.0,0.0,SPECIALITY,0.1424,0.9093,0.2273
106,0.2153,68.4932,0.0,0.0,0.0,0.0,KCPSUGIND,0.9907,0.8448,0.9876
107,0.1548,44.5029,0.0008,0.0,0.0,0.0,ROHLTD,0.0996,0.1876,0.8986
108,0.0798,22.3365,0.0013,0.0,0.0,0.0012,DAAWAT,0.6696,0.1591,0.6213
109,0.0971,27.4429,0.0063,0.0,0.0,0.0,GMBREW,0.1069,0.0426,0.1638
110,0.1338,39.0077,0.0,0.0,0.0,0.0,EMMBI,0.1168,0.0145,0.3293
111,0.2493,82.7009,0.0013,0.0,0.0,0.0,TATAINVEST,0.6137,0.2857,0.4983
112,0.2175,67.1541,0.0,0.0,0.0,0.0,SUBEX,0.1531,0.8854,0.4961
113,0.0934,24.5569,0.0501,0.0,0.0,0.0,SAKUMA,0.0803,0.03,0.416
114,0.1701,51.4198,0.0,0.0,0.0,0.0142,LAXMIMACH,0.6487,0.056,0.1551
115,0.1272,17.0962,0.2864,0.0,0.0,0.0005,GUJGASLTD,0.6112,0.2479,0.0553
116,0.2805,96.8937,0.0,0.0,0.0,0.0,KOPRAN,0.0876,0.3568,0.6157
117,0.1527,45.328,0.2012,0.0,0.0,0.1889,IOC,0.3578,0.3627,0.5599
118,0.3568,136.2394,0.0,0.0,0.0,0.0,IVRCLINFRA,0.0,0.1286,0.9739
119,0.2971,104.7183,0.0,0.0,0.0,0.0,PRAKASH,0.7037,0.2722,0.3959
120,0.0635,16.3428,0.0696,0.0,0.0,0.0,CGCL,0.7826,0.6113,0.8691
121,0.0271,7.8501,0.4504,0.0,0.0,0.059,MINDTREE,0.2311,0.75,0.1478
122,0.2471,81.0318,0.0,0.0,0.0,0.0,SCHNEIDER,0.5562,0.7818,0.3204
123,0.0496,8.2498,0.5604,0.0,0.0063,0.4189,GRPLTD,0.7358,0.9814,0.0177
124,0.1608,46.4886,0.0,0.0,0.0,0.0,VIMTALABS,0.0164,0.1019,0.3932
125,0.1575,46.9799,0.0006,0.0,0.0,0.0,RSSOFTWARE,0.0391,0.6272,0.0495
126,0.1688,50.9745,0.0,0.0,0.0,0.0,DCM,0.1485,0.6879,0.1282
127,0.0276,7.9889,0.0149,0.0,0.0037,0.0839,RELAXO,0.3737,0.4813,0.3497
128,0.1137,28.8199,0.3657,0.0,0.0,0.0012,ABFRL,0.7118,0.9513,0.2928
129,0.1914,59.2364,0.0,0.0,0.0,0.0,SANGAMIND,0.4772,0.2376,0.7675
130,0.2757,92.2869,0.0001,0.0,0.0,0.0,LIBERTSHOE,0.5235,0.361,0.7094
131,0.1496,41.9965,0.0006,0.0,0.0,0.0,JAYBARMARU,0.6301,0.0606,0.8941
132,0.3221,117.8822,0.0,0.0,0.0,0.0,RCF,0.0107,0.4249,0.0683
133,0.006,1.8284,0.1334,0.1051,0.5012,0.7769,ORIENTLTD,0.4637,0.2873,0.4421
134,0.1909,59.0589,0.5151,0.0,0.0,0.0002,ICICIBANK,0.9825,0.8227,0.3777
135,0.3735,147.6762,0.0,0.0,0.0,0.0,INDUSINDBK,0.3288,0.0023,0.7147
136,0.6388,324.9642,0.1678,0.0,0.0,0.0,CPSEETF,0.0,0.0242,0.004
137,0.0676,15.7983,0.1106,0.0,0.0,0.0007,ORBTEXP,0.0943,0.6377,0.2626
138,0.2812,97.2148,0.0,0.0,0.0,0.0,MANALIPETC,0.7574,0.3262,0.5024
139,0.1808,54.8466,0.0,0.0,0.0,0.0,CENTURYPLY,0.5416,0.1201,0.3113
140,0.0535,14.8941,0.3136,0.0,0.0,0.1841,VSTIND,0.8331,0.2297,0.0448
141,0.2559,83.8194,0.0,0.0,0.0,0.0,SUZLON,0.0001,0.8464,0.6188
142,0.0611,16.9964,0.841,0.0,0.0,0.1745,CRISIL,0.486,0.1815,0.3363
143,0.0183,4.5785,0.0248,0.0004,0.4169,0.0013,RANEENGINE,0.6313,0.1335,0.4762
144,0.1708,29.5995,0.0001,0.0,0.0,0.0,LINCPEN,0.3213,0.2187,0.9047
145,0.2856,99.3686,0.1564,0.0,0.0,0.8546,ADANIPORTS,0.4841,0.1267,0.7588
146,0.0849,21.6039,0.1376,0.0,0.0,0.0,EXCEL,0.3678,0.1607,0.4213
147,0.1186,32.8708,0.0118,0.0,0.0,0.0,SONATSOFTW,0.0694,0.0088,0.7971
148,0.0975,27.1698,0.0007,0.0,0.0,0.0,GOLDIAM,0.425,0.239,0.4394
149,0.2417,79.4115,0.0014,0.0,0.0,0.007,JSWHL,0.0,0.0225,0.0328
150,0.0782,21.88,0.0057,0.0,0.0,0.0001,ASHIANA,0.2155,0.6213,0.9818
151,0.2867,99.8562,0.0,0.0,0.0,0.0,POLYPLEX,0.0203,0.2128,0.8069
152,0.1868,57.4955,0.0,0.0,0.0,0.0,ITI,0.0426,0.0837,0.3923
153,0.1772,53.9699,0.3791,0.0,0.0,0.0,GODREJPROP,0.3555,0.8754,0.9647
154,0.131,36.9741,0.0188,0.0,0.0,0.0,TVSSRICHAK,0.4813,0.0037,0.1099
155,0.1728,52.3835,0.0,0.0,0.0,0.0,JBCHEPHARM,0.4506,0.1063,0.6673
156,0.0585,13.6697,0.4067,0.0,0.0,0.0832,RELCNX100,0.0396,0.154,0.7334
157,0.1872,52.9216,0.0,0.0,0.0,0.0,MUKANDLTD,0.5455,0.1663,0.1829
158,0.1373,40.117,0.0,0.0,0.0,0.0,VIJSHAN,0.6513,0.6406,0.7121
159,0.3343,124.5163,0.0256,0.0,0.0,0.1051,ACC,0.1105,0.6733,0.3858
160,0.0822,22.5618,0.1309,0.0,0.0,0.0001,NAVINFLUOR,0.0855,0.1529,0.0
161,0.074,20.6585,0.0495,0.0,0.0,0.4872,TRENT,0.0015,0.8655,0.5779
162,0.3229,58.1207,0.0856,0.0,0.0,0.0,ORICONENT,0.0886,0.7366,0.8649
163,0.1288,37.3104,0.0,0.0,0.0,0.0,FOSECOIND,0.7692,0.0514,0.6853
164,0.1576,47.03,0.0003,0.0,0.0,0.0,MERCK,0.0846,0.3526,0.2782
165,0.2975,105.1938,0.0,0.0,0.0,0.0,ELECTCAST,0.0377,0.6198,0.0063
166,0.1068,28.8624,0.1691,0.0,0.0,0.0,ORIENTREF,0.667,0.0597,0.1773
167,0.0782,21.858,0.0059,0.0,0.0,0.0014,DPSCLTD,0.5167,0.3775,0.4301
168,0.1453,40.2241,0.0,0.0,0.0,0.0,TIIL,0.0357,0.0672,0.1606
169,0.0889,24.3524,0.0005,0.0,0.0,0.0,TECHNOFAB,0.0047,0.2141,0.8494
170,0.3974,79.4741,0.0,0.0,0.0,0.1543,SETFNIF50,0.0275,0.1743,0.8074
171,0.1415,41.5574,0.0002,0.0,0.0,0.0001,TVTODAY,0.8623,0.0765,0.5126
172,0.304,105.3209,0.0,0.0,0.0,0.0,STRTECH,0.0005,0.0098,0.1562
173,0.2013,63.0096,0.0,0.0,0.0,0.0,NITINSPIN,0.8109,0.0301,0.0925
174,0.1357,39.6355,0.9264,0.0,0.0,0.0,THERMAX,0.9724,0.197,0.3323
175,0.1396,40.9093,0.0327,0.0,0.0,0.0,STAR,0.7335,0.7809,0.0038
176,0.1594,47.6385,0.4229,0.0,0.0,0.2907,FEDERALBNK,0.4521,0.6319,0.4457
177,0.2013,61.3374,0.0,0.0,0.0,0.0,METALFORGE,0.2133,0.3321,0.1409
178,0.0372,10.4768,0.1752,0.0,0.0,0.0003,PAISALO,0.2464,0.855,0.2789
179,0.2986,104.797,0.0,0.0,0.0,0.0,TFCILTD,0.1287,0.1583,0.3666
180,0.1798,53.4902,0.0,0.0,0.0,0.0,SELAN,0.1153,0.9837,0.4805
181,0.2288,73.9753,0.0,0.0,0.0,0.0,NLCINDIA,0.0,0.3585,0.3523
182,0.1754,50.7858,0.0,0.0,0.0,0.0,PARSVNATH,0.6468,0.7816,0.1803
183,0.1692,29.5118,0.2279,0.0,0.0,0.0,DTIL,0.8222,0.5137,0.5068
184,0.2264,73.0087,0.0,0.0,0.0,0.0,TATASPONGE,0.0829,0.4163,0.0191
185,0.0136,3.3673,0.9487,0.0051,0.0059,0.0952,PEARLPOLY,0.5246,0.1903,0.8448
186,0.1333,38.8303,0.0,0.0,0.0,0.0132,ITC,0.5233,0.6937,0.7645
187,0.2041,64.0997,0.0,0.0,0.0,0.0052,NATIONALUM,0.1008,0.3085,0.4013
188,0.0997,27.6622,0.5286,0.0,0.0,0.003,WABAG,0.3388,0.6586,0.4314
189,0.2903,93.4412,0.0,0.0,0.0,0.0,GVKPIL,0.0,0.606,0.7494
190,0.1883,28.7408,0.8674,0.0,0.0,0.0018,SETFNN50,0.2452,0.2351,0.0473
191,0.0508,7.0522,0.0406,0.0,0.0,0.8809,ALANKIT,0.2952,0.9087,0.7239
192,0.1674,48.7629,0.0001,0.0,0.0,0.0,ADHUNIK,0.0135,0.1443,0.7455
193,0.0649,17.4346,0.0021,0.0,0.0,0.0,RKDL,0.6881,0.6182,0.2518
194,0.1783,51.8339,0.0,0.0,0.0,0.0,FACT,0.9291,0.6195,0.8028
195,0.0673,18.7301,0.0031,0.0,0.0,0.0,PGEL,0.9324,0.587,0.6835
196,0.0698,18.5977,0.0364,0.0,0.0,0.0001,ALKYLAMINE,0.5795,0.0744,0.8436
197,0.1892,58.3891,0.0,0.0,0.0,0.0,ASTRAMICRO,0.4327,0.3507,0.7627
198,0.0651,17.761,0.0,0.0,0.0,0.0,RUSHIL,0.2898,0.1944,0.9433
199,0.2511,80.8092,0.0,0.0,0.0,0.0,RICOAUTO,0.694,0.0544,0.8122
200,0.2,62.4858,0.454,0.0,0.0,0.0868,POWERGRID,0.7951,0.0814,0.9634
201,0.0821,17.4784,0.4806,0.0,0.0,0.8323,CASTROLIND,0.2628,0.6415,0.2858
202,0.1862,57.2888,0.0065,0.0,0.0,0.0,MAGMA,0.7857,0.5447,0.0294
203,0.1191,32.5363,0.0002,0.0,0.0,0.0,KSK,0.0078,0.3635,0.4368
204,0.1172,33.6692,0.7781,0.0,0.0,0.0093,SHOPERSTOP,0.7247,0.6168,0.1478
205,0.1769,53.8711,0.4005,0.0,0.0,0.3713,ABB,0.0001,0.1116,0.3891
206,0.2534,84.5128,0.0,0.0,0.0,0.0,MTNL,0.0158,0.7472,0.0016
207,0.4292,185.9461,0.0,0.0,0.0,0.0,INDIACEM,0.1759,0.802,0.0494
208,0.1458,23.4998,0.4583,0.0,0.0,0.0,VRLLOG,0.3462,0.6156,0.5061
209,0.0673,16.0484,0.0488,0.0,0.0,0.0,ALLSEC,0.0462,0.0672,0.4658
210,0.2149,68.3487,0.0,0.0,0.0,0.0,DEEPIND,0.5284,0.191,0.4353
211,0.2277,72.8836,0.0,0.0,0.0,0.0,HOTELEELA,0.0029,0.733,0.8201
212,0.2495,82.7853,0.0,0.0,0.0,0.0,RSWM,0.6646,0.109,0.5587
213,0.2447,80.7179,0.0,0.0,0.0,0.3113,ADANIENT,0.0133,0.6158,0.4857
214,0.1124,29.6182,0.0,0.0,0.0,0.0,MAWANASUG,0.3219,0.1453,0.4262
215,0.0934,17.7075,0.0007,0.0,0.0,0.0,UGARSUGAR,0.7313,0.5731,0.7917
216,0.151,44.6898,0.0,0.0,0.0,0.0,CYBERTECH,0.1379,0.1548,0.2875
217,0.215,68.3938,0.0001,0.0,0.0,0.0,GANESHHOUC,0.0311,0.5919,0.1794
218,0.3985,163.9627,0.0,0.0,0.0,0.0,JISLJALEQS,0.275,0.6108,0.6625
219,0.0565,14.0874,0.0005,0.0,0.0,0.0258,RTNINFRA,0.2075,0.3108,0.5335
220,0.0914,24.5871,0.0055,0.0,0.0,0.0,SUMMITSEC,0.4752,0.0203,0.3264
221,0.048,13.1692,0.0001,0.0,0.0004,0.0074,ASIANHOTNR,0.4236,0.7374,0.9742
222,0.04,8.6711,0.0015,0.0,0.0183,0.0001,SALSTEEL,0.1194,0.1595,0.7032
223,0.0174,4.7175,0.0002,0.0003,0.4582,0.0922,SEPOWER,0.6748,0.4361,0.2923
224,0.1413,40.0797,0.0,0.0,0.0,0.0,INDIANCARD,0.9376,0.7374,0.328
225,0.1144,32.716,0.0003,0.0,0.0,0.0,TDPOWERSYS,0.4516,0.9261,0.6838
226,0.1924,59.6216,0.389,0.0,0.0,0.0243,EICHERMOT,0.0071,0.0012,0.0004
227,0.0653,17.6302,0.0072,0.0,0.0,0.0,DEEPAKNTR,0.8448,0.3439,0.6086
228,0.1299,37.3587,0.0,0.0,0.0,0.0,SIYSIL,0.145,0.1782,0.5374
229,0.1535,45.6199,0.8992,0.0,0.0,0.4001,BATAINDIA,0.0329,0.9303,0.7749
230,0.0722,16.9427,0.8627,0.0,0.0,0.0,RAMCOSYS,0.5552,0.1873,0.2894
231,0.1219,22.8867,0.0003,0.0,0.0,0.003,CIGNITITEC,0.8495,0.587,0.4861
232,0.1561,45.5418,0.1116,0.0,0.0,0.0075,SITINET,0.0,0.3225,0.0523
233,0.0429,9.317,0.0086,0.0,0.0144,0.0,COUNCODOS,0.6182,0.122,0.0172
234,0.0222,3.9238,0.7468,0.0016,0.037,0.143,MANAKCOAT,0.1773,0.4572,0.5268
235,0.074,20.6598,0.081,0.0,0.0,0.9587,EMAMILTD,0.0319,0.2039,0.4504
236,0.1419,41.6932,0.0004,0.0,0.0,0.0,FDC,0.0225,0.1821,0.4572
237,0.1579,47.1409,0.5438,0.0,0.0,0.168,CUMMINSIND,0.244,0.168,0.9155
238,0.1331,36.3382,0.0,0.0,0.0,0.0,PITTIENG,0.8977,0.5522,0.379
239,0.0916,25.8085,0.0134,0.0,0.0,0.0,MONSANTO,0.2823,0.1385,0.0098
240,0.1805,54.1301,0.0,0.0,0.0,0.0,GARDENSILK,0.9438,0.6765,0.851
241,0.0283,6.1931,0.0037,0.0,0.4322,0.0,VASWANI,0.887,0.1717,0.6339
242,0.0714,16.8188,0.2295,0.0,0.0,0.0034,SARLAPOLY,0.4226,0.7416,0.9306
243,0.0868,23.0816,0.0002,0.0,0.0,0.0,CINELINE,0.2384,0.053,0.9302
244,0.0899,21.6139,0.0612,0.0,0.0,0.0,MAITHANALL,0.6424,0.1109,0.5663
245,0.1876,57.3412,0.0,0.0,0.0,0.0,JSL,0.4922,0.4826,0.5861
246,0.2136,62.2824,0.0,0.0,0.0,0.0,AKSHOPTFBR,0.0079,0.5243,0.2926
247,0.3057,109.3374,0.0047,0.0,0.0,0.0,RAYMOND,0.2975,0.2225,0.0074
248,0.0977,26.8615,0.0006,0.0,0.0,0.0,AMBIKCO,0.7461,0.0194,0.0574
249,0.1078,17.6235,0.5518,0.0,0.0,0.0009,GREENLAM,0.0068,0.2422,0.7759
250,0.0098,2.3927,0.4328,0.0364,0.0046,0.1721,SREEL,0.2563,0.7861,0.528
251,0.0602,14.2895,0.0028,0.0,0.0,0.0042,DHUNINV,0.1793,0.065,0.1832
252,0.1552,46.2093,0.0,0.0,0.0,0.2851,CORPBANK,0.054,0.2188,0.2138
253,0.1784,54.4334,0.1944,0.0,0.0,0.0,OBEROIRLTY,0.1386,0.4526,0.7406
254,0.0351,9.864,0.9846,0.0,0.0,0.0482,BALKRISIND,0.9625,0.0329,0.6561
255,0.092,25.7717,0.1841,0.0,0.0,0.0,LGBBROSLTD,0.5555,0.1113,0.9592
256,0.2048,34.1187,0.004,0.0,0.0,0.0,ADLABS,0.5291,0.2475,0.244
257,0.2008,62.7933,0.0002,0.0,0.0,0.0,SSWL,0.6553,0.0484,0.5543
258,0.2999,104.1671,0.0,0.0,0.0,0.0,NAHARSPING,0.4684,0.773,0.0129
259,0.2328,72.9779,0.0,0.0,0.0,0.0,IL&FSENGG,0.0851,0.9851,0.0274
260,0.2639,89.193,0.0,0.0,0.0,0.0,NECLIFE,0.4247,0.8382,0.7992
261,0.1134,32.4106,0.0,0.0,0.0,0.0,GENESYS,0.9574,0.4289,0.5427
262,0.2623,84.3441,0.0,0.0,0.0,0.0,JAYSREETEA,0.1572,0.9552,0.5094
263,0.2336,74.3888,0.0,0.0,0.0,0.0,LEEL,0.4131,0.3224,0.0691
264,0.266,88.2719,0.0,0.0,0.0,0.0,BEML,0.0109,0.0256,0.2392
265,0.3396,127.4746,0.0311,0.0,0.0,0.0139,AMBUJACEM,0.0059,0.7073,0.4435
266,0.0336,8.7493,0.3963,0.0,0.001,0.0008,HINDNATGLS,0.1227,0.9874,0.269
267,0.1618,48.4756,0.0017,0.0,0.0,0.8353,SHREECEM,0.0093,0.0205,0.0586
268,0.1278,35.3643,0.0,0.0,0.0,0.0,ALKALI,0.5545,0.2141,0.808
269,0.052,14.4928,0.6393,0.0,0.0,0.0236,NAUKRI,0.3981,0.0295,0.0224
270,0.2172,65.8654,0.0028,0.0,0.0,0.0,TATAMETALI,0.1413,0.0051,0.3354
271,0.0047,2.143,0.4416,0.0581,0.0306,0.9153,BSLGOLDETF,0.0995,0.4523,0.6386
