Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const,WML %
INDNIPPON,0.0,0.1091,0.7242,0.1278,0.7508,0.8091
VINYLINDIA,0.0,0.0004,0.2192,0.2164,0.9495,0.0633
CGPOWER,0.0,0.8772,0.1403,0.3886,0.3061,0.4555
TIL,0.0,0.007,0.0169,0.2663,0.5384,0.2278
ROSSELLIND,0.0,0.0004,0.1508,0.1942,0.3647,0.3717
MANGTIMBER,0.3452,0.3581,0.3712,0.0086,0.2344,0.2089
TRF,0.0,0.0003,0.0008,0.2331,0.7418,0.8752
NAVNETEDUL,0.0,0.0641,0.2605,0.1357,0.8026,0.4351
SPECIALITY,0.0019,0.0044,0.1612,0.0984,0.3565,0.7953
KCPSUGIND,0.2965,0.0006,0.0,0.1769,0.601,0.2507
ROHLTD,0.0081,0.0291,0.1131,0.0776,0.1993,0.9219
DAAWAT,0.0015,0.0083,0.0361,0.1228,0.0563,0.3738
GMBREW,0.0639,0.0036,0.0862,0.0861,0.0027,0.0451
EMMBI,0.0221,0.0059,0.0043,0.1174,0.0095,0.4976
JPINFRATEC,0.0,0.0177,0.0,0.3094,0.5549,0.1231
TATAINVEST,0.0,0.0149,0.7465,0.2933,0.9493,0.7689
SUBEX,0.0001,0.0003,0.0036,0.1996,0.9668,0.5428
CEREBRAINT,0.0262,0.171,0.416,0.0396,0.221,0.319
SAKUMA,0.0005,0.0,0.2005,0.143,0.0604,0.3582
LAXMIMACH,0.0,0.5815,0.0587,0.1608,0.6824,0.1855
JBFIND,0.0,0.0001,0.0006,0.2517,0.9311,0.1053
KOPRAN,0.0,0.0,0.0009,0.379,0.7245,0.1081
BVCL,0.0007,0.9788,0.1308,0.102,0.2536,0.7313
IOC,0.0,0.1168,0.1712,0.2409,0.3381,0.026
IVRCLINFRA,0.0003,0.0017,0.0,0.3374,0.3867,0.9219
PRAKASH,0.0,0.0,0.0011,0.3533,0.3046,0.0463
CGCL,0.0,0.0835,0.6064,0.1142,0.8698,0.4019
MINDTREE,0.0,0.0994,0.9413,0.1676,0.8226,0.0608
SCHNEIDER,0.0,0.0007,0.1239,0.3506,0.9814,0.0827
VIMTALABS,0.0,0.0036,0.0216,0.1786,0.4931,0.8424
RSSOFTWARE,0.0002,0.0,0.1446,0.1559,0.0543,0.9952
TVSELECT,0.0044,0.0053,0.3397,0.1049,0.2301,0.0175
DCM,0.0,0.0001,0.15,0.1797,0.7674,0.7663
RELAXO,0.0386,0.5015,0.4816,0.0288,0.9012,0.2684
ABFRL,0.0,0.7983,0.9913,0.1217,0.0473,0.138
SANGAMIND,0.0,0.0012,0.0018,0.2331,0.0126,0.3838
LIBERTSHOE,0.0,0.0,0.0004,0.443,0.6133,0.1518
JAYBARMARU,0.0,0.0007,0.0269,0.2094,0.9175,0.6586
RCF,0.0,0.0,0.0127,0.2418,0.518,0.0545
ICICIBANK,0.0,0.0,0.9624,0.5619,0.6876,0.1117
INDUSINDBK,0.0,0.0013,0.8934,0.4787,0.0986,0.0
CPSEETF,0.0,0.1158,0.7579,0.7047,0.458,0.001
ORBTEXP,0.0,0.0459,0.4409,0.1884,0.8084,0.9263
MANALIPETC,0.0,0.0,0.0004,0.2799,0.1963,0.5672
CENTURYPLY,0.0,0.1076,0.5399,0.2946,0.7082,0.4661
VSTIND,0.0001,0.4185,0.7921,0.0891,0.9692,0.261
SUZLON,0.0,0.1351,0.0025,0.2444,0.3176,0.1617
CRISIL,0.0,0.6104,0.8102,0.1843,0.6236,0.8541
SHARONBIO,0.0362,0.0019,0.2358,0.065,0.8189,0.2093
ADANIPORTS,0.0,0.0866,0.8202,0.3567,0.7757,0.5799
EXCEL,0.0,0.2902,0.2674,0.0903,0.4035,0.7231
SONATSOFTW,0.0006,0.0212,0.0608,0.1243,0.4481,0.4283
GOLDIAM,0.0453,0.0008,0.0038,0.1168,0.2374,0.4496
SUJANAUNI,0.0973,0.0171,0.0244,0.0854,0.7583,0.0202
JSWHL,0.0,0.0676,0.3853,0.1729,0.6204,0.164
ASHIANA,0.0001,0.0612,0.1376,0.1254,0.8806,0.549
POLYPLEX,0.0,0.0,0.0,0.3464,0.7507,0.6779
ITI,0.0,0.0001,0.0107,0.2335,0.9261,0.8426
GODREJPROP,0.0,0.0653,0.1533,0.2465,0.2121,0.7195
TVSSRICHAK,0.0,0.0312,0.0072,0.2084,0.1348,0.7535
JBCHEPHARM,0.0,0.0245,0.2257,0.2317,0.3939,0.55
MUKANDLTD,0.0002,0.0005,0.0001,0.2353,0.6502,0.0842
VIJSHAN,0.0021,0.1397,0.0219,0.1161,0.6355,0.6845
DLINKINDIA,0.0,0.3332,0.7147,0.1984,0.6144,0.9266
ACC,0.0,0.6035,0.0114,0.2932,0.7005,0.6709
NAVINFLUOR,0.0,0.0089,0.1949,0.1666,0.0239,0.4812
TRENT,0.0,0.5729,0.0823,0.1722,0.2296,0.6707
FOSECOIND,0.0005,0.0002,0.0015,0.1927,0.69,0.9723
MERCK,0.0,0.0001,0.002,0.3281,0.7599,0.209
ELECTCAST,0.0,0.0,0.0,0.3374,0.7995,0.0453
ORIENTREF,0.0,0.476,0.6509,0.0823,0.8133,0.4056
DPSCLTD,0.0,0.0819,0.9108,0.0978,0.5994,0.4011
TIIL,0.0,0.0036,0.1633,0.2301,0.5703,0.0112
TECHNOFAB,0.0284,0.0015,0.0784,0.0842,0.4842,0.2091
AHLWEST,0.4431,0.6846,0.2064,0.0106,0.7085,0.1697
SMPL,0.0036,0.0014,0.0065,0.1427,0.9746,0.3413
TVTODAY,0.0,0.0301,0.1278,0.2335,0.2658,0.4525
STRTECH,0.0,0.0001,0.0052,0.3678,0.2208,0.3368
NITINSPIN,0.0001,0.0038,0.0889,0.1462,0.0772,0.8074
THERMAX,0.0,0.0095,0.4869,0.208,0.4738,0.3971
STAR,0.0,0.1163,0.0591,0.4014,0.4464,0.0
FEDERALBNK,0.0,0.2794,0.8751,0.1294,0.5424,0.2706
METALFORGE,0.0059,0.01,0.0002,0.1678,0.0434,0.5146
PAISALO,0.0023,0.3563,0.8608,0.0458,0.6606,0.9262
TFCILTD,0.0,0.0016,0.0091,0.3473,0.7159,0.434
SELAN,0.0001,0.0004,0.0116,0.1952,0.3437,0.0127
NLCINDIA,0.0,0.0031,0.0015,0.2802,0.5584,0.045
PARSVNATH,0.4999,0.0949,0.0,0.1298,0.2261,0.4119
TATASPONGE,0.0,0.0,0.4362,0.4061,0.4296,0.0445
ITC,0.0,0.7245,0.7442,0.1882,0.537,0.0112
NATIONALUM,0.0033,0.0,0.0705,0.1795,0.5544,0.0
WABAG,0.0,0.4941,0.0218,0.1392,0.3538,0.6853
GVKPIL,0.0015,0.0336,0.0,0.2089,0.8405,0.4237
IBVENTURES,0.0,0.0179,0.0708,0.2759,0.6078,0.5025
ADHUNIK,0.0001,0.1154,0.0806,0.1395,0.9282,0.2988
RKDL,0.2525,0.0067,0.023,0.0578,0.4315,0.7084
FACT,0.0,0.0014,0.2319,0.1882,0.6125,0.2568
PGEL,0.0442,0.0029,0.032,0.0853,0.3062,0.3333
ALKYLAMINE,0.0,0.0394,0.2057,0.1774,0.9542,0.4737
ASTRAMICRO,0.0,0.2181,0.2405,0.1213,0.5765,0.7148
RUSHIL,0.0294,0.7394,0.0544,0.0641,0.0111,0.9521
RICOAUTO,0.0,0.0002,0.0024,0.3055,0.6885,0.1086
POWERGRID,0.0,0.0015,0.3689,0.248,0.1397,0.8682
CASTROLIND,0.0,0.1215,0.6959,0.2014,0.8633,0.4295
MAGMA,0.0,0.01,0.4748,0.1875,0.8312,0.234
KSK,0.0051,0.0033,0.0609,0.1076,0.7323,0.1322
SHOPERSTOP,0.0,0.0984,0.6338,0.2173,0.9835,0.0038
ABB,0.0,0.2366,0.929,0.2297,0.9397,0.3016
MTNL,0.0002,0.0,0.0,0.2792,0.7146,0.9141
INDIACEM,0.0,0.4903,0.0109,0.4504,0.3448,0.1678
OPTOCIRCUI,0.0001,0.0,0.0,0.28,0.0997,0.1171
ALLSEC,0.0458,0.1097,0.3955,0.0341,0.0052,0.4486
DEEPIND,0.0,0.0194,0.1974,0.186,0.0414,0.1
HOTELEELA,0.0,0.1263,0.0379,0.2371,0.4473,0.0305
RSWM,0.0,0.0,0.0,0.3631,0.1276,0.9912
ADANIENT,0.0196,0.459,0.0,0.2641,0.9768,0.0707
MAWANASUG,0.0445,0.1235,0.3804,0.031,0.2859,0.733
CYBERTECH,0.0,0.0,0.1092,0.2093,0.8611,0.7971
GANESHHOUC,0.0,0.0055,0.0079,0.2375,0.6997,0.808
OMAXAUTO,0.0001,0.0009,0.0188,0.1744,0.4616,0.6353
JISLJALEQS,0.0,0.0118,0.0002,0.4491,0.4574,0.1166
ANGIND,0.0,0.0025,0.019,0.2787,0.5208,0.2788
RTNINFRA,0.0437,0.2561,0.0077,0.0911,0.44,0.3669
SUMMITSEC,0.0,0.0009,0.0775,0.1877,0.5067,0.8715
ASIANHOTNR,0.0002,0.6077,0.5805,0.0599,0.713,0.5554
SALSTEEL,0.0057,0.8014,0.8617,0.0396,0.3015,0.0944
INDIANCARD,0.0029,0.0017,0.0195,0.1332,0.0909,0.6609
TDPOWERSYS,0.0011,0.0053,0.0925,0.117,0.249,0.3784
EICHERMOT,0.0,0.3256,0.1548,0.3352,0.7867,0.0074
DEEPAKNTR,0.0005,0.0262,0.0118,0.1474,0.99,0.5287
SIYSIL,0.0,0.1029,0.0139,0.1809,0.3028,0.7146
BATAINDIA,0.0001,0.3096,0.1886,0.088,0.2128,0.0057
RAMCOSYS,0.0,0.0,0.8524,0.2733,0.4868,0.7377
HEXATRADEX,0.0017,0.3346,0.0064,0.1355,0.6994,0.8825
CIGNITITEC,0.0,0.0095,0.3694,0.165,0.934,0.5093
SITINET,0.0,0.3137,0.2545,0.1263,0.4066,0.0392
EMAMILTD,0.0,0.4302,0.4397,0.1524,0.6675,0.0013
FDC,0.0,0.0002,0.9913,0.1942,0.6159,0.1552
CUMMINSIND,0.0,0.2126,0.1233,0.2118,0.1805,0.9693
PITTIENG,0.0132,0.0015,0.0007,0.1517,0.7503,0.6108
NITINFIRE,0.0001,0.0,0.0079,0.2565,0.7953,0.0386
MONSANTO,0.0,0.2847,0.1203,0.1875,0.6512,0.1601
GARDENSILK,0.0021,0.0,0.0116,0.1628,0.9101,0.2177
SARLAPOLY,0.0053,0.1671,0.8615,0.039,0.6062,0.3754
CINELINE,0.1681,0.0147,0.3661,0.0276,0.3217,0.8016
MAITHANALL,0.041,0.0035,0.3599,0.0524,0.559,0.4407
AKSHOPTFBR,0.0,0.0,0.0,0.3559,0.5373,0.4918
RAYMOND,0.0,0.0026,0.1449,0.3013,0.5984,0.9299
PETRONENGG,0.0002,0.0057,0.0127,0.1671,0.5671,0.3015
AMBIKCO,0.0004,0.0261,0.15,0.1098,0.1395,0.6478
DHUNINV,0.0,0.1759,0.7074,0.1205,0.5567,0.777
CORPBANK,0.5346,0.8319,0.0957,0.0126,0.2498,0.7727
OBEROIRLTY,0.0,0.4643,0.1309,0.1917,0.5698,0.2776
LGBBROSLTD,0.0,0.35,0.0345,0.1268,0.4682,0.3724
SSWL,0.0,0.0002,0.0023,0.3205,0.3985,0.4988
NAHARSPING,0.0,0.0016,0.0009,0.2859,0.2706,0.0891
IL&FSENGG,0.0,0.0128,0.0113,0.2229,0.9435,0.0339
NECLIFE,0.0,0.0,0.5263,0.4211,0.8612,0.1761
GENESYS,0.047,0.0016,0.0075,0.1137,0.3241,0.0572
JAYSREETEA,0.0001,0.1627,0.0008,0.2144,0.481,0.0593
LEEL,0.0,0.0061,0.0083,0.3482,0.1022,0.0053
BEML,0.0,0.718,0.3118,0.2595,0.1556,0.0006
AMBUJACEM,0.0,0.2436,0.2545,0.4106,0.7424,0.6089
SHREECEM,0.0,0.7228,0.2454,0.1254,0.4445,0.167
KGL,0.0178,0.8563,0.0147,0.0945,0.1824,0.3484
TULSI,0.9393,0.0877,0.6364,-0.0014,0.7271,0.683
ALKALI,0.0028,0.0618,0.0129,0.1213,0.0567,0.8593
NAUKRI,0.0,0.5498,0.4278,0.0675,0.6819,0.377
TATAMETALI,0.0,0.0,0.1019,0.3354,0.2804,0.4994
BSLGOLDETF,0.891,0.5092,0.6272,-0.0131,0.8867,0.8305
SOLARINDS,0.0,0.2805,0.0543,0.1729,0.1285,0.6208
PNB,0.0,0.0046,0.0013,0.3864,0.68,0.1705
BFINVEST,0.0,0.0002,0.0053,0.2115,0.6217,0.6287
FEDDERELEC,0.0,0.0001,0.0009,0.3419,0.5852,0.0152
PREMIER,0.0,0.0001,0.0118,0.2544,0.9068,0.6784
CADILAHC,0.0736,0.5771,0.5696,0.0265,0.2974,0.0102
TECHM,0.2671,0.8933,0.2073,0.0242,0.253,0.0519
SUNCLAYLTD,0.0,0.9441,0.4974,0.1657,0.3717,0.0015
MAHINDCIE,0.0,0.0623,0.0995,0.2191,0.5408,0.7107
KEI,0.0,0.0,0.0001,0.3705,0.0848,0.2671
COMPUSOFT,0.0764,0.0023,0.0356,0.0922,0.643,0.0158
MIC,0.0509,0.0005,0.007,0.11,0.1076,0.3367
GSCLCEMENT,0.0,0.0,0.0713,0.236,0.7058,0.2119
KEC,0.0,0.0305,0.0503,0.2637,0.1975,0.4798
MUNJALAU,0.0003,0.0457,0.002,0.1806,0.8295,0.284
TINPLATE,0.0,0.0002,0.3736,0.2858,0.6938,0.2992
BUTTERFLY,0.0,0.0097,0.305,0.2136,0.7571,0.9849
VARDHACRLC,0.0,0.0284,0.6781,0.1786,0.7607,0.6361
BAJAJELEC,0.0,0.0452,0.0134,0.246,0.9085,0.4426
INDRAMEDCO,0.0,0.0003,0.0549,0.2161,0.9594,0.0383
ZEEL,0.0,0.469,0.1145,0.3034,0.1907,0.781
GANDHITUBE,0.0415,0.6217,0.1122,0.0484,0.676,0.4197
BLUESTARCO,0.0,0.6305,0.5806,0.1353,0.2994,0.7428
HCLTECH,0.0029,0.4635,0.5677,0.0328,0.6809,0.5368
DLF,0.0,0.0132,0.0007,0.3977,0.1939,0.2286
SICAGEN,0.0017,0.036,0.9332,0.0568,0.7828,0.7034
JINDALSAW,0.0001,0.0,0.0,0.3223,0.3186,0.4714
KIRLOSIND,0.0004,0.1155,0.163,0.1034,0.5747,0.953
APARINDS,0.0,0.0023,0.1934,0.264,0.5308,0.9229
HINDMOTORS,0.0,0.0,0.0001,0.3019,0.7806,0.4032
WELSPUNIND,0.0,0.0,0.0002,0.326,0.0394,0.0112
NTPC,0.0,0.0054,0.4535,0.3143,0.1801,0.9814
SPLIL,0.1428,0.0003,0.0112,0.0951,0.0587,0.1285
ESSELPACK,0.0,0.1122,0.5712,0.3323,0.2175,0.7459
SIEMENS,0.0,0.3698,0.4598,0.4739,0.0542,0.3632
SPARC,0.0,0.0655,0.5727,0.1718,0.3334,0.1667
KIRLOSENG,0.0791,0.26,0.1202,0.0385,0.8859,0.7427
CENTUM,0.0,0.3962,0.7092,0.1298,0.9634,0.2416
KABRAEXTRU,0.0,0.0055,0.1093,0.1891,0.5215,0.4514
RNAVAL,0.009,0.1702,0.4871,0.0449,0.1064,0.8378
BANARISUG,0.0002,0.016,0.1741,0.1333,0.8839,0.0286
ASSAMCO,0.0516,0.0008,0.0003,0.1424,0.75,0.9152
MINDAIND,0.0,0.0014,0.0014,0.2338,0.2416,0.2958
PRSMJOHNSN,0.0,0.0271,0.3187,0.2645,0.9078,0.2459
TEXMOPIPES,0.0181,0.0002,0.0,0.226,0.9245,0.6069
AVTNPL,0.0,0.0,0.0192,0.2523,0.9717,0.0859
SUNILHITEC,0.0,0.0005,0.053,0.2342,0.398,0.1108
MRF,0.0,0.0102,0.1035,0.4848,0.7859,0.0253
GUJALKALI,0.0,0.4984,0.0026,0.2845,0.485,0.4876
GOLDBEES,0.0038,0.2438,0.6146,0.0311,0.7769,0.9051
VSSL,0.1989,0.0622,0.0291,0.0481,0.2891,0.9889
ICSA,0.0747,0.0905,0.0193,0.0717,0.9903,0.328
ESABINDIA,0.0,0.2682,0.8717,0.1111,0.9091,0.8673
SELMCL,0.0012,0.0004,0.0243,0.1606,0.5079,0.0071
PNC,0.0121,0.5185,0.0785,0.0761,0.2721,0.2033
RESPONIND,0.0001,0.6721,0.609,0.0932,0.2863,0.7922
MONTECARLO,0.0001,0.0245,0.3774,0.1194,0.7558,0.0949
SOBHA,0.0001,0.7919,0.152,0.1235,0.4605,0.3843
VIDEOIND,0.1728,0.6512,0.5544,0.0084,0.8497,0.3074
EDUCOMP,0.0,0.0,0.0,0.3406,0.6105,0.2952
RAMCOCEM,0.0,0.6662,0.0637,0.2577,0.3298,0.0443
TRITURBINE,0.0,0.0114,0.8846,0.168,0.9161,0.9272
GREAVESCOT,0.0005,0.0924,0.2595,0.1106,0.539,0.1109
LUPIN,0.0,0.6926,0.0139,0.1911,0.2996,0.0347
EROSMEDIA,0.0,0.0029,0.245,0.0945,0.3638,0.9568
GALLISPAT,0.0,0.6225,0.4041,0.208,0.0005,0.0696
GLOBOFFS,0.2575,0.0761,0.1414,0.0376,0.1603,0.0936
GAYAPROJ,0.0,0.0006,0.0055,0.2894,0.0004,0.9365
JPPOWER,0.0,0.6707,0.0,0.3987,0.8368,0.0022
MBLINFRA,0.0004,0.888,0.4502,0.093,0.9502,0.0944
WELENT,0.0002,0.0004,0.069,0.1576,0.2593,0.3126
TIDEWATER,0.0007,0.2584,0.0642,0.1117,0.1819,0.8937
AARTIIND,0.0,0.0324,0.5225,0.1682,0.0904,0.0591
AURIONPRO,0.0,0.0,0.0004,0.2406,0.64,0.7936
SANWARIA,0.1916,0.2007,0.0573,0.0386,0.8679,0.363
QGOLDHALF,0.0462,0.0927,0.8398,0.0154,0.8146,0.5486
JPASSOCIAT,0.0,0.0255,0.0,0.4593,0.8808,0.0006
HBLPOWER,0.0,0.0,0.0,0.4318,0.5425,0.1595
20MICRONS,0.022,0.1172,0.743,0.0346,0.7372,0.3332
NDTV,0.0,0.0004,0.0006,0.27,0.6242,0.8307
MBECL,0.004,0.4154,0.0011,0.1547,0.4818,0.0587
VIVIDHA,0.1763,0.5346,0.3547,0.0137,0.6704,0.3741
UNITECH,0.0045,0.463,0.0,0.5482,0.9835,0.7547
SUTLEJTEX,0.0,0.0,0.0562,0.4092,0.321,0.0692
AMARAJABAT,0.0,0.4022,0.898,0.2155,0.4933,0.0953
WONDERLA,0.0001,0.2909,0.0286,0.1541,0.2354,0.3436
SBIN,0.0,0.0,0.1597,0.5551,0.5059,0.5685
PANACEABIO,0.0,0.0002,0.089,0.1731,0.7172,0.9349
SUBROS,0.0,0.0,0.0001,0.32,0.2982,0.3717
INDBANK,0.0173,0.0549,0.1386,0.0685,0.9128,0.2386
MADHUCON,0.0,0.0029,0.0021,0.3555,0.11,0.0728
ONWARDTEC,0.0088,0.823,0.1163,0.0696,0.116,0.909
NAHARPOLY,0.0408,0.3398,0.3803,0.029,0.1926,0.7054
IDEA,0.0,0.5035,0.0492,0.1473,0.7129,0.0029
TREEHOUSE,0.0004,0.1073,0.126,0.0461,0.0728,0.5536
INDOSOLAR,0.0005,0.0157,0.0115,0.1503,0.3604,0.7961
KAJARIACER,0.0,0.9593,0.1424,0.2389,0.0424,0.1168
BBL,0.0,0.0014,0.1329,0.2945,0.5181,0.4388
SWARAJENG,0.0,0.1751,0.7912,0.2552,0.7692,0.0139
DREDGECORP,0.0,0.0,0.0009,0.3912,0.8143,0.5468
KRBL,0.0,0.0203,0.8864,0.1922,0.0744,0.799
GEECEE,0.0007,0.0633,0.0634,0.1234,0.0454,0.1149
MOHOTAIND,0.3669,0.7143,0.0179,0.0486,0.0418,0.5089
INDOTECH,0.003,0.1476,0.0014,0.1497,0.6361,0.88
HMT,0.0,0.0001,0.0004,0.2602,0.7535,0.3181
SHANTIGEAR,0.0,0.0001,0.4254,0.2163,0.5204,0.6871
JKLAKSHMI,0.0,0.0031,0.431,0.2329,0.5299,0.6037
OIL,0.0,0.9732,0.9676,0.1753,0.6059,0.0068
FCONSUMER,0.0,0.0003,0.0098,0.2371,0.1425,0.8611
BHARATFORG,0.0,0.2029,0.7223,0.3238,0.9762,0.1327
CELESTIAL,0.3903,0.0165,0.0535,0.037,0.9625,0.68
IGL,0.0,0.8925,0.3926,0.1571,0.1967,0.8315
IDFC,0.0055,0.398,0.1286,0.0809,0.3278,0.4662
JMFINANCIL,0.0,0.0344,0.0404,0.3265,0.9776,0.0541
TRIVENI,0.0211,0.0001,0.0035,0.1418,0.3329,0.4261
ZODIACLOTH,0.5804,0.1179,0.0656,0.0232,0.6934,0.4881
PETRONET,0.0,0.4378,0.1227,0.1408,0.189,0.5879
VISASTEEL,0.0603,0.5589,0.0149,0.0717,0.713,0.545
CYIENT,0.0008,0.8071,0.2504,0.0341,0.9523,0.8183
PNBGILTS,0.0,0.6374,0.0101,0.2371,0.9615,0.0538
GREENPLY,0.0,0.0931,0.7657,0.143,0.6473,0.1489
ZEEMEDIA,0.0,0.0005,0.0201,0.2199,0.6309,0.7915
