Symbol,Rm-Rf %,Adj-r_sq,const
GUJAPOLLO,0.0,0.1033,0.7537
SUNPHARMA,0.2178,0.0022,0.0919
SCHAEFFLER,0.0,0.0889,0.0041
ABAN,0.0,0.1502,0.9173
BHUSANSTL,0.0053,0.0278,0.0005
KOTAKGOLD,0.0007,0.0426,0.7723
IPCALAB,0.1297,0.0054,0.7936
MHRIL,0.0,0.2162,0.4397
3MINDIA,0.0,0.0973,0.0693
HDFC,0.0,0.1997,0.2586
GLOBUSSPR,0.0,0.1897,0.2025
TRIDENT,0.0,0.1288,0.7939
RALLIS,0.0,0.1359,0.7778
JKCEMENT,0.0,0.1745,0.012
KITEX,0.0003,0.0491,0.0045
VGUARD,0.0,0.1475,0.0225
BANKBARODA,0.0,0.4151,0.485
KOTAKPSUBK,0.0,0.4909,0.38
MAHSCOOTER,0.0003,0.0485,0.0129
SABTN,0.0001,0.0615,0.0103
MANAPPURAM,0.0,0.0812,0.2188
ELGIRUBCO,0.0,0.1553,0.7658
BERGEPAINT,0.0014,0.0375,0.082
CENTENKA,0.0,0.2795,0.4949
AXISGOLD,0.0118,0.0219,0.8931
HINDZINC,0.0,0.3256,0.9211
SUPREMEIND,0.0017,0.0363,0.2528
GICHSGFIN,0.0,0.315,0.1127
MAYURUNIQ,0.3155,0.0,0.4396
HAVELLS,0.0034,0.0311,0.5603
JAYNECOIND,0.0,0.2664,0.6378
IDBIGOLD,0.0007,0.0427,0.7716
63MOONS,0.0003,0.0495,0.9135
HMVL,0.0,0.102,0.1102
TTKPRESTIG,0.0,0.1534,0.7578
INDIAGLYCO,0.0,0.3043,0.3627
VIPCLOTHNG,0.0,0.0879,0.3134
DENORA,0.0001,0.0607,0.9213
AHLEAST,0.0,0.1082,0.6234
BALRAMCHIN,0.0,0.0911,0.7271
JUBILANT,0.0,0.0632,0.692
BBTC,0.0,0.2193,0.1613
SUPPETRO,0.0,0.1293,0.9192
MAHLIFE,0.0,0.1014,0.6929
RELCAPITAL,0.0,0.5064,0.6608
HDFCBANK,0.0,0.2635,0.1282
VADILALIND,0.0,0.1314,0.4743
ENGINERSIN,0.0,0.2254,0.7895
INGERRAND,0.0,0.136,0.1423
ARCHIES,0.0,0.1867,0.8983
DISHTV,0.0,0.3242,0.5913
AARVEEDEN,0.0,0.1062,0.7941
BIOCON,0.0,0.1216,0.5259
KTKBANK,0.0,0.4795,0.6954
BHEL,0.0,0.3697,0.8375
LUMAXIND,0.0,0.0698,0.6372
RML,0.0,0.1388,0.0456
MANGLMCEM,0.0,0.2788,0.0452
SANOFI,0.0604,0.0105,0.3829
GRANULES,0.0005,0.0452,0.0069
RADICO,0.0,0.1465,0.0864
MCLEODRUSS,0.0,0.1944,0.0917
CENTRALBK,0.0,0.3531,0.3639
GARWALLROP,0.0002,0.0532,0.0156
ASAHISONG,0.0,0.1308,0.3625
BANKINDIA,0.0,0.4776,0.4999
COALINDIA,0.0,0.3193,0.9193
VENUSREM,0.0,0.0956,0.5726
BOMDYEING,0.0,0.4592,0.1177
AARTIDRUGS,0.0,0.0804,0.0053
WABCOINDIA,0.0049,0.0283,0.0085
ALEMBICLTD,0.0,0.1613,0.2397
DCW,0.0,0.2692,0.9822
MPSLTD,0.0008,0.0415,0.0429
TVSMOTOR,0.0,0.0754,0.0064
TAKE,0.0003,0.0487,0.3757
INDHOTEL,0.0,0.0778,0.0535
UFLEX,0.0,0.3391,0.4974
FLEXITUFF,0.0337,0.0145,0.9055
KANORICHEM,0.0,0.2016,0.973
MOIL,0.0,0.2565,0.6491
NESTLEIND,0.0001,0.0555,0.3856
AUROPHARMA,0.0087,0.0242,0.0045
BLUEDART,0.0001,0.0592,0.095
ATLANTA,0.0,0.298,0.9331
TATAGLOBAL,0.0,0.3859,0.1901
GUJFLUORO,0.0,0.1127,0.0043
CIPLA,0.0,0.0755,0.0909
HEG,0.0,0.1958,0.8088
PCJEWELLER,0.0,0.0817,0.163
GDL,0.0,0.1413,0.0384
FEL,0.0,0.0823,0.7018
RELIGARE,0.0,0.0871,0.6988
NHPC,0.0,0.4623,0.1516
GAEL,0.0,0.2069,0.5477
SAIL,0.0,0.3192,0.6085
HONAUT,0.0,0.1565,0.0019
PHOENIXLTD,0.0,0.0957,0.2115
COLPAL,0.001,0.0399,0.2078
FMGOETZE,0.0004,0.0474,0.083
PRATIBHA,0.0,0.2744,0.8457
RJL,0.0009,0.0408,0.9481
XCHANGING,0.0,0.0673,0.0605
RAJESHEXPO,0.0,0.1431,0.4555
BLISSGVS,0.0019,0.0352,0.3964
BANCOINDIA,0.0,0.1039,0.0806
ADANIPOWER,0.0,0.4735,0.3295
ALLCARGO,0.0,0.1328,0.0704
RELINFRA,0.0,0.5404,0.3191
KOTAKNIFTY,0.0,0.7133,0.0289
GESHIP,0.0017,0.0362,0.6446
OMAXE,0.0,0.2035,0.6561
NDL,0.0,0.0817,0.0892
KCP,0.0,0.1423,0.1239
BEL,0.0,0.1607,0.0216
PFS,0.0,0.263,0.0069
ECLERX,0.509,-0.0023,0.3625
GRAPHITE,0.0,0.138,0.9492
MORARJEE,0.0,0.1186,0.6638
SWANENERGY,0.0023,0.034,0.1111
BALPHARMA,0.0002,0.051,0.1265
OMKARCHEM,0.0032,0.0314,0.305
LUMAXTECH,0.0,0.2208,0.0387
SRSLTD,0.0,0.0768,0.3323
MAHABANK,0.0,0.3535,0.7444
TTL,0.0,0.0643,0.457
GET&D,0.0,0.1183,0.0407
LAKSHVILAS,0.0,0.1412,0.9493
MMFL,0.0,0.0817,0.0058
KANSAINER,0.0002,0.0514,0.0471
UNICHEMLAB,0.0053,0.0278,0.5456
COROMANDEL,0.0,0.1703,0.707
TRIGYN,0.0002,0.0541,0.2934
JSWSTEEL,0.0,0.3791,0.3549
VAKRANGEE,0.0027,0.0329,0.1884
EXCELINDUS,0.0,0.1133,0.0201
TBZ,0.0,0.1295,0.828
INFRATEL,0.0525,0.0114,0.03
KPIT,0.0016,0.0364,0.7243
MADRASFERT,0.0,0.1834,0.7443
REPCOHOME,0.0,0.0973,0.04
HUBTOWN,0.0,0.086,0.666
RECLTD,0.0,0.4567,0.9935
SIMPLEXINF,0.0,0.1749,0.0447
TTML,0.0,0.2415,0.4587
CANBK,0.0,0.5074,0.9907
SORILINFRA,0.0,0.0774,0.9963
NILKAMAL,0.0,0.1301,0.08
SUNDARMFIN,0.0002,0.0525,0.0083
TIMETECHNO,0.0,0.1246,0.6053
L&TFH,0.0,0.3493,0.1812
LIQUIDBEES,0.5707,-0.0028,0.0
SCI,0.0,0.3079,0.893
PIIND,0.0001,0.056,0.1049
BAJAJHLDNG,0.0001,0.0606,0.1043
ASTRAZEN,0.0369,0.0139,0.8458
MIRZAINT,0.0,0.2359,0.9402
SURYAROSNI,0.0,0.2027,0.9413
SUNDARAM,0.0956,0.0074,0.0067
VESUVIUS,0.0,0.0909,0.224
DIAPOWER,0.0,0.2233,0.6595
VEDL,0.0,0.3083,0.5157
EXIDEIND,0.0,0.2789,0.5668
KSCL,0.0002,0.0539,0.6962
FINCABLES,0.0,0.128,0.0193
BGRENERGY,0.0,0.3601,0.6791
TECHNO,0.0054,0.0276,0.0077
APTECHT,0.0,0.3436,0.1587
NOIDATOLL,0.0,0.1425,0.3545
LYPSAGEMS,0.1787,0.0034,0.1611
GRASIM,0.0,0.2533,0.7479
SUNTECK,0.0084,0.0244,0.8451
UCOBANK,0.0,0.4791,0.237
PDPL,0.0008,0.0414,0.3674
KOTAKBANK,0.0,0.1921,0.0671
DICIND,0.0307,0.0152,0.8847
RAJTV,0.5208,-0.0024,0.2928
ASHOKA,0.0,0.1879,0.3489
MAHSEAMLES,0.0,0.2031,0.7165
BHARATGEAR,0.0,0.0827,0.8313
ORIENTCEM,0.0,0.1517,0.0094
GMDCLTD,0.0,0.1891,0.8167
INSECTICID,0.0,0.1233,0.0126
FSL,0.0001,0.0594,0.3697
TATAMTRDVR,0.0,0.3194,0.3264
KOLTEPATIL,0.0,0.272,0.5595
DOLPHINOFF,0.0,0.1499,0.4366
PRESTIGE,0.0,0.1524,0.5633
INFINITE,0.0,0.0948,0.9635
INOXLEISUR,0.0,0.1335,0.4389
UNIONBANK,0.0,0.4492,0.6688
ALCHEM,0.0007,0.0428,0.4767
GRAVITA,0.0,0.0698,0.5303
SJVN,0.0,0.2078,0.9173
TORNTPHARM,0.0163,0.0197,0.0031
CHOLAFIN,0.0,0.1006,0.1244
ATUL,0.0001,0.0558,0.0292
APCOTEXIND,0.0001,0.0597,0.0151
BINDALAGRO,0.0,0.2168,0.7423
ASIANPAINT,0.0,0.1335,0.1744
GODFRYPHLP,0.433,-0.0016,0.4603
MANINFRA,0.0003,0.0486,0.5467
BROOKS,0.0,0.1475,0.3489
EIDPARRY,0.0,0.1853,0.4879
GEPIL,0.0,0.0982,0.1827
NOCIL,0.0,0.2564,0.3121
HCL-INSYS,0.0,0.1786,0.3696
ORIENTABRA,0.0,0.0903,0.7481
JKPAPER,0.0,0.2254,0.5801
ICICIGOLD,0.0004,0.0461,0.6577
SHILPAMED,0.0041,0.0297,0.0135
SOUTHBANK,0.0,0.288,0.7555
ANSALHSG,0.0,0.2225,0.8854
HIKAL,0.0928,0.0076,0.1307
ZEELEARN,0.0,0.1444,0.795
BHARTIARTL,0.0,0.1252,0.9167
LAOPALA,0.0119,0.0219,0.6162
IMPAL,0.0007,0.0429,0.1018
GOACARBON,0.0,0.1889,0.9803
HITECHGEAR,0.0,0.1271,0.0623
DCBBANK,0.0,0.3162,0.1213
SUPRAJIT,0.0,0.0658,0.0217
HARRMALAYA,0.0,0.2036,0.6432
TATAPOWER,0.0,0.4505,0.1057
MANINDS,0.0,0.2063,0.5683
GILLANDERS,0.0,0.1287,0.8418
GRUH,0.5342,-0.0025,0.6063
VMART,0.0006,0.0434,0.0691
CESC,0.0,0.3202,0.8479
SMARTLINK,0.0,0.07,0.2348
TIRUMALCHM,0.0,0.1727,0.4921
RUCHISOYA,0.0,0.2024,0.4844
MANGCHEFER,0.5685,-0.0028,0.135
TNPL,0.0,0.168,0.8156
ONMOBILE,0.0,0.0982,0.3274
DQE,0.0054,0.0276,0.4849
SUMEETINDS,0.0,0.1053,0.2674
FLFL,0.0,0.1006,0.9874
KSBPUMPS,0.0,0.0961,0.044
RAINBOWPAP,0.0,0.1391,0.4926
MARKSANS,0.0,0.0796,0.1194
VARDMNPOLY,0.0,0.1,0.9163
MEGASOFT,0.0,0.0935,0.6361
BAJAJ-AUTO,0.0,0.1257,0.3401
SYNDIBANK,0.0,0.4559,0.6986
ADFFOODS,0.0,0.1539,0.8569
BRITANNIA,0.0016,0.0366,0.0184
IMFA,0.0,0.1107,0.7815
CAPF,0.0,0.2026,0.152
OFSS,0.0001,0.0577,0.9512
DENABANK,0.0,0.4282,0.2334
SUNFLAG,0.0,0.1071,0.3704
NUCLEUS,0.0,0.0957,0.7619
GPPL,0.0,0.0879,0.0184
STCINDIA,0.0,0.3743,0.4206
JSWENERGY,0.0,0.4076,0.5973
DELTACORP,0.0,0.2683,0.2257
JOCIL,0.0,0.1311,0.6254
APLAPOLLO,0.002,0.0348,0.0492
HEROMOTOCO,0.0,0.1636,0.186
ARVIND,0.0,0.2031,0.218
IRB,0.0,0.3733,0.0927
DCMSHRIRAM,0.0002,0.0505,0.0708
MARALOVER,0.0001,0.0582,0.9591
OCL,0.0,0.1061,0.1087
M&M,0.0,0.0806,0.3978
HSCL,0.0,0.1601,0.9724
SKIL,0.0001,0.0615,0.0778
CHENNPETRO,0.0,0.3165,0.4042
PANORAMUNI,0.0,0.1024,0.8425
HDFCMFGETF,0.0025,0.0333,0.7953
UBL,0.0,0.1741,0.9043
INEOSSTYRO,0.0,0.2074,0.278
BAJAJHIND,0.0,0.2489,0.9331
CANFINHOME,0.0,0.1843,0.0326
INFY,0.4821,-0.0021,0.607
SARDAEN,0.0,0.2061,0.6388
NIITTECH,0.0418,0.013,0.8734
ZUARIGLOB,0.0,0.143,0.6706
DHFL,0.0,0.2146,0.4343
AUTOIND,0.0,0.2515,0.282
IVZINGOLD,0.2915,0.0005,0.9078
MMTC,0.0,0.3561,0.3989
RAIN,0.0,0.162,0.9989
SKMEGGPROD,0.0003,0.0493,0.0001
RPGLIFE,0.0,0.082,0.8205
CONCOR,0.0,0.2329,0.0974
SHRIRAMCIT,0.0,0.0773,0.0459
LAKSHMIEFL,0.0,0.1238,0.2981
GLAXO,0.0587,0.0107,0.5506
KALPATPOWR,0.0,0.2085,0.2253
KILITCH,0.0,0.0692,0.5334
BRFL,0.0014,0.0373,0.4478
ACCELYA,0.0,0.0704,0.5677
JINDRILL,0.0,0.2523,0.2948
TATACOMM,0.0,0.3458,0.7778
AHLUCONT,0.0,0.1276,0.0025
GODREJIND,0.0,0.3972,0.3849
TATAMOTORS,0.0,0.3011,0.7434
FELDVR,0.0001,0.061,0.5691
PLASTIBLEN,0.0,0.2544,0.1272
ABGSHIP,0.0,0.1009,0.5839
