Adj-r_sq,HML %,Rm-Rf %,SMB %,Symbol,const
0.0957,0.0118,0.0,0.0,GMBREW,0.0376
0.1324,0.0,0.0,0.0,EMMBI,0.0078
0.2502,0.0008,0.0,0.0,TATAINVEST,0.2813
0.2169,0.0,0.0,0.0,SUBEX,0.7548
0.0916,0.1114,0.0,0.0,SAKUMA,0.0162
0.1697,0.0001,0.0,0.0039,LAXMIMACH,0.0394
0.1243,0.2793,0.0,0.0004,GUJGASLTD,0.2496
0.2799,0.0,0.0,0.0,KOPRAN,0.4167
0.1533,0.2522,0.0,0.199,IOC,0.3398
0.3426,0.0,0.0,0.0,IVRCLINFRA,0.0526
0.2977,0.0,0.0,0.0,PRAKASH,0.3113
0.0651,0.0542,0.0,0.0,CGCL,0.6327
0.0253,0.29,0.0,0.0142,MINDTREE,0.5985
0.2477,0.0,0.0,0.0,SCHNEIDER,0.7687
0.0446,0.5789,0.0,0.3171,GRPLTD,0.9191
0.157,0.0,0.0,0.0,VIMTALABS,0.0635
0.1541,0.0016,0.0,0.0,RSSOFTWARE,0.656
0.1676,0.0,0.0,0.0,DCM,0.6727
0.0276,0.0232,0.0003,0.0329,RELAXO,0.3945
0.1144,0.3723,0.0,0.001,ABFRL,0.9212
0.1924,0.0,0.0,0.0,SANGAMIND,0.219
0.2765,0.0,0.0,0.0,LIBERTSHOE,0.4026
0.1509,0.0006,0.0,0.0,JAYBARMARU,0.053
0.3167,0.0,0.0,0.0,RCF,0.6538
0.0075,0.1083,0.3252,0.8336,ORIENTLTD,0.2911
0.1917,0.4882,0.0,0.0001,ICICIBANK,0.7751
0.3739,0.0,0.0,0.0,INDUSINDBK,0.0032
0.6259,0.0145,0.0,0.0,CPSEETF,0.0732
0.0661,0.1802,0.0,0.0002,ORBTEXP,0.6153
0.282,0.0,0.0,0.0,MANALIPETC,0.3136
0.181,0.0,0.0,0.0,CENTURYPLY,0.0938
0.0519,0.2882,0.0,0.0877,VSTIND,0.1837
0.2462,0.0,0.0,0.0,SUZLON,0.8288
0.0613,0.9756,0.0,0.0855,CRISIL,0.1411
0.0195,0.0299,0.1959,0.0003,RANEENGINE,0.1195
0.1721,0.0,0.0,0.0,LINCPEN,0.2537
0.2865,0.1871,0.0,0.9128,ADANIPORTS,0.1151
0.0851,0.1679,0.0,0.0,EXCEL,0.1177
0.1176,0.0293,0.0,0.0,SONATSOFTW,0.0052
0.0982,0.0004,0.0,0.0,GOLDIAM,0.2418
0.2067,0.0,0.0,0.3177,JSWHL,0.131
0.0786,0.01,0.0,0.0,ASHIANA,0.5463
0.2847,0.0,0.0,0.0,POLYPLEX,0.2867
0.1844,0.0,0.0,0.0,ITI,0.1338
0.1779,0.2823,0.0,0.0,GODREJPROP,0.9362
0.1299,0.0291,0.0,0.0,TVSSRICHAK,0.0021
0.1737,0.0,0.0,0.0,JBCHEPHARM,0.097
0.0564,0.2141,0.0,0.1614,RELCNX100,0.1825
0.1873,0.0,0.0,0.0,MUKANDLTD,0.1677
0.1385,0.0,0.0,0.0,VIJSHAN,0.6288
0.3332,0.0089,0.0,0.2338,ACC,0.5327
0.0695,0.0862,0.0,0.0,NAVINFLUOR,0.124
0.0669,0.1769,0.0,0.1488,TRENT,0.8831
0.3218,0.1574,0.0,0.0,ORICONENT,0.8581
0.13,0.0,0.0,0.0,FOSECOIND,0.0439
0.1556,0.0009,0.0,0.0,MERCK,0.246
0.2906,0.0,0.0,0.0,ELECTCAST,0.9015
0.1069,0.1543,0.0,0.0,ORIENTREF,0.0506
0.079,0.0037,0.0,0.0009,DPSCLTD,0.3756
0.1426,0.0,0.0,0.0,TIIL,0.0558
0.084,0.0,0.0,0.0,TECHNOFAB,0.3255
0.3944,0.0001,0.0,0.0457,SETFNIF50,0.2509
0.1426,0.0001,0.0,0.0001,TVTODAY,0.0854
0.2956,0.0,0.0,0.0,STRTECH,0.0303
0.2006,0.0,0.0,0.0,NITINSPIN,0.0204
0.1365,0.9005,0.0,0.0,THERMAX,0.1729
0.1346,0.0465,0.0,0.0,STAR,0.9636
0.1601,0.3503,0.0,0.2747,FEDERALBNK,0.6215
0.2005,0.0,0.0,0.0,METALFORGE,0.3309
0.0371,0.2316,0.0,0.0002,PAISALO,0.8716
0.2976,0.0,0.0,0.0,TFCILTD,0.1097
0.1788,0.0,0.0,0.0,SELAN,0.8577
0.2157,0.0,0.0,0.0,NLCINDIA,0.6426
0.1755,0.0,0.0,0.0,PARSVNATH,0.8386
0.171,0.2023,0.0,0.0,DTIL,0.5518
0.2213,0.0,0.0,0.0,TATASPONGE,0.2584
0.0154,0.8887,0.0016,0.0603,PEARLPOLY,0.1677
0.1344,0.0,0.0,0.0128,ITC,0.6666
0.2029,0.0,0.0,0.0165,NATIONALUM,0.4119
0.1002,0.6335,0.0,0.0025,WABAG,0.6852
0.2738,0.0,0.0,0.0,GVKPIL,0.9489
0.1841,0.7844,0.0,0.0018,SETFNN50,0.2512
0.0521,0.062,0.0,0.868,ALANKIT,0.9784
0.1641,0.0,0.0,0.0,ADHUNIK,0.0836
0.0652,0.0011,0.0,0.0,RKDL,0.7068
0.1797,0.0,0.0,0.0,FACT,0.6121
0.0687,0.0026,0.0,0.0,PGEL,0.5702
0.0711,0.0418,0.0,0.0,ALKYLAMINE,0.0671
0.1901,0.0,0.0,0.0,ASTRAMICRO,0.3242
0.0657,0.0,0.0,0.0,RUSHIL,0.2263
0.2522,0.0,0.0,0.0,RICOAUTO,0.059
0.2012,0.4146,0.0,0.0879,POWERGRID,0.0752
0.0819,0.3693,0.0,0.7549,CASTROLIND,0.6469
0.1844,0.0062,0.0,0.0,MAGMA,0.4605
0.1141,0.0,0.0,0.0,KSK,0.2436
0.1172,0.7838,0.0,0.0039,SHOPERSTOP,0.5658
0.1672,0.9234,0.0,0.775,ABB,0.194
0.2431,0.0,0.0,0.0,MTNL,0.9127
0.4269,0.0,0.0,0.0,INDIACEM,0.6115
0.1466,0.3345,0.0,0.0,VRLLOG,0.7057
0.0654,0.1046,0.0,0.0,ALLSEC,0.0578
0.2154,0.0,0.0,0.0,DEEPIND,0.2282
0.2233,0.0,0.0,0.0,HOTELEELA,0.567
0.2505,0.0,0.0,0.0,RSWM,0.1063
0.2421,0.0,0.0,0.492,ADANIENT,0.7366
0.1124,0.0,0.0,0.0,MAWANASUG,0.1797
0.0955,0.0006,0.0,0.0,UGARSUGAR,0.563
0.1504,0.0001,0.0,0.0,CYBERTECH,0.1377
0.2114,0.0,0.0,0.0,GANESHHOUC,0.7987
0.3987,0.0,0.0,0.0,JISLJALEQS,0.6998
0.0563,0.0002,0.0,0.0585,RTNINFRA,0.4223
0.0919,0.0041,0.0,0.0,SUMMITSEC,0.0202
0.0491,0.0002,0.0001,0.0037,ASIANHOTNR,0.6857
0.0395,0.0008,0.0085,0.0002,SALSTEEL,0.2226
0.0182,0.0002,0.7098,0.0938,SEPOWER,0.4551
0.1421,0.0,0.0,0.0,INDIANCARD,0.6769
0.1153,0.0003,0.0,0.0,TDPOWERSYS,0.9557
0.1782,0.8327,0.0,0.0005,EICHERMOT,0.0002
0.0666,0.0059,0.0,0.0,DEEPAKNTR,0.3306
0.1292,0.0,0.0,0.0,SIYSIL,0.2329
0.1515,0.5775,0.0,0.1803,BATAINDIA,0.9056
0.0728,0.8062,0.0,0.0,RAMCOSYS,0.1816
0.1236,0.0003,0.0,0.0019,CIGNITITEC,0.587
0.1337,0.0066,0.0,0.149,SITINET,0.701
0.0385,0.0055,0.137,0.0,COUNCODOS,0.1761
0.0217,0.9339,0.0028,0.0495,MANAKCOAT,0.369
0.0711,0.0263,0.0,0.6085,EMAMILTD,0.1297
0.1396,0.0014,0.0,0.0,FDC,0.1373
0.1584,0.3997,0.0,0.2255,CUMMINSIND,0.1964
0.134,0.0,0.0,0.0,PITTIENG,0.4972
0.0864,0.0277,0.0,0.0,MONSANTO,0.0784
0.1818,0.0,0.0,0.0,GARDENSILK,0.6601
0.0302,0.0037,0.268,0.0,VASWANI,0.1526
0.0727,0.2788,0.0,0.0015,SARLAPOLY,0.7033
0.0873,0.0001,0.0,0.0,CINELINE,0.0648
0.0913,0.0653,0.0,0.0,MAITHANALL,0.1077
0.1883,0.0,0.0,0.0,JSL,0.5446
0.2085,0.0,0.0,0.0,AKSHOPTFBR,0.2685
0.3015,0.0015,0.0,0.0,RAYMOND,0.3455
0.0965,0.0005,0.0,0.0,AMBIKCO,0.0139
0.1008,0.2994,0.0,0.0,GREENLAM,0.1546
0.0099,0.6099,0.0074,0.2769,SREEL,0.8354
0.0591,0.0045,0.0,0.0031,DHUNINV,0.0642
0.1523,0.0,0.0,0.6279,CORPBANK,0.1364
0.1781,0.1044,0.0,0.0001,OBEROIRLTY,0.547
0.0365,0.9636,0.0,0.0521,BALKRISIND,0.0348
0.0933,0.2147,0.0,0.0,LGBBROSLTD,0.0988
0.205,0.0024,0.0,0.0,ADLABS,0.198
0.2016,0.0001,0.0,0.0,SSWL,0.0568
0.2974,0.0,0.0,0.0,NAHARSPING,0.7013
0.228,0.0,0.0,0.0,IL&FSENGG,0.7741
0.2647,0.0,0.0,0.0,NECLIFE,0.797
0.1146,0.0,0.0,0.0,GENESYS,0.3992
0.2622,0.0,0.0,0.0,JAYSREETEA,0.8911
0.2319,0.0,0.0,0.0,LEEL,0.2342
0.2616,0.0,0.0,0.0,BEML,0.0545
0.3357,0.0059,0.0,0.0652,AMBUJACEM,0.5026
0.0316,0.6286,0.0,0.0001,HINDNATGLS,0.8042
0.1547,0.0002,0.0,0.2789,SHREECEM,0.0074
0.129,0.0,0.0,0.0,ALKALI,0.2221
0.0493,0.689,0.0,0.0094,NAUKRI,0.0231
0.2161,0.0008,0.0,0.0,TATAMETALI,0.0094
0.0041,0.6267,0.0111,0.8984,BSLGOLDETF,0.39
0.0579,0.0015,0.0,0.0,SOLARINDS,0.3186
0.2314,0.0,0.0,0.0,PNB,0.8082
0.1887,0.0,0.0,0.0,BFINVEST,0.0908
0.2476,0.0,0.0,0.0,FEDDERELEC,0.7642
0.1906,0.0,0.0,0.0,PREMIER,0.1905
0.0329,0.7569,0.0,0.0241,CADILAHC,0.7818
0.0344,0.1978,0.0,0.4939,TECHM,0.7666
0.1109,0.9582,0.0,0.0745,SUNCLAYLTD,0.0
0.1365,0.0,0.0,0.0,MAHINDCIE,0.0624
0.2526,0.0,0.0,0.0,KEI,0.0057
0.1138,0.0005,0.0,0.0,COMPUSOFT,0.946
0.2569,0.0,0.0,0.0,GSCLCEMENT,0.9598
0.228,0.0168,0.0,0.0,KEC,0.0589
0.2105,0.0722,0.0,0.0,LINCOLN,0.8804
0.0633,0.0003,0.0,0.0,GOKUL,0.9893
0.1971,0.0,0.0,0.0,MUNJALAU,0.4657
0.2481,0.0,0.0,0.0,TINPLATE,0.1404
0.1494,0.002,0.0,0.0,VARDHACRLC,0.0883
0.1586,0.4552,0.0,0.0,BAJAJELEC,0.3107
0.0659,0.0051,0.0117,0.0009,ARIHANT,0.5132
0.2079,0.0,0.0,0.0,INDRAMEDCO,0.5956
0.189,0.3962,0.0,0.2073,ZEEL,0.0516
0.0632,0.1165,0.0,0.0008,GANDHITUBE,0.1526
0.1668,0.5726,0.0,0.0,BLUESTARCO,0.011
0.0471,0.0005,0.0,0.3422,HCLTECH,0.2438
0.3961,0.0,0.0,0.2477,DLF,0.9503
0.1305,0.0,0.0,0.0,SICAGEN,0.2954
0.3251,0.0,0.0,0.0,JINDALSAW,0.8531
0.0439,0.1231,0.0,0.0,KIRLOSIND,0.0918
0.2106,0.0,0.0,0.0,APARINDS,0.0704
0.0987,0.8589,0.0,0.4927,MANPASAND,0.5028
0.2096,0.0,0.0,0.0,HINDMOTORS,0.9824
0.0718,0.0009,0.0,0.0,WELSPUNIND,0.2494
0.2417,0.9793,0.0,0.0988,NTPC,0.5322
0.0728,0.0014,0.0,0.0,SPLIL,0.1896
0.2073,0.0,0.0,0.0,ESSELPACK,0.0084
0.4008,0.2399,0.0,0.8036,SIEMENS,0.2926
0.1529,0.023,0.0,0.0,SPARC,0.165
0.0638,0.0013,0.0,0.0002,KIRLOSENG,0.2156
0.099,0.0,0.0,0.0,CENTUM,0.0214
0.1994,0.0,0.0,0.0,KABRAEXTRU,0.2172
0.1773,0.0,0.0,0.0,RNAVAL,0.4749
0.0809,0.0003,0.0001,0.0,NAGREEKEXP,0.3376
0.1382,0.0,0.0,0.0,BANARISUG,0.3183
0.1644,0.0,0.0,0.0,ASSAMCO,0.9889
0.0484,0.0262,0.0023,0.0,STEL,0.0833
0.1053,0.0012,0.0,0.0,MINDAIND,0.0424
0.2564,0.0009,0.0,0.0,PRSMJOHNSN,0.4961
0.1708,0.0,0.0,0.0,TEXMOPIPES,0.3672
0.1728,0.0,0.0,0.0,AVTNPL,0.6235
0.1553,0.0,0.0,0.0,SUNILHITEC,0.9832
0.2951,0.0002,0.0,0.0145,MRF,0.0019
0.1633,0.0,0.0,0.0,GUJALKALI,0.0378
0.0345,0.1593,0.0,0.4559,GOLDBEES,0.1695
0.0832,0.0255,0.0,0.0,VSSL,0.1225
0.1459,0.0425,0.0,0.0,HESTERBIO,0.0716
0.0843,0.6583,0.0,0.0003,ESABINDIA,0.3451
0.1814,0.0,0.0,0.0,SELMCL,0.9497
0.0842,0.0,0.0001,0.0,PNC,0.4232
0.0633,0.0522,0.0,0.0074,RESPONIND,0.6656
0.1484,0.1477,0.0,0.0,MONTECARLO,0.9817
0.1241,0.0774,0.0,0.0014,SOBHA,0.4861
0.0204,0.0634,0.0431,0.0003,TARMAT,0.2107
0.1849,0.2773,0.0,0.0018,RAMCOCEM,0.0452
0.1303,0.7128,0.0,0.0,TRITURBINE,0.303
0.1394,0.0394,0.0,0.0002,GREAVESCOT,0.321
0.1095,0.3619,0.0,0.0189,LUPIN,0.3685
0.1833,0.008,0.0,0.0,EROSMEDIA,0.9616
0.0062,0.8301,0.0057,0.7202,GALLISPAT,0.0415
0.1708,0.0,0.0,0.0,GAYAPROJ,0.3189
0.2389,0.0,0.0,0.03,JPPOWER,0.3817
0.1367,0.0,0.0,0.0,MBLINFRA,0.2685
0.1496,0.0,0.0,0.0,WELENT,0.083
0.0803,0.0001,0.0,0.0,TIDEWATER,0.5902
0.1422,0.0249,0.0,0.0,AARTIIND,0.001
0.1259,0.0107,0.0,0.0,AURIONPRO,0.5217
0.0774,0.0116,0.0,0.0,SANWARIA,0.8626
0.0288,0.0886,0.0,0.2082,QGOLDHALF,0.2093
0.3341,0.0,0.0,0.016,JPASSOCIAT,0.3635
0.2419,0.0,0.0,0.0,HBLPOWER,0.2803
0.0816,0.0019,0.0,0.0,20MICRONS,0.5528
0.0186,0.3829,0.0017,0.0092,VIVIDHA,0.2402
0.3945,0.0,0.0,0.0004,UNITECH,0.3753
0.0895,0.0038,0.0,0.0,SUTLEJTEX,0.8157
0.1499,0.4025,0.0,0.0,AMARAJABAT,0.0651
0.1465,0.0811,0.0,0.0003,WONDERLA,0.252
0.2094,0.0,0.0,0.0,SBIN,0.7967
0.105,0.0061,0.0,0.0,PANACEABIO,0.3921
0.2159,0.0,0.0,0.0,SUBROS,0.0293
0.1502,0.0013,0.0,0.0,ORTINLABSS,0.3986
0.0912,0.002,0.0,0.0,INDBANK,0.1911
0.2651,0.0,0.0,0.0,MADHUCON,0.945
0.0856,0.0148,0.0,0.0,ONWARDTEC,0.2409
0.1289,0.0,0.0,0.0,NAHARPOLY,0.2605
0.0964,0.2454,0.0,0.0521,IDEA,0.5797
0.0758,0.0236,0.0,0.0,TREEHOUSE,0.0272
0.0306,0.0169,0.0021,0.0001,INDOSOLAR,0.3985
0.2167,0.0,0.0,0.0,CCHHL,0.9485
0.0894,0.0964,0.0,0.003,KAJARIACER,0.0793
0.1634,0.0088,0.0,0.0,BBL,0.2259
0.0511,0.0403,0.0226,0.0,MANAKSTEEL,0.2979
0.1302,0.1856,0.0,0.0003,SWARAJENG,0.0082
0.2424,0.0,0.0,0.0,DREDGECORP,0.2365
0.1573,0.0,0.0,0.0,KRBL,0.0002
0.1122,0.0006,0.0,0.0,GEECEE,0.2088
0.0299,0.7827,0.0,0.2634,MOHOTAIND,0.066
0.1258,0.0001,0.0,0.0,INDOTECH,0.4905
0.1863,0.0001,0.0,0.0,SHANTIGEAR,0.2748
0.1994,0.0038,0.0,0.0,JKLAKSHMI,0.2945
0.1616,0.6174,0.0,0.104,OIL,0.9476
0.1733,0.0001,0.0,0.0,FCONSUMER,0.0912
0.1669,0.4945,0.0,0.6436,BHARATFORG,0.1105
0.1638,0.0,0.0,0.0,PSL,0.043
0.0657,0.1057,0.0004,0.0,GULPOLY,0.7385
0.0777,0.0136,0.0,0.0,CELESTIAL,0.6221
0.1165,0.0164,0.0,0.0,MENONBE,0.8685
0.077,0.0002,0.0,0.0001,PATSPINLTD,0.2048
0.053,0.6371,0.0,0.2359,IGL,0.1989
0.2645,0.0009,0.0,0.4304,IDFC,0.4075
0.3082,0.0148,0.0,0.0,JMFINANCIL,0.0652
0.2054,0.0,0.0,0.0,TRIVENI,0.314
0.0708,0.0,0.0001,0.0,ZODIACLOTH,0.7017
0.1091,0.1368,0.0,0.2456,PETRONET,0.3235
0.1151,0.0,0.0,0.0,VISASTEEL,0.7528
0.0304,0.1572,0.0001,0.0,CYIENT,0.0299
0.1434,0.0,0.0,0.0031,PNBGILTS,0.4408
0.0557,0.0806,0.0,0.0013,GREENPLY,0.3994
0.2758,0.0,0.0,0.0,ZEEMEDIA,0.4166
0.1163,0.7601,0.0,0.1101,MUTHOOTFIN,0.2807
0.0887,0.0075,0.0,0.148,BAJFINANCE,0.1435
0.1261,0.0,0.0,0.0,BASML,0.1696
0.0614,0.0007,0.0,0.0,KNRCON,0.1049
0.3788,0.0,0.0,0.4216,IBREALEST,0.263
0.1886,0.0,0.0,0.0,VOLTAMP,0.2169
0.1063,0.0576,0.0,0.0,KOTHARIPET,0.1695
0.108,0.0014,0.0,0.0,RATNAMANI,0.0085
0.1147,0.0427,0.0,0.0,FIEMIND,0.0137
0.2464,0.0004,0.0,0.0,BALAJITELE,0.4505
0.1588,0.0,0.0,0.0,KOHINOOR,0.4258
0.0973,0.0007,0.0,0.0,ELGIEQUIP,0.0649
0.1329,0.0308,0.0,0.1183,DABUR,0.0201
0.3027,0.0065,0.0,0.0001,ASHOKLEY,0.0457
0.0584,0.0,0.0169,0.0002,BANG,0.626
0.2213,0.0082,0.0,0.205,SRTRANSFIN,0.3233
0.165,0.0159,0.0,0.0,SUNDRMFAST,0.0018
0.0784,0.0,0.0,0.0,KOTARISUG,0.448
0.1073,0.0002,0.0,0.0,IVC,0.6162
0.1334,0.1812,0.0,0.0,RBL,0.0189
0.0824,0.6049,0.0,0.0,SYMPHONY,0.0503
0.2823,0.0,0.0,0.0,NFL,0.7997
0.3016,0.0,0.0,0.4139,UNITEDBNK,0.052
0.2352,0.001,0.0,0.0,MAJESCO,0.9491
0.137,0.0195,0.0,0.0001,MINDACORP,0.8171
0.105,0.0,0.0,0.0,AGCNET,0.9739
0.115,0.0,0.0,0.0,MUKTAARTS,0.2732
0.1967,0.0,0.0,0.0,NITCO,0.1338
0.0188,0.2148,0.3119,0.0029,BKMINDST,0.2413
0.1073,0.006,0.0,0.0,ASAL,0.2658
0.4945,0.0,0.0,0.0005,CENTURYTEX,0.1261
0.1845,0.0,0.0,0.0,NCLIND,0.1028
0.0492,0.0869,0.0,0.0,ASTRAL,0.2011
0.0088,0.6609,0.0024,0.8485,RKFORGE,0.2082
0.1794,0.0024,0.0,0.0,IGARASHI,0.0195
0.1101,0.0017,0.0,0.0,JPOLYINVST,0.9408
0.0138,0.1077,0.2326,0.0007,KIRIINDUS,0.0973
0.5889,0.0,0.0,0.5932,RPOWER,0.1685
0.306,0.0,0.0,0.0,HINDCOPPER,0.5254
0.2916,0.0,0.0,0.0,PENINLAND,0.3089
0.1245,0.0128,0.0,0.0,JAGRAN,0.2701
0.17,0.0,0.0,0.0,MTEDUCARE,0.6296
0.1511,0.0,0.0,0.0,3IINFOTECH,0.8762
0.176,0.0,0.0,0.0,ADSL,0.8433
0.1866,0.0307,0.0,0.0,WOCKPHARMA,0.361
0.114,0.0,0.0,0.0,ESTER,0.1723
0.0915,0.0888,0.0,0.0,KTIL,0.2207
0.1439,0.0,0.0,0.0059,APOLLOHOSP,0.3853
0.0689,0.0033,0.0001,0.0,EUROTEXIND,0.435
0.1165,0.0,0.0,0.0,SPMLINFRA,0.3441
0.0844,0.0005,0.0,0.0,GLOBALVECT,0.0818
0.0627,0.669,0.0,0.0042,AJANTPHARM,0.078
0.0888,0.5393,0.0,0.0009,GILLETTE,0.0194
0.0949,0.0004,0.0,0.0,CLNINDIA,0.888
0.0324,0.0163,0.1488,0.0001,3PLAND,0.5296
0.1529,0.0267,0.0,0.0,PAPERPROD,0.0342
0.2347,0.0,0.0,0.0,SUPERHOUSE,0.4023
0.1154,0.5298,0.0,0.1732,MCDOWELL-N,0.2591
0.1185,0.0008,0.0,0.0,GULFPETRO,0.2194
0.3063,0.0839,0.0,0.2284,VOLTAS,0.0104
0.2304,0.0,0.0,0.0,HIMATSEIDE,0.0159
0.0639,0.0003,0.0,0.0,INDOTHAI,0.0944
