Symbol,Rm-Rf %,SMB %,Adj-r_sq,const,high-low
PAGEIND,0.6975,,0.0061,0.0062,0.0729
NAHARINDUS,0.0005,,0.091,0.7338,0.0911
HERCULES,0.0,,0.1594,0.6111,0.1877
PURVA,0.0,,0.2145,0.6128,0.987
DHANUKA,0.0003,,0.0996,0.0696,0.0746
SKFINDIA,0.0003,,0.0841,0.0447,0.1978
KAMDHENU,0.0,,0.1092,0.382,0.2783
TATACOFFEE,0.0,,0.2162,0.6132,0.0996
TIMKEN,0.0,,0.1987,0.0424,0.3985
NBCC,0.0,,0.1734,0.0133,0.6008
AMTEKAUTO,0.0,,0.1154,0.2188,0.928
DRREDDY,0.5379,,0.0053,0.2141,0.0728
SETFGOLD,0.0688,,0.0441,0.5901,0.0512
BAJAJFINSV,0.0,,0.1017,0.0594,0.5682
TATASTEEL,0.0,,0.3612,0.2573,0.4767
JVLAGRO,0.0,,0.0831,0.2443,0.5322
INDNIPPON,0.0,,0.1491,0.1959,0.0175
CGPOWER,0.0,,0.3776,0.9909,0.6425
NAVNETEDUL,0.0001,,0.0783,0.1175,0.6281
SPECIALITY,0.0,,0.0774,0.387,0.1953
KCPSUGIND,0.0,,0.1478,0.6255,0.9233
DAAWAT,0.0,,0.1185,0.7861,0.5254
SPYL,0.0065,,0.0286,0.8104,0.8924
GMBREW,0.0,,0.1174,0.519,0.6644
EMMBI,0.0,,0.1221,0.7686,0.3601
JPINFRATEC,0.0,,0.3583,0.2577,0.6528
TATAINVEST,0.0,,0.2351,0.5271,0.3026
LAXMIMACH,0.0,,0.1234,0.4007,0.5469
JBFIND,0.0,,0.1391,0.0728,0.2925
KOPRAN,0.0003,,0.1022,0.2767,0.0644
IOC,0.0,,0.2914,0.483,0.8746
PRAKASH,0.0,,0.1479,0.8222,0.3734
MINDTREE,0.5276,,-0.0057,0.8664,0.4772
VIMTALABS,0.0002,,0.0741,0.8905,0.5875
RSSOFTWARE,0.0002,,0.0847,0.1847,0.2657
DCM,0.0,,0.0742,0.6116,0.5125
RELAXO,0.0366,,0.0216,0.0157,0.5706
ABFRL,0.0007,,0.0508,0.5442,0.9848
SANGAMIND,0.0,,0.1528,0.2286,0.4606
LIBERTSHOE,0.0,,0.2255,0.8569,0.0569
RCF,0.0,,0.3023,0.3397,0.0327
ICICIBANK,0.0023,,0.0334,0.5559,0.5596
INDUSINDBK,0.0,,0.2918,0.0291,0.3833
ORBTEXP,0.0308,,0.0152,0.0159,0.9233
MANALIPETC,0.0,,0.2716,0.5483,0.856
CENTURYPLY,0.0,,0.1784,0.0064,0.6761
VSTIND,0.2223,,0.0116,0.6742,0.2839
CRISIL,0.0193,,0.022,0.1107,0.8765
SHARONBIO,0.0184,,0.045,0.1485,0.1606
ADANIPORTS,0.0,,0.3776,0.3112,0.541
JSWHL,0.0,,0.2576,0.5454,0.5759
ASHIANA,0.0005,,0.0587,0.0265,0.7213
POLYPLEX,0.0,,0.221,0.803,0.259
ITI,0.0,,0.1836,0.5956,0.4089
GODREJPROP,0.0,,0.3265,0.6475,0.921
JBCHEPHARM,0.0,,0.0826,0.4258,0.9665
VIJSHAN,0.0,,0.1524,0.4438,0.1857
ACC,0.0,,0.3641,0.8355,0.7938
TRENT,0.0,,0.1127,0.6694,0.9559
FOSECOIND,0.0038,,0.0534,0.0347,0.2963
MERCK,0.0002,,0.0865,0.4266,0.2124
ELECTCAST,0.0,,0.2088,0.9433,0.2119
DPSCLTD,0.0377,,0.0621,0.888,0.02
TECHNOFAB,0.0003,,0.0557,0.271,0.8073
AHLWEST,0.0003,,0.0762,0.9656,0.4037
TVTODAY,0.0002,,0.0868,0.4533,0.205
NITINSPIN,0.0,,0.1605,0.589,0.8167
THERMAX,0.0003,,0.0675,0.2789,0.6305
STAR,0.0,,0.112,0.0477,0.5126
FEDERALBNK,0.0,,0.4726,0.3925,0.5149
METALFORGE,0.0,,0.1787,0.1137,0.7074
PAISALO,0.0409,,0.01,0.5125,0.176
SELAN,0.0,,0.1303,0.8766,0.2523
NLCINDIA,0.0,,0.3032,0.9912,0.474
PARSVNATH,0.0,,0.3418,0.0096,0.0623
TATASPONGE,0.0034,,0.0649,0.3024,0.1394
ITC,0.2419,,0.0158,0.4813,0.1753
NATIONALUM,0.0,,0.256,0.827,0.7421
IBVENTURES,0.0,,0.307,0.6851,0.2042
ADHUNIK,0.0,,0.2588,0.0431,0.6581
RKDL,0.0016,,0.0354,0.5552,0.4648
FACT,0.0,,0.1262,0.7402,0.4747
PGEL,0.0215,,0.0232,0.0969,0.7466
ASTRAMICRO,0.0,,0.177,0.432,0.7285
POWERGRID,0.0,,0.2445,0.3435,0.6909
MAGMA,0.0,,0.2273,0.8781,0.177
SHOPERSTOP,0.0,,0.1394,0.9236,0.5581
ABB,0.0,,0.1834,0.2522,0.1947
MTNL,0.0,,0.1954,0.4894,0.3071
INDIACEM,0.0,,0.399,0.7978,0.5429
OPTOCIRCUI,0.0001,,0.063,0.7689,0.8945
DEEPIND,0.0,,0.2442,0.8406,0.3361
RSWM,0.0,,0.2182,0.5422,0.3117
ADANIENT,0.0,,0.2442,0.3995,0.4423
CYBERTECH,0.004,,0.0295,0.2827,0.6351
GANESHHOUC,0.0,,0.1874,0.8188,0.5315
JISLJALEQS,0.0,,0.4141,0.2283,0.9852
ASIANHOTNR,0.0004,,0.0522,0.7042,0.8305
TDPOWERSYS,0.0,,0.0959,0.194,0.8037
EICHERMOT,0.0007,,0.0604,0.0024,0.5678
DEEPAKNTR,0.0423,,0.0103,0.996,0.6771
BATAINDIA,0.0,,0.2643,0.9608,0.0975
EMAMILTD,0.279,,0.0255,0.0928,0.0597
FDC,0.0029,,0.0613,0.7047,0.2057
CUMMINSIND,0.0,,0.1445,0.079,0.8016
NITINFIRE,0.0,,0.1505,0.0194,0.0611
MONSANTO,0.062,,0.0388,0.0597,0.0894
GARDENSILK,0.0,,0.204,0.2836,0.7819
CINELINE,0.0138,,0.0201,0.452,0.7476
JSL,0.0,,0.2599,0.6133,0.7436
RAYMOND,0.0,,0.2787,0.4162,0.7466
AMBIKCO,0.0001,,0.1058,0.2998,0.1466
CORPBANK,0.0,,0.3674,0.9037,0.3705
OBEROIRLTY,0.0,,0.1735,0.9762,0.5139
BALKRISIND,0.0,,0.0771,0.1799,0.9319
LGBBROSLTD,0.0146,,0.0322,0.1529,0.5088
SSWL,0.0003,,0.0779,0.1967,0.3401
NECLIFE,0.0,,0.167,0.6061,0.1374
GENESYS,0.0188,,0.067,0.2861,0.0265
JAYSREETEA,0.0,,0.2519,0.2899,0.1577
AMBUJACEM,0.0,,0.3566,0.9909,0.6886
SHREECEM,0.0,,0.1052,0.0012,0.8794
NAUKRI,0.0059,,0.0625,0.1909,0.1081
TATAMETALI,0.0,,0.1488,0.1963,0.8304
BSLGOLDETF,0.1181,,0.0066,0.7971,0.8174
PNB,0.0127,,0.018,0.7977,0.1437
BFINVEST,0.0,,0.1668,0.3462,0.4383
FEDDERELEC,0.0,,0.1705,0.4958,0.3544
PREMIER,0.0,,0.1823,0.3971,0.4587
CADILAHC,0.0668,,0.0097,0.0143,0.9601
TECHM,0.2123,,0.0679,0.2146,0.0015
MAHINDCIE,0.0001,,0.0961,0.0497,0.1853
KEI,0.0,,0.1363,0.07,0.8492
COMPUSOFT,0.0,,0.1065,0.7944,0.7621
KEC,0.0,,0.2556,0.4794,0.9473
MUNJALAU,0.0,,0.1911,0.0605,0.401
VARDHACRLC,0.0,,0.1465,0.2715,0.948
BAJAJELEC,0.0,,0.1172,0.5978,0.1406
INDRAMEDCO,0.0,,0.113,0.4223,0.5155
ZEEL,0.0002,,0.0636,0.3077,0.996
BLUESTARCO,0.0,,0.2221,0.1035,0.8924
HCLTECH,0.4532,,0.0053,0.3503,0.2606
DLF,0.0,,0.2555,0.2535,0.601
SICAGEN,0.0,,0.1073,0.8304,0.5202
JINDALSAW,0.0,,0.2896,0.5828,0.1691
KIRLOSIND,0.013,,0.0342,0.1476,0.4919
APARINDS,0.0,,0.159,0.1494,0.5909
NTPC,0.0,,0.2861,0.6401,0.248
ESSELPACK,0.0,,0.2289,0.1565,0.9664
SIEMENS,0.0,,0.491,0.7834,0.5898
SPARC,0.0001,,0.1138,0.9302,0.0752
KIRLOSENG,0.0,,0.1222,0.2649,0.3783
KABRAEXTRU,0.0,,0.1823,0.2749,0.9958
BANARISUG,0.0007,,0.0734,0.571,0.2694
ASSAMCO,0.0,,0.2331,0.3408,0.238
TEXMOPIPES,0.0,,0.1179,0.5206,0.3675
AVTNPL,0.0,,0.1236,0.3648,0.4788
MRF,0.0,,0.2021,0.0621,0.4573
GUJALKALI,0.0,,0.1751,0.8038,0.6546
GOLDBEES,0.035,,0.0475,0.6169,0.0742
SOBHA,0.0,,0.1032,0.3445,0.0994
VIDEOIND,0.0,,0.243,0.388,0.3931
RAMCOCEM,0.0,,0.1501,0.1026,0.1416
TRITURBINE,0.0,,0.1621,0.1903,0.1578
GREAVESCOT,0.0,,0.1613,0.0678,0.128
LUPIN,0.0258,,0.0426,0.0492,0.1456
EROSMEDIA,0.0,,0.2199,0.3354,0.0035
GALLISPAT,0.0,,0.0735,0.0555,0.5303
JPPOWER,0.0,,0.3673,0.0816,0.3963
TIDEWATER,0.0001,,0.1415,0.0259,0.0072
AARTIIND,0.0001,,0.1403,0.0905,0.0104
SANWARIA,0.0,,0.0917,0.4762,0.7819
QGOLDHALF,0.0423,,0.0577,0.6491,0.026
JPASSOCIAT,0.0,,0.3527,0.0194,0.2318
HBLPOWER,0.0,,0.096,0.2401,0.9217
20MICRONS,0.0,,0.0891,0.852,0.2478
NDTV,0.0,,0.081,0.6042,0.5098
UNITECH,0.0,,0.3992,0.3795,0.7009
SUTLEJTEX,0.0,,0.1669,0.2928,0.5043
AMARAJABAT,0.0036,,0.062,0.0198,0.1645
SBIN,0.0101,,0.0514,0.3908,0.1621
PANACEABIO,0.0862,,0.023,0.5238,0.2491
IDEA,0.0,,0.1462,0.4793,0.7102
TREEHOUSE,0.0,,0.0882,0.1376,0.5119
KAJARIACER,0.0,,0.0899,0.0295,0.9684
SWARAJENG,0.0002,,0.1042,0.409,0.0725
DREDGECORP,0.0,,0.3031,0.9194,0.5802
KRBL,0.0032,,0.0399,0.0213,0.8097
HMT,0.0,,0.1408,0.5183,0.1236
SHANTIGEAR,0.0,,0.1478,0.2475,0.2388
JKLAKSHMI,0.0,,0.1832,0.0029,0.6953
OIL,0.0,,0.3449,0.833,0.0121
FCONSUMER,0.0062,,0.0307,0.1834,0.9836
BHARATFORG,0.0,,0.1971,0.007,0.3085
CELESTIAL,0.0001,,0.0636,0.0529,0.5207
IGL,0.0,,0.1662,0.1671,0.9899
IDFC,0.0,,0.4045,0.8416,0.9545
JMFINANCIL,0.0,,0.2836,0.6592,0.1699
ZODIACLOTH,0.0049,,0.0858,0.3416,0.0204
PETRONET,0.0,,0.1416,0.1491,0.4473
CYIENT,0.3313,,0.0058,0.2198,0.34
PNBGILTS,0.0,,0.1866,0.1749,0.1799
ZEEMEDIA,0.0,,0.2371,0.9263,0.509
MUTHOOTFIN,0.0001,,0.0617,0.2058,0.5654
BAJFINANCE,0.0,,0.1035,0.0188,0.3417
IBREALEST,0.0,,0.3722,0.3406,0.1445
VOLTAMP,0.0,,0.1075,0.3232,0.6603
KOTHARIPET,0.0007,,0.084,0.7551,0.1232
RATNAMANI,0.0,,0.0883,0.0012,0.3548
FIEMIND,0.0044,,0.0255,0.0001,0.2662
BALAJITELE,0.0,,0.2072,0.7182,0.7187
KOHINOOR,0.0,,0.1795,0.4503,0.5238
ELGIEQUIP,0.0005,,0.065,0.2288,0.5262
DABUR,0.0001,,0.0561,0.1307,0.1135
ASHOKLEY,0.0,,0.3356,0.0613,0.5024
SRTRANSFIN,0.0,,0.3236,0.4392,0.4261
SUNDRMFAST,0.0028,,0.0587,0.0037,0.2504
KOTARISUG,0.0071,,0.036,0.9093,0.6333
IVC,0.0,,0.1251,0.6301,0.6813
SYMPHONY,0.0,,0.0693,0.0022,0.4916
NFL,0.0,,0.2285,0.7593,0.5982
UNITEDBNK,0.0,,0.2326,0.834,0.0407
AGCNET,0.0002,,0.0669,0.9246,0.746
MUKTAARTS,0.0001,,0.0701,0.6929,0.7911
CENTURYTEX,0.0,,0.4743,0.7038,0.5227
ASTRAL,0.0073,,0.0286,0.6426,0.9769
IGARASHI,0.0,,0.1279,0.1126,0.3169
RPOWER,0.0,,0.5813,0.0171,0.4857
HINDCOPPER,0.0,,0.4658,0.2316,0.1807
PENINLAND,0.0,,0.3897,0.1274,0.2154
JAGRAN,0.0,,0.0884,0.166,0.9251
MTEDUCARE,0.0,,0.0958,0.6063,0.9128
WOCKPHARMA,0.0003,,0.0655,0.1843,0.7019
APOLLOHOSP,0.0,,0.081,0.7247,0.8197
AJANTPHARM,0.1432,,0.0374,0.0242,0.0422
GILLETTE,0.0035,,0.0584,0.0586,0.2181
CLNINDIA,0.0021,,0.0593,0.346,0.3006
PAPERPROD,0.0654,,0.0506,0.053,0.0304
MCDOWELL-N,0.0012,,0.0369,0.7502,0.4278
VOLTAS,0.0,,0.3505,0.3516,0.7342
HIMATSEIDE,0.0032,,0.0506,0.3909,0.403
SWELECTES,0.0,,0.1092,0.1453,0.6047
KWALITY,0.0002,,0.1336,0.9839,0.0069
BALLARPUR,0.0,,0.2678,0.6893,0.8373
JKIL,0.0109,,0.0456,0.0249,0.2347
POLYMED,0.8856,,0.0165,0.0164,0.0349
AMRUTANJAN,0.0,,0.1245,0.0662,0.8896
RSYSTEMS,0.0747,,0.0078,0.8329,0.12
JYOTISTRUC,0.0,,0.3364,0.6219,0.6513
RCOM,0.0,,0.389,0.0058,0.6283
GODREJCP,0.0,,0.1038,0.8389,0.4451
GSFC,0.0,,0.1361,0.1883,0.0304
IL&FSTRANS,0.0,,0.2985,0.9807,0.4141
PPAP,0.0,,0.1079,0.0787,0.4377
APOLLOTYRE,0.0,,0.2169,0.2063,0.2491
VAIBHAVGBL,0.0595,,0.0292,0.7732,0.2064
SUNTV,0.0,,0.1172,0.7095,0.7991
PRAJIND,0.0,,0.2215,0.9617,0.5195
INDIANHUME,0.0,,0.1873,0.0837,0.6168
RENUKA,0.0,,0.1461,0.3328,0.524
GLENMARK,0.3797,,-0.0038,0.1393,0.922
WHEELS,0.0001,,0.0996,0.9259,0.2323
JKTYRE,0.0154,,0.0167,0.6498,0.453
WIPRO,0.132,,0.0402,0.9088,0.036
CHAMBLFERT,0.0,,0.2617,0.6875,0.9811
SIMPLEX,0.0408,,0.0383,0.0353,0.1394
BASF,0.0,,0.1301,0.1655,0.0564
KKCL,0.0303,,0.023,0.0972,0.5897
INDOCO,0.0331,,0.0171,0.1069,0.8736
GNFC,0.0,,0.219,0.7132,0.9518
TARAJEWELS,0.0,,0.0782,0.7753,0.8904
NCC,0.0,,0.1666,0.2742,0.0793
LINDEINDIA,0.0,,0.1178,0.3509,0.1093
ABBOTINDIA,0.111,,0.0191,0.0117,0.2778
ZUARI,0.0,,0.1003,0.3248,0.6209
DATAMATICS,0.0,,0.1338,0.4488,0.7412
TALBROAUTO,0.0001,,0.0998,0.1805,0.1739
NAHARCAP,0.0,,0.1235,0.4074,0.9344
BANKBEES,0.0,,0.5575,0.0487,0.365
ICRA,0.0143,,0.0376,0.0712,0.3458
ANKITMETAL,0.0,,0.1199,0.0772,0.5338
HINDPETRO,0.0,,0.2851,0.114,0.9729
FINPIPE,0.0,,0.0786,0.3198,0.8333
NEULANDLAB,0.0,,0.075,0.4745,0.3036
BALMLAWRIE,0.0,,0.226,0.173,0.3951
J&KBANK,0.0105,,0.0214,0.2847,0.6439
IFBIND,0.0,,0.1089,0.0067,0.9513
MERCATOR,0.0,,0.2061,0.7619,0.0995
JINDALPOLY,0.0,,0.2536,0.7298,0.0804
PSUBNKBEES,0.0,,0.3032,0.3155,0.554
GIPCL,0.0,,0.3341,0.8873,0.8568
ZYDUSWELL,0.1446,,0.0043,0.2182,0.8604
PTC,0.0,,0.5095,0.9639,0.1487
UPL,0.0,,0.1728,0.2732,0.291
TI,0.0,,0.139,0.0192,0.6739
PGHH,0.0011,,0.0396,0.0079,0.5641
JUSTDIAL,0.0297,,0.0641,0.6947,0.0216
TATACHEM,0.0,,0.3815,0.4467,0.1065
REPRO,0.0002,,0.0705,0.336,0.7113
GRINDWELL,0.0,,0.137,0.0184,0.4558
KARURVYSYA,0.0,,0.3068,0.1486,0.7655
DIVISLAB,0.0019,,0.0786,0.2341,0.081
CUB,0.0,,0.1597,0.0598,0.8132
GUJAPOLLO,0.0,,0.0997,0.7674,0.8948
SUNPHARMA,0.4158,,-0.0004,0.1094,0.5322
SCHAEFFLER,0.0001,,0.088,0.0059,0.3811
ABAN,0.0,,0.1475,0.9606,0.6412
BHUSANSTL,0.0021,,0.0307,0.0009,0.1889
KOTAKGOLD,0.0122,,0.0442,0.6723,0.2399
IPCALAB,0.4647,,0.009,0.9185,0.1705
MHRIL,0.0,,0.2159,0.3805,0.3407
3MINDIA,0.003,,0.148,0.1583,0.0001
HDFC,0.0,,0.1988,0.223,0.3973
GLOBUSSPR,0.0,,0.1866,0.1952,0.782
TRIDENT,0.0,,0.1305,0.9052,0.2224
RALLIS,0.0,,0.1325,0.8025,0.7963
JKCEMENT,0.0,,0.1756,0.0086,0.249
KITEX,0.0036,,0.0472,0.0062,0.4695
VGUARD,0.0,,0.1566,0.0127,0.0585
BANKBARODA,0.0,,0.413,0.461,0.6968
KOTAKPSUBK,0.0,,0.4899,0.3423,0.4706
MAHSCOOTER,0.0008,,0.045,0.0123,0.7486
SABTN,0.0037,,0.068,0.0177,0.1035
MANAPPURAM,0.0002,,0.0798,0.2586,0.428
ELGIRUBCO,0.0,,0.1529,0.7184,0.572
BERGEPAINT,0.0343,,0.0446,0.1226,0.0964
CENTENKA,0.0,,0.2832,0.3944,0.1353
AXISGOLD,0.0617,,0.0207,0.8183,0.4034
HINDZINC,0.0,,0.3283,0.7946,0.1609
SUPREMEIND,0.023,,0.0381,0.3177,0.23
GICHSGFIN,0.0,,0.3141,0.0956,0.4198
MAYURUNIQ,0.8591,,0.0191,0.616,0.018
HAVELLS,0.0061,,0.0274,0.5866,0.7697
JAYNECOIND,0.0,,0.2637,0.6101,0.7081
IDBIGOLD,0.01,,0.0427,0.6924,0.3208
63MOONS,0.0041,,0.0485,0.9923,0.3938
HMVL,0.0,,0.1056,0.0802,0.1618
TTKPRESTIG,0.0,,0.1618,0.924,0.0659
INDIAGLYCO,0.0,,0.3017,0.3856,0.7625
VIPCLOTHNG,0.0,,0.0842,0.3094,0.8818
DENORA,0.0019,,0.0612,0.8271,0.2915
AHLEAST,0.0,,0.1048,0.6479,0.7871
BALRAMCHIN,0.0,,0.0896,0.6632,0.4389
JUBILANT,0.0001,,0.0599,0.7267,0.7062
BBTC,0.0,,0.2185,0.136,0.3817
SUPPETRO,0.0,,0.1259,0.9,0.8271
MAHLIFE,0.0,,0.0977,0.7052,0.9084
RELCAPITAL,0.0,,0.5074,0.766,0.2287
HDFCBANK,0.0,,0.2608,0.1214,0.7212
VADILALIND,0.0,,0.1291,0.5205,0.5587
ENGINERSIN,0.0,,0.2234,0.8469,0.5336
INGERRAND,0.0,,0.1327,0.1548,0.7805
ARCHIES,0.0,,0.1855,0.9721,0.4248
DISHTV,0.0,,0.3224,0.6437,0.5421
AARVEEDEN,0.0,,0.1062,0.7132,0.3159
BIOCON,0.0,,0.118,0.5318,0.9759
KTKBANK,0.0,,0.4774,0.6952,0.9742
BHEL,0.0,,0.3815,0.6326,0.0186
LUMAXIND,0.0026,,0.0798,0.7953,0.0592
RML,0.0,,0.1395,0.0623,0.2718
MANGLMCEM,0.0,,0.2771,0.0391,0.5028
SANOFI,0.0279,,0.0119,0.3168,0.2449
GRANULES,0.0305,,0.0598,0.014,0.0301
RADICO,0.0,,0.1629,0.0464,0.0175
MCLEODRUSS,0.0,,0.192,0.0829,0.5889
CENTRALBK,0.0,,0.3516,0.3279,0.5005
GARWALLROP,0.0011,,0.0494,0.0176,0.8408
ASAHISONG,0.0,,0.1535,0.5468,0.0067
BANKINDIA,0.0,,0.4782,0.588,0.2637
COALINDIA,0.0,,0.3282,0.7365,0.0419
VENUSREM,0.0,,0.0918,0.5708,0.9472
BOMDYEING,0.0,,0.457,0.117,0.8867
AARTIDRUGS,0.0002,,0.0808,0.008,0.2964
WABCOINDIA,0.0065,,0.0252,0.0077,0.628
ALEMBICLTD,0.0,,0.1627,0.302,0.2338
DCW,0.0,,0.2703,0.9101,0.241
MPSLTD,0.0077,,0.0395,0.0538,0.4749
TVSMOTOR,0.0012,,0.0834,0.0117,0.0791
TAKE,0.0025,,0.0455,0.4073,0.6637
INDHOTEL,0.0,,0.0749,0.0488,0.6309
UFLEX,0.0,,0.3364,0.4998,0.9851
FLEXITUFF,0.0059,,0.0252,0.9199,0.0579
KANORICHEM,0.0,,0.1984,0.9896,0.8587
MOIL,0.0,,0.2549,0.5936,0.476
NESTLEIND,0.0057,,0.0608,0.4913,0.1265
AUROPHARMA,0.1649,,0.0388,0.0093,0.0317
BLUEDART,0.0139,,0.0798,0.1652,0.012
ATLANTA,0.0,,0.3007,0.9401,0.169
TATAGLOBAL,0.0,,0.3833,0.1915,0.9506
GUJFLUORO,0.0,,0.1158,0.0028,0.1765
CIPLA,0.0003,,0.0749,0.1156,0.3567
HEG,0.0,,0.2036,0.6514,0.0685
PCJEWELLER,0.0004,,0.0855,0.2198,0.1591
GDL,0.0,,0.1435,0.0275,0.205
FEL,0.0,,0.0786,0.6863,0.8322
RELIGARE,0.0,,0.0847,0.6485,0.5316
NHPC,0.0,,0.4641,0.2025,0.184
GAEL,0.0,,0.2088,0.6499,0.2112
SAIL,0.0,,0.3219,0.7278,0.1605
HONAUT,0.0,,0.153,0.0021,0.9649
PHOENIXLTD,0.0,,0.0929,0.2373,0.6163
COLPAL,0.0131,,0.04,0.2564,0.3098
FMGOETZE,0.0043,,0.0455,0.1014,0.4711
PRATIBHA,0.0,,0.2943,0.6052,0.0057
RJL,0.0069,,0.0381,0.998,0.5604
XCHANGING,0.0086,,0.0911,0.1139,0.0074
RAJESHEXPO,0.0,,0.1484,0.5741,0.1149
BLISSGVS,0.0662,,0.0492,0.5461,0.0339
BANCOINDIA,0.0001,,0.1153,0.1295,0.0442
ADANIPOWER,0.0,,0.4715,0.3484,0.7993
ALLCARGO,0.0,,0.1294,0.0689,0.8229
RELINFRA,0.0,,0.5424,0.4076,0.1549
KOTAKNIFTY,0.0,,0.7122,0.0325,0.782
GESHIP,0.0146,,0.0347,0.7147,0.4226
OMAXE,0.0,,0.2018,0.7173,0.4884
NDL,0.0,,0.0802,0.0756,0.4333
KCP,0.0,,0.1393,0.116,0.6868
BEL,0.0,,0.1572,0.023,0.9608
PFS,0.0,,0.2606,0.0085,0.6584
ECLERX,0.5407,,-0.0065,0.3634,0.9568
GRAPHITE,0.0,,0.1396,0.8396,0.2276
MORARJEE,0.0,,0.1155,0.7022,0.6722
SWANENERGY,0.0058,,0.03,0.1168,0.9229
BALPHARMA,0.0027,,0.0487,0.1491,0.5191
OMKARCHEM,0.0074,,0.0275,0.3023,0.8994
LUMAXTECH,0.0,,0.221,0.0527,0.3044
SRSLTD,0.0,,0.0732,0.3491,0.8278
MAHABANK,0.0,,0.3534,0.834,0.3216
TTL,0.0018,,0.0669,0.5538,0.1993
GET&D,0.0,,0.1154,0.0374,0.6474
LAKSHVILAS,0.0,,0.1395,0.8823,0.4612
MMFL,0.0001,,0.0783,0.0069,0.7508
KANSAINER,0.0007,,0.0476,0.0465,0.8412
UNICHEMLAB,0.081,,0.0351,0.682,0.0944
COROMANDEL,0.0,,0.1688,0.7744,0.4528
TRIGYN,0.0032,,0.0541,0.3526,0.3205
JSWSTEEL,0.0,,0.3864,0.4847,0.0504
VAKRANGEE,0.0137,,0.0298,0.2114,0.6329
EXCELINDUS,0.0,,0.12,0.0335,0.0942
TBZ,0.0,,0.1301,0.7343,0.2838
INFRATEL,0.118,,0.0078,0.0347,0.7182
KPIT,0.0057,,0.0324,0.735,0.9229
MADRASFERT,0.0,,0.1836,0.6585,0.3059
REPCOHOME,0.0,,0.0961,0.033,0.4091
HUBTOWN,0.0,,0.0829,0.706,0.6595
RECLTD,0.0,,0.4592,0.8734,0.1465
SIMPLEXINF,0.0,,0.1718,0.0507,0.7452
TTML,0.0,,0.2388,0.4362,0.7033
CANBK,0.0,,0.5068,0.9331,0.4067
SORILINFRA,0.0041,,0.1026,0.7451,0.0058
NILKAMAL,0.0,,0.1272,0.0914,0.6733
SUNDARMFIN,0.0001,,0.056,0.0054,0.1728
TIMETECHNO,0.0,,0.1245,0.69,0.3204
L&TFH,0.0,,0.3549,0.2573,0.0801
LIQUIDBEES,0.1221,,0.0146,0.0,0.0228
SCI,0.0,,0.3061,0.8399,0.5509
PIIND,0.0076,,0.0646,0.1576,0.0742
BAJAJHLDNG,0.0001,,0.0581,0.0929,0.5459
ASTRAZEN,0.1408,,0.0128,0.9249,0.3908
MIRZAINT,0.0,,0.2376,0.9465,0.219
SURYAROSNI,0.0,,0.2021,0.9748,0.3637
SUNDARAM,0.1277,,0.0033,0.0074,0.9279
VESUVIUS,0.0001,,0.0895,0.2647,0.4236
