Symbol,Rm-Rf %,SMB %,HML %,WML %,Adj-r_sq,const
PARSVNATH,0.0,0.0,0.0,0.8156,0.1749,0.8539
DTIL,0.0,0.0,0.2194,0.8009,0.1699,0.5356
TATASPONGE,0.0,0.0,0.0,0.0309,0.2236,0.346
PEARLPOLY,0.0028,0.0972,0.9531,0.5341,0.0147,0.1924
ITC,0.0,0.0106,0.0,0.5509,0.1339,0.7054
NATIONALUM,0.0,0.0069,0.0,0.0704,0.2043,0.3303
WABAG,0.0,0.0018,0.5259,0.4042,0.1,0.6306
GVKPIL,0.0,0.0,0.0,0.0,0.2909,0.6208
SETFNN50,0.0,0.001,0.9291,0.297,0.1842,0.2171
ALANKIT,0.0,0.9184,0.0412,0.2933,0.0523,0.9101
ADHUNIK,0.0,0.0,0.0001,0.0107,0.168,0.1378
RKDL,0.0,0.0,0.0021,0.5477,0.0646,0.6673
FACT,0.0,0.0,0.0,0.9632,0.179,0.6108
PGEL,0.0,0.0,0.0031,0.9873,0.0679,0.5709
ALKYLAMINE,0.0,0.0001,0.0361,0.5964,0.0705,0.0758
ASTRAMICRO,0.0,0.0,0.0,0.4566,0.1898,0.3585
RUSHIL,0.0,0.0,0.0,0.288,0.0659,0.1925
RICOAUTO,0.0,0.0,0.0,0.6584,0.2517,0.0555
POWERGRID,0.0,0.0843,0.4536,0.786,0.2006,0.0804
CASTROLIND,0.0,0.9196,0.5017,0.3049,0.082,0.6067
MAGMA,0.0,0.0,0.0068,0.921,0.1837,0.4676
KSK,0.0,0.0,0.0002,0.0046,0.1194,0.3379
SHOPERSTOP,0.0,0.0043,0.772,0.9139,0.1164,0.5611
ABB,0.0,0.2996,0.3978,0.0001,0.1771,0.1007
MTNL,0.0,0.0,0.0,0.0029,0.2479,0.8835
INDIACEM,0.0,0.0,0.0,0.0874,0.4278,0.719
VRLLOG,0.0,0.0,0.45,0.3351,0.1465,0.6328
ALLSEC,0.0,0.0,0.0471,0.0558,0.0678,0.0726
DEEPIND,0.0,0.0,0.0,0.4389,0.2152,0.2053
HOTELEELA,0.0,0.0,0.0,0.0028,0.2283,0.7412
RSWM,0.0,0.0,0.0,0.7343,0.2499,0.1015
ADANIENT,0.0,0.2576,0.0,0.0167,0.2451,0.5882
MAWANASUG,0.0,0.0,0.0,0.2522,0.1127,0.1545
UGARSUGAR,0.0,0.0,0.0007,0.7653,0.0944,0.584
CYBERTECH,0.0,0.0,0.0,0.1859,0.1509,0.1721
GANESHHOUC,0.0,0.0,0.0001,0.0156,0.2145,0.6439
JISLJALEQS,0.0,0.0,0.0,0.2368,0.3989,0.6272
RTNINFRA,0.0,0.0308,0.0005,0.1735,0.057,0.325
SUMMITSEC,0.0,0.0,0.0055,0.5721,0.0914,0.0179
ASIANHOTNR,0.0001,0.0068,0.0001,0.42,0.0488,0.7383
SALSTEEL,0.0057,0.0001,0.0015,0.1278,0.0409,0.1521
SEPOWER,0.7273,0.1231,0.0002,0.792,0.0173,0.4772
INDIANCARD,0.0,0.0,0.0,0.8011,0.1414,0.6919
TDPOWERSYS,0.0,0.0,0.0003,0.4878,0.115,0.9085
EICHERMOT,0.0,0.005,0.4021,0.0009,0.1849,0.0006
DEEPAKNTR,0.0,0.0,0.0073,0.9095,0.0658,0.328
SIYSIL,0.0,0.0,0.0,0.113,0.1303,0.1877
BATAINDIA,0.0,0.3704,0.8979,0.0268,0.1542,0.9427
RAMCOSYS,0.0,0.0,0.8876,0.6578,0.072,0.1734
CIGNITITEC,0.0,0.0022,0.0003,0.8774,0.1225,0.6044
SITINET,0.0,0.0163,0.1098,0.0,0.1541,0.3711
COUNCODOS,0.1154,0.0,0.0075,0.4698,0.038,0.1499
MANAKCOAT,0.0098,0.1302,0.7483,0.1604,0.0231,0.4468
EMAMILTD,0.0,0.949,0.0802,0.0211,0.0743,0.1887
FDC,0.0,0.0,0.0004,0.0287,0.1423,0.1952
CUMMINSIND,0.0,0.158,0.5441,0.2442,0.1586,0.1654
PITTIENG,0.0,0.0,0.0,0.7841,0.1333,0.5164
MONSANTO,0.0,0.0,0.0142,0.1256,0.0874,0.1046
GARDENSILK,0.0,0.0,0.0,0.919,0.1812,0.668
VASWANI,0.2871,0.0,0.0036,0.8299,0.0292,0.1647
SARLAPOLY,0.0,0.0033,0.228,0.4249,0.0723,0.7443
CINELINE,0.0,0.0,0.0002,0.2372,0.0876,0.0521
MAITHANALL,0.0,0.0,0.0599,0.7009,0.0905,0.1168
JSL,0.0,0.0,0.0,0.4283,0.1881,0.502
AKSHOPTFBR,0.0,0.0,0.0,0.0044,0.2135,0.4876
RAYMOND,0.0,0.0,0.0046,0.1298,0.3022,0.2845
AMBIKCO,0.0,0.0,0.0006,0.9791,0.0957,0.0143
GREENLAM,0.0,0.0009,0.5553,0.007,0.109,0.2459
SREEL,0.0043,0.1976,0.4468,0.2181,0.0107,0.8111
DHUNINV,0.0,0.0065,0.0025,0.2395,0.0595,0.0761
CORPBANK,0.0,0.3736,0.0,0.0301,0.1549,0.1935
OBEROIRLTY,0.0,0.0,0.1936,0.1187,0.179,0.4628
BALKRISIND,0.0,0.0535,0.9835,0.9003,0.0357,0.0346
LGBBROSLTD,0.0,0.0,0.1839,0.5554,0.0928,0.1113
ADLABS,0.0,0.0,0.004,0.501,0.2043,0.228
SSWL,0.0,0.0,0.0002,0.5789,0.2012,0.0518
NAHARSPING,0.0,0.0,0.0,0.7627,0.2969,0.682
IL&FSENGG,0.0,0.0,0.0,0.0347,0.2303,0.917
NECLIFE,0.0,0.0,0.0,0.4434,0.2645,0.8489
GENESYS,0.0,0.0,0.0,0.8736,0.1138,0.4087
JAYSREETEA,0.0,0.0,0.0,0.1863,0.2627,0.9818
LEEL,0.0,0.0,0.0,0.2517,0.2321,0.2808
BEML,0.0,0.0,0.0,0.0053,0.2658,0.0294
AMBUJACEM,0.0,0.0177,0.0307,0.0034,0.3398,0.6755
HINDNATGLS,0.0,0.0004,0.4093,0.0828,0.0334,0.9335
SHREECEM,0.0,0.6161,0.0016,0.0031,0.16,0.0154
ALKALI,0.0,0.0,0.0,0.5767,0.1285,0.2073
NAUKRI,0.0,0.0084,0.6308,0.6432,0.0487,0.0213
TATAMETALI,0.0,0.0,0.0028,0.1008,0.2172,0.0061
BSLGOLDETF,0.0098,0.8566,0.4391,0.1116,0.0053,0.4686
SOLARINDS,0.0,0.0,0.0005,0.0692,0.0597,0.409
PNB,0.0,0.0,0.0,0.0002,0.2397,0.9357
BFINVEST,0.0,0.0,0.0,0.2452,0.1889,0.1148
FEDDERELEC,0.0,0.0,0.0,0.0466,0.2495,0.8978
PREMIER,0.0,0.0,0.0,0.2527,0.1908,0.2276
CADILAHC,0.0,0.1343,0.3022,0.0001,0.0436,0.9589
TECHM,0.0,0.8893,0.461,0.0051,0.0398,0.9555
SUNCLAYLTD,0.0,0.169,0.6259,0.0299,0.1137,0.0
MAHINDCIE,0.0,0.0001,0.0,0.3397,0.1364,0.0759
KEI,0.0,0.0,0.0,0.026,0.255,0.0032
COMPUSOFT,0.0,0.0,0.0018,0.09,0.1152,0.8313
GSCLCEMENT,0.0,0.0,0.0,0.0011,0.2635,0.9084
KEC,0.0,0.0,0.0321,0.2781,0.2281,0.0483
LINCOLN,0.0,0.0,0.0307,0.0343,0.216,0.7179
GOKUL,0.0,0.0,0.0023,0.0242,0.0668,0.8325
MUNJALAU,0.0,0.0,0.0,0.32,0.197,0.5212
TINPLATE,0.0,0.0,0.0001,0.4654,0.2478,0.1271
VARDHACRLC,0.0,0.0,0.0014,0.3595,0.1493,0.1053
BAJAJELEC,0.0,0.0,0.4161,0.6718,0.158,0.3303
ARIHANT,0.0239,0.005,0.0031,0.1899,0.0671,0.6037
INDRAMEDCO,0.0,0.0,0.0,0.9799,0.2072,0.5986
ZEEL,0.0,0.0744,0.7677,0.0044,0.1937,0.0891
GANDHITUBE,0.0,0.0021,0.0795,0.2593,0.0634,0.1909
BLUESTARCO,0.0,0.0,0.7018,0.3659,0.1667,0.009
HCLTECH,0.0,0.1804,0.0025,0.0331,0.0499,0.3271
DLF,0.0,0.0504,0.0,0.0,0.4045,0.6674
SICAGEN,0.0,0.0,0.0,0.9275,0.1298,0.301
JINDALSAW,0.0,0.0,0.0,0.0,0.3346,0.8565
KIRLOSIND,0.0,0.0,0.1586,0.5811,0.0433,0.0842
APARINDS,0.0,0.0,0.0,0.0463,0.2125,0.0482
MANPASAND,0.0,0.6611,0.7149,0.3418,0.0985,0.569
HINDMOTORS,0.0,0.0,0.0,0.1542,0.2103,0.8904
WELSPUNIND,0.0,0.0,0.0003,0.0858,0.0733,0.3228
NTPC,0.0,0.2505,0.6186,0.0127,0.245,0.4022
SPLIL,0.0,0.0,0.0022,0.7044,0.072,0.1853
ESSELPACK,0.0,0.0,0.0004,0.0105,0.2109,0.0044
SIEMENS,0.0,0.7751,0.5286,0.0054,0.4041,0.197
SPARC,0.0,0.0,0.0195,0.5852,0.1524,0.1804
KIRLOSENG,0.0,0.0004,0.0012,0.6899,0.0632,0.2305
CENTUM,0.0,0.0,0.0,0.7284,0.0982,0.0232
KABRAEXTRU,0.0,0.0,0.0,0.975,0.1988,0.2181
RNAVAL,0.0,0.0,0.0,0.1588,0.1779,0.4085
NAGREEKEXP,0.0001,0.0,0.0006,0.6182,0.0802,0.3228
BANARISUG,0.0,0.0,0.0,0.8038,0.1375,0.3101
ASSAMCO,0.0,0.0,0.0,0.0112,0.1683,0.8275
STEL,0.0026,0.0,0.0163,0.2402,0.0489,0.1145
MINDAIND,0.0,0.0,0.0008,0.3725,0.1052,0.0502
PRSMJOHNSN,0.0,0.0,0.0022,0.3777,0.2563,0.4476
TEXMOPIPES,0.0,0.0,0.0,0.7684,0.1702,0.3833
AVTNPL,0.0,0.0,0.0,0.3124,0.1728,0.6873
SUNILHITEC,0.0,0.0,0.0001,0.2345,0.1556,0.9067
MRF,0.0,0.0483,0.0,0.024,0.2975,0.0037
GUJALKALI,0.0,0.0,0.0,0.0127,0.1669,0.0629
GOLDBEES,0.0,0.4056,0.1386,0.5992,0.0339,0.1857
VSSL,0.0,0.0,0.0145,0.2073,0.0836,0.1487
HESTERBIO,0.0,0.0,0.0673,0.3004,0.146,0.0579
ESABINDIA,0.0,0.0002,0.8187,0.3096,0.0843,0.3012
SELMCL,0.0,0.0,0.0,0.0015,0.1875,0.8456
PNC,0.0002,0.0,0.0,0.4471,0.0837,0.4524
RESPONIND,0.0,0.0174,0.0276,0.1377,0.0643,0.5687
MONTECARLO,0.0,0.0,0.2153,0.1739,0.1493,0.8651
SOBHA,0.0,0.0034,0.0519,0.2683,0.1242,0.5491
TARMAT,0.0462,0.0005,0.0613,0.8107,0.0194,0.2318
RAMCOCEM,0.0,0.0025,0.2661,0.8089,0.1843,0.0484
TRITURBINE,0.0,0.0,0.8662,0.0051,0.1352,0.2043
GREAVESCOT,0.0,0.0,0.1173,0.0148,0.1428,0.2302
LUPIN,0.0,0.0974,0.8073,0.0006,0.1174,0.5464
EROSMEDIA,0.0,0.0,0.0177,0.2134,0.1837,0.9532
GALLISPAT,0.0058,0.7358,0.8448,0.9425,0.0054,0.0429
GAYAPROJ,0.0,0.0,0.0,0.0952,0.1721,0.2543
JPPOWER,0.0,0.0006,0.0,0.0,0.2646,0.7499
MBLINFRA,0.0,0.0,0.0,0.0258,0.1396,0.3628
WELENT,0.0,0.0,0.0,0.105,0.1508,0.1083
TIDEWATER,0.0,0.0,0.0001,0.8413,0.0795,0.6036
AARTIIND,0.0,0.0,0.0124,0.1175,0.1432,0.0016
AURIONPRO,0.0,0.0,0.005,0.1285,0.1269,0.6117
SANWARIA,0.0,0.0,0.0251,0.1957,0.0779,0.7716
QGOLDHALF,0.0,0.1399,0.056,0.2064,0.0292,0.2531
JPASSOCIAT,0.0,0.0007,0.0,0.0,0.348,0.6392
HBLPOWER,0.0,0.0,0.0,0.9123,0.2413,0.2865
20MICRONS,0.0,0.0,0.0018,0.7321,0.081,0.5349
VIVIDHA,0.0019,0.0145,0.3665,0.7744,0.0177,0.2316
UNITECH,0.0,0.0,0.0,0.0004,0.4001,0.5585
SUTLEJTEX,0.0,0.0,0.0087,0.3013,0.0895,0.7675
AMARAJABAT,0.0,0.0001,0.7535,0.0071,0.1542,0.107
WONDERLA,0.0,0.0028,0.0507,0.049,0.1493,0.3596
SBIN,0.0,0.0,0.0,0.5321,0.209,0.8391
PANACEABIO,0.0,0.0,0.0037,0.2562,0.1053,0.45
SUBROS,0.0,0.0,0.0,0.2981,0.216,0.0381
ORTINLABSS,0.0,0.0,0.0019,0.7914,0.1487,0.3903
INDBANK,0.0,0.0,0.0037,0.0915,0.0928,0.1294
MADHUCON,0.0,0.0,0.0,0.2493,0.2653,0.9743
ONWARDTEC,0.0,0.0,0.0059,0.0684,0.0875,0.3105
NAHARPOLY,0.0,0.0,0.0,0.5506,0.1284,0.2858
IDEA,0.0,0.105,0.3919,0.1322,0.0974,0.4957
TREEHOUSE,0.0,0.0,0.0333,0.6136,0.0752,0.0315
INDOSOLAR,0.002,0.0001,0.0212,0.702,0.0299,0.3785
CCHHL,0.0,0.0,0.0,0.0134,0.2223,0.7535
KAJARIACER,0.0,0.0069,0.1559,0.2588,0.0896,0.0986
BBL,0.0,0.0,0.0108,0.6476,0.1628,0.2086
MANAKSTEEL,0.0249,0.0001,0.0452,0.8945,0.0496,0.2945
SWARAJENG,0.0,0.0005,0.1729,0.7366,0.1296,0.0092
DREDGECORP,0.0,0.0,0.0,0.0,0.2574,0.1039
KRBL,0.0,0.0,0.0,0.3479,0.1572,0.0001
GEECEE,0.0,0.0,0.0003,0.1794,0.1128,0.2535
MOHOTAIND,0.0,0.2373,0.8508,0.6651,0.029,0.0623
INDOTECH,0.0,0.0,0.0001,0.6606,0.1252,0.5212
SHANTIGEAR,0.0,0.0,0.0001,0.3629,0.1862,0.3125
JKLAKSHMI,0.0,0.0,0.0222,0.003,0.2045,0.1926
OIL,0.0,0.2593,0.9819,0.0134,0.1651,0.7809
FCONSUMER,0.0,0.0,0.0001,0.475,0.1729,0.0959
BHARATFORG,0.0,0.8422,0.3551,0.1802,0.1674,0.14
PSL,0.0,0.0,0.0,0.0024,0.1699,0.0737
GULPOLY,0.0004,0.0,0.1158,0.8514,0.0645,0.7538
CELESTIAL,0.0,0.0001,0.0072,0.1632,0.0784,0.6917
MENONBE,0.0,0.0,0.0253,0.4348,0.116,0.8071
PATSPINLTD,0.0,0.0,0.0006,0.0474,0.0798,0.1374
IGL,0.0,0.2186,0.6919,0.7245,0.0523,0.1903
IDFC,0.0,0.672,0.0034,0.0651,0.266,0.5042
JMFINANCIL,0.0,0.0,0.0203,0.7069,0.3077,0.0617
TRIVENI,0.0,0.0,0.0,0.2813,0.2055,0.2779
ZODIACLOTH,0.0,0.0,0.0,0.0566,0.073,0.5857
PETRONET,0.0,0.174,0.2138,0.2492,0.1093,0.279
VISASTEEL,0.0,0.0,0.0,0.241,0.1153,0.8328
CYIENT,0.0001,0.0003,0.0563,0.0064,0.0354,0.0529
PNBGILTS,0.0,0.0029,0.0,0.7247,0.1428,0.4249
