Adj-r_sq,HML %,Rm-Rf %,SMB %,Symbol,WML %,const,ent
0.2028,0.1337,0.0,0.0006,JINDCOT,,0.3466,
0.2613,0.9051,0.0,0.0,KAKATCEM,,0.1564,
0.0868,0.0389,0.0,0.2835,PERSISTENT,,0.8656,
0.2152,0.0457,0.0,0.0001,KAYA,,0.3003,
0.214,0.5706,0.0,0.0002,HIRECT,,0.7603,
0.5317,0.4369,0.0,0.8093,LICHSGFIN,,0.3559,
0.2009,0.1305,0.0,0.0227,MASTEK,,0.8731,
0.3067,0.2266,0.0,0.536,HEXAWARE,,0.8758,
0.2334,0.4794,0.0,0.0009,RPPINFRA,,0.0317,
0.1864,0.0003,0.0025,0.0275,SASKEN,,0.5334,
0.2676,0.004,0.0,0.0126,PTL,,0.1456,
0.3211,0.0,0.0105,0.0,LITL,,0.2563,
0.1059,0.4803,0.0,0.1682,VHL,,0.1078,
0.6988,0.0,0.0,0.0024,ORIENTBANK,,0.7073,
0.2642,0.112,0.0,0.0128,PAGEIND,,0.6489,
0.2116,0.0006,0.0044,0.0,NAHARINDUS,,0.1419,
0.4559,0.0042,0.0,0.0,ASIANTILES,,0.2613,
0.3273,0.1078,0.0,0.0022,HERCULES,,0.6932,
0.2794,0.042,0.0,0.0001,PURVA,,0.5104,
0.1673,0.0811,0.0,0.0096,DHANUKA,,0.1003,
0.1016,0.8973,0.0,0.3474,SKFINDIA,,0.5752,
0.3196,0.4428,0.0,0.0002,SAREGAMA,,0.5617,
0.2931,0.1144,0.0,0.0492,KAMDHENU,,0.174,
0.3356,0.0426,0.0,0.0,TATACOFFEE,,0.3266,
0.3358,0.1073,0.0,0.0,NELCAST,,0.6484,
0.1483,0.0023,0.0027,0.3082,NATCOPHARM,,0.6461,
0.2355,0.796,0.0,0.0019,TIMKEN,,0.4405,
0.1257,0.1266,0.0,0.163,WHIRLPOOL,,0.1591,
0.2913,0.038,0.0,0.0035,GOODLUCK,,0.9737,
0.0346,0.5615,0.0693,0.045,NBCC,,0.5722,
0.3214,0.0026,0.0,0.0,ARSSINFRA,,0.371,
0.0491,0.897,0.2711,0.0016,ZENITHBIR,,0.6479,
0.3354,0.0002,0.0,0.0018,AMTEKAUTO,,0.7096,
0.2072,0.029,0.0,0.0294,SYNGENE,,0.163,
0.1238,0.7205,0.0,0.2359,DRREDDY,,0.7594,
0.1294,0.0435,0.0093,0.0002,BURNPUR,,0.5514,
0.0456,0.4183,0.0096,0.4934,SETFGOLD,,0.1698,
0.2632,0.5373,0.0,0.029,BAJAJFINSV,,0.0867,
0.5944,0.0,0.0,0.0,TATASTEEL,,0.0259,
0.3455,0.0414,0.0,0.0,JVLAGRO,,0.5594,
0.1986,0.0023,0.001,0.0025,ALPHAGEO,,0.2103,
0.0549,0.7196,0.0048,0.3242,MAANALU,,0.1449,
0.2399,0.2513,0.0,0.0001,INDNIPPON,,0.2812,
0.2755,0.0886,0.0,0.0008,VINYLINDIA,,0.8451,
0.0766,0.336,0.0,0.2883,CGPOWER,,0.5834,
0.2339,0.078,0.0,0.0001,TIL,,0.3916,
0.3742,0.0125,0.0,0.0,ROSSELLIND,,0.5093,
0.4872,0.0026,0.0,0.0,SKIPPER,,0.8892,
0.0545,0.8703,0.0815,0.0005,MANGTIMBER,,0.2757,
0.3215,0.0002,0.0,0.0002,TRF,,0.2196,
0.1936,0.0016,0.0007,0.027,NAVNETEDUL,,0.269,
0.2619,0.0544,0.0,0.0002,SPECIALITY,,0.1248,
0.2966,0.0003,0.0,0.0,KCPSUGIND,,0.4217,
0.2293,0.0038,0.0001,0.0,ROHLTD,,0.613,
0.2289,0.1489,0.0,0.0163,DAAWAT,,0.5141,
0.0507,0.146,0.0007,0.0635,SPYL,,0.9612,
0.1588,0.9644,0.0001,0.0,GMBREW,,0.6173,
0.2435,0.0334,0.0,0.0,EMMBI,,0.2299,
0.2831,0.0,0.2586,0.0001,JPINFRATEC,,0.5838,
0.2842,0.001,0.0,0.001,TATAINVEST,,0.5368,
0.3644,0.0001,0.0,0.0,SUBEX,,0.9511,
0.1399,0.6766,0.0,0.2371,CEREBRAINT,,0.5647,
0.2643,0.0559,0.0,0.0,SAKUMA,,0.8822,
0.2036,0.0654,0.0,0.3144,LAXMIMACH,,0.5466,
0.1796,0.5692,0.0,0.0221,GUJGASLTD,,0.8031,
0.2636,0.4104,0.0,0.0,JBFIND,,0.8352,
0.4338,0.0,0.0,0.0,KOPRAN,,0.8367,
0.0735,0.0114,0.2722,0.0052,BVCL,,0.4214,
0.0505,0.5366,0.0175,0.3666,IOC,,0.9649,
0.2684,0.0025,0.0,0.0009,IVRCLINFRA,,0.2531,
0.1945,0.1081,0.0,0.0737,KRIDHANINF,,0.0937,
0.42,0.0,0.0,0.0,PRAKASH,,0.2326,
0.0236,0.1936,0.1917,0.1292,CGCL,,0.9011,
0.0109,0.6501,0.0404,0.5238,MINDTREE,,0.2976,
0.3537,0.0353,0.0,0.0004,SCHNEIDER,,0.7967,
0.0466,0.9772,0.0051,0.1585,GRPLTD,,0.1815,
0.3399,0.0,0.0,0.0,VIMTALABS,,0.5638,
0.1777,0.1521,0.0,0.0623,RSSOFTWARE,,0.8369,
0.3038,0.0135,0.0,0.0,TVSELECT,,0.3254,
0.2863,0.093,0.0,0.0001,DCM,,0.4681,
0.1015,0.0674,0.0126,0.0046,RELAXO,,0.8224,
0.1834,0.7167,0.0,0.0014,ABFRL,,0.3399,
0.3778,0.4645,0.0,0.0,SANGAMIND,,0.743,
0.368,0.6851,0.0,0.0,LIBERTSHOE,,0.6631,
0.2561,0.0384,0.0,0.0014,JAYBARMARU,,0.1211,
0.3397,0.013,0.0,0.0,RCF,,0.7703,
0.4626,0.0064,0.0,0.0014,ICICIBANK,,0.7187,
0.4432,0.0056,0.0,0.7096,INDUSINDBK,,0.2178,
0.6364,0.0073,0.0,0.0268,CPSEETF,,0.0371,
0.1115,0.0276,0.0174,0.0046,ORBTEXP,,0.7047,
0.3463,0.0013,0.0,0.0,MANALIPETC,,0.4319,
0.3497,0.071,0.0,0.0029,CENTURYPLY,,0.6833,
0.0664,0.6762,0.002,0.7239,VSTIND,,0.1186,
0.3173,0.0001,0.0,0.876,SUZLON,,0.4532,
0.0648,0.0657,0.0001,0.6961,CRISIL,,0.3871,
0.066,0.8916,0.0016,0.0651,RANEENGINE,,0.4103,
0.2465,0.0347,0.0,0.0005,LINCPEN,,0.518,
0.1223,0.0049,0.1104,0.0002,SHARONBIO,,0.2484,
0.3523,0.1068,0.0,0.0099,ADANIPORTS,,0.6551,
0.2084,0.4764,0.0,0.0,EXCEL,,0.5321,
0.2302,0.0415,0.0,0.014,SONATSOFTW,,0.4257,
0.1843,0.015,0.0001,0.0011,GOLDIAM,,0.415,
0.143,0.0074,0.0103,0.0025,SUJANAUNI,,0.7652,
0.085,0.0891,0.0036,0.9924,JSWHL,,0.1554,
0.2011,0.0056,0.0,0.0304,ASHIANA,,0.8844,
0.3459,0.0014,0.0,0.0003,POLYPLEX,,0.0757,
0.1639,0.0016,0.003,0.0116,ITI,,0.2425,
0.1625,0.1335,0.0006,0.0,VIDHIING,,0.5597,
0.2796,0.453,0.0,0.0733,GODREJPROP,,0.979,
0.2141,0.9603,0.0,0.016,TVSSRICHAK,,0.4545,
0.2311,0.622,0.0,0.0,JBCHEPHARM,,0.2306,
0.1787,0.5458,0.0,0.7759,RELCNX100,,0.6694,
0.3075,0.0163,0.0,0.0018,MUKANDLTD,,0.287,
0.1534,0.2845,0.0002,0.0019,VIJSHAN,,0.7881,
0.1729,0.0013,0.0039,0.003,DLINKINDIA,,0.7845,
0.4052,0.0541,0.0,0.6334,ACC,,0.762,
0.1344,0.6466,0.0,0.8765,NAVINFLUOR,,0.3236,
0.0753,0.4464,0.0043,0.2025,TRENT,,0.4508,
0.3762,0.0587,0.0,0.0029,ORICONENT,,0.988,
0.2198,0.0697,0.0,0.0,FOSECOIND,,0.9428,
0.0823,0.0272,0.0213,0.1337,KELLTONTEC,,0.3592,
0.1535,0.0084,0.0018,0.0113,MERCK,,0.1468,
0.4184,0.0001,0.0,0.0,ELECTCAST,,0.5353,
0.1951,0.2248,0.0,0.046,ORIENTREF,,0.227,
0.0953,0.9024,0.0,0.8235,DPSCLTD,,0.018,
0.3142,0.0466,0.0,0.0001,TIIL,,0.1336,
0.1343,0.1034,0.0058,0.0001,TECHNOFAB,,0.6139,
0.4074,0.0007,0.0,0.3545,SETFNIF50,,0.4814,
0.0232,0.5109,0.0773,0.1358,AHLWEST,,0.1037,
0.1437,0.0335,0.0011,0.0022,SMPL,,0.8034,
0.2631,0.4391,0.0,0.0097,TVTODAY,,0.7483,
0.3175,0.0125,0.0,0.0065,STRTECH,,0.6052,
0.3815,0.0,0.0,0.0,NITINSPIN,,0.7756,
0.1612,0.5113,0.0,0.3229,THERMAX,,0.7517,
0.2859,0.5852,0.0,0.0759,STAR,,0.843,
0.3559,0.0255,0.0,0.2192,FEDERALBNK,,0.3082,
0.2743,0.0896,0.0,0.0009,METALFORGE,,0.9209,
0.055,0.0221,0.2636,0.0413,PAISALO,,0.8472,
0.4709,0.0002,0.0,0.0,TFCILTD,,0.8908,
0.2747,0.0008,0.0,0.1486,SELAN,,0.8834,
0.1802,0.046,0.0,0.0117,NLCINDIA,,0.8359,
0.2746,0.0,0.0002,0.0212,PARSVNATH,,0.328,
0.2964,0.0497,0.0,0.0,DTIL,,0.8151,
0.3726,0.0,0.0,0.0011,TATASPONGE,,0.3626,
0.0857,0.6746,0.0007,0.0245,PEARLPOLY,,0.4956,
0.0815,0.0313,0.0,0.9289,ITC,,0.6826,
0.2181,0.0143,0.0,0.5176,NATIONALUM,,0.1004,
0.1779,0.0094,0.0008,0.0091,WABAG,,0.3856,
0.3021,0.0,0.0275,0.0,GVKPIL,,0.6624,
0.228,0.0018,0.0,0.0008,IBVENTURES,,0.9396,
0.2701,0.8927,0.0,0.0158,SETFNN50,,0.3382,
0.0904,0.3538,0.0,0.927,ALANKIT,,0.7816,
0.2159,0.0135,0.0,0.0035,ADHUNIK,,0.2788,
0.1069,0.1064,0.0024,0.0127,RKDL,,0.5829,
0.2604,0.6398,0.0,0.0058,FACT,,0.745,
0.1709,0.0113,0.0017,0.0001,PGEL,,0.7335,
0.1616,0.053,0.0005,0.0004,ALKYLAMINE,,0.8923,
0.3838,0.0013,0.0,0.0,ASTRAMICRO,,0.7471,
0.093,0.1848,0.0098,0.0022,RUSHIL,,0.1265,
0.3676,0.0038,0.0,0.0001,RICOAUTO,,0.3638,
0.2361,0.6753,0.0,0.1923,POWERGRID,,0.0828,
0.1968,0.9805,0.0,0.234,CASTROLIND,,0.8187,
0.2751,0.274,0.0,0.075,MAGMA,,0.4812,
0.1338,0.1615,0.0004,0.0012,KSK,,0.0352,
0.1778,0.1232,0.0,0.1084,SHOPERSTOP,,0.3514,
0.1119,0.7067,0.0002,0.4326,ABB,,0.9023,
0.3404,0.0007,0.0,0.0018,MTNL,,0.8099,
0.5948,0.2291,0.0,0.0,INDIACEM,,0.2291,
0.1745,0.0011,0.0032,0.0023,OPTOCIRCUI,,0.7608,
0.1582,0.4497,0.0,0.0003,VRLLOG,,0.4222,
0.166,0.0773,0.0001,0.0007,ALLSEC,,0.035,
0.2818,0.0889,0.0,0.1481,DEEPIND,,0.1424,
0.3372,0.012,0.0,0.0,HOTELEELA,,0.3728,
0.3187,0.0205,0.0,0.0,RSWM,,0.2418,
0.5126,0.0,0.0,0.0333,ADANIENT,,0.9441,
0.1403,0.0374,0.0209,0.0,MAWANASUG,,0.0604,
0.1236,0.0361,0.1768,0.0,UGARSUGAR,,0.2697,
0.2334,0.0022,0.0,0.0101,CYBERTECH,,0.2588,
0.141,0.9404,0.0,0.0123,GANESHHOUC,,0.3776,
0.2869,0.0171,0.0,0.0,OMAXAUTO,,0.8492,
0.396,0.0368,0.0,0.0002,JISLJALEQS,,0.2353,
0.2479,0.2087,0.0,0.0002,ANGIND,,0.0544,
0.1168,0.2705,0.0053,0.0001,RTNINFRA,,0.9105,
0.2925,0.0402,0.0,0.0001,SUMMITSEC,,0.3022,
0.0859,0.0013,0.1911,0.4649,ASIANHOTNR,,0.7974,
0.0865,0.3649,0.0009,0.0628,SALSTEEL,,0.5569,
-0.004,0.404,0.9351,0.3387,SEPOWER,,0.1224,
0.3053,0.0031,0.0,0.0,INDIANCARD,,0.9063,
0.206,0.3042,0.0,0.0264,TDPOWERSYS,,0.1611,
0.3407,0.7675,0.0,0.1741,EICHERMOT,,0.198,
0.2232,0.0406,0.0,0.0134,DEEPAKNTR,,0.2793,
0.2331,0.4228,0.0,0.0122,SIYSIL,,0.596,
0.3235,0.7299,0.0,0.506,BATAINDIA,,0.8561,
0.1548,0.1193,0.0,0.0101,RAMCOSYS,,0.0624,
0.2154,0.8277,0.0,0.0417,HEXATRADEX,,0.8682,
0.1668,0.0028,0.0006,0.1391,CIGNITITEC,,0.9758,
0.0927,0.0825,0.0059,0.0494,SITINET,,0.499,
0.0741,0.2959,0.0084,0.0118,COUNCODOS,,0.5861,
0.1839,0.4981,0.0,0.0,TAINWALCHM,,0.4137,
0.0458,0.2513,0.0087,0.0278,MANAKCOAT,,0.5963,
0.0861,0.0538,0.0,0.5891,EMAMILTD,,0.8463,
0.1239,0.7687,0.0008,0.0001,SOMATEX,,0.3115,
-0.01,0.2625,0.5955,0.2862,MVL,,0.3492,
0.2418,0.0,0.0014,0.0022,FDC,,0.7249,
0.1948,0.9877,0.0,0.925,CUMMINSIND,,0.5504,
0.1765,0.7509,0.0,0.0027,PITTIENG,,0.5578,
0.4206,0.0004,0.0,0.0,NITINFIRE,,0.3359,
0.0917,0.5704,0.0145,0.0011,MONSANTO,,0.6454,
0.1305,0.2278,0.002,0.0001,SEQUENT,,0.1805,
0.2148,0.1769,0.0001,0.0,GARDENSILK,,0.6748,
0.0745,0.7154,0.0017,0.0253,VASWANI,,0.2739,
0.3099,0.0071,0.0,0.0,SARLAPOLY,,0.9224,
0.2515,0.0141,0.0,0.0,CINELINE,,0.007,
0.1068,0.1937,0.0028,0.0032,MAITHANALL,,0.0401,
0.1597,0.0283,0.0002,0.0165,JSL,,0.3054,
0.3424,0.0081,0.0,0.0,AKSHOPTFBR,,0.2765,
0.2503,0.8936,0.0,0.0233,RAYMOND,,0.3532,
0.2411,0.1863,0.0,0.0003,PETRONENGG,,0.4611,
0.1677,0.0327,0.0001,0.0083,AMBIKCO,,0.4011,
0.1103,0.223,0.0001,0.0006,GREENLAM,,0.7392,
0.0272,0.3836,0.2491,0.1373,DHUNINV,,0.502,
0.0872,0.2389,0.0024,0.1726,JSLHISAR,,0.0337,
0.3853,0.0,0.0077,0.1167,CORPBANK,,0.6838,
0.1898,0.4401,0.0,0.0009,OBEROIRLTY,,0.5191,
0.0166,0.6294,0.0692,0.22,BALKRISIND,,0.0819,
0.2092,0.1521,0.0,0.0008,LGBBROSLTD,,0.576,
0.2294,0.0044,0.0,0.0001,ADLABS,,0.3432,
0.3468,0.7771,0.0,0.0,SSWL,,0.1205,
0.4692,0.0001,0.0,0.0,NAHARSPING,,0.6949,
0.3462,0.0037,0.0,0.0,IL&FSENGG,,0.5609,
0.4525,0.0,0.0,0.0,NECLIFE,,0.4552,
0.2353,0.0026,0.0,0.0005,GENESYS,,0.242,
0.3498,0.0001,0.0,0.0,JAYSREETEA,,0.365,
0.4216,0.0088,0.0,0.0001,LEEL,,0.9847,
0.3175,0.101,0.0,0.5813,BEML,,0.6334,
0.3746,0.0495,0.0,0.6103,AMBUJACEM,,0.6532,
0.0521,0.355,0.0104,0.0159,HINDNATGLS,,0.4492,
0.2615,0.0,0.0,0.9212,SHREECEM,,0.2063,
0.1383,0.0003,0.166,0.0006,KGL,,0.9944,
0.0264,0.061,0.8403,0.2192,TULSI,,0.8864,
0.1325,0.0192,0.0114,0.0013,ALKALI,,0.5038,
0.0411,0.2553,0.0012,0.3506,NAUKRI,,0.695,
0.2032,0.0209,0.0,0.0012,TATAMETALI,,0.0144,
0.0249,0.2272,0.2095,0.5786,BSLGOLDETF,,0.3558,
0.0185,0.2685,0.285,0.0805,SOLARINDS,,0.3684,
0.5696,0.0,0.0,0.0006,PNB,,0.5598,
0.2725,0.0065,0.0,0.0019,BFINVEST,,0.7257,
0.2655,0.1912,0.0,0.0005,FEDDERELEC,,0.5764,
0.2246,0.0113,0.0001,0.0,PREMIER,,0.5294,
0.2087,0.2805,0.0,0.237,CADILAHC,,0.4988,
0.2779,0.0119,0.0,0.0206,TECHM,,0.9232,
0.2595,0.4977,0.0,0.8308,SUNCLAYLTD,,0.0551,
0.2597,0.7224,0.0,0.3664,MAHINDCIE,,0.5877,
0.3268,0.0264,0.0,0.0,KEI,,0.5012,
0.1104,0.2079,0.0062,0.0002,COMPUSOFT,,0.4709,
0.2114,0.0012,0.0013,0.0,MIC,,0.6592,
0.3059,0.042,0.0,0.0,GSCLCEMENT,,0.818,
0.3098,0.0003,0.0,0.5189,KEC,,0.9124,
0.3103,0.2384,0.0,0.0,LINCOLN,,0.9687,
0.0554,0.0871,0.1171,0.1229,GOKUL,,0.561,
0.4049,0.0074,0.0,0.0,MUNJALAU,,0.6422,
0.2564,0.0751,0.0,0.0002,TINPLATE,,0.5657,
0.4078,0.0013,0.0,0.0,BUTTERFLY,,0.8761,
0.1959,0.011,0.0014,0.0,VARDHACRLC,,0.2943,
0.2556,0.5436,0.0,0.0,BAJAJELEC,,0.5562,
0.0366,0.1308,0.1243,0.1478,ARIHANT,,0.5292,
0.3404,0.0058,0.0,0.0,INDRAMEDCO,,0.6135,
0.3239,0.0009,0.0,0.269,ZEEL,,0.5851,
0.0951,0.1626,0.0345,0.0003,GANDHITUBE,,0.3343,
0.2468,0.1395,0.0,0.2581,BLUESTARCO,,0.1913,
0.1847,0.004,0.0,0.0442,HCLTECH,,0.804,
0.5891,0.0,0.0,0.6226,DLF,,0.6779,
0.3482,0.0001,0.0,0.0,SICAGEN,,0.248,
0.4381,0.0,0.0,0.0,JINDALSAW,,0.7059,
0.0377,0.725,0.0229,0.0295,KIRLOSIND,,0.2577,
0.3097,0.0073,0.0,0.0,APARINDS,,0.3367,
0.1702,0.5787,0.0,0.8762,MANPASAND,,0.5196,
0.1811,0.0086,0.0085,0.0,HINDMOTORS,,0.6896,
0.0246,0.1428,0.9626,0.2208,WELSPUNIND,,0.341,
0.2414,0.7448,0.0,0.4823,NTPC,,0.3015,
0.1081,0.5062,0.0002,0.0189,SPLIL,,0.7952,
0.176,0.173,0.0,0.001,ESSELPACK,,0.0797,
0.4635,0.6822,0.0,0.5205,SIEMENS,,0.9071,
0.2033,0.0272,0.0,0.3355,SPARC,,0.892,
0.1028,0.0156,0.008,0.975,KIRLOSENG,,0.1919,
0.2357,0.0005,0.0001,0.0007,CENTUM,,0.7656,
0.3062,0.0272,0.0,0.0021,KABRAEXTRU,,0.5962,
0.381,0.0003,0.0,0.0003,RNAVAL,,0.4087,
0.1945,0.0007,0.0057,0.001,NAGREEKEXP,,0.6884,
0.247,0.0,0.0068,0.0001,BANARISUG,,0.0533,
0.2861,0.0,0.0287,0.0,ASSAMCO,,0.8088,
0.235,0.0243,0.0,0.0001,STEL,,0.3375,
0.1306,0.0889,0.0005,0.3273,MINDAIND,,0.9489,
0.3934,0.6745,0.0,0.0,PRSMJOHNSN,,0.7459,
0.1818,0.1243,0.0,0.0005,TEXMOPIPES,,0.4522,
0.3157,0.0005,0.0,0.0,AVTNPL,,0.9486,
0.0629,0.1405,0.0148,0.1959,SUNILHITEC,,0.5192,
0.3231,0.077,0.0,0.8091,MRF,,0.2342,
0.2655,0.0012,0.0,0.0016,GUJALKALI,,0.0394,
0.0515,0.4054,0.0146,0.491,GOLDBEES,,0.1384,
0.2159,0.1267,0.0,0.0,VSSL,,0.1758,
0.1212,0.002,0.2933,0.002,ICSA,,0.8706,
0.2236,0.0025,0.0,0.0096,HESTERBIO,,0.2808,
0.1517,0.4483,0.0,0.0327,ESABINDIA,,0.9505,
0.1878,0.0104,0.0012,0.0003,SELMCL,,0.5509,
0.1229,0.0089,0.0108,0.0125,PNC,,0.5561,
0.1577,0.1969,0.0001,0.0014,RESPONIND,,0.3088,
0.2178,0.0936,0.0,0.0001,MONTECARLO,,0.6909,
0.1698,0.6418,0.0,0.1169,SOBHA,,0.6511,
0.0061,0.9746,0.1584,0.3645,BLUEBLENDS,,0.7802,
0.1244,0.8066,0.0001,0.0005,TARMAT,,0.3617,
0.0862,0.1971,0.0028,0.0466,VIDEOIND,,0.3565,
0.3291,0.0001,0.0,0.0,EDUCOMP,,0.4798,
0.2881,0.5899,0.0,0.0329,RAMCOCEM,,0.0952,
0.1552,0.776,0.0,0.1896,TRITURBINE,,0.5676,
0.2639,0.834,0.0,0.0066,GREAVESCOT,,0.8552,
0.1583,0.2325,0.0,0.0493,LUPIN,,0.7569,
0.2966,0.0034,0.0,0.0,EROSMEDIA,,0.7633,
-0.0109,0.7194,0.8391,0.1741,GALLISPAT,,0.3895,
0.1101,0.0262,0.0282,0.1353,GLOBOFFS,,0.0163,
0.3959,0.1325,0.0,0.0,GAYAPROJ,,0.8277,
0.2513,0.0,0.2117,0.0,JPPOWER,,0.3676,
0.2889,0.002,0.0,0.0,MBLINFRA,,0.0109,
0.2038,0.3055,0.0,0.0003,WELENT,,0.7239,
0.0391,0.0392,0.5241,0.0737,TIDEWATER,,0.3418,
0.1662,0.41,0.0,0.0499,AARTIIND,,0.1747,
0.2236,0.4804,0.0,0.0003,AURIONPRO,,0.7219,
0.1391,0.9372,0.0,0.0093,SANWARIA,,0.9017,
0.0717,0.994,0.0007,0.3091,QGOLDHALF,,0.1023,
0.326,0.0,0.0009,0.0006,JPASSOCIAT,,0.8205,
0.4536,0.0001,0.0,0.0,HBLPOWER,,0.9767,
0.2677,0.5301,0.0,0.0,20MICRONS,,0.7351,
0.0552,0.8631,0.0014,0.1679,NDTV,,0.9948,
0.2316,0.0145,0.0,0.0002,MBECL,,0.1796,
0.0157,0.746,0.0316,0.8849,VIVIDHA,,0.0016,
0.3736,0.0,0.0,0.0,UNITECH,,0.7235,
0.3238,0.0515,0.0,0.0001,SUTLEJTEX,,0.0963,
0.3449,0.5042,0.0,0.0206,AMARAJABAT,,0.6363,
0.2305,0.1377,0.0,0.0003,WONDERLA,,0.7855,
0.6385,0.0,0.0,0.0,SBIN,,0.3143,
0.1371,0.0514,0.0015,0.0064,PANACEABIO,,0.8507,
0.2658,0.0057,0.0,0.0,SUBROS,,0.1806,
0.1942,0.0205,0.0,0.0014,ORTINLABSS,,0.7928,
0.2369,0.0,0.004,0.0001,INDBANK,,0.3572,
0.3978,0.0023,0.0,0.0001,MADHUCON,,0.3049,
0.2572,0.0004,0.0001,0.0001,ONWARDTEC,,0.6411,
0.259,0.0041,0.0,0.0,NAHARPOLY,,0.5515,
0.1023,0.2928,0.0003,0.0544,IDEA,,0.1573,
0.0848,0.0305,0.0903,0.0151,TREEHOUSE,,0.0057,
0.203,0.0014,0.0012,0.0001,INDOSOLAR,,0.4689,
0.3741,0.0,0.0,0.0,CCHHL,,0.9349,
0.0356,0.0607,0.0025,0.0978,KAJARIACER,,0.439,
0.3016,0.026,0.0,0.0001,BBL,,0.8244,
0.0452,0.0188,0.5529,0.0261,MANAKSTEEL,,0.8905,
0.1996,0.3771,0.0,0.7039,SWARAJENG,,0.1117,
0.2945,0.1694,0.0,0.0004,DREDGECORP,,0.6298,
0.1699,0.1057,0.0,0.0178,KRBL,,0.2081,
0.2421,0.0646,0.0,0.0,GEECEE,,0.7657,
