Symbol,Rm-Rf %,SMB %,Adj-r_sq,const,high-low
TDPOWERSYS,0.0006,,0.0866,0.5133,0.3532
EICHERMOT,0.0,,0.3047,0.3816,0.2552
DEEPAKNTR,0.0,,0.1197,0.8922,0.732
SIYSIL,0.0,,0.1614,0.2111,0.9571
BATAINDIA,0.0009,,0.0559,0.354,0.9317
RAMCOSYS,0.0,,0.2217,0.145,0.0512
HEXATRADEX,0.0,,0.115,0.6986,0.8497
CIGNITITEC,0.0,,0.1479,0.651,0.8484
SITINET,0.0001,,0.117,0.4788,0.2984
EMAMILTD,0.0025,,0.1305,0.3832,0.009
FDC,0.0,,0.1356,0.1635,0.3555
CUMMINSIND,0.0,,0.208,0.2432,0.6419
PITTIENG,0.0003,,0.0934,0.9353,0.3906
NITINFIRE,0.0014,,0.1324,0.3962,0.0132
MONSANTO,0.0,,0.1855,0.7552,0.1032
GARDENSILK,0.0001,,0.09,0.6936,0.6679
SARLAPOLY,0.0057,,0.0323,0.9754,0.7182
CINELINE,0.1851,,0.012,0.1766,0.5049
MAITHANALL,0.0317,,0.0261,0.8528,0.7261
AKSHOPTFBR,0.0,,0.2831,0.3484,0.1129
RAYMOND,0.0,,0.2779,0.9627,0.5366
PETRONENGG,0.0,,0.1264,0.2629,0.9311
AMBIKCO,0.0,,0.0947,0.0769,0.8317
DHUNINV,0.0,,0.1284,0.3255,0.1549
CORPBANK,0.0383,,0.0106,0.2239,0.4426
OBEROIRLTY,0.0,,0.189,0.5689,0.2856
LGBBROSLTD,0.0005,,0.1128,0.6798,0.1033
SSWL,0.0,,0.2698,0.1972,0.935
NAHARSPING,0.0,,0.2375,0.2772,0.1561
IL&FSENGG,0.0,,0.1757,0.4477,0.8091
NECLIFE,0.0,,0.3256,0.1774,0.0864
GENESYS,0.0006,,0.0574,0.2407,0.7675
JAYSREETEA,0.0,,0.1662,0.6807,0.7515
LEEL,0.0,,0.2929,0.0183,0.7489
BEML,0.0,,0.2281,0.067,0.2966
AMBUJACEM,0.0,,0.41,0.7645,0.6638
SHREECEM,0.0005,,0.1328,0.3547,0.0299
KGL,0.0001,,0.0773,0.1977,0.8424
TULSI,0.6941,,-0.0077,0.4458,0.7592
ALKALI,0.0,,0.0992,0.0306,0.5798
NAUKRI,0.0023,,0.073,0.7189,0.3165
TATAMETALI,0.0,,0.2839,0.6471,0.1551
BSLGOLDETF,0.4291,,-0.004,0.919,0.3271
SOLARINDS,0.0,,0.1644,0.0911,0.8999
PNB,0.0,,0.3224,0.2066,0.1227
BFINVEST,0.0,,0.1616,0.3885,0.2687
FEDDERELEC,0.0,,0.2597,0.1396,0.8491
PREMIER,0.0,,0.2076,0.7507,0.2296
CADILAHC,0.4987,,0.0113,0.3821,0.1954
TECHM,0.0279,,0.0142,0.3618,0.5287
SUNCLAYLTD,0.0001,,0.1502,0.2689,0.0424
MAHINDCIE,0.0,,0.214,0.4266,0.1494
KEI,0.0,,0.2914,0.0181,0.3165
COMPUSOFT,0.0005,,0.0448,0.4704,0.2088
MIC,0.0005,,0.0548,0.0425,0.6711
GSCLCEMENT,0.0,,0.1783,0.8985,0.2765
KEC,0.0,,0.2551,0.0526,0.0668
MUNJALAU,0.0,,0.143,0.8883,0.9931
TINPLATE,0.0,,0.2519,0.3869,0.3475
BUTTERFLY,0.0,,0.1963,0.4235,0.9306
VARDHACRLC,0.0,,0.1623,0.375,0.9961
BAJAJELEC,0.0,,0.2308,0.9467,0.1299
INDRAMEDCO,0.0,,0.1518,0.3249,0.3683
ZEEL,0.0,,0.3021,0.1868,0.5702
GANDHITUBE,0.0028,,0.0442,0.587,0.9336
BLUESTARCO,0.0,,0.1403,0.2345,0.9027
HCLTECH,0.0023,,0.0379,0.7088,0.5622
DLF,0.0,,0.3338,0.7309,0.7677
SICAGEN,0.0049,,0.043,0.434,0.8746
JINDALSAW,0.0,,0.2049,0.6511,0.4225
KIRLOSIND,0.0,,0.0965,0.4183,0.9751
APARINDS,0.0,,0.2491,0.3184,0.0601
HINDMOTORS,0.0,,0.1949,0.7614,0.1734
WELSPUNIND,0.0,,0.2344,0.0058,0.1382
NTPC,0.0,,0.3241,0.2403,0.0017
SPLIL,0.2581,,0.0568,0.0553,0.0133
ESSELPACK,0.0,,0.3297,0.1153,0.7761
SIEMENS,0.0,,0.4765,0.0629,0.301
SPARC,0.0,,0.1585,0.1436,0.123
KIRLOSENG,0.0026,,0.0353,0.7666,0.4861
CENTUM,0.0,,0.1279,0.801,0.7146
KABRAEXTRU,0.0,,0.167,0.3579,0.4459
RNAVAL,0.0053,,0.0438,0.0582,0.8069
BANARISUG,0.0,,0.1043,0.7846,0.6395
ASSAMCO,0.0005,,0.0746,0.4778,0.6476
MINDAIND,0.0,,0.1779,0.0802,0.9563
PRSMJOHNSN,0.0,,0.2467,0.4718,0.8495
TEXMOPIPES,0.0,,0.1251,0.7613,0.3787
AVTNPL,0.0,,0.1996,0.8139,0.0629
SUNILHITEC,0.0,,0.1797,0.104,0.6766
MRF,0.0,,0.4737,0.464,0.0045
GUJALKALI,0.0,,0.2627,0.4631,0.9096
GOLDBEES,0.0104,,0.0305,0.9743,0.9339
VSSL,0.0037,,0.0306,0.1621,0.3862
ICSA,0.003,,0.048,0.9787,0.88
ESABINDIA,0.0,,0.1136,0.9217,0.5795
SELMCL,0.0003,,0.0999,0.4819,0.2575
PNC,0.0,,0.0785,0.1296,0.0702
RESPONIND,0.0012,,0.1123,0.4286,0.054
MONTECARLO,0.0,,0.1015,0.6112,0.7476
SOBHA,0.0,,0.1215,0.5179,0.8351
VIDEOIND,0.0877,,0.0102,0.7605,0.9809
EDUCOMP,0.0,,0.2575,0.945,0.3977
RAMCOCEM,0.0,,0.2488,0.2224,0.1716
TRITURBINE,0.0,,0.1532,0.7285,0.3807
GREAVESCOT,0.0,,0.1047,0.5522,0.1253
LUPIN,0.0,,0.1567,0.1548,0.6961
EROSMEDIA,0.0007,,0.0537,0.8946,0.7435
GALLISPAT,0.0,,0.2098,0.0006,0.0869
GLOBOFFS,0.1668,,0.0145,0.3312,0.4525
GAYAPROJ,0.0,,0.2644,0.0001,0.0114
JPPOWER,0.0,,0.2984,0.5332,0.4906
MBLINFRA,0.0,,0.0958,0.8639,0.1006
WELENT,0.0349,,0.1708,0.142,0.0
TIDEWATER,0.0002,,0.1104,0.1824,0.1823
AARTIIND,0.0,,0.1397,0.0191,0.6391
AURIONPRO,0.0,,0.1778,0.9169,0.0461
SANWARIA,0.0077,,0.0262,0.8647,0.5498
QGOLDHALF,0.234,,0.0148,0.951,0.3263
JPASSOCIAT,0.0,,0.3106,0.3865,0.119
HBLPOWER,0.0,,0.3242,0.2192,0.7102
20MICRONS,0.0006,,0.0397,0.3043,0.057
NDTV,0.0,,0.2169,0.8697,0.2325
MBECL,0.0,,0.1145,0.3483,0.8314
VIVIDHA,0.0303,,0.0149,0.6466,0.6369
UNITECH,0.0,,0.2774,0.3966,0.8381
SUTLEJTEX,0.0,,0.3151,0.0884,0.2637
AMARAJABAT,0.0,,0.2124,0.4549,0.7152
WONDERLA,0.0,,0.1399,0.1643,0.8929
SBIN,0.0,,0.4724,0.5119,0.9355
PANACEABIO,0.0,,0.1278,0.806,0.5347
SUBROS,0.0,,0.2312,0.1404,0.1065
INDBANK,0.0005,,0.0508,0.4941,0.4315
MADHUCON,0.0,,0.307,0.0227,0.7068
ONWARDTEC,0.0018,,0.07,0.1429,0.4331
NAHARPOLY,0.0425,,0.0339,0.1865,0.388
IDEA,0.0,,0.1225,0.7031,0.1081
TREEHOUSE,0.0381,,0.0328,0.1254,0.4395
INDOSOLAR,0.0,,0.1199,0.2114,0.783
KAJARIACER,0.0,,0.2339,0.0245,0.1502
BBL,0.0,,0.2707,0.22,0.2786
SWARAJENG,0.0,,0.241,0.4561,0.0634
DREDGECORP,0.0,,0.3367,0.8477,0.3004
KRBL,0.0,,0.1873,0.0355,0.146
GEECEE,0.0,,0.0987,0.0101,0.562
MOHOTAIND,0.0081,,0.0272,0.0808,0.6285
INDOTECH,0.0,,0.1198,0.6781,0.3773
HMT,0.0,,0.1899,0.4403,0.7473
SHANTIGEAR,0.0,,0.1725,0.8609,0.4325
JKLAKSHMI,0.0,,0.2189,0.7551,0.1125
OIL,0.0,,0.1589,0.4084,0.273
FCONSUMER,0.0,,0.1919,0.0599,0.2565
BHARATFORG,0.0,,0.3178,0.6818,0.35
CELESTIAL,0.0167,,0.0163,0.6427,0.3242
IGL,0.0,,0.1671,0.2981,0.167
IDFC,0.0001,,0.0749,0.2501,0.7747
JMFINANCIL,0.0,,0.3009,0.6529,0.2972
TRIVENI,0.0013,,0.0692,0.1077,0.5379
ZODIACLOTH,0.347,,0.0135,0.6945,0.2521
PETRONET,0.0,,0.1452,0.1394,0.1273
VISASTEEL,0.0006,,0.0562,0.6592,0.739
CYIENT,0.0042,,0.0355,0.7799,0.7275
PNBGILTS,0.0,,0.2144,0.7527,0.5685
GREENPLY,0.0003,,0.1473,0.44,0.0178
ZEEMEDIA,0.0,,0.1787,0.3631,0.3657
MUTHOOTFIN,0.0,,0.1401,0.882,0.1209
BAJFINANCE,0.0,,0.1761,0.0279,0.0238
BASML,0.0,,0.1833,0.2356,0.073
KNRCON,0.0,,0.2392,0.0508,0.5289
IBREALEST,0.0,,0.3424,0.5436,0.9919
VOLTAMP,0.0,,0.209,0.2281,0.9194
KOTHARIPET,0.0,,0.0891,0.0848,0.3938
RATNAMANI,0.0,,0.1491,0.7769,0.4426
FIEMIND,0.0,,0.2242,0.6237,0.2046
BALAJITELE,0.0,,0.2367,0.038,0.4337
KOHINOOR,0.0001,,0.1138,0.4259,0.3456
ELGIEQUIP,0.0234,,0.0782,0.8486,0.0382
DABUR,0.0,,0.1822,0.2803,0.0263
ASHOKLEY,0.0,,0.3824,0.0291,0.0104
SRTRANSFIN,0.0,,0.1049,0.8282,0.7972
SUNDRMFAST,0.0,,0.2065,0.8368,0.8154
KOTARISUG,0.4552,,0.0055,0.5599,0.3576
IVC,0.0,,0.0881,0.5468,0.9754
RBL,0.0,,0.2157,0.3575,0.3539
ZYLOG,0.0386,,0.0618,0.7271,0.0711
SYMPHONY,0.0001,,0.1857,0.5337,0.0043
NFL,0.0,,0.1926,0.9597,0.4405
UNITEDBNK,0.0,,0.2857,0.0362,0.1212
MINDACORP,0.0,,0.0946,0.6067,0.4751
AGCNET,0.0001,,0.1175,0.4884,0.2865
MUKTAARTS,0.1909,,0.02,0.237,0.2754
NITCO,0.0005,,0.0908,0.132,0.3388
CENTURYTEX,0.0,,0.4302,0.2849,0.5106
NCLIND,0.0,,0.1709,0.0048,0.4936
ASTRAL,0.0004,,0.1394,0.4838,0.0253
RKFORGE,0.0,,0.2789,0.1038,0.14
LGBFORGE,0.0092,,0.0483,0.1301,0.4796
IGARASHI,0.0,,0.252,0.045,0.2882
JPOLYINVST,0.0003,,0.0763,0.6888,0.781
KIRIINDUS,0.001,,0.0706,0.2969,0.5793
RPOWER,0.0,,0.4358,0.6037,0.6054
HINDCOPPER,0.0,,0.3514,0.8336,0.4538
PENINLAND,0.0,,0.2728,0.7545,0.5238
JAGRAN,0.0,,0.1648,0.2904,0.0893
MTEDUCARE,0.0,,0.1804,0.0926,0.176
ADSL,0.0002,,0.0998,0.125,0.377
WOCKPHARMA,0.0,,0.3409,0.1289,0.2167
ESTER,0.0041,,0.0548,0.0062,0.5556
KTIL,0.0,,0.1806,0.7354,0.9501
APOLLOHOSP,0.0,,0.2425,0.15,0.4506
SPMLINFRA,0.0,,0.2007,0.7618,0.4909
TANTIACONS,0.0,,0.0773,0.2511,0.2266
AJANTPHARM,0.0021,,0.0571,0.9756,0.7108
GILLETTE,0.0004,,0.1407,0.1448,0.021
CLNINDIA,0.1681,,0.0092,0.6453,0.6578
PAPERPROD,0.0,,0.212,0.1644,0.7324
SUPERHOUSE,0.0,,0.1936,0.9908,0.2155
MCDOWELL-N,0.0,,0.1757,0.4974,0.6154
GULFPETRO,0.0,,0.1302,0.0812,0.7539
VOLTAS,0.0,,0.3017,0.105,0.5329
HIMATSEIDE,0.0,,0.2158,0.0282,0.0065
SWELECTES,0.0,,0.1957,0.5214,0.0752
KWALITY,0.0,,0.2327,0.0062,0.6314
BALLARPUR,0.0,,0.1856,0.2376,0.1992
JKIL,0.1028,,0.0113,0.9892,0.8193
POLYMED,0.0738,,0.0104,0.4553,0.918
RSYSTEMS,0.0023,,0.1315,0.9511,0.009
JYOTISTRUC,0.0,,0.1314,0.3838,0.5239
RCOM,0.0,,0.353,0.3455,0.4728
DALMIASUG,0.0001,,0.0834,0.0196,0.8347
JUBLINDS,0.0001,,0.0582,0.0255,0.1179
GODREJCP,0.0011,,0.1173,0.2462,0.0432
PILITA,0.0,,0.1831,0.8575,0.3112
GSFC,0.0,,0.15,0.6262,0.9214
IL&FSTRANS,0.0,,0.2425,0.0478,0.1484
PPAP,0.0074,,0.0692,0.1834,0.1772
APOLLOTYRE,0.0,,0.3402,0.7496,0.7679
VAIBHAVGBL,0.0033,,0.0281,0.9348,0.1958
ADVANIHOTR,0.0131,,0.0417,0.6901,0.5529
ANSALAPI,0.0,,0.2471,0.7059,0.2101
BODALCHEM,0.0,,0.2224,0.1165,0.3479
SUNTV,0.0,,0.1057,0.4826,0.538
HIL,0.0,,0.2069,0.7566,0.3264
EMAMIINFRA,0.0001,,0.0802,0.2869,0.7535
PRAJIND,0.0,,0.1777,0.1504,0.8612
INDIANHUME,0.0,,0.145,0.2692,0.9441
RENUKA,0.0001,,0.0911,0.9132,0.7948
GLENMARK,0.0,,0.2241,0.2368,0.9306
WHEELS,0.0047,,0.1438,0.5848,0.0018
ELAND,0.0,,0.1164,0.0079,0.802
JKTYRE,0.0,,0.2759,0.9691,0.0855
WIPRO,0.0,,0.1864,0.5148,0.6907
CHAMBLFERT,0.0,,0.1425,0.6104,0.3977
SIMPLEX,0.0006,,0.075,0.8048,0.6075
BASF,0.0,,0.2167,0.5495,0.0079
ORIENTHOT,0.0001,,0.0632,0.4157,0.466
KKCL,0.0334,,0.0132,0.3353,0.5713
BAFNAPHARM,0.0,,0.0971,0.1852,0.4502
INDOCO,0.0,,0.1915,0.4267,0.296
MADHAV,0.0005,,0.1051,0.153,0.1594
GNFC,0.0,,0.1649,0.613,0.9385
TARAJEWELS,0.0,,0.1128,0.9845,0.2053
THANGAMAYL,0.0127,,0.034,0.748,0.8097
GKWLIMITED,0.0103,,0.0299,0.5751,0.8777
BHARATRAS,0.0052,,0.0596,0.5899,0.3839
MANUGRAPH,0.0189,,0.0436,0.2501,0.389
HATSUN,0.0061,,0.0685,0.1976,0.2127
CAREERP,0.0,,0.1519,0.9623,0.077
NCC,0.0,,0.2784,0.688,0.3905
JBMA,0.0,,0.1868,0.5965,0.3976
SQSBFSI,0.0,,0.1522,0.0939,0.5253
HARITASEAT,0.0,,0.1394,0.0202,0.8725
GATI,0.0,,0.2268,0.6172,0.9997
LINDEINDIA,0.0,,0.1261,0.5181,0.7003
ABBOTINDIA,0.2633,,0.011,0.0284,0.3911
ZUARI,0.0,,0.1535,0.4,0.5243
DATAMATICS,0.0,,0.1968,0.6877,0.4139
TALBROAUTO,0.0,,0.1829,0.4827,0.3567
NAHARCAP,0.0,,0.2437,0.7968,0.4536
BANKBEES,0.0,,0.6849,0.6575,0.4898
OISL,0.0,,0.0808,0.9072,0.4238
ICRA,0.0,,0.1544,0.043,0.5155
VLSFINANCE,0.0004,,0.1057,0.1807,0.1682
ANKITMETAL,0.4284,,-0.0003,0.5072,0.6458
HINDPETRO,0.0,,0.2835,0.0429,0.6115
FINPIPE,0.0025,,0.0679,0.4336,0.3857
NEULANDLAB,0.0,,0.1695,0.1296,0.9873
GOKEX,0.0,,0.2075,0.5287,0.9137
BALMLAWRIE,0.0,,0.2513,0.561,0.3316
