Symbol,Rm-Rf %,Adj-r_sq,const
TIMKEN,0.0,0.3273,0.4146
WHIRLPOOL,0.0,0.1897,0.5765
GOODLUCK,0.0,0.2545,0.1551
NBCC,0.0,0.3051,0.2375
ARSSINFRA,0.0,0.19,0.3219
ZENITHBIR,0.1895,0.003,0.6187
AMTEKAUTO,0.0,0.1082,0.5167
DRREDDY,0.0,0.1475,0.6558
BURNPUR,0.0,0.1197,0.645
SETFGOLD,0.0775,0.0086,0.9973
BAJAJFINSV,0.0,0.2225,0.034
TATASTEEL,0.0,0.4088,0.4748
JVLAGRO,0.0,0.155,0.5148
ALPHAGEO,0.0,0.1871,0.4525
INDNIPPON,0.0,0.128,0.9711
VINYLINDIA,0.0,0.1789,0.7485
CGPOWER,0.0,0.3882,0.3948
TIL,0.0,0.2343,0.2294
ROSSELLIND,0.0,0.1592,0.1529
MANGTIMBER,0.0757,0.009,0.247
TRF,0.0,0.1749,0.4103
NAVNETEDUL,0.0,0.1274,0.8535
SPECIALITY,0.0,0.0757,0.6424
KCPSUGIND,0.0,0.0723,0.4959
ROHLTD,0.0,0.0649,0.1
DAAWAT,0.0,0.0969,0.0278
GMBREW,0.0019,0.0348,0.0002
EMMBI,0.0,0.0758,0.0021
JPINFRATEC,0.0,0.2495,0.523
TATAINVEST,0.0,0.2825,0.655
SUBEX,0.0,0.1429,0.4882
CEREBRAINT,0.0015,0.0364,0.0997
SAKUMA,0.0,0.0804,0.0108
LAXMIMACH,0.0,0.1536,0.5488
JBFIND,0.0,0.1843,0.6916
KOPRAN,0.0,0.2409,0.1949
BVCL,0.0,0.1044,0.2606
IOC,0.0,0.2192,0.1211
IVRCLINFRA,0.0,0.2192,0.5074
PRAKASH,0.0,0.2884,0.5093
CGCL,0.0,0.113,0.7076
MINDTREE,0.0,0.1491,0.3819
SCHNEIDER,0.0,0.3088,0.392
VIMTALABS,0.0,0.1473,0.2401
RSSOFTWARE,0.0,0.0963,0.2686
TVSELECT,0.0002,0.0519,0.0373
DCM,0.0,0.1305,0.6257
RELAXO,0.0029,0.0317,0.6924
ABFRL,0.0,0.1243,0.0628
SANGAMIND,0.0,0.1826,0.0022
LIBERTSHOE,0.0,0.3836,0.9651
JAYBARMARU,0.0,0.1719,0.6938
RCF,0.0,0.1812,0.8079
ICICIBANK,0.0,0.5144,0.6331
INDUSINDBK,0.0,0.4182,0.0892
CPSEETF,0.0,0.6863,0.8966
ORBTEXP,0.0,0.1836,0.522
MANALIPETC,0.0,0.213,0.0756
CENTURYPLY,0.0,0.292,0.4218
VSTIND,0.0,0.094,0.9856
SUZLON,0.0,0.2165,0.1895
CRISIL,0.0,0.1926,0.5048
SHARONBIO,0.0018,0.0353,0.8747
ADANIPORTS,0.0,0.3561,0.9888
EXCEL,0.0,0.0882,0.2185
SONATSOFTW,0.0,0.1033,0.2119
GOLDIAM,0.0,0.0646,0.1181
SUJANAUNI,0.0005,0.0439,0.7737
JSWHL,0.0,0.1664,0.5361
ASHIANA,0.0,0.1158,0.8149
POLYPLEX,0.0,0.2517,0.2889
ITI,0.0,0.1806,0.4739
GODREJPROP,0.0,0.2412,0.1308
TVSSRICHAK,0.0,0.1845,0.0853
JBCHEPHARM,0.0,0.2196,0.1745
MUKANDLTD,0.0,0.1634,0.5316
VIJSHAN,0.0,0.1027,0.5744
DLINKINDIA,0.0,0.2049,0.4908
ACC,0.0,0.2815,0.5864
NAVINFLUOR,0.0,0.1457,0.0042
TRENT,0.0,0.1706,0.2491
FOSECOIND,0.0,0.1316,0.3402
MERCK,0.0,0.2638,0.6037
ELECTCAST,0.0,0.1788,0.2836
ORIENTREF,0.0,0.089,0.7614
DPSCLTD,0.0,0.0968,0.7609
TIIL,0.0,0.1777,0.1416
TECHNOFAB,0.0003,0.0488,0.2876
AHLWEST,0.075,0.009,0.5535
SMPL,0.0,0.0979,0.7141
TVTODAY,0.0,0.22,0.109
STRTECH,0.0,0.3216,0.0898
NITINSPIN,0.0,0.1199,0.0205
THERMAX,0.0,0.182,0.9802
STAR,0.0,0.3444,0.1127
FEDERALBNK,0.0,0.1279,0.2946
METALFORGE,0.0,0.1159,0.0994
PAISALO,0.0001,0.0541,0.5304
TFCILTD,0.0,0.3158,0.9955
SELAN,0.0,0.135,0.4535
NLCINDIA,0.0,0.2305,0.5092
PARSVNATH,0.0001,0.0578,0.188
TATASPONGE,0.0,0.3467,0.9534
ITC,0.0,0.171,0.9001
NATIONALUM,0.0,0.0712,0.6084
WABAG,0.0,0.1233,0.5805
GVKPIL,0.0,0.1515,0.8337
IBVENTURES,0.0,0.2615,0.4283
ADHUNIK,0.0,0.13,0.9611
RKDL,0.0052,0.0275,0.251
FACT,0.0,0.1612,0.9321
PGEL,0.0002,0.051,0.1734
ALKYLAMINE,0.0,0.1663,0.6011
ASTRAMICRO,0.0,0.1222,0.4182
RUSHIL,0.0001,0.0612,0.0112
RICOAUTO,0.0,0.2528,0.4783
POWERGRID,0.0,0.2228,0.398
CASTROLIND,0.0,0.2014,0.9452
MAGMA,0.0,0.1733,0.9179
KSK,0.0,0.0749,0.9302
SHOPERSTOP,0.0,0.1958,0.9348
ABB,0.0,0.2327,0.9799
MTNL,0.0,0.1792,0.861
INDIACEM,0.0,0.4391,0.2598
OPTOCIRCUI,0.0,0.1678,0.3005
ALLSEC,0.0037,0.0299,0.0011
DEEPIND,0.0,0.1691,0.0263
HOTELEELA,0.0,0.2131,0.5492
RSWM,0.0,0.2726,0.0363
ADANIENT,0.0,0.1521,0.5727
MAWANASUG,0.0028,0.0318,0.1899
CYBERTECH,0.0,0.1571,0.3325
GANESHHOUC,0.0,0.2061,0.4121
OMAXAUTO,0.0,0.1353,0.2295
JISLJALEQS,0.0,0.4093,0.4562
ANGIND,0.0,0.2483,0.3421
RTNINFRA,0.0,0.0692,0.4964
SUMMITSEC,0.0,0.1546,0.2197
ASIANHOTNR,0.0,0.066,0.5263
SALSTEEL,0.0009,0.0403,0.3851
INDIANCARD,0.0,0.092,0.0282
TDPOWERSYS,0.0,0.0871,0.5803
EICHERMOT,0.0,0.3038,0.3132
DEEPAKNTR,0.0,0.1229,0.8607
SIYSIL,0.0,0.1648,0.2051
BATAINDIA,0.0001,0.0598,0.345
RAMCOSYS,0.0,0.2127,0.0935
HEXATRADEX,0.0,0.1185,0.6804
CIGNITITEC,0.0,0.1512,0.6328
SITINET,0.0,0.1167,0.4064
EMAMILTD,0.0,0.1094,0.2459
FDC,0.0,0.1361,0.1319
CUMMINSIND,0.0,0.2105,0.2191
PITTIENG,0.0,0.0944,0.8579
NITINFIRE,0.0,0.1139,0.2613
MONSANTO,0.0,0.1799,0.8978
GARDENSILK,0.0,0.0931,0.6557
SARLAPOLY,0.0017,0.0357,0.9426
CINELINE,0.0342,0.0143,0.1535
MAITHANALL,0.0039,0.0296,0.8828
AKSHOPTFBR,0.0,0.2786,0.2629
RAYMOND,0.0,0.2797,0.9817
PETRONENGG,0.0,0.13,0.2548
AMBIKCO,0.0,0.0983,0.0707
DHUNINV,0.0,0.1247,0.4027
CORPBANK,0.0451,0.0123,0.1897
OBEROIRLTY,0.0,0.1885,0.6511
LGBBROSLTD,0.0,0.1067,0.8183
SSWL,0.0,0.2728,0.1966
NAHARSPING,0.0,0.2343,0.2109
IL&FSENGG,0.0,0.1788,0.4604
NECLIFE,0.0,0.3202,0.1224
GENESYS,0.0001,0.0609,0.2499
JAYSREETEA,0.0,0.1693,0.6521
LEEL,0.0,0.2955,0.0158
BEML,0.0,0.2278,0.05
AMBUJACEM,0.0,0.4119,0.8005
SHREECEM,0.0,0.1194,0.2426
KGL,0.0,0.0809,0.2018
TULSI,0.7914,-0.0039,0.4624
ALKALI,0.0,0.1018,0.0342
NAUKRI,0.0,0.0729,0.6343
TATAMETALI,0.0,0.2808,0.765
BSLGOLDETF,0.7908,-0.0039,0.9895
SOLARINDS,0.0,0.1677,0.0858
PNB,0.0,0.3186,0.1496
BFINVEST,0.0,0.1608,0.321
FEDDERELEC,0.0,0.2626,0.1421
PREMIER,0.0,0.2061,0.6487
CADILAHC,0.079,0.0085,0.4641
TECHM,0.0239,0.0167,0.3221
SUNCLAYLTD,0.0,0.1393,0.1823
MAHINDCIE,0.0,0.2105,0.3365
KEI,0.0,0.2914,0.0128
COMPUSOFT,0.0007,0.0425,0.5596
MIC,0.0001,0.058,0.0458
GSCLCEMENT,0.0,0.1777,0.8013
KEC,0.0,0.2478,0.0826
MUNJALAU,0.0,0.1465,0.8882
TINPLATE,0.0,0.2522,0.3285
BUTTERFLY,0.0,0.1995,0.4253
VARDHACRLC,0.0,0.1658,0.3706
BAJAJELEC,0.0,0.2267,0.8115
INDRAMEDCO,0.0,0.1525,0.3738
ZEEL,0.0,0.304,0.2054
GANDHITUBE,0.0003,0.0481,0.5903
BLUESTARCO,0.0,0.1438,0.236
HCLTECH,0.0009,0.0405,0.6585
DLF,0.0,0.3363,0.754
SICAGEN,0.0004,0.0469,0.4197
JINDALSAW,0.0,0.2061,0.7154
KIRLOSIND,0.0,0.1002,0.4123
APARINDS,0.0,0.2413,0.226
HINDMOTORS,0.0,0.192,0.6461
WELSPUNIND,0.0,0.2306,0.0033
NTPC,0.0,0.2993,0.4179
SPLIL,0.0017,0.0363,0.0289
ESSELPACK,0.0,0.3322,0.1053
SIEMENS,0.0,0.4763,0.0469
SPARC,0.0,0.1537,0.1008
KIRLOSENG,0.0013,0.0374,0.8258
CENTUM,0.0,0.131,0.7676
KABRAEXTRU,0.0,0.1684,0.3114
RNAVAL,0.0003,0.0475,0.0527
BANARISUG,0.0,0.1072,0.824
ASSAMCO,0.0,0.0776,0.4429
MINDAIND,0.0,0.1813,0.0787
PRSMJOHNSN,0.0,0.2496,0.4814
TEXMOPIPES,0.0,0.1259,0.6851
AVTNPL,0.0,0.1915,0.6557
SUNILHITEC,0.0,0.1824,0.0919
MRF,0.0,0.4581,0.2958
GUJALKALI,0.0,0.2657,0.4671
GOLDBEES,0.002,0.0344,0.9816
VSSL,0.0031,0.0316,0.1906
ICSA,0.0002,0.0518,0.9649
ESABINDIA,0.0,0.1162,0.869
SELMCL,0.0,0.0989,0.4035
PNC,0.0,0.0695,0.1872
RESPONIND,0.0,0.1023,0.3128
MONTECARLO,0.0,0.1048,0.6341
SOBHA,0.0,0.1249,0.4993
VIDEOIND,0.034,0.0142,0.7606
EDUCOMP,0.0,0.2584,0.9789
RAMCOCEM,0.0,0.2461,0.2839
TRITURBINE,0.0,0.154,0.6536
GREAVESCOT,0.0,0.0997,0.6721
LUPIN,0.0,0.1596,0.1393
EROSMEDIA,0.0001,0.0572,0.8645
GALLISPAT,0.0,0.2035,0.0012
GLOBOFFS,0.0254,0.0162,0.3714
GAYAPROJ,0.0,0.2479,0.0
JPPOWER,0.0,0.2999,0.5826
MBLINFRA,0.0,0.0895,0.7206
WELENT,0.0,0.1086,0.0572
TIDEWATER,0.0,0.1075,0.1363
AARTIIND,0.0,0.1424,0.0158
AURIONPRO,0.0,0.1676,0.9038
SANWARIA,0.0043,0.0288,0.9172
QGOLDHALF,0.0306,0.0149,0.9606
JPASSOCIAT,0.0,0.3066,0.4884
HBLPOWER,0.0,0.3266,0.2003
20MICRONS,0.004,0.0293,0.4158
NDTV,0.0,0.2156,0.9762
MBECL,0.0,0.1179,0.3567
VIVIDHA,0.0197,0.018,0.6061
UNITECH,0.0,0.2803,0.4056
SUTLEJTEX,0.0,0.3144,0.0659
AMARAJABAT,0.0,0.2152,0.4268
WONDERLA,0.0,0.1434,0.1563
SBIN,0.0,0.4745,0.5143
PANACEABIO,0.0,0.13,0.7506
SUBROS,0.0,0.2261,0.0969
INDBANK,0.0002,0.0522,0.5487
MADHUCON,0.0,0.3094,0.0242
ONWARDTEC,0.0,0.0715,0.1189
NAHARPOLY,0.0019,0.0349,0.1534
IDEA,0.0,0.1168,0.841
TREEHOUSE,0.002,0.0344,0.1453
INDOSOLAR,0.0,0.1232,0.1967
KAJARIACER,0.0,0.2305,0.0156
BBL,0.0,0.2701,0.2663
SWARAJENG,0.0,0.2333,0.3393
DREDGECORP,0.0,0.3365,0.7561
KRBL,0.0,0.1835,0.023
GEECEE,0.0,0.1011,0.0115
MOHOTAIND,0.0036,0.0302,0.0881
INDOTECH,0.0,0.1206,0.6045
HMT,0.0,0.1928,0.4583
SHANTIGEAR,0.0,0.1738,0.9302
JKLAKSHMI,0.0,0.214,0.8938
OIL,0.0,0.1582,0.3393
FCONSUMER,0.0,0.1909,0.0434
BHARATFORG,0.0,0.3182,0.604
CELESTIAL,0.0248,0.0164,0.7224
IGL,0.0,0.164,0.2298
IDFC,0.0,0.0783,0.2332
JMFINANCIL,0.0,0.3007,0.5683
TRIVENI,0.0,0.0716,0.091
ZODIACLOTH,0.0478,0.0122,0.7799
PETRONET,0.0,0.1405,0.1896
VISASTEEL,0.0001,0.0597,0.6841
CYIENT,0.0011,0.0389,0.8086
PNBGILTS,0.0,0.2165,0.8004
GREENPLY,0.0,0.131,0.3
ZEEMEDIA,0.0,0.1793,0.3088
MUTHOOTFIN,0.0,0.1351,0.9788
BAJFINANCE,0.0,0.162,0.0145
BASML,0.0,0.1757,0.1674
KNRCON,0.0,0.2411,0.0415
IBREALEST,0.0,0.3451,0.5394
VOLTAMP,0.0,0.2122,0.2198
KOTHARIPET,0.0,0.0901,0.1011
RATNAMANI,0.0,0.1505,0.8428
FIEMIND,0.0,0.2222,0.7266
BALAJITELE,0.0,0.2379,0.0295
KOHINOOR,0.0,0.1142,0.3638
ELGIEQUIP,0.0,0.0656,0.9655
DABUR,0.0,0.1689,0.1843
ASHOKLEY,0.0,0.3681,0.0141
SRTRANSFIN,0.0,0.1083,0.8496
SUNDRMFAST,0.0,0.2096,0.8149
KOTARISUG,0.1147,0.0061,0.4896
IVC,0.0,0.0918,0.5457
RBL,0.0,0.2162,0.3035
ZYLOG,0.0002,0.053,0.8842
SYMPHONY,0.0,0.1614,0.3483
NFL,0.0,0.1939,0.9709
UNITEDBNK,0.0,0.2816,0.0538
MINDACORP,0.0,0.0964,0.6617
AGCNET,0.0,0.1169,0.4136
MUKTAARTS,0.0169,0.0193,0.1868
NITCO,0.0,0.0911,0.1044
CENTURYTEX,0.0,0.4315,0.2494
NCLIND,0.0,0.1727,0.0035
ASTRAL,0.0,0.1251,0.3417
RKFORGE,0.0,0.2754,0.0721
LGBFORGE,0.0002,0.0502,0.1086
IGARASHI,0.0,0.2516,0.0327
JPOLYINVST,0.0,0.0797,0.6634
KIRIINDUS,0.0,0.0732,0.2654
RPOWER,0.0,0.4375,0.6422
HINDCOPPER,0.0,0.3525,0.8992
PENINLAND,0.0,0.2746,0.6985
JAGRAN,0.0,0.1583,0.2109
MTEDUCARE,0.0,0.1776,0.1241
ADSL,0.0,0.1006,0.1002
WOCKPHARMA,0.0,0.3395,0.0959
ESTER,0.0001,0.0574,0.0048
KTIL,0.0,0.1839,0.7385
APOLLOHOSP,0.0,0.2438,0.1248
SPMLINFRA,0.0,0.2024,0.7014
TANTIACONS,0.0,0.0755,0.3083
AJANTPHARM,0.0001,0.0604,0.9911
GILLETTE,0.0,0.1253,0.0867
CLNINDIA,0.0441,0.0124,0.679
PAPERPROD,0.0,0.2149,0.1728
SUPERHOUSE,0.0,0.1918,0.8793
MCDOWELL-N,0.0,0.1782,0.4588
GULFPETRO,0.0,0.1334,0.0729
VOLTAS,0.0,0.3035,0.1179
HIMATSEIDE,0.0,0.195,0.0131
SWELECTES,0.0,0.1885,0.3991
KWALITY,0.0,0.2351,0.0049
BALLARPUR,0.0,0.1834,0.183
JKIL,0.0299,0.0151,0.9902
POLYMED,0.0333,0.0144,0.4445
RSYSTEMS,0.0,0.1105,0.8156
JYOTISTRUC,0.0,0.1335,0.3423
RCOM,0.0,0.3543,0.3848
DALMIASUG,0.0,0.0869,0.0198
JUBLINDS,0.0002,0.0525,0.0388
GODREJCP,0.0,0.106,0.1655
PILITA,0.0,0.183,0.9474
GSFC,0.0,0.1534,0.6154
IL&FSTRANS,0.0,0.2391,0.068
PPAP,0.0,0.066,0.1367
APOLLOTYRE,0.0,0.3427,0.7223
VAIBHAVGBL,0.007,0.0254,0.9488
ADVANIHOTR,0.0006,0.0442,0.6384
ANSALAPI,0.0,0.2453,0.6023
BODALCHEM,0.0,0.2228,0.0919
SUNTV,0.0,0.108,0.437
HIL,0.0,0.207,0.6722
EMAMIINFRA,0.0,0.0836,0.2992
PRAJIND,0.0,0.1809,0.1526
INDIANHUME,0.0,0.1485,0.2618
RENUKA,0.0,0.0945,0.8891
GLENMARK,0.0,0.2273,0.2367
WHEELS,0.0,0.1125,0.3734
ELAND,0.0,0.1198,0.0081
JKTYRE,0.0,0.2701,0.8155
WIPRO,0.0,0.1892,0.4828
CHAMBLFERT,0.0,0.1435,0.5427
SIMPLEX,0.0,0.0778,0.7586
BASF,0.0,0.1969,0.7673
ORIENTHOT,0.0,0.065,0.4608
KKCL,0.0267,0.0159,0.3644
BAFNAPHARM,0.0,0.0987,0.2116
INDOCO,0.0,0.1911,0.4955
MADHAV,0.0,0.1015,0.1111
GNFC,0.0,0.1683,0.6161
TARAJEWELS,0.0,0.1106,0.9013
THANGAMAYL,0.0013,0.0378,0.7256
GKWLIMITED,0.0024,0.0339,0.5841
BHARATRAS,0.0001,0.0605,0.5214
MANUGRAPH,0.0005,0.0445,0.2094
HATSUN,0.0,0.0663,0.1512
CAREERP,0.0,0.1444,0.8787
NCC,0.0,0.2792,0.6159
JBMA,0.0,0.1877,0.5294
SQSBFSI,0.0,0.1543,0.0785
HARITASEAT,0.0,0.1428,0.0202
GATI,0.0,0.23,0.6142
LINDEINDIA,0.0,0.1292,0.487
ABBOTINDIA,0.0468,0.012,0.0213
ZUARI,0.0,0.1555,0.3576
DATAMATICS,0.0,0.1979,0.7548
TALBROAUTO,0.0,0.1833,0.4174
NAHARCAP,0.0,0.245,0.728
BANKBEES,0.0,0.6855,0.7125
OISL,0.0,0.0821,0.8352
ICRA,0.0,0.1564,0.0347
VLSFINANCE,0.0,0.1024,0.1337
ANKITMETAL,0.1918,0.0029,0.5375
HINDPETRO,0.0,0.2857,0.0473
FINPIPE,0.0,0.0689,0.3753
NEULANDLAB,0.0,0.1729,0.1268
GOKEX,0.0,0.2107,0.5333
BALMLAWRIE,0.0,0.2514,0.4871
J&KBANK,0.0,0.1424,0.1898
IFBIND,0.0,0.1607,0.5894
NAGAROIL,0.0,0.1004,0.4987
ARCHIDPLY,0.0,0.1607,0.2651
JINDALPHOT,0.0,0.0918,0.9014
ADORWELD,0.0,0.1803,0.1108
MERCATOR,0.0,0.2,0.3866
JINDALPOLY,0.0,0.2754,0.0522
PSUBNKBEES,0.0,0.4552,0.3223
GIPCL,0.0,0.165,0.7158
ZYDUSWELL,0.0,0.1401,0.4379
PTC,0.0,0.384,0.6532
UPL,0.0,0.1986,0.1919
TI,0.0,0.0947,0.7935
PGHH,0.0,0.137,0.6499
JUSTDIAL,0.0,0.1485,0.5596
VASCONEQ,0.0,0.1185,0.1988
TATACHEM,0.0,0.4365,0.6544
SPICEMOBI,0.0039,0.0295,0.7814
REPRO,0.0,0.0982,0.1786
GRINDWELL,0.0004,0.0454,0.197
KARURVYSYA,0.0,0.1824,0.8448
AXISCADES,0.0,0.1855,0.107
HOVS,0.0,0.1759,0.9489
DIVISLAB,0.0031,0.0313,0.88
CUB,0.0,0.0865,0.6544
RUCHIRA,0.0,0.1237,0.0469
DECCANCE,0.0,0.2064,0.0609
JMCPROJECT,0.0,0.2816,0.1778
GUJAPOLLO,0.0,0.1022,0.3693
SUNPHARMA,0.0,0.1731,0.5747
SCHAEFFLER,0.0,0.1085,0.1621
IFBAGRO,0.0,0.1267,0.4937
EVEREADY,0.0,0.3759,0.0264
ABAN,0.0,0.3055,0.0728
BHUSANSTL,0.0,0.0845,0.4845
VSTTILLERS,0.0,0.0907,0.5181
THIRUSUGAR,0.0051,0.0279,0.6138
NTL,0.0,0.1047,0.8036
KOTAKGOLD,0.3881,-0.001,0.2887
IPCALAB,0.0,0.0733,0.5566
MEGH,0.0,0.2103,0.5697
ICICINF100,0.1526,0.0043,0.636
MHRIL,0.0,0.1989,0.0277
3MINDIA,0.0,0.2295,0.0216
HDFC,0.0,0.392,0.2142
GLOBUSSPR,0.0,0.1652,0.3958
TRIDENT,0.0,0.2421,0.0342
RALLIS,0.0,0.1515,0.9338
JKCEMENT,0.0,0.1335,0.8549
KITEX,0.0,0.1986,0.2013
VGUARD,0.0,0.1872,0.9387
BANKBARODA,0.0004,0.0457,0.3177
SAGCEM,0.0,0.1455,0.2393
EASTSILK,0.0236,0.0168,0.2546
KOTAKPSUBK,0.0,0.3282,0.371
MAHSCOOTER,0.0,0.1442,0.1214
SABTN,0.0,0.0912,0.0055
MANAPPURAM,0.0,0.1754,0.9855
ELGIRUBCO,0.0,0.0779,0.9428
BERGEPAINT,0.0018,0.0351,0.8572
CENTENKA,0.0,0.2798,0.2619
AXISGOLD,0.4243,-0.0015,0.8074
HINDZINC,0.0,0.2624,0.8876
BINANIIND,0.0,0.3232,0.8445
BFUTILITIE,0.0,0.3354,0.4946
ORIENTBELL,0.0,0.0961,0.156
SUPREMEIND,0.0,0.0912,0.2816
PIONDIST,0.0001,0.059,0.0001
GICHSGFIN,0.0,0.3374,0.3577
ICICINIFTY,0.3178,0.0,0.7732
POLARIS,0.0,0.2471,0.2695
MAYURUNIQ,0.0,0.1829,0.3291
HAVELLS,0.0,0.2019,0.3396
JAYNECOIND,0.0,0.1692,0.9706
MOSERBAER,0.0,0.183,0.389
IDBIGOLD,0.2145,0.0023,0.9783
IZMO,0.0,0.1241,0.0252
63MOONS,0.0,0.1332,0.4952
KOKUYOCMLN,0.0,0.232,0.0948
STERTOOLS,0.0,0.1393,0.0974
DYNAMATECH,0.0,0.1398,0.3788
HMVL,0.0,0.1552,0.1271
TTKPRESTIG,0.0083,0.0241,0.2414
INDIAGLYCO,0.0,0.2537,0.6097
VIPCLOTHNG,0.0,0.3598,0.1385
DENORA,0.0,0.1563,0.0208
AHLEAST,0.0,0.1408,0.7932
NETWORK18,0.0,0.2547,0.793
JAGSNPHARM,0.0,0.1608,0.4141
BALRAMCHIN,0.0,0.0685,0.4082
CAPLIPOINT,0.0,0.117,0.0093
JUBILANT,0.0,0.1383,0.0084
EASUNREYRL,0.0,0.1927,0.6708
BBTC,0.0,0.3266,0.1818
SUPPETRO,0.0,0.1667,0.1124
MAHLIFE,0.0,0.0904,0.6111
RELCAPITAL,0.0,0.4658,0.7126
AJMERA,0.0,0.2175,0.1262
EMCO,0.0,0.2146,0.7859
HDFCBANK,0.0,0.4903,0.0493
GREENPOWER,0.0,0.2419,0.5058
INTELLECT,0.0,0.2138,0.0093
VADILALIND,0.0,0.1992,0.0212
ENGINERSIN,0.0,0.4435,0.3252
INGERRAND,0.0,0.2205,0.911
ARCHIES,0.0,0.1835,0.4292
TWL,0.0001,0.0586,0.5932
BLKASHYAP,0.0,0.1355,0.2274
FMNL,0.0026,0.0328,0.047
DISHTV,0.0,0.2565,0.0694
AARVEEDEN,0.0,0.1109,0.3004
BIOCON,0.0,0.362,0.1089
KTKBANK,0.0,0.4571,0.9256
JMTAUTOLTD,0.0201,0.0179,0.4191
BHEL,0.0,0.2776,0.361
LUMAXIND,0.0,0.1361,0.432
SUPERSPIN,0.0003,0.049,0.3419
RML,0.0,0.0808,0.9513
MANGLMCEM,0.0,0.2224,0.4471
SANOFI,0.0,0.0983,0.1497
GRANULES,0.0001,0.058,0.9214
RADICO,0.0,0.0953,0.1751
MCLEODRUSS,0.0,0.2348,0.7331
CENTRALBK,0.0,0.177,0.865
GARWALLROP,0.0,0.1957,0.0227
BANKINDIA,0.0,0.4568,0.0147
SAKHTISUG,0.0,0.0618,0.1067
COALINDIA,0.0,0.1783,0.9668
VENUSREM,0.0,0.1089,0.7107
BOMDYEING,0.0,0.3678,0.5394
PARABDRUGS,0.0004,0.0461,0.5942
AARTIDRUGS,0.0,0.1091,0.8668
WABCOINDIA,0.0,0.2418,0.1069
SANDESH,0.0,0.1344,0.0411
ALEMBICLTD,0.0,0.3344,0.367
DCW,0.0,0.153,0.158
MPSLTD,0.0,0.1332,0.4695
TOKYOPLAST,0.0002,0.0525,0.2952
SURANAT&P,0.0001,0.0581,0.8948
TVSMOTOR,0.0,0.1635,0.4972
TAKE,0.0,0.274,0.0192
