Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const,WML %
HEXAWARE,0.0,0.0002,0.0955,0.2072,0.815,0.128
RPPINFRA,0.5517,0.9059,0.0043,0.0652,0.0737,0.4295
SASKEN,0.0003,0.0121,0.3084,0.0785,0.7268,0.2599
ORIENTBANK,0.0,0.0,0.0,0.5208,0.1876,0.6589
PAGEIND,0.8277,0.9738,0.7024,-0.0102,0.0045,0.2951
NAHARINDUS,0.1183,0.0281,0.0029,0.1997,0.7916,0.3899
HERCULES,0.0,0.0005,0.9795,0.2162,0.9546,0.2643
PURVA,0.0,0.3835,0.0733,0.2467,0.6459,0.2041
DHANUKA,0.0002,0.0105,0.921,0.1187,0.1296,0.9508
SKFINDIA,0.0285,0.2315,0.1134,0.0801,0.0146,0.6863
KAMDHENU,0.0014,0.0294,0.2081,0.1546,0.4699,0.7633
TATACOFFEE,0.0,0.0007,0.7208,0.277,0.1759,0.2354
TIMKEN,0.0,0.0816,0.2705,0.223,0.1543,0.0401
NBCC,0.0001,0.4781,0.0479,0.2062,0.0166,0.0995
AMTEKAUTO,0.0004,0.9018,0.2793,0.1239,0.2255,0.1146
DRREDDY,0.0148,0.0462,0.0088,0.0553,0.4453,0.0221
SETFGOLD,0.0421,0.1883,0.8251,0.0552,0.6367,0.0089
BAJAJFINSV,0.0,0.0013,0.0489,0.1367,0.2627,0.0414
TATASTEEL,0.0,0.0002,0.0001,0.4052,0.8532,0.5928
JVLAGRO,0.0836,0.1887,0.0113,0.153,0.2573,0.3229
INDNIPPON,0.0,0.0473,0.6465,0.1536,0.231,0.7392
CGPOWER,0.0,0.7456,0.0315,0.3887,0.8529,0.9201
NAVNETEDUL,0.0002,0.0001,0.9276,0.1566,0.3419,0.5234
SPECIALITY,0.0038,0.2002,0.7829,0.0829,0.5896,0.1849
KCPSUGIND,0.0002,0.0079,0.0487,0.2343,0.8722,0.7068
DAAWAT,0.0263,0.5074,0.002,0.1815,0.7389,0.517
SPYL,0.2011,0.7186,0.1936,0.0363,0.8406,0.7913
GMBREW,0.0,0.0043,0.6537,0.1541,0.2359,0.5696
EMMBI,0.0009,0.0012,0.1241,0.2227,0.9918,0.1072
JPINFRATEC,0.0,0.1679,0.0002,0.443,0.2592,0.3464
TATAINVEST,0.0,0.0998,0.6192,0.246,0.6243,0.7807
LAXMIMACH,0.0289,0.2283,0.0033,0.1488,0.1715,0.5876
JBFIND,0.0003,0.0146,0.1266,0.2008,0.0992,0.5538
KOPRAN,0.0022,0.0013,0.131,0.1918,0.3999,0.3346
IOC,0.0,0.0009,0.2653,0.3261,0.1562,0.6441
PRAKASH,0.0006,0.0531,0.0256,0.2156,0.954,0.5077
MINDTREE,0.3598,0.0808,0.1934,0.0073,0.818,0.3296
VIMTALABS,0.0327,0.2606,0.013,0.1579,0.9145,0.0026
RSSOFTWARE,0.0,0.0004,0.913,0.2033,0.4578,0.0008
DCM,0.2285,0.8932,0.0018,0.1279,0.5006,0.6127
RELAXO,0.0318,0.2357,0.9725,0.036,0.03,0.1087
ABFRL,0.0537,0.8821,0.1917,0.0545,0.4839,0.3403
SANGAMIND,0.0,0.005,0.1746,0.2223,0.4508,0.7423
LIBERTSHOE,0.0,0.0004,0.6864,0.2856,0.8031,0.3734
RCF,0.0,0.1145,0.0,0.4137,0.3895,0.7893
ICICIBANK,0.0191,0.7356,0.8455,0.0257,0.5474,0.8287
INDUSINDBK,0.0,0.2628,0.3978,0.3114,0.0234,0.0458
ORBTEXP,0.0055,0.0331,0.2321,0.035,0.0656,0.3767
MANALIPETC,0.0,0.0264,0.0289,0.3384,0.6648,0.7554
CENTURYPLY,0.0,0.0296,0.0659,0.2415,0.012,0.5194
VSTIND,0.0248,0.6323,0.2106,0.0063,0.7427,0.9719
CRISIL,0.037,0.2505,0.7847,0.0212,0.1726,0.5214
SHARONBIO,0.0034,0.167,0.6702,0.0496,0.11,0.1869
ADANIPORTS,0.0,0.3333,0.5862,0.3879,0.2582,0.079
JSWHL,0.0,0.1859,0.3736,0.2906,0.639,0.0127
ASHIANA,0.0722,0.9729,0.0581,0.0784,0.0193,0.1589
POLYPLEX,0.0,0.0935,0.0093,0.2876,0.9436,0.5027
ITI,0.0001,0.0822,0.0663,0.2388,0.7326,0.1246
GODREJPROP,0.0,0.0091,0.6135,0.3787,0.8836,0.0038
JBCHEPHARM,0.0026,0.0177,0.208,0.1482,0.6713,0.1707
VIJSHAN,0.008,0.0494,0.0012,0.2635,0.3245,0.2094
ACC,0.0,0.0024,0.0181,0.384,0.3539,0.4777
TRENT,0.0001,0.1114,0.2544,0.1734,0.9014,0.0037
FOSECOIND,0.3211,0.5586,0.002,0.1284,0.0187,0.0202
MERCK,0.0002,0.0004,0.7209,0.1681,0.7756,0.1876
ELECTCAST,0.0048,0.7735,0.0,0.2953,0.8316,0.3351
DPSCLTD,0.0586,0.01,0.2165,0.1082,0.8062,0.8725
TECHNOFAB,0.2539,0.0389,0.0192,0.174,0.2908,0.0043
AHLWEST,0.0026,0.9263,0.6792,0.0689,0.8764,0.4048
TVTODAY,0.001,0.0577,0.4701,0.1209,0.5853,0.1088
NITINSPIN,0.0003,0.0545,0.0141,0.2383,0.683,0.3083
THERMAX,0.0024,0.3078,0.9792,0.0662,0.3451,0.6186
STAR,0.0005,0.0371,0.2827,0.1525,0.0794,0.712
FEDERALBNK,0.0,0.1119,0.0019,0.4914,0.1753,0.845
METALFORGE,0.0,0.0071,0.3236,0.2348,0.2247,0.5763
PAISALO,0.3804,0.6735,0.6462,-0.0035,0.4872,0.475
SELAN,0.0001,0.0809,0.5155,0.1469,0.777,0.9027
NLCINDIA,0.0,0.6345,0.0,0.4228,0.5786,0.0024
PARSVNATH,0.0,0.7271,0.0,0.4457,0.0346,0.4985
TATASPONGE,0.001,0.0148,0.8935,0.0928,0.4917,0.2779
ITC,0.0005,0.808,0.0025,0.0559,0.5835,0.8296
NATIONALUM,0.0,0.4626,0.01,0.2969,0.7786,0.9295
IBVENTURES,0.0,0.2434,0.0002,0.4209,0.7292,0.001
ADHUNIK,0.0,0.2194,0.1979,0.2799,0.0326,0.4437
RKDL,0.0644,0.0426,0.6703,0.0764,0.8029,0.0291
FACT,0.0093,0.0241,0.0008,0.2565,0.7909,0.1182
PGEL,0.2391,0.6839,0.2458,0.021,0.1538,0.5946
ASTRAMICRO,0.0,0.0353,0.4409,0.2124,0.6967,0.3607
POWERGRID,0.0,0.3528,0.4046,0.2415,0.223,0.887
MAGMA,0.0,0.8516,0.0332,0.246,0.624,0.4577
SHOPERSTOP,0.0,0.4059,0.8816,0.1503,0.9397,0.0642
ABB,0.0,0.2222,0.4962,0.1766,0.1296,0.4508
MTNL,0.0002,0.0903,0.0025,0.278,0.5908,0.7097
INDIACEM,0.0,0.9198,0.0027,0.438,0.9899,0.1626
OPTOCIRCUI,0.6056,0.4922,0.0,0.2664,0.9904,0.1254
DEEPIND,0.0,0.0034,0.0076,0.3521,0.7088,0.4917
RSWM,0.0,0.0447,0.4906,0.2411,0.8513,0.819
ADANIENT,0.0,0.1149,0.3254,0.2504,0.2488,0.3503
CYBERTECH,0.0791,0.0088,0.217,0.1096,0.5446,0.117
GANESHHOUC,0.0,0.2026,0.2711,0.2142,0.9364,0.1057
JISLJALEQS,0.0,0.1735,0.0,0.5106,0.5843,0.0885
ASIANHOTNR,0.3758,0.9234,0.006,0.0956,0.5565,0.9345
TDPOWERSYS,0.0007,0.2169,0.7078,0.1037,0.2699,0.4391
EICHERMOT,0.0004,0.1011,0.4488,0.0647,0.0076,0.7295
DEEPAKNTR,0.1663,0.1117,0.9065,0.0218,0.7651,0.4182
BATAINDIA,0.0,0.0025,0.1076,0.2786,0.598,0.2826
EMAMILTD,0.0081,0.4106,0.1363,0.0147,0.1218,0.7354
FDC,0.0004,0.0012,0.9587,0.15,0.8643,0.0065
CUMMINSIND,0.0,0.587,0.3143,0.146,0.1074,0.1558
NITINFIRE,0.0,0.0529,0.6667,0.1606,0.0158,0.7612
MONSANTO,0.0124,0.093,0.8853,0.0487,0.0956,0.1527
GARDENSILK,0.0,0.0084,0.3766,0.2564,0.1582,0.1867
CINELINE,0.1395,0.0789,0.7204,0.0513,0.6245,0.0538
JSL,0.0001,0.9486,0.0,0.3381,0.8631,0.7935
RAYMOND,0.0,0.1234,0.0611,0.318,0.5246,0.4744
AMBIKCO,0.0001,0.0119,0.8063,0.1257,0.4842,0.9676
CORPBANK,0.0,0.4949,0.0,0.4748,0.4845,0.0082
OBEROIRLTY,0.0001,0.7128,0.0654,0.1901,0.956,0.9497
BALKRISIND,0.0007,0.5417,0.9421,0.0754,0.2442,0.4295
LGBBROSLTD,0.1339,0.57,0.1695,0.0515,0.1485,0.1164
SSWL,0.0583,0.3421,0.0386,0.1152,0.1551,0.6942
NECLIFE,0.0,0.0006,0.2755,0.2558,0.912,0.1236
GENESYS,0.0051,0.0367,0.9506,0.0669,0.2406,0.7894
JAYSREETEA,0.0,0.0001,0.1292,0.3626,0.1466,0.023
AMBUJACEM,0.0,0.0102,0.175,0.3715,0.6148,0.1041
SHREECEM,0.0,0.7738,0.4568,0.1,0.0022,0.7513
NAUKRI,0.0109,0.1072,0.7049,0.0673,0.2238,0.6426
TATAMETALI,0.0,0.1578,0.4043,0.1685,0.2785,0.3858
BSLGOLDETF,0.0169,0.2498,0.0663,0.0229,0.6016,0.0383
PNB,0.2093,0.5162,0.7247,0.0481,0.826,0.0026
BFINVEST,0.0001,0.241,0.0575,0.2019,0.3405,0.422
FEDDERELEC,0.0001,0.063,0.0369,0.2288,0.5351,0.5677
PREMIER,0.0,0.0003,0.3167,0.2739,0.1592,0.3496
CADILAHC,0.1805,0.2934,0.4909,0.0339,0.0257,0.0637
TECHM,0.0,0.0002,0.0001,0.1515,0.6071,0.005
MAHINDCIE,0.1266,0.9516,0.0012,0.1466,0.0177,0.4022
KEI,0.0125,0.0108,0.0006,0.282,0.0655,0.2789
COMPUSOFT,0.0008,0.0207,0.1864,0.1655,0.5674,0.3773
KEC,0.0,0.0174,0.9882,0.2779,0.7997,0.9542
MUNJALAU,0.0,0.0012,0.0304,0.3002,0.0999,0.5655
VARDHACRLC,0.0002,0.1027,0.0805,0.1934,0.358,0.3671
BAJAJELEC,0.0,0.0997,0.6152,0.114,0.4858,0.98
INDRAMEDCO,0.0105,0.0297,0.008,0.2085,0.5636,0.7599
ZEEL,0.0138,0.2852,0.2483,0.0773,0.2235,0.0223
BLUESTARCO,0.0,0.1571,0.6728,0.2444,0.1377,0.0376
HCLTECH,0.0,0.0037,0.0001,0.1217,0.925,0.0063
DLF,0.0,0.6368,0.069,0.2849,0.4565,0.0246
SICAGEN,0.0163,0.0984,0.0172,0.1774,0.834,0.5163
JINDALSAW,0.0,0.3407,0.0158,0.3327,0.6241,0.1428
KIRLOSIND,0.0028,0.0028,0.5291,0.0787,0.3723,0.4142
APARINDS,0.0001,0.0132,0.1727,0.2231,0.2631,0.1584
NTPC,0.0,0.5942,0.8305,0.3255,0.7307,0.0002
ESSELPACK,0.0,0.3936,0.082,0.2517,0.1581,0.9429
SIEMENS,0.0,0.0143,0.0125,0.5093,0.6154,0.356
SPARC,0.0003,0.0266,0.3767,0.1509,0.7923,0.1899
KIRLOSENG,0.0007,0.3349,0.2205,0.1352,0.2608,0.904
KABRAEXTRU,0.0001,0.0412,0.0183,0.257,0.3494,0.6487
BANARISUG,0.0703,0.2435,0.0324,0.1168,0.5096,0.8885
ASSAMCO,0.0001,0.2709,0.0005,0.3151,0.4805,0.5035
TEXMOPIPES,0.0066,0.4373,0.023,0.1551,0.4378,0.4261
AVTNPL,0.0019,0.0146,0.0306,0.2095,0.5651,0.6956
MRF,0.0,0.0846,0.7018,0.2267,0.1113,0.1003
GUJALKALI,0.0,0.0094,0.0541,0.2544,0.6013,0.7756
GOLDBEES,0.0014,0.0262,0.1121,0.0651,0.4574,0.0072
SOBHA,0.0008,0.414,0.738,0.0936,0.5248,0.5475
VIDEOIND,0.0,0.0005,0.1017,0.3559,0.1564,0.0045
RAMCOCEM,0.0,0.1738,0.9778,0.192,0.1748,0.0003
TRITURBINE,0.0,0.0679,0.5722,0.1823,0.3959,0.0069
GREAVESCOT,0.0,0.0153,0.1108,0.183,0.2508,0.0063
LUPIN,0.0,0.0045,0.031,0.1172,0.1786,0.0036
EROSMEDIA,0.0,0.0088,0.7359,0.221,0.4158,0.128
GALLISPAT,0.0172,0.1364,0.3139,0.0738,0.0305,0.9736
JPPOWER,0.0,0.1639,0.0001,0.4389,0.2334,0.0118
TIDEWATER,0.0016,0.0216,0.0799,0.1835,0.0231,0.9362
AARTIIND,0.0,0.0105,0.9441,0.1511,0.1468,0.4926
SANWARIA,0.0049,0.0785,0.2272,0.1308,0.3896,0.3304
QGOLDHALF,0.0027,0.1132,0.26,0.0504,0.6089,0.0479
JPASSOCIAT,0.0001,0.0001,0.0,0.4582,0.1853,0.232
HBLPOWER,0.0006,0.0073,0.5352,0.1462,0.4396,0.5503
20MICRONS,0.0161,0.1014,0.2063,0.1521,0.6877,0.0031
NDTV,0.0632,0.3376,0.0156,0.1301,0.6331,0.8465
UNITECH,0.0,0.0551,0.0,0.5562,0.9715,0.9507
SUTLEJTEX,0.0,0.0083,0.209,0.2282,0.4548,0.5667
AMARAJABAT,0.0,0.0022,0.1406,0.1166,0.0827,0.0373
SBIN,0.2475,0.0813,0.0686,0.0532,0.8451,0.9834
PANACEABIO,0.0118,0.009,0.6226,0.0615,0.8534,0.1511
IDEA,0.0,0.0874,0.0162,0.1596,0.249,0.3776
TREEHOUSE,0.0003,0.0254,0.907,0.1122,0.2533,0.9941
KAJARIACER,0.0001,0.0415,0.6158,0.1052,0.0748,0.1868
SWARAJENG,0.0,0.0996,0.5322,0.0963,0.5178,0.9511
DREDGECORP,0.0,0.7714,0.001,0.3597,0.7469,0.2766
KRBL,0.338,0.036,0.0102,0.138,0.0253,0.794
HMT,0.0001,0.0023,0.4388,0.2156,0.936,0.0085
SHANTIGEAR,0.0012,0.3459,0.0199,0.1881,0.1964,0.3357
JKLAKSHMI,0.0,0.0279,0.5027,0.2376,0.0063,0.0056
OIL,0.0,0.2202,0.8739,0.352,0.8185,0.0109
FCONSUMER,0.2584,0.2567,0.0805,0.0666,0.2064,0.7677
BHARATFORG,0.0,0.4249,0.4062,0.2291,0.0087,0.0032
CELESTIAL,0.0006,0.5178,0.632,0.0596,0.1035,0.4564
IGL,0.0,0.7943,0.4922,0.164,0.1701,0.804
IDFC,0.0,0.0566,0.0107,0.4389,0.3908,0.0299
JMFINANCIL,0.0,0.3503,0.104,0.316,0.7345,0.0272
ZODIACLOTH,0.018,0.0035,0.3187,0.1529,0.3976,0.0223
PETRONET,0.0001,0.2174,0.5923,0.1633,0.215,0.0377
CYIENT,0.0125,0.0078,0.2499,0.0723,0.5127,0.0068
PNBGILTS,0.0001,0.4129,0.0671,0.2063,0.2278,0.9325
ZEEMEDIA,0.0,0.0531,0.0052,0.3257,0.8674,0.0376
MUTHOOTFIN,0.0023,0.6322,0.8167,0.0536,0.2844,0.7423
BAJFINANCE,0.0,0.0574,0.3376,0.1068,0.0735,0.469
IBREALEST,0.0,0.0047,0.0,0.4381,0.8867,0.5239
VOLTAMP,0.0158,0.7292,0.0305,0.1365,0.2386,0.6461
KOTHARIPET,0.0011,0.1453,0.9255,0.0819,0.8268,0.996
RATNAMANI,0.0018,0.058,0.5832,0.1119,0.0044,0.3316
FIEMIND,0.1679,0.3767,0.408,0.019,0.0001,0.2642
BALAJITELE,0.0,0.0416,0.79,0.2267,0.9859,0.5915
KOHINOOR,0.0,0.0037,0.1617,0.2584,0.2911,0.1135
ELGIEQUIP,0.0052,0.016,0.6579,0.103,0.3679,0.3686
DABUR,0.0001,0.1454,0.0694,0.0604,0.3999,0.4225
ASHOKLEY,0.0,0.0629,0.0056,0.3518,0.0122,0.9264
SRTRANSFIN,0.0,0.2287,0.2279,0.3263,0.3035,0.3952
SUNDRMFAST,0.0218,0.0164,0.2637,0.1104,0.0069,0.7615
KOTARISUG,0.2882,0.0422,0.0362,0.1132,0.9964,0.8589
IVC,0.0259,0.6421,0.0019,0.1855,0.4635,0.9475
SYMPHONY,0.0,0.133,0.378,0.1154,0.0111,0.0032
NFL,0.0,0.0005,0.0002,0.4,0.967,0.9367
UNITEDBNK,0.0003,0.1619,0.0017,0.2501,0.6002,0.8211
AGCNET,0.1237,0.1163,0.0192,0.1402,0.9252,0.292
MUKTAARTS,0.0472,0.4475,0.0807,0.0965,0.7393,0.7562
CENTURYTEX,0.0,0.9081,0.0018,0.5114,0.4449,0.2422
ASTRAL,0.0689,0.0688,0.419,0.061,0.8676,0.4771
IGARASHI,0.0,0.0217,0.6996,0.1431,0.2125,0.4592
RPOWER,0.0,0.0,0.0,0.67,0.2124,0.5042
HINDCOPPER,0.0,0.0441,0.0,0.5781,0.1726,0.0045
PENINLAND,0.0,0.113,0.0,0.4901,0.0979,0.3599
JAGRAN,0.0,0.0043,0.6583,0.1298,0.4393,0.3881
MTEDUCARE,0.0078,0.4491,0.2142,0.1258,0.5865,0.0523
WOCKPHARMA,0.0011,0.1089,0.9153,0.0853,0.3087,0.175
APOLLOHOSP,0.0,0.0134,0.0027,0.1564,0.6609,0.012
AJANTPHARM,0.1182,0.7664,0.3829,0.0345,0.0174,0.0572
GILLETTE,0.0011,0.2229,0.7361,0.0638,0.0919,0.155
CLNINDIA,0.091,0.623,0.0153,0.1229,0.2776,0.0022
PAPERPROD,0.0081,0.0069,0.739,0.0654,0.1038,0.9191
MCDOWELL-N,0.0126,0.6131,0.9522,0.0406,0.9405,0.1114
VOLTAS,0.0,0.9767,0.908,0.3455,0.3927,0.6138
HIMATSEIDE,0.0051,0.0096,0.5976,0.114,0.6462,0.0519
SWELECTES,0.0017,0.0028,0.0317,0.2275,0.2981,0.0943
KWALITY,0.0009,0.0005,0.1218,0.2169,0.8611,0.916
BALLARPUR,0.0,0.0169,0.0345,0.3413,0.549,0.2692
JKIL,0.1664,0.3012,0.0796,0.073,0.0208,0.7324
POLYMED,0.1097,0.2895,0.4783,0.005,0.0234,0.2256
AMRUTANJAN,0.0,0.0001,0.1717,0.1922,0.3372,0.2924
RSYSTEMS,0.5146,0.654,0.6457,-0.0041,0.9714,0.5064
JYOTISTRUC,0.0,0.011,0.0189,0.4172,0.4421,0.1058
RCOM,0.0,0.2073,0.0024,0.4118,0.0218,0.7229
GODREJCP,0.0,0.4243,0.2303,0.1142,0.8703,0.7925
GSFC,0.0189,0.0742,0.0022,0.2184,0.2959,0.9217
IL&FSTRANS,0.0,0.2525,0.0099,0.3706,0.9976,0.0058
PPAP,0.0001,0.002,0.9758,0.1558,0.2567,0.4634
APOLLOTYRE,0.0,0.0582,0.9555,0.2549,0.3395,0.0084
VAIBHAVGBL,0.1628,0.4789,0.436,0.0174,0.962,0.7032
SUNTV,0.0058,0.2888,0.032,0.1598,0.7296,0.9756
PRAJIND,0.0001,0.5159,0.002,0.2768,0.868,0.5972
INDIANHUME,0.0,0.0001,0.1239,0.309,0.2497,0.8629
RENUKA,0.0016,0.0944,0.0082,0.221,0.245,0.4813
GLENMARK,0.0265,0.0473,0.2628,0.0887,0.3605,0.0001
WHEELS,0.0044,0.1251,0.1471,0.1302,0.9054,0.7966
JKTYRE,0.0591,0.0409,0.6805,0.0339,0.9977,0.1345
WIPRO,0.0,0.0255,0.0045,0.1402,0.493,0.0001
CHAMBLFERT,0.0,0.0064,0.0,0.4287,0.7123,0.5179
SIMPLEX,0.7204,0.6729,0.0009,0.1231,0.0151,0.0038
BASF,0.0,0.4402,0.7292,0.121,0.1804,0.1887
KKCL,0.4466,0.7859,0.0896,0.0376,0.0726,0.9776
INDOCO,0.0172,0.0958,0.5778,0.0297,0.2255,0.3361
GNFC,0.0,0.0775,0.0015,0.3119,0.6357,0.2317
TARAJEWELS,0.0093,0.4244,0.2203,0.0917,0.727,0.6897
NCC,0.0141,0.2413,0.0012,0.1985,0.1547,0.4462
LINDEINDIA,0.0399,0.4324,0.0094,0.135,0.2569,0.6391
ABBOTINDIA,0.4581,0.5576,0.0584,0.0601,0.0091,0.0168
ZUARI,0.0002,0.0007,0.7426,0.1677,0.7146,0.5166
DATAMATICS,0.0,0.0101,0.9175,0.1751,0.8567,0.1573
TALBROAUTO,0.0004,0.0001,0.3101,0.2049,0.3666,0.367
NAHARCAP,0.3344,0.6793,0.0,0.2486,0.1591,0.6343
BANKBEES,0.0,0.0,0.0003,0.6187,0.0003,0.5933
ICRA,0.0425,0.3009,0.429,0.0538,0.0876,0.1299
ANKITMETAL,0.0002,0.0132,0.6218,0.1698,0.0408,0.0388
HINDPETRO,0.0,0.0011,0.4052,0.3196,0.0237,0.8524
FINPIPE,0.0007,0.0298,0.7855,0.1074,0.5704,0.6246
NEULANDLAB,0.0001,0.0003,0.9983,0.1675,0.8878,0.0358
BALMLAWRIE,0.0,0.0478,0.0053,0.3072,0.2421,0.5553
J&KBANK,0.3876,0.153,0.193,0.0229,0.4729,0.9963
IFBIND,0.0,0.005,0.5984,0.1427,0.0278,0.1494
MERCATOR,0.0006,0.0011,0.0,0.3888,0.7451,0.4461
JINDALPOLY,0.0,0.1006,0.0025,0.3239,0.6225,0.3059
PSUBNKBEES,0.0,0.0048,0.0003,0.3757,0.0562,0.0076
GIPCL,0.0,0.0888,0.0055,0.4081,0.8998,0.0827
ZYDUSWELL,0.3392,0.0343,0.6249,0.0368,0.3572,0.5024
PTC,0.0,0.8388,0.0003,0.553,0.9051,0.2067
UPL,0.0,0.7845,0.2659,0.1717,0.3235,0.7248
TI,0.0047,0.1619,0.0021,0.2241,0.017,0.2255
PGHH,0.0003,0.0108,0.0955,0.0567,0.05,0.6497
JUSTDIAL,0.0025,0.2962,0.3501,0.0452,0.7293,0.1583
TATACHEM,0.0,0.5538,0.0803,0.3898,0.3402,0.503
REPRO,0.0054,0.0236,0.5957,0.1126,0.4884,0.1087
GRINDWELL,0.001,0.5973,0.0278,0.177,0.0217,0.0356
KARURVYSYA,0.0,0.0193,0.4205,0.346,0.234,0.0929
DIVISLAB,0.0,0.0,0.0292,0.1656,0.71,0.0247
CUB,0.0001,0.6183,0.1906,0.1699,0.0552,0.6665
GUJAPOLLO,0.0092,0.5091,0.1161,0.1248,0.7121,0.2632
SUNPHARMA,0.0064,0.1947,0.0216,0.028,0.2429,0.2147
SCHAEFFLER,0.0001,0.7146,0.5036,0.0791,0.0079,0.8499
ABAN,0.0,0.0123,0.3341,0.1971,0.8004,0.5627
BHUSANSTL,0.0848,0.9683,0.524,0.0259,0.0008,0.1629
KOTAKGOLD,0.0054,0.1363,0.3441,0.0664,0.5921,0.004
IPCALAB,0.2977,0.188,0.2922,0.0918,0.9713,0.0001
MHRIL,0.0001,0.0098,0.0011,0.3392,0.3319,0.4181
3MINDIA,0.0,0.0008,0.7774,0.1599,0.2571,0.1743
HDFC,0.0,0.6209,0.1279,0.2202,0.2538,0.0433
GLOBUSSPR,0.0,0.0001,0.8778,0.2734,0.0387,0.3263
TRIDENT,0.0016,0.0105,0.0204,0.2239,0.9793,0.4563
RALLIS,0.0,0.2462,0.8968,0.1322,0.9622,0.996
JKCEMENT,0.0007,0.6511,0.0485,0.2182,0.0042,0.0063
KITEX,0.0816,0.3008,0.2809,0.0691,0.0061,0.1776
VGUARD,0.0001,0.942,0.2097,0.1569,0.0241,0.0642
BANKBARODA,0.0,0.0,0.0,0.4883,0.035,0.2966
KOTAKPSUBK,0.0,0.0033,0.0009,0.5518,0.0613,0.0007
MAHSCOOTER,0.0033,0.028,0.6342,0.0616,0.0437,0.4417
SABTN,0.0019,0.6005,0.9014,0.0564,0.0192,0.3192
MANAPPURAM,0.0006,0.5527,0.7818,0.0899,0.297,0.0553
ELGIRUBCO,0.0002,0.9507,0.049,0.1795,0.6923,0.0225
BERGEPAINT,0.0043,0.0663,0.5367,0.0433,0.1977,0.7341
CENTENKA,0.0,0.0004,0.3483,0.3517,0.2006,0.9588
AXISGOLD,0.0435,0.2366,0.5136,0.0314,0.7441,0.0296
HINDZINC,0.0,0.2742,0.4652,0.3322,0.671,0.1042
SUPREMEIND,0.0292,0.1503,0.8134,0.0413,0.387,0.9219
GICHSGFIN,0.0,0.2081,0.0436,0.3662,0.1011,0.0152
MAYURUNIQ,0.2957,0.1259,0.7431,0.0567,0.6891,0.0017
HAVELLS,0.1111,0.8745,0.3691,0.0285,0.5834,0.345
JAYNECOIND,0.0,0.0026,0.0001,0.4183,0.471,0.9595
IDBIGOLD,0.0429,0.9344,0.7146,0.0358,0.8181,0.3834
63MOONS,0.0002,0.0013,0.2159,0.0904,0.5301,0.4862
HMVL,0.0052,0.9301,0.148,0.1047,0.0993,0.6481
TTKPRESTIG,0.0,0.0295,0.973,0.1759,0.5178,0.1308
