Symbol,Rm-Rf %,SMB %,HML %,WML %,high-low,Adj-r_sq,const
MASTEK,0.0048,0.0031,0.6872,0.658,0.8068,0.0777,0.2975
HEXAWARE,0.0,0.0002,0.0975,0.1461,0.7805,0.2041,0.7976
RPPINFRA,0.8384,0.8263,0.0047,0.527,0.3692,0.0644,0.0632
SASKEN,0.0,0.0067,0.2853,0.1554,0.0629,0.088,0.8495
ORIENTBANK,0.0,0.0,0.0,0.7019,0.7509,0.519,0.1811
PAGEIND,0.679,0.8815,0.6732,0.438,0.1103,-0.0036,0.0069
NAHARINDUS,0.3875,0.0429,0.0026,0.27,0.1298,0.2041,0.7003
HERCULES,0.0,0.0007,0.9612,0.2093,0.3427,0.2159,0.9802
PURVA,0.0,0.3886,0.0739,0.2102,0.9869,0.2435,0.6468
DHANUKA,0.0028,0.0167,0.9473,0.7747,0.1686,0.1221,0.1629
SKFINDIA,0.1367,0.1765,0.1052,0.8667,0.1572,0.084,0.0204
KAMDHENU,0.0076,0.0376,0.2023,0.6762,0.4594,0.153,0.5119
TATACOFFEE,0.0,0.0002,0.767,0.1033,0.0068,0.2961,0.2569
TIMKEN,0.0,0.0552,0.2526,0.0219,0.1073,0.2282,0.1184
NBCC,0.0,0.4067,0.0509,0.0713,0.2722,0.207,0.0131
AMTEKAUTO,0.0006,0.8593,0.2854,0.1025,0.6289,0.1211,0.2125
DRREDDY,0.0677,0.0636,0.0095,0.0376,0.2612,0.0563,0.5063
SETFGOLD,0.3179,0.2918,0.8679,0.0029,0.0196,0.0728,0.4989
BAJAJFINSV,0.0,0.0011,0.0473,0.0583,0.4664,0.135,0.2391
TATASTEEL,0.0,0.0002,0.0001,0.5668,0.7773,0.4029,0.8731
JVLAGRO,0.057,0.1628,0.012,0.399,0.4212,0.1518,0.2315
INDNIPPON,0.0017,0.0787,0.6102,0.9975,0.0459,0.1643,0.3032
CGPOWER,0.0,0.7922,0.0328,0.855,0.6072,0.3868,0.8192
NAVNETEDUL,0.0006,0.0001,0.9258,0.5407,0.9192,0.1531,0.3403
SPECIALITY,0.0015,0.1545,0.8072,0.2733,0.1876,0.0857,0.5148
KCPSUGIND,0.0002,0.0065,0.0511,0.6199,0.4429,0.233,0.8212
DAAWAT,0.0143,0.4367,0.0022,0.4177,0.2945,0.1818,0.6729
SPYL,0.1952,0.6951,0.1972,0.7563,0.7597,0.0326,0.8619
GMBREW,0.0,0.0043,0.6509,0.5532,0.8388,0.1507,0.2455
EMMBI,0.0049,0.0017,0.1209,0.0905,0.5154,0.2208,0.9636
JPINFRATEC,0.0,0.1478,0.0003,0.4153,0.4867,0.4418,0.2876
TATAINVEST,0.0,0.1224,0.6062,0.6868,0.4303,0.2448,0.6745
LAXMIMACH,0.0764,0.2046,0.0032,0.6677,0.5197,0.1467,0.1917
JBFIND,0.0023,0.019,0.1229,0.4835,0.4728,0.1992,0.1141
KOPRAN,0.0159,0.0022,0.1241,0.4422,0.259,0.1928,0.4578
IOC,0.0,0.0008,0.2606,0.5872,0.5907,0.3241,0.1723
PRAKASH,0.0002,0.0357,0.0277,0.3639,0.1222,0.2202,0.94
MINDTREE,0.4521,0.0883,0.1964,0.3571,0.811,0.0033,0.8031
VIMTALABS,0.0355,0.2479,0.0135,0.0025,0.7247,0.1547,0.8911
RSSOFTWARE,0.0001,0.0004,0.9166,0.0009,0.8576,0.2,0.4511
DCM,0.1418,0.8107,0.0019,0.5146,0.3503,0.1274,0.4527
RELAXO,0.0487,0.2408,0.9722,0.1151,0.9825,0.0319,0.0311
ABFRL,0.0618,0.9042,0.1946,0.3285,0.8143,0.0507,0.4739
SANGAMIND,0.0,0.0033,0.1843,0.9128,0.1878,0.2247,0.3868
LIBERTSHOE,0.0,0.0007,0.6659,0.49,0.2485,0.2866,0.7281
RCF,0.0,0.0538,0.0,0.4514,0.0032,0.4324,0.2603
ICICIBANK,0.0174,0.7869,0.835,0.7595,0.5692,0.0229,0.5825
INDUSINDBK,0.0,0.279,0.3956,0.054,0.8062,0.3086,0.0229
ORBTEXP,0.0049,0.0287,0.2267,0.3282,0.5128,0.0327,0.059
MANALIPETC,0.0,0.0258,0.0297,0.7899,0.8052,0.3357,0.6512
CENTURYPLY,0.0,0.0245,0.0691,0.6137,0.4248,0.2404,0.0102
VSTIND,0.0936,0.7211,0.2199,0.8921,0.2972,0.0067,0.8122
CRISIL,0.0584,0.2583,0.7867,0.5193,0.936,0.0171,0.1772
SHARONBIO,0.0182,0.2046,0.6866,0.2492,0.358,0.049,0.0949
ADANIPORTS,0.0,0.311,0.5948,0.0981,0.6369,0.3859,0.2782
JSWHL,0.0,0.1765,0.3792,0.0165,0.7246,0.288,0.6194
ASHIANA,0.0978,0.9735,0.0587,0.1656,0.9971,0.0745,0.02
POLYPLEX,0.0,0.0659,0.0102,0.6752,0.1358,0.2913,0.8423
ITI,0.0001,0.0666,0.0699,0.174,0.3377,0.2385,0.6726
GODREJPROP,0.0,0.0103,0.6111,0.004,0.8503,0.3762,0.8971
JBCHEPHARM,0.002,0.0144,0.2157,0.1372,0.4044,0.1471,0.6212
VIJSHAN,0.0019,0.0315,0.0013,0.3338,0.0897,0.2694,0.401
ACC,0.0,0.0025,0.0182,0.4935,0.9299,0.3814,0.3606
TRENT,0.0001,0.0898,0.2648,0.0025,0.3097,0.1735,0.8332
FOSECOIND,0.4491,0.5937,0.002,0.0263,0.6813,0.1253,0.0212
MERCK,0.0011,0.0005,0.7149,0.2157,0.7136,0.165,0.801
ELECTCAST,0.0012,0.9229,0.0,0.2197,0.0947,0.3006,0.7215
DPSCLTD,0.3023,0.0181,0.1978,0.8803,0.0588,0.1179,0.683
TECHNOFAB,0.2674,0.039,0.0197,0.0053,0.88,0.1706,0.2877
AHLWEST,0.0118,0.8662,0.6679,0.4777,0.4934,0.0668,0.9207
TVTODAY,0.005,0.0694,0.4619,0.1382,0.548,0.1186,0.6231
NITINSPIN,0.0004,0.0507,0.0147,0.2838,0.6743,0.2356,0.6583
THERMAX,0.0079,0.3339,0.9715,0.5786,0.6899,0.0629,0.3655
STAR,0.0016,0.0406,0.282,0.7371,0.8651,0.149,0.0837
FEDERALBNK,0.0,0.1268,0.002,0.9042,0.6587,0.4896,0.1658
METALFORGE,0.0,0.007,0.328,0.5519,0.784,0.2319,0.2184
PAISALO,0.1691,0.8005,0.6712,0.3441,0.1423,0.0014,0.5701
SELAN,0.001,0.1016,0.5027,0.795,0.3938,0.146,0.7224
NLCINDIA,0.0001,0.6575,0.0,0.0032,0.8046,0.4205,0.5663
PARSVNATH,0.0002,0.903,0.0,0.3183,0.0464,0.4526,0.0221
TATASPONGE,0.0066,0.02,0.9098,0.3515,0.3958,0.0918,0.5406
ITC,0.0074,0.9459,0.0027,0.6432,0.126,0.0613,0.6772
NATIONALUM,0.0,0.4282,0.0106,0.9965,0.5749,0.2948,0.743
IBVENTURES,0.0,0.1994,0.0002,0.0022,0.2739,0.4214,0.8018
ADHUNIK,0.0,0.199,0.2036,0.5095,0.5596,0.2779,0.0378
RKDL,0.0477,0.0363,0.6834,0.0419,0.4725,0.0745,0.7565
FACT,0.0151,0.0247,0.0008,0.1206,0.9318,0.2534,0.7864
PGEL,0.3242,0.665,0.2443,0.6299,0.7962,0.0172,0.1498
ASTRAMICRO,0.0,0.0276,0.4553,0.2878,0.3226,0.2123,0.636
POWERGRID,0.0,0.3229,0.3975,0.8135,0.5574,0.2394,0.2451
MAGMA,0.0005,0.9831,0.0301,0.3314,0.1468,0.2495,0.7152
SHOPERSTOP,0.0,0.414,0.8831,0.07,0.9492,0.1467,0.9357
ABB,0.0002,0.1701,0.4746,0.6037,0.1662,0.1799,0.1631
MTNL,0.0,0.0612,0.0027,0.5261,0.1048,0.2829,0.4985
INDIACEM,0.0,0.9603,0.0028,0.1923,0.6591,0.4361,0.9598
OPTOCIRCUI,0.8706,0.4387,0.0,0.1004,0.415,0.2654,0.9346
DEEPIND,0.0,0.0045,0.0074,0.4433,0.5845,0.3502,0.6756
RSWM,0.0,0.0309,0.5116,0.9949,0.1551,0.2444,0.7571
ADANIENT,0.0,0.1268,0.3304,0.3862,0.7436,0.2476,0.2401
CYBERTECH,0.0312,0.0057,0.2289,0.0759,0.1648,0.1131,0.469
GANESHHOUC,0.0,0.1829,0.2782,0.1344,0.5484,0.2121,0.8959
JISLJALEQS,0.0,0.1893,0.0,0.0835,0.7414,0.5087,0.6061
ASIANHOTNR,0.3473,0.895,0.0062,0.9775,0.747,0.0922,0.5403
TDPOWERSYS,0.0012,0.2069,0.7137,0.4809,0.7351,0.1003,0.2607
EICHERMOT,0.0013,0.1095,0.4531,0.7613,0.8219,0.0609,0.0084
DEEPAKNTR,0.135,0.1006,0.9171,0.4814,0.5673,0.019,0.8033
BATAINDIA,0.0,0.0043,0.1146,0.1961,0.1571,0.2817,0.517
EMAMILTD,0.0735,0.5343,0.146,0.9623,0.0791,0.0234,0.1621
FDC,0.0012,0.0014,0.962,0.008,0.866,0.1465,0.8537
CUMMINSIND,0.0,0.6285,0.3208,0.1398,0.6285,0.1432,0.1187
NITINFIRE,0.0005,0.0784,0.64,0.9547,0.1363,0.1649,0.0112
MONSANTO,0.0601,0.1233,0.9071,0.22,0.2541,0.0499,0.1177
GARDENSILK,0.0,0.009,0.3774,0.1922,0.9792,0.2532,0.16
CINELINE,0.1413,0.076,0.7262,0.0639,0.7754,0.0476,0.6092
JSL,0.0001,0.9986,0.0,0.7284,0.5841,0.3362,0.9009
RAYMOND,0.0,0.1039,0.0642,0.3984,0.3936,0.3173,0.4798
AMBIKCO,0.0008,0.0169,0.8261,0.828,0.2945,0.1261,0.5479
CORPBANK,0.0,0.5352,0.0,0.0117,0.6158,0.4732,0.4602
OBEROIRLTY,0.0001,0.6483,0.0685,0.9454,0.4241,0.1889,0.9017
BALKRISIND,0.0012,0.5174,0.9494,0.4017,0.71,0.072,0.2341
LGBBROSLTD,0.1919,0.5889,0.169,0.1302,0.8412,0.0477,0.1557
SSWL,0.1521,0.3955,0.037,0.6013,0.4087,0.1141,0.1786
NECLIFE,0.0,0.0009,0.2701,0.1551,0.556,0.2537,0.9526
GENESYS,0.0627,0.0617,0.988,0.559,0.0514,0.0779,0.1793
JAYSREETEA,0.0,0.0002,0.1215,0.0145,0.2163,0.364,0.1203
AMBUJACEM,0.0,0.0119,0.1783,0.099,0.7616,0.3691,0.5986
SHREECEM,0.0001,0.7924,0.4607,0.7313,0.8481,0.0963,0.0024
NAUKRI,0.0697,0.1492,0.6789,0.4884,0.1523,0.0714,0.2748
TATAMETALI,0.0,0.1527,0.4089,0.3701,0.7951,0.1653,0.2714
BSLGOLDETF,0.0444,0.2786,0.0687,0.0337,0.608,0.0198,0.573
PNB,0.1476,0.5766,0.7114,0.0044,0.4484,0.0464,0.8778
BFINVEST,0.0006,0.2615,0.0569,0.4634,0.7241,0.1989,0.3587
FEDDERELEC,0.0006,0.0726,0.0364,0.6228,0.6639,0.2262,0.5621
PREMIER,0.0,0.0003,0.3194,0.3463,0.8983,0.2709,0.1649
CADILAHC,0.1472,0.2688,0.5002,0.0551,0.5745,0.0311,0.0234
TECHM,0.0,0.0006,0.0002,0.0152,0.0217,0.1667,0.7498
MAHINDCIE,0.3224,0.9482,0.0011,0.5176,0.2706,0.1473,0.0232
KEI,0.0178,0.0108,0.0007,0.2995,0.8601,0.2791,0.0649
COMPUSOFT,0.0012,0.0196,0.1902,0.3537,0.7212,0.1624,0.5904
KEC,0.0,0.0156,0.9782,0.9777,0.6048,0.2756,0.7666
MUNJALAU,0.0,0.0014,0.0306,0.5828,0.9196,0.2973,0.1037
VARDHACRLC,0.0002,0.0909,0.0837,0.3213,0.5268,0.1914,0.3326
BAJAJELEC,0.0004,0.1337,0.6358,0.8228,0.2232,0.1158,0.4239
INDRAMEDCO,0.0043,0.0211,0.0086,0.6086,0.1985,0.2107,0.4924
ZEEL,0.0168,0.3058,0.2525,0.0213,0.7515,0.0738,0.2159
BLUESTARCO,0.0,0.1705,0.6685,0.0363,0.7744,0.2415,0.1466
HCLTECH,0.0001,0.0043,0.0001,0.008,0.8133,0.1182,0.9415
DLF,0.0,0.5566,0.0653,0.017,0.2959,0.2852,0.4056
SICAGEN,0.0402,0.1114,0.0169,0.4778,0.6669,0.1746,0.8647
JINDALSAW,0.0,0.2669,0.0171,0.2235,0.1545,0.3356,0.5408
KIRLOSIND,0.0056,0.003,0.5299,0.4206,0.9928,0.0747,0.3745
APARINDS,0.0001,0.0108,0.1794,0.208,0.4187,0.222,0.2367
NTPC,0.0,0.6239,0.8371,0.0003,0.7374,0.323,0.7539
ESSELPACK,0.0,0.3872,0.0834,0.9655,0.8677,0.2486,0.1563
SIEMENS,0.0,0.0103,0.0116,0.2723,0.2526,0.51,0.6873
SPARC,0.0036,0.0378,0.3619,0.2675,0.2549,0.152,0.7186
KIRLOSENG,0.0041,0.3776,0.2153,0.9909,0.5109,0.1331,0.2879
KABRAEXTRU,0.0001,0.0365,0.0192,0.5869,0.563,0.2549,0.3269
BANARISUG,0.1749,0.2868,0.0311,0.9972,0.4063,0.1157,0.5568
ASSAMCO,0.0015,0.3314,0.0004,0.4022,0.2773,0.3156,0.4258
TEXMOPIPES,0.0215,0.4788,0.0225,0.4874,0.5821,0.1526,0.4686
AVTNPL,0.0007,0.0096,0.0329,0.5382,0.1619,0.2127,0.4874
MRF,0.0,0.089,0.7009,0.1087,0.9318,0.2235,0.115
GUJALKALI,0.0001,0.0095,0.0551,0.7605,0.8823,0.2513,0.6122
GOLDBEES,0.028,0.0462,0.1211,0.0027,0.0404,0.0777,0.3567
SOBHA,0.0002,0.3114,0.7689,0.7551,0.0828,0.1013,0.4322
VIDEOIND,0.0,0.0003,0.1073,0.0086,0.2724,0.3564,0.1872
RAMCOCEM,0.0,0.1416,0.998,0.0006,0.295,0.1924,0.1494
TRITURBINE,0.0,0.0505,0.5517,0.0136,0.2152,0.1842,0.3406
GREAVESCOT,0.0,0.01,0.1027,0.0134,0.1525,0.1866,0.2044
LUPIN,0.0001,0.0057,0.0323,0.0052,0.6386,0.1143,0.1943
EROSMEDIA,0.0,0.0203,0.7852,0.0463,0.0041,0.2444,0.565
GALLISPAT,0.0191,0.1516,0.3194,0.9759,0.7006,0.0705,0.0289
JPPOWER,0.0,0.1771,0.0001,0.0149,0.7851,0.4367,0.2453
TIDEWATER,0.0395,0.0413,0.0683,0.7607,0.0193,0.1988,0.0371
AARTIIND,0.0008,0.0197,0.983,0.7277,0.0419,0.1623,0.2003
SANWARIA,0.0106,0.0832,0.2273,0.329,0.9122,0.1272,0.3871
QGOLDHALF,0.0616,0.1894,0.2807,0.0178,0.0144,0.0702,0.4678
JPASSOCIAT,0.0001,0.0002,0.0,0.2775,0.5742,0.4567,0.2041
HBLPOWER,0.001,0.0071,0.5411,0.5914,0.7532,0.143,0.4263
20MICRONS,0.0096,0.0824,0.215,0.0057,0.3311,0.152,0.7513
NDTV,0.0359,0.2861,0.0167,0.7223,0.3145,0.1301,0.5741
UNITECH,0.0,0.0626,0.0,0.9981,0.7201,0.5545,0.9472
SUTLEJTEX,0.0,0.009,0.2097,0.5768,0.9709,0.225,0.4593
AMARAJABAT,0.0001,0.0029,0.1446,0.0486,0.6212,0.1138,0.0922
SBIN,0.6817,0.0533,0.0616,0.7623,0.0853,0.0611,0.7312
PANACEABIO,0.0304,0.0109,0.6304,0.1783,0.6754,0.0583,0.8825
IDEA,0.0,0.0971,0.0168,0.357,0.7478,0.1564,0.2405
TREEHOUSE,0.0013,0.0286,0.9025,0.9741,0.8077,0.1087,0.2648
KAJARIACER,0.0003,0.0426,0.6156,0.1971,0.9511,0.1015,0.0757
SWARAJENG,0.0013,0.1429,0.5561,0.7519,0.1188,0.1017,0.6084
DREDGECORP,0.0,0.7269,0.0011,0.3249,0.5909,0.3577,0.7135
KRBL,0.3203,0.0347,0.0105,0.7608,0.772,0.1346,0.0245
HMT,0.0,0.0012,0.4621,0.0199,0.0835,0.2222,0.8187
SHANTIGEAR,0.0069,0.3966,0.0191,0.4108,0.4376,0.1867,0.2225
JKLAKSHMI,0.0,0.027,0.508,0.0073,0.7758,0.2347,0.0061
OIL,0.0,0.3098,0.8383,0.0258,0.0662,0.3585,0.6981
FCONSUMER,0.2444,0.2457,0.0825,0.7315,0.7491,0.0631,0.1992
BHARATFORG,0.0,0.4466,0.4037,0.0042,0.79,0.2261,0.0097
CELESTIAL,0.0005,0.4551,0.6165,0.3763,0.3571,0.059,0.0891
IGL,0.0,0.7952,0.4934,0.8082,0.9923,0.1605,0.1723
IDFC,0.0,0.0492,0.0103,0.0246,0.5014,0.4376,0.4257
JMFINANCIL,0.0,0.2858,0.1101,0.0471,0.2222,0.3174,0.6577
ZODIACLOTH,0.1946,0.0078,0.2828,0.0076,0.0165,0.1699,0.5268
PETRONET,0.0001,0.196,0.6032,0.0513,0.5399,0.1611,0.1984
CYIENT,0.0207,0.0083,0.2508,0.0076,0.9769,0.0684,0.5136
PNBGILTS,0.0,0.3182,0.0722,0.8582,0.1089,0.2116,0.1794
ZEEMEDIA,0.0,0.0347,0.0056,0.0202,0.1029,0.3304,0.9788
MUTHOOTFIN,0.0023,0.5869,0.8057,0.8216,0.5464,0.0511,0.2642
BAJFINANCE,0.0,0.0434,0.3234,0.5996,0.2449,0.1081,0.0597
IBREALEST,0.0,0.0072,0.0,0.6516,0.2771,0.4385,0.9612
VOLTAMP,0.0384,0.7668,0.0301,0.6035,0.6809,0.1335,0.2555
KOTHARIPET,0.0111,0.1923,0.9017,0.827,0.1928,0.0846,0.9143
RATNAMANI,0.0009,0.044,0.6022,0.4405,0.2511,0.1131,0.0034
FIEMIND,0.081,0.4595,0.4247,0.1925,0.2186,0.0212,0.0001
BALAJITELE,0.0,0.036,0.8027,0.6745,0.5051,0.2249,0.9684
KOHINOOR,0.0001,0.0045,0.1597,0.1043,0.6864,0.2558,0.2781
ELGIEQUIP,0.0146,0.0189,0.6521,0.3444,0.7126,0.0997,0.3876
DABUR,0.0,0.092,0.0607,0.2595,0.043,0.0726,0.3086
ASHOKLEY,0.0,0.0508,0.0053,0.9501,0.3469,0.3515,0.0156
SRTRANSFIN,0.0,0.2531,0.233,0.4449,0.6518,0.3241,0.2882
SUNDRMFAST,0.0612,0.0209,0.2578,0.8466,0.5177,0.1082,0.0084
KOTARISUG,0.3414,0.0448,0.0365,0.8509,0.9372,0.1095,0.9909
IVC,0.0501,0.6655,0.0019,0.9157,0.8018,0.1823,0.4793
SYMPHONY,0.0,0.0931,0.3559,0.0015,0.1083,0.1213,0.0075
NFL,0.0,0.0003,0.0002,0.7531,0.1492,0.4028,0.934
UNITEDBNK,0.0,0.2387,0.0018,0.9262,0.0532,0.2587,0.4893
AGCNET,0.177,0.1243,0.0192,0.286,0.8574,0.1367,0.9378
MUKTAARTS,0.0756,0.4601,0.0809,0.7428,0.8917,0.0927,0.7324
CENTURYTEX,0.0,0.9803,0.0017,0.1999,0.4286,0.5106,0.4885
ASTRAL,0.0588,0.0617,0.4276,0.4287,0.5768,0.0583,0.8307
IGARASHI,0.0001,0.0282,0.7136,0.3934,0.4477,0.1415,0.2395
RPOWER,0.0,0.0,0.0,0.5235,0.9036,0.6686,0.2189
HINDCOPPER,0.0,0.0297,0.0,0.0102,0.1346,0.5803,0.2171
PENINLAND,0.0,0.077,0.0,0.5254,0.0964,0.4939,0.1303
JAGRAN,0.0,0.0034,0.6444,0.325,0.4134,0.1286,0.4008
MTEDUCARE,0.0157,0.4599,0.2144,0.054,0.9194,0.1222,0.5947
WOCKPHARMA,0.002,0.107,0.9193,0.1714,0.8423,0.0816,0.3034
APOLLOHOSP,0.0,0.0115,0.0026,0.0099,0.5125,0.1544,0.7037
AJANTPHARM,0.4063,0.91,0.3607,0.1049,0.1077,0.041,0.0251
GILLETTE,0.0064,0.2605,0.7501,0.2005,0.4537,0.0621,0.1066
CLNINDIA,0.1467,0.6485,0.0152,0.003,0.7807,0.1195,0.2911
PAPERPROD,0.0737,0.0124,0.7703,0.6971,0.078,0.0737,0.1395
MCDOWELL-N,0.0055,0.519,0.9762,0.0759,0.2119,0.0428,0.8558
VOLTAS,0.0,0.9351,0.9171,0.567,0.6445,0.3434,0.3737
HIMATSEIDE,0.0093,0.0101,0.5992,0.0549,0.9699,0.1103,0.6458
SWELECTES,0.0005,0.0016,0.0342,0.0559,0.1142,0.2324,0.2398
KWALITY,0.0231,0.0011,0.107,0.7991,0.0286,0.2294,0.7155
BALLARPUR,0.0,0.0174,0.0351,0.2828,0.9321,0.3386,0.5562
JKIL,0.3526,0.3555,0.0762,0.8501,0.3643,0.0724,0.0261
POLYMED,0.4138,0.3899,0.5029,0.3589,0.0828,0.0134,0.034
AMRUTANJAN,0.0,0.0001,0.1636,0.2237,0.2757,0.1929,0.2938
RSYSTEMS,0.19,0.5115,0.6763,0.3375,0.0664,0.0059,0.9027
JYOTISTRUC,0.0,0.0091,0.02,0.1402,0.4631,0.416,0.4826
RCOM,0.0,0.2236,0.0025,0.7636,0.7674,0.4096,0.0241
GODREJCP,0.0,0.4643,0.2262,0.8639,0.5909,0.1115,0.8348
GSFC,0.0011,0.0343,0.0023,0.7167,0.0051,0.2407,0.1944
IL&FSTRANS,0.0,0.228,0.0104,0.0088,0.5363,0.3689,0.9553
PPAP,0.0,0.0013,0.9997,0.6054,0.2037,0.158,0.2148
APOLLOTYRE,0.0,0.065,0.9499,0.0109,0.7687,0.252,0.3551
VAIBHAVGBL,0.4334,0.3926,0.4169,0.8727,0.186,0.0206,0.9473
SUNTV,0.0109,0.2927,0.0324,0.9767,0.9953,0.1562,0.7314
PRAJIND,0.0004,0.5448,0.002,0.6422,0.7325,0.2741,0.8919
INDIANHUME,0.0,0.0,0.1318,0.6846,0.1501,0.3121,0.2032
RENUKA,0.0007,0.0712,0.0089,0.3684,0.2118,0.2229,0.2924
GLENMARK,0.0142,0.0366,0.252,0.0001,0.2877,0.0892,0.3162
WHEELS,0.0207,0.1536,0.1419,0.908,0.3963,0.1292,0.8484
JKTYRE,0.039,0.0336,0.6658,0.1809,0.397,0.0327,0.9398
WIPRO,0.0001,0.0363,0.0049,0.0002,0.2587,0.1412,0.4352
CHAMBLFERT,0.0,0.0057,0.0,0.5814,0.6,0.4269,0.6804
SIMPLEX,0.979,0.7414,0.0009,0.0065,0.4294,0.1217,0.0187
BASF,0.0003,0.5531,0.7568,0.2945,0.1217,0.1262,0.2278
KKCL,0.5975,0.8273,0.0882,0.9193,0.6516,0.0344,0.0805
INDOCO,0.0201,0.091,0.573,0.3161,0.7351,0.026,0.2172
GNFC,0.0,0.0659,0.0016,0.1922,0.4422,0.3107,0.685
TARAJEWELS,0.0105,0.4008,0.2251,0.6439,0.6729,0.0886,0.7558
NCC,0.0041,0.3225,0.0013,0.6196,0.1154,0.2035,0.1195
LINDEINDIA,0.0133,0.5414,0.0102,0.8282,0.1314,0.1397,0.207
ABBOTINDIA,0.6118,0.5964,0.0574,0.0225,0.6459,0.057,0.0106
ZUARI,0.0001,0.0005,0.7621,0.641,0.2871,0.1682,0.6485
DATAMATICS,0.0,0.0073,0.8957,0.1139,0.255,0.1762,0.7811
TALBROAUTO,0.0022,0.0002,0.305,0.4215,0.6025,0.2024,0.3933
NAHARCAP,0.355,0.6878,0.0,0.6294,0.9306,0.2454,0.1593
BANKBEES,0.0,0.0,0.0002,0.3767,0.0312,0.6245,0.0006
ICRA,0.088,0.3285,0.4238,0.1552,0.6647,0.0505,0.0964
ANKITMETAL,0.0014,0.0167,0.6115,0.0325,0.5312,0.1676,0.0372
HINDPETRO,0.0,0.0009,0.3977,0.7771,0.5417,0.3178,0.0279
FINPIPE,0.0007,0.025,0.7997,0.5451,0.4523,0.1057,0.5291
NEULANDLAB,0.0,0.0001,0.9543,0.0141,0.0232,0.182,0.9569
BALMLAWRIE,0.0,0.032,0.0058,0.4045,0.1261,0.3112,0.1937
J&KBANK,0.3738,0.1646,0.196,0.972,0.808,0.019,0.4883
IFBIND,0.0001,0.0051,0.5965,0.1636,0.8709,0.1391,0.0277
MERCATOR,0.0068,0.0019,0.0,0.3339,0.1908,0.3907,0.6623
JINDALPOLY,0.0001,0.1357,0.0023,0.4199,0.2094,0.3256,0.7015
PSUBNKBEES,0.0001,0.0046,0.0003,0.0073,0.7345,0.3733,0.0614
GIPCL,0.0,0.086,0.0057,0.0956,0.794,0.4058,0.8827
ZYDUSWELL,0.3573,0.0348,0.6275,0.52,0.9171,0.0328,0.3553
