Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const
DRREDDY,0.0,0.2359,0.7205,0.1148,0.7594
BURNPUR,0.0093,0.0002,0.0435,0.1332,0.5514
SETFGOLD,0.0096,0.4934,0.4183,0.0485,0.1698
BAJAJFINSV,0.0,0.029,0.5373,0.2187,0.0867
TATASTEEL,0.0,0.0,0.0,0.5926,0.0259
JVLAGRO,0.0,0.0,0.0414,0.35,0.5594
ALPHAGEO,0.001,0.0025,0.0023,0.187,0.2103
MAANALU,0.0048,0.3242,0.7196,0.0518,0.1449
INDNIPPON,0.0,0.0001,0.2513,0.2157,0.2812
VINYLINDIA,0.0,0.0008,0.0886,0.2806,0.8451
CGPOWER,0.0,0.2883,0.336,0.0831,0.5834
TIL,0.0,0.0001,0.078,0.2323,0.3916
ROSSELLIND,0.0,0.0,0.0125,0.3723,0.5093
SKIPPER,0.0,0.0,0.0026,0.491,0.8892
MANGTIMBER,0.0815,0.0005,0.8703,0.0563,0.2757
TRF,0.0,0.0002,0.0002,0.3128,0.2196
NAVNETEDUL,0.0007,0.027,0.0016,0.1842,0.269
SPECIALITY,0.0,0.0002,0.0544,0.254,0.1248
KCPSUGIND,0.0,0.0,0.0003,0.2984,0.4217
ROHLTD,0.0001,0.0,0.0038,0.2349,0.613
DAAWAT,0.0,0.0163,0.1489,0.2281,0.5141
SPYL,0.0007,0.0635,0.146,0.0557,0.9612
GMBREW,0.0001,0.0,0.9644,0.1377,0.6173
EMMBI,0.0,0.0,0.0334,0.2483,0.2299
JPINFRATEC,0.2586,0.0001,0.0,0.2666,0.5838
TATAINVEST,0.0,0.001,0.001,0.2833,0.5368
SUBEX,0.0,0.0,0.0001,0.3593,0.9511
CEREBRAINT,0.0,0.2371,0.6766,0.1292,0.5647
SAKUMA,0.0,0.0,0.0559,0.2686,0.8822
LAXMIMACH,0.0,0.3144,0.0654,0.2055,0.5466
GUJGASLTD,0.0,0.0221,0.5692,0.1824,0.8031
JBFIND,0.0,0.0,0.4104,0.2694,0.8352
KOPRAN,0.0,0.0,0.0,0.4378,0.8367
BVCL,0.2722,0.0052,0.0114,0.0802,0.4214
IOC,0.0175,0.3666,0.5366,0.0393,0.9649
IVRCLINFRA,0.0,0.0009,0.0025,0.2735,0.2531
KRIDHANINF,0.0,0.0737,0.1081,0.1948,0.0937
PRAKASH,0.0,0.0,0.0,0.4214,0.2326
CGCL,0.1917,0.1292,0.1936,0.0301,0.9011
MINDTREE,0.0404,0.5238,0.6501,0.0112,0.2976
SCHNEIDER,0.0,0.0004,0.0353,0.357,0.7967
GRPLTD,0.0051,0.1585,0.9772,0.0497,0.1815
VIMTALABS,0.0,0.0,0.0,0.3263,0.5638
RSSOFTWARE,0.0,0.0623,0.1521,0.1692,0.8369
TVSELECT,0.0,0.0,0.0135,0.3082,0.3254
DCM,0.0,0.0001,0.093,0.2743,0.4681
RELAXO,0.0126,0.0046,0.0674,0.1047,0.8224
ABFRL,0.0,0.0014,0.7167,0.184,0.3399
SANGAMIND,0.0,0.0,0.4645,0.3435,0.743
LIBERTSHOE,0.0,0.0,0.6851,0.361,0.6631
JAYBARMARU,0.0,0.0014,0.0384,0.255,0.1211
RCF,0.0,0.0,0.013,0.3294,0.7703
ICICIBANK,0.0,0.0014,0.0064,0.445,0.7187
INDUSINDBK,0.0,0.7096,0.0056,0.4302,0.2178
CPSEETF,0.0,0.0268,0.0073,0.6353,0.0371
ORBTEXP,0.0174,0.0046,0.0276,0.1127,0.7047
MANALIPETC,0.0,0.0,0.0013,0.3373,0.4319
CENTURYPLY,0.0,0.0029,0.071,0.3432,0.6833
VSTIND,0.002,0.7239,0.6762,0.0562,0.1186
SUZLON,0.0,0.876,0.0001,0.3091,0.4532
CRISIL,0.0001,0.6961,0.0657,0.0535,0.3871
RANEENGINE,0.0016,0.0651,0.8916,0.0711,0.4103
LINCPEN,0.0,0.0005,0.0347,0.2518,0.518
SHARONBIO,0.1104,0.0002,0.0049,0.1258,0.2484
ADANIPORTS,0.0,0.0099,0.1068,0.3549,0.6551
EXCEL,0.0,0.0,0.4764,0.2025,0.5321
SONATSOFTW,0.0,0.014,0.0415,0.2357,0.4257
GOLDIAM,0.0001,0.0011,0.015,0.1904,0.415
SUJANAUNI,0.0103,0.0025,0.0074,0.1411,0.7652
JSWHL,0.0036,0.9924,0.0891,0.0878,0.1554
ASHIANA,0.0,0.0304,0.0056,0.2016,0.8844
POLYPLEX,0.0,0.0003,0.0014,0.3501,0.0757
ITI,0.003,0.0116,0.0016,0.1696,0.2425
VIDHIING,0.0006,0.0,0.1335,0.1694,0.5597
GODREJPROP,0.0,0.0733,0.453,0.2783,0.979
TVSSRICHAK,0.0,0.016,0.9603,0.2124,0.4545
JBCHEPHARM,0.0,0.0,0.622,0.2353,0.2306
RELCNX100,0.0,0.7759,0.5458,0.1789,0.6694
MUKANDLTD,0.0,0.0018,0.0163,0.3056,0.287
VIJSHAN,0.0002,0.0019,0.2845,0.1356,0.7881
DLINKINDIA,0.0039,0.003,0.0013,0.1755,0.7845
ACC,0.0,0.6334,0.0541,0.407,0.762
NAVINFLUOR,0.0,0.8765,0.6466,0.1356,0.3236
TRENT,0.0043,0.2025,0.4464,0.0607,0.4508
ORICONENT,0.0,0.0029,0.0587,0.3728,0.988
FOSECOIND,0.0,0.0,0.0697,0.2233,0.9428
KELLTONTEC,0.0213,0.1337,0.0272,0.0908,0.3592
MERCK,0.0018,0.0113,0.0084,0.1546,0.1468
ELECTCAST,0.0,0.0,0.0001,0.4212,0.5353
ORIENTREF,0.0,0.046,0.2248,0.1813,0.227
DPSCLTD,0.0,0.8235,0.9024,0.1021,0.018
TIIL,0.0,0.0001,0.0466,0.2687,0.1336
TECHNOFAB,0.0058,0.0001,0.1034,0.1328,0.6139
SETFNIF50,0.0,0.3545,0.0007,0.3991,0.4814
AHLWEST,0.0773,0.1358,0.5109,0.0283,0.1037
SMPL,0.0011,0.0022,0.0335,0.1507,0.8034
TVTODAY,0.0,0.0097,0.4391,0.2338,0.7483
STRTECH,0.0,0.0065,0.0125,0.318,0.6052
NITINSPIN,0.0,0.0,0.0,0.3773,0.7756
THERMAX,0.0,0.3229,0.5113,0.1527,0.7517
STAR,0.0,0.0759,0.5852,0.2761,0.843
FEDERALBNK,0.0,0.2192,0.0255,0.3601,0.3082
METALFORGE,0.0,0.0009,0.0896,0.2803,0.9209
PAISALO,0.2636,0.0413,0.0221,0.061,0.8472
TFCILTD,0.0,0.0,0.0002,0.461,0.8908
SELAN,0.0,0.1486,0.0008,0.2618,0.8834
NLCINDIA,0.0,0.0117,0.046,0.1849,0.8359
PARSVNATH,0.0002,0.0212,0.0,0.2642,0.328
DTIL,0.0,0.0,0.0497,0.3012,0.8151
TATASPONGE,0.0,0.0011,0.0,0.374,0.3626
PEARLPOLY,0.0007,0.0245,0.6746,0.0914,0.4956
ITC,0.0,0.9289,0.0313,0.0861,0.6826
NATIONALUM,0.0,0.5176,0.0143,0.2069,0.1004
WABAG,0.0008,0.0091,0.0094,0.164,0.3856
GVKPIL,0.0275,0.0,0.0,0.2991,0.6624
IBVENTURES,0.0,0.0008,0.0018,0.2311,0.9396
SETFNN50,0.0,0.0158,0.8927,0.2749,0.3382
ALANKIT,0.0,0.927,0.3538,0.094,0.7816
ADHUNIK,0.0,0.0035,0.0135,0.2139,0.2788
RKDL,0.0024,0.0127,0.1064,0.1129,0.5829
FACT,0.0,0.0058,0.6398,0.2511,0.745
PGEL,0.0017,0.0001,0.0113,0.1772,0.7335
ALKYLAMINE,0.0005,0.0004,0.053,0.1642,0.8923
ASTRAMICRO,0.0,0.0,0.0013,0.3852,0.7471
RUSHIL,0.0098,0.0022,0.1848,0.0976,0.1265
RICOAUTO,0.0,0.0001,0.0038,0.3607,0.3638
POWERGRID,0.0,0.1923,0.6753,0.2338,0.0828
CASTROLIND,0.0,0.234,0.9805,0.2015,0.8187
MAGMA,0.0,0.075,0.274,0.2763,0.4812
KSK,0.0004,0.0012,0.1615,0.1408,0.0352
SHOPERSTOP,0.0,0.1084,0.1232,0.1836,0.3514
ABB,0.0002,0.4326,0.7067,0.081,0.9023
MTNL,0.0,0.0018,0.0007,0.3403,0.8099
INDIACEM,0.0,0.0,0.2291,0.5956,0.2291
OPTOCIRCUI,0.0032,0.0023,0.0011,0.1813,0.7608
VRLLOG,0.0,0.0003,0.4497,0.1466,0.4222
ALLSEC,0.0001,0.0007,0.0773,0.1727,0.035
DEEPIND,0.0,0.1481,0.0889,0.2852,0.1424
HOTELEELA,0.0,0.0,0.012,0.341,0.3728
RSWM,0.0,0.0,0.0205,0.324,0.2418
ADANIENT,0.0,0.0333,0.0,0.5041,0.9441
MAWANASUG,0.0209,0.0,0.0374,0.1474,0.0604
UGARSUGAR,0.1768,0.0,0.0361,0.1317,0.2697
CYBERTECH,0.0,0.0101,0.0022,0.2282,0.2588
GANESHHOUC,0.0,0.0123,0.9404,0.1296,0.3776
OMAXAUTO,0.0,0.0,0.0171,0.2803,0.8492
JISLJALEQS,0.0,0.0002,0.0368,0.3948,0.2353
ANGIND,0.0,0.0002,0.2087,0.2467,0.0544
RTNINFRA,0.0053,0.0001,0.2705,0.1186,0.9105
SUMMITSEC,0.0,0.0001,0.0402,0.2834,0.3022
ASIANHOTNR,0.1911,0.4649,0.0013,0.0903,0.7974
SALSTEEL,0.0009,0.0628,0.3649,0.0933,0.5569
SEPOWER,0.9351,0.3387,0.404,-0.0051,0.1224
INDIANCARD,0.0,0.0,0.0031,0.3106,0.9063
TDPOWERSYS,0.0,0.0264,0.3042,0.198,0.1611
EICHERMOT,0.0,0.1741,0.7675,0.2858,0.198
DEEPAKNTR,0.0,0.0134,0.0406,0.2187,0.2793
SIYSIL,0.0,0.0122,0.4228,0.2391,0.596
BATAINDIA,0.0,0.506,0.7299,0.3251,0.8561
RAMCOSYS,0.0,0.0101,0.1193,0.1612,0.0624
HEXATRADEX,0.0,0.0417,0.8277,0.1909,0.8682
CIGNITITEC,0.0006,0.1391,0.0028,0.1703,0.9758
SITINET,0.0059,0.0494,0.0825,0.097,0.499
COUNCODOS,0.0084,0.0118,0.2959,0.0791,0.5861
TAINWALCHM,0.0,0.0,0.4981,0.19,0.4137
MANAKCOAT,0.0087,0.0278,0.2513,0.0396,0.5963
EMAMILTD,0.0,0.5891,0.0538,0.064,0.8463
SOMATEX,0.0008,0.0001,0.7687,0.1294,0.3115
MVL,0.5955,0.2862,0.2625,-0.0032,0.3492
FDC,0.0014,0.0022,0.0,0.2435,0.7249
CUMMINSIND,0.0,0.925,0.9877,0.2,0.5504
PITTIENG,0.0,0.0027,0.7509,0.1821,0.5578
NITINFIRE,0.0,0.0,0.0004,0.4215,0.3359
MONSANTO,0.0145,0.0011,0.5704,0.0792,0.6454
SEQUENT,0.002,0.0001,0.2278,0.1387,0.1805
GARDENSILK,0.0001,0.0,0.1769,0.2191,0.6748
VASWANI,0.0017,0.0253,0.7154,0.0798,0.2739
SARLAPOLY,0.0,0.0,0.0071,0.304,0.9224
CINELINE,0.0,0.0,0.0141,0.2576,0.007
MAITHANALL,0.0028,0.0032,0.1937,0.1099,0.0401
JSL,0.0002,0.0165,0.0283,0.1605,0.3054
AKSHOPTFBR,0.0,0.0,0.0081,0.3358,0.2765
RAYMOND,0.0,0.0233,0.8936,0.2459,0.3532
PETRONENGG,0.0,0.0003,0.1863,0.2308,0.4611
AMBIKCO,0.0001,0.0083,0.0327,0.173,0.4011
GREENLAM,0.0001,0.0006,0.223,0.1089,0.7392
DHUNINV,0.2491,0.1373,0.3836,0.0173,0.502
JSLHISAR,0.0024,0.1726,0.2389,0.0849,0.0337
CORPBANK,0.0077,0.1167,0.0,0.3694,0.6838
OBEROIRLTY,0.0,0.0009,0.4401,0.1958,0.5191
BALKRISIND,0.0692,0.22,0.6294,0.023,0.0819
LGBBROSLTD,0.0,0.0008,0.1521,0.2038,0.576
ADLABS,0.0,0.0001,0.0044,0.2325,0.3432
SSWL,0.0,0.0,0.7771,0.3499,0.1205
NAHARSPING,0.0,0.0,0.0001,0.471,0.6949
IL&FSENGG,0.0,0.0,0.0037,0.3243,0.5609
NECLIFE,0.0,0.0,0.0,0.4559,0.4552
GENESYS,0.0,0.0005,0.0026,0.2374,0.242
JAYSREETEA,0.0,0.0,0.0001,0.3528,0.365
LEEL,0.0,0.0001,0.0088,0.4069,0.9847
BEML,0.0,0.5813,0.101,0.3211,0.6334
AMBUJACEM,0.0,0.6103,0.0495,0.3796,0.6532
HINDNATGLS,0.0104,0.0159,0.355,0.0475,0.4492
SHREECEM,0.0,0.9212,0.0,0.2667,0.2063
KGL,0.166,0.0006,0.0003,0.1418,0.9944
TULSI,0.8403,0.2192,0.061,0.0121,0.8864
ALKALI,0.0114,0.0013,0.0192,0.1313,0.5038
NAUKRI,0.0012,0.3506,0.2553,0.0356,0.695
TATAMETALI,0.0,0.0012,0.0209,0.2046,0.0144
BSLGOLDETF,0.2095,0.5786,0.2272,0.019,0.3558
SOLARINDS,0.285,0.0805,0.2685,0.0234,0.3684
PNB,0.0,0.0006,0.0,0.5654,0.5598
BFINVEST,0.0,0.0019,0.0065,0.2754,0.7257
FEDDERELEC,0.0,0.0005,0.1912,0.2617,0.5764
PREMIER,0.0001,0.0,0.0113,0.2266,0.5294
CADILAHC,0.0,0.237,0.2805,0.1949,0.4988
TECHM,0.0,0.0206,0.0119,0.2511,0.9232
SUNCLAYLTD,0.0,0.8308,0.4977,0.2558,0.0551
MAHINDCIE,0.0,0.3664,0.7224,0.2292,0.5877
KEI,0.0,0.0,0.0264,0.3199,0.5012
COMPUSOFT,0.0062,0.0002,0.2079,0.1175,0.4709
MIC,0.0013,0.0,0.0012,0.2129,0.6592
GSCLCEMENT,0.0,0.0,0.042,0.3106,0.818
KEC,0.0,0.5189,0.0003,0.3122,0.9124
LINCOLN,0.0,0.0,0.2384,0.2789,0.9687
GOKUL,0.1171,0.1229,0.0871,0.05,0.561
MUNJALAU,0.0,0.0,0.0074,0.4076,0.6422
TINPLATE,0.0,0.0002,0.0751,0.2616,0.5657
BUTTERFLY,0.0,0.0,0.0013,0.3889,0.8761
VARDHACRLC,0.0014,0.0,0.011,0.2013,0.2943
BAJAJELEC,0.0,0.0,0.5436,0.261,0.5562
ARIHANT,0.1243,0.1478,0.1308,0.0446,0.5292
INDRAMEDCO,0.0,0.0,0.0058,0.3409,0.6135
ZEEL,0.0,0.269,0.0009,0.3163,0.5851
GANDHITUBE,0.0345,0.0003,0.1626,0.097,0.3343
BLUESTARCO,0.0,0.2581,0.1395,0.2466,0.1913
HCLTECH,0.0,0.0442,0.004,0.1656,0.804
DLF,0.0,0.6226,0.0,0.592,0.6779
SICAGEN,0.0,0.0,0.0001,0.3504,0.248
JINDALSAW,0.0,0.0,0.0,0.4226,0.7059
KIRLOSIND,0.0229,0.0295,0.725,0.037,0.2577
APARINDS,0.0,0.0,0.0073,0.3077,0.3367
MANPASAND,0.0,0.8762,0.5787,0.1749,0.5196
HINDMOTORS,0.0085,0.0,0.0086,0.183,0.6896
WELSPUNIND,0.9626,0.2208,0.1428,0.007,0.341
NTPC,0.0,0.4823,0.7448,0.2426,0.3015
SPLIL,0.0002,0.0189,0.5062,0.1128,0.7952
ESSELPACK,0.0,0.001,0.173,0.1739,0.0797
SIEMENS,0.0,0.5205,0.6822,0.4396,0.9071
SPARC,0.0,0.3355,0.0272,0.2019,0.892
KIRLOSENG,0.008,0.975,0.0156,0.1045,0.1919
CENTUM,0.0001,0.0007,0.0005,0.2382,0.7656
KABRAEXTRU,0.0,0.0021,0.0272,0.3024,0.5962
RNAVAL,0.0,0.0003,0.0003,0.3602,0.4087
NAGREEKEXP,0.0057,0.001,0.0007,0.1829,0.6884
BANARISUG,0.0068,0.0001,0.0,0.2479,0.0533
ASSAMCO,0.0287,0.0,0.0,0.2844,0.8088
STEL,0.0,0.0001,0.0243,0.2288,0.3375
MINDAIND,0.0005,0.3273,0.0889,0.1182,0.9489
PRSMJOHNSN,0.0,0.0,0.6745,0.3959,0.7459
TEXMOPIPES,0.0,0.0005,0.1243,0.1828,0.4522
AVTNPL,0.0,0.0,0.0005,0.3179,0.9486
SUNILHITEC,0.0148,0.1959,0.1405,0.0681,0.5192
MRF,0.0,0.8091,0.077,0.2934,0.2342
GUJALKALI,0.0,0.0016,0.0012,0.2561,0.0394
GOLDBEES,0.0146,0.491,0.4054,0.0441,0.1384
VSSL,0.0,0.0,0.1267,0.2199,0.1758
ICSA,0.2933,0.002,0.002,0.1042,0.8706
HESTERBIO,0.0,0.0096,0.0025,0.2298,0.2808
ESABINDIA,0.0,0.0327,0.4483,0.149,0.9505
SELMCL,0.0012,0.0003,0.0104,0.177,0.5509
PNC,0.0108,0.0125,0.0089,0.1287,0.5561
RESPONIND,0.0001,0.0014,0.1969,0.1613,0.3088
MONTECARLO,0.0,0.0001,0.0936,0.222,0.6909
SOBHA,0.0,0.1169,0.6418,0.1679,0.6511
BLUEBLENDS,0.1584,0.3645,0.9746,0.0025,0.7802
TARMAT,0.0001,0.0005,0.8066,0.1298,0.3617
VIDEOIND,0.0028,0.0466,0.1971,0.0925,0.3565
EDUCOMP,0.0,0.0,0.0001,0.3216,0.4798
RAMCOCEM,0.0,0.0329,0.5899,0.2501,0.0952
TRITURBINE,0.0,0.1896,0.776,0.1544,0.5676
GREAVESCOT,0.0,0.0066,0.834,0.2613,0.8552
LUPIN,0.0,0.0493,0.2325,0.1625,0.7569
EROSMEDIA,0.0,0.0,0.0034,0.3012,0.7633
GALLISPAT,0.8391,0.1741,0.7194,-0.0031,0.3895
GLOBOFFS,0.0282,0.1353,0.0262,0.0864,0.0163
GAYAPROJ,0.0,0.0,0.1325,0.3881,0.8277
JPPOWER,0.2117,0.0,0.0,0.2509,0.3676
MBLINFRA,0.0,0.0,0.002,0.2929,0.0109
WELENT,0.0,0.0003,0.3055,0.2067,0.7239
TIDEWATER,0.5241,0.0737,0.0392,0.0373,0.3418
AARTIIND,0.0,0.0499,0.41,0.1683,0.1747
AURIONPRO,0.0,0.0003,0.4804,0.2222,0.7219
SANWARIA,0.0,0.0093,0.9372,0.1443,0.9017
QGOLDHALF,0.0007,0.3091,0.994,0.0599,0.1023
JPASSOCIAT,0.0009,0.0006,0.0,0.3262,0.8205
HBLPOWER,0.0,0.0,0.0001,0.4549,0.9767
20MICRONS,0.0,0.0,0.5301,0.2698,0.7351
NDTV,0.0014,0.1679,0.8631,0.0628,0.9948
MBECL,0.0,0.0002,0.0145,0.2237,0.1796
VIVIDHA,0.0316,0.8849,0.746,0.0224,0.0016
UNITECH,0.0,0.0,0.0,0.355,0.7235
SUTLEJTEX,0.0,0.0001,0.0515,0.314,0.0963
AMARAJABAT,0.0,0.0206,0.5042,0.3224,0.6363
WONDERLA,0.0,0.0003,0.1377,0.2301,0.7855
SBIN,0.0,0.0,0.0,0.6248,0.3143
PANACEABIO,0.0015,0.0064,0.0514,0.1345,0.8507
SUBROS,0.0,0.0,0.0057,0.2714,0.1806
ORTINLABSS,0.0,0.0014,0.0205,0.1984,0.7928
INDBANK,0.004,0.0001,0.0,0.237,0.3572
MADHUCON,0.0,0.0001,0.0023,0.3958,0.3049
ONWARDTEC,0.0001,0.0001,0.0004,0.2608,0.6411
NAHARPOLY,0.0,0.0,0.0041,0.2636,0.5515
IDEA,0.0003,0.0544,0.2928,0.1071,0.1573
TREEHOUSE,0.0903,0.0151,0.0305,0.0796,0.0057
INDOSOLAR,0.0012,0.0001,0.0014,0.209,0.4689
CCHHL,0.0,0.0,0.0,0.3755,0.9349
KAJARIACER,0.0025,0.0978,0.0607,0.0406,0.439
BBL,0.0,0.0001,0.026,0.3062,0.8244
MANAKSTEEL,0.5529,0.0261,0.0188,0.051,0.8905
SWARAJENG,0.0,0.7039,0.3771,0.2028,0.1117
DREDGECORP,0.0,0.0004,0.1694,0.2875,0.6298
KRBL,0.0,0.0178,0.1057,0.1716,0.2081
GEECEE,0.0,0.0,0.0646,0.2356,0.7657
MOHOTAIND,0.0004,0.0002,0.9571,0.1208,0.1082
INDOTECH,0.0,0.0072,0.1542,0.3046,0.7665
SHANTIGEAR,0.0,0.0,0.4609,0.3192,0.4547
JKLAKSHMI,0.0,0.0013,0.9379,0.3111,0.5242
OIL,0.0,0.9441,0.004,0.1933,0.1997
FCONSUMER,0.0,0.0001,0.0165,0.314,0.767
BHARATFORG,0.0,0.0038,0.7655,0.3066,0.6442
PSL,0.0004,0.0002,0.0002,0.2387,0.1604
GULPOLY,0.4361,0.0219,0.571,0.0187,0.3219
CELESTIAL,0.0,0.0006,0.0228,0.2641,0.5167
MENONBE,0.0003,0.0006,0.0008,0.2227,0.7011
PATSPINLTD,0.0128,0.0002,0.0755,0.1282,0.9648
IGL,0.0,0.2431,0.1555,0.1975,0.0076
IDFC,0.0,0.7601,0.0161,0.3977,0.4047
JMFINANCIL,0.0,0.0,0.5811,0.3947,0.1395
TRIVENI,0.0,0.0011,0.007,0.2738,0.2799
ZODIACLOTH,0.0,0.0032,0.2487,0.159,0.3862
PETRONET,0.0,0.8122,0.8399,0.2485,0.103
VISASTEEL,0.0313,0.0112,0.0,0.1927,0.6366
CYIENT,0.1286,0.1083,0.1709,0.0386,0.6407
PNBGILTS,0.5332,0.9934,0.0021,0.0606,0.0867
GREENPLY,0.0628,0.4031,0.4581,0.0258,0.6384
ZEEMEDIA,0.0,0.0,0.0018,0.3557,0.0804
MUTHOOTFIN,0.0,0.0313,0.0574,0.1271,0.1319
BAJFINANCE,0.0001,0.9391,0.0126,0.0489,0.6124
BASML,0.0,0.0181,0.2023,0.2521,0.4571
KNRCON,0.0638,0.8648,0.4506,0.0229,0.7203
IBREALEST,0.0,0.0018,0.0,0.4277,0.4054
