Symbol,Rm-Rf %,SMB %,HML %,Adj-r_sq,const,WML %
SHREERAMA,0.071,0.0003,0.258,0.085,0.912,0.6504
PVP,0.0805,0.0001,0.0179,0.1089,0.8357,0.4885
GTLINFRA,0.1612,0.0042,0.0026,0.1091,0.8774,0.5879
PRICOLLTD,0.0006,0.0188,0.6992,0.1239,0.9077,0.6281
PKTEA,0.0458,0.0541,0.4718,0.0477,0.0865,0.0146
PROVOGE,0.0056,0.0018,0.4044,0.0957,0.4369,0.359
8KMILES,0.0438,0.0039,0.8065,0.0553,0.7313,0.4721
JAICORPLTD,0.0189,0.0,0.0,0.2824,0.7714,0.1244
MCX,0.0,0.1263,0.1989,0.1817,0.0161,0.2802
TITAN,0.0,0.9528,0.0061,0.1649,0.0663,0.2962
ZICOM,0.0905,0.001,0.1005,0.0739,0.2878,0.2673
MUNJALSHOW,0.0046,0.0067,0.0498,0.1261,0.4337,0.8412
WSTCSTPAPR,0.0,0.0347,0.1448,0.1828,0.1971,0.4065
IBULHSGFIN,0.0,0.3757,0.191,0.211,0.4516,0.0028
EQUITAS,0.0,0.0001,0.0119,0.3117,0.0981,0.5574
DEEPAKFERT,0.0008,0.0244,0.0669,0.1643,0.405,0.269
OMMETALS,0.0008,0.001,0.4345,0.1264,0.8303,0.5296
FILATEX,0.0199,0.0226,0.8671,0.0589,0.0977,0.8221
BIL,0.0005,0.1121,0.8762,0.1317,0.4312,0.0808
UJAAS,0.0009,0.0004,0.2734,0.1409,0.0352,0.819
GAMMNINFRA,0.0886,0.002,0.0192,0.0897,0.7985,0.4323
ECEIND,0.2201,0.0781,0.6448,0.0132,0.1585,0.3525
SURANASOL,0.0013,0.0988,0.8686,0.0832,0.5478,0.3992
DEN,0.212,0.0002,0.024,0.1027,0.6712,0.2984
NDGL,0.0723,0.0018,0.2447,0.0706,0.0109,0.0324
NBVENTURES,0.0,0.0016,0.6438,0.1746,0.9013,0.8438
TATAELXSI,0.1295,0.4347,0.3755,0.0235,0.4838,0.7782
KAKATCEM,0.0,0.0009,0.1126,0.2098,0.7124,0.4067
PERSISTENT,0.0965,0.6532,0.6965,0.0013,0.3492,0.1936
KAYA,0.0653,0.0091,0.268,0.0641,0.6346,0.7168
HIRECT,0.3609,0.0046,0.0119,0.1269,0.6901,0.2578
LICHSGFIN,0.0,0.5538,0.0239,0.2964,0.1733,0.013
MASTEK,0.0003,0.0199,0.4636,0.1341,0.5356,0.6437
HEXAWARE,0.0004,0.062,0.7517,0.0807,0.1315,0.0055
RPPINFRA,0.0144,0.183,0.8013,0.0541,0.93,0.1798
SASKEN,0.0021,0.0061,0.9198,0.0876,0.2474,0.4858
PTL,0.6296,0.6536,0.6742,-0.0108,0.6575,0.215
VHL,0.0397,0.1011,0.8981,0.0299,0.0403,0.0623
ORIENTBANK,0.0543,0.3943,0.0,0.6601,0.4713,0.8227
UJJIVAN,0.0,0.0332,0.8848,0.2653,0.3147,0.52
PAGEIND,0.0016,0.7033,0.7019,0.0979,0.1348,0.1755
NAHARINDUS,0.0027,0.0,0.0001,0.2712,0.2007,0.7617
ASIANTILES,0.0,0.0075,0.5268,0.2186,0.018,0.7715
HERCULES,0.0067,0.0,0.0773,0.1545,0.5091,0.82
PURVA,0.0,0.0014,0.2749,0.219,0.0754,0.5343
DHANUKA,0.2898,0.014,0.076,0.0641,0.5046,0.1628
SKFINDIA,0.0034,0.1405,0.933,0.054,0.0623,0.2414
SAREGAMA,0.0056,0.0465,0.043,0.1168,0.0838,0.8707
KAMDHENU,0.0091,0.0004,0.0341,0.2026,0.1553,0.0729
TATACOFFEE,0.0,0.0,0.1092,0.2619,0.952,0.6706
NELCAST,0.001,0.0022,0.1251,0.165,0.7033,0.2673
NATCOPHARM,0.0007,0.0313,0.6251,0.0827,0.4882,0.6679
TIMKEN,0.2222,0.0818,0.1609,0.0513,0.5602,0.1546
WHIRLPOOL,0.0,0.034,0.5313,0.1728,0.2533,0.1643
GOODLUCK,0.002,0.0007,0.03,0.1486,0.6825,0.211
NBCC,0.0876,0.4211,0.722,0.0914,0.3747,0.0005
SYNGENE,0.0041,0.0069,0.5383,0.0849,0.5472,0.3784
DRREDDY,0.0002,0.0197,0.8141,0.0978,0.3479,0.0031
SETFGOLD,0.015,0.2039,0.3349,0.0191,0.1627,0.9906
BAJAJFINSV,0.0,0.9288,0.0041,0.3265,0.6025,0.0011
TATASTEEL,0.0,0.008,0.533,0.3459,0.2613,0.0064
JVLAGRO,0.034,0.0066,0.0461,0.0892,0.6515,0.4267
ALPHAGEO,0.0003,0.2632,0.5885,0.0826,0.5257,0.8236
MAANALU,0.4541,0.0808,0.318,0.0572,0.7355,0.0094
INDNIPPON,0.0213,0.5304,0.9905,0.0381,0.2296,0.4917
VINYLINDIA,0.1825,0.0004,0.024,0.094,0.4566,0.6254
CGPOWER,0.0,0.0008,0.1493,0.2758,0.999,0.9364
TIL,0.0006,0.0003,0.0414,0.198,0.1943,0.2879
ROSSELLIND,0.055,0.0255,0.2083,0.0714,0.995,0.8487
SKIPPER,0.0,0.0005,0.5682,0.2245,0.5191,0.1418
MANGTIMBER,0.006,0.0002,0.1767,0.1197,0.8826,0.4535
TRF,0.1038,0.0,0.0015,0.1911,0.9582,0.6446
NAVNETEDUL,0.0002,0.0032,0.0651,0.1106,0.3967,0.1621
SPECIALITY,0.788,0.0059,0.003,0.0715,0.1927,0.0645
KCPSUGIND,0.0001,0.0,0.0507,0.2259,0.3245,0.9135
ROHLTD,0.0191,0.0175,0.6603,0.0706,0.3482,0.5627
DAAWAT,0.0038,0.5286,0.3252,0.0249,0.9772,0.4439
GMBREW,0.0026,0.6242,0.146,0.0419,0.3,0.8287
EMMBI,0.0177,0.223,0.987,0.069,0.2544,0.09
JPINFRATEC,0.1676,0.0,0.0001,0.1718,0.1021,0.0047
TATAINVEST,0.0,0.0022,0.4508,0.2396,0.6465,0.8505
SUBEX,0.0,0.0072,0.9907,0.1463,0.4711,0.153
SAKUMA,0.0019,0.7736,0.19,0.0611,0.0458,0.382
LAXMIMACH,0.0,0.0241,0.6464,0.1913,0.6656,0.013
GUJGASLTD,0.0034,0.0995,0.7021,0.0724,0.1899,0.9804
JBFIND,0.0011,0.0093,0.608,0.1131,0.477,0.3013
KOPRAN,0.0002,0.0001,0.0051,0.2143,0.8466,0.1193
IOC,0.0,0.0046,0.4999,0.2058,0.6858,0.0055
IVRCLINFRA,0.036,0.0,0.0002,0.1782,0.8325,0.0155
KRIDHANINF,0.0005,0.0028,0.4725,0.1746,0.7678,0.1456
PRAKASH,0.0001,0.0003,0.0019,0.2284,0.1732,0.4864
CGCL,0.0059,0.0019,0.1775,0.128,0.6726,0.3963
MINDTREE,0.0,0.8309,0.1833,0.0711,0.5453,0.0311
SCHNEIDER,0.0003,0.0,0.0002,0.2783,0.084,0.4164
GRPLTD,0.5495,0.9748,0.518,0.0117,0.7532,0.108
VIMTALABS,0.0984,0.0016,0.3252,0.0759,0.6004,0.3935
RSSOFTWARE,0.0061,0.0549,0.2272,0.1188,0.1348,0.1156
DCM,0.0004,0.0132,0.0895,0.1711,0.3588,0.3058
RELAXO,0.021,0.4138,0.8966,0.0305,0.1236,0.8198
ABFRL,0.0506,0.0644,0.0465,0.0872,0.9068,0.4658
SANGAMIND,0.181,0.0417,0.0543,0.0797,0.1749,0.0854
LIBERTSHOE,0.0001,0.9313,0.5094,0.1191,0.5481,0.4691
JAYBARMARU,0.0006,0.036,0.2384,0.1686,0.7811,0.0419
RCF,0.0001,0.0022,0.002,0.2514,0.6146,0.3169
ORIENTLTD,0.2754,0.2702,0.5984,0.0185,0.0099,0.0342
ICICIBANK,0.0001,0.0,0.0001,0.368,0.5295,0.4369
INDUSINDBK,0.0,0.0606,0.0001,0.2087,0.1773,0.0485
CPSEETF,0.0,0.1024,0.1396,0.5121,0.632,0.0433
ORBTEXP,0.3237,0.1518,0.1406,0.0377,0.2467,0.2248
MANALIPETC,0.0031,0.0,0.0361,0.1818,0.5238,0.633
CENTURYPLY,0.0011,0.0297,0.8678,0.102,0.1432,0.5813
VSTIND,0.001,0.6557,0.5151,0.0496,0.4733,0.6083
SUZLON,0.0,0.0175,0.6188,0.2489,0.5982,0.007
CRISIL,0.0079,0.3122,0.9916,0.0461,0.1792,0.9523
RANEENGINE,0.0046,0.0923,0.9932,0.0659,0.5673,0.7998
LINCPEN,0.6552,0.0392,0.0667,0.0307,0.4208,0.4207
ADANIPORTS,0.0,0.6846,0.3278,0.2973,0.7987,0.9785
EXCEL,0.0807,0.0844,0.4872,0.0504,0.2726,0.3895
SONATSOFTW,0.0,0.0063,0.6568,0.1742,0.8673,0.4312
GOLDIAM,0.0408,0.0179,0.52,0.0474,0.7778,0.3532
JSWHL,0.0045,0.0272,0.3627,0.1118,0.7163,0.2246
ASHIANA,0.001,0.0006,0.081,0.1733,0.6713,0.3689
POLYPLEX,0.0001,0.045,0.1103,0.1534,0.4316,0.6453
ITI,0.5274,0.0001,0.0091,0.0996,0.347,0.2538
VIDHIING,0.0016,0.0147,0.4895,0.1074,0.4931,0.8134
GODREJPROP,0.0001,0.0026,0.1365,0.1901,0.1599,0.6134
TVSSRICHAK,0.0341,0.0353,0.5058,0.0622,0.9406,0.4774
JBCHEPHARM,0.0809,0.0685,0.4573,0.0316,0.7253,0.6206
RELCNX100,0.0,0.3759,0.2639,0.2512,0.0607,0.0602
MUKANDLTD,0.0,0.0068,0.6488,0.1918,0.7577,0.6534
VIJSHAN,0.0323,0.0501,0.1538,0.0969,0.5413,0.1086
BSE,0.0018,0.6884,0.9526,0.0979,0.1447,0.0967
DLINKINDIA,0.0002,0.0034,0.4142,0.133,0.6591,0.3058
ACC,0.0,0.2333,0.6815,0.2385,0.9647,0.1066
NAVINFLUOR,0.9365,0.3915,0.9754,-0.0097,0.627,0.5278
TRENT,0.0,0.8704,0.2118,0.0993,0.4396,0.4093
ORICONENT,0.0,0.0003,0.2159,0.2257,0.3242,0.2449
FOSECOIND,0.0052,0.1424,0.5273,0.091,0.0624,0.0
KELLTONTEC,0.0227,0.2948,0.82,0.0324,0.8961,0.13
MERCK,0.0282,0.0002,0.5267,0.105,0.791,0.5362
ELECTCAST,0.0018,0.0001,0.1517,0.1697,0.9947,0.3038
ORIENTREF,0.0,0.0003,0.4844,0.1732,0.7974,0.7635
DPSCLTD,0.5495,0.2152,0.2966,0.0028,0.7657,0.9523
TIIL,0.0579,0.0745,0.1632,0.0695,0.5619,0.3297
TECHNOFAB,0.8569,0.088,0.2459,0.0111,0.6322,0.3746
SETFNIF50,0.0,0.0,0.0,0.7096,0.012,0.4945
TVTODAY,0.1913,0.0787,0.9179,0.012,0.286,0.5432
STRTECH,0.0155,0.005,0.1479,0.1578,0.1751,0.0053
NITINSPIN,0.0021,0.0131,0.136,0.1205,0.6273,0.945
THERMAX,0.0,0.1211,0.4807,0.1267,0.1696,0.2942
STAR,0.0,0.0,0.0259,0.3034,0.04,0.0122
FEDERALBNK,0.0003,0.003,0.0297,0.272,0.9411,0.0002
METALFORGE,0.1126,0.0001,0.0205,0.1265,0.267,0.8983
PAISALO,0.0407,0.0068,0.6334,0.0631,0.8012,0.7713
TFCILTD,0.0001,0.0013,0.2231,0.2436,0.4317,0.0044
SELAN,0.2795,0.074,0.0104,0.0945,0.9526,0.2068
NLCINDIA,0.0006,0.8873,0.1986,0.0578,0.5976,0.6818
DTIL,0.1044,0.0022,0.1452,0.076,0.8815,0.9343
TATASPONGE,0.0,0.002,0.0195,0.3227,0.8739,0.0173
ITC,0.0,0.1486,0.0018,0.1037,0.9465,0.7352
NATIONALUM,0.0009,0.6141,0.0006,0.2552,0.5345,0.022
WABAG,0.0003,0.9291,0.5752,0.0786,0.7471,0.6719
IBVENTURES,0.0001,0.0061,0.7345,0.1635,0.0003,0.3116
SETFNN50,0.0,0.5432,0.8175,0.5338,0.1175,0.7104
ADHUNIK,0.0053,0.0002,0.3537,0.1113,0.5952,0.1165
RKDL,0.0092,0.6702,0.1224,0.0309,0.8745,0.7967
PGEL,0.0068,0.1312,0.8713,0.0471,0.0628,0.1233
ALKYLAMINE,0.0553,0.0015,0.0341,0.1664,0.526,0.0022
MALUPAPER,0.0709,0.0001,0.1958,0.1045,0.797,0.3993
ASTRAMICRO,0.0009,0.0001,0.0713,0.2026,0.2232,0.1198
RUSHIL,0.9936,0.1955,0.0842,0.007,0.1678,0.4302
GPTINFRA,0.2786,0.0248,0.2722,0.0354,0.537,0.5086
RICOAUTO,0.0005,0.0,0.0205,0.3013,0.707,0.0002
TMRVL,0.003,0.0006,0.485,0.11,0.2396,0.494
POWERGRID,0.0005,0.268,0.3856,0.0836,0.9199,0.1766
CASTROLIND,0.1106,0.0784,0.3206,0.0239,0.2232,0.1294
MAGMA,0.0371,0.1005,0.4178,0.0819,0.6709,0.0605
KDDL,0.0997,0.073,0.534,0.0452,0.5972,0.4225
SHOPERSTOP,0.0085,0.8339,0.3928,0.0188,0.1417,0.5346
ABB,0.0088,0.0493,0.27,0.0763,0.5334,0.7028
MTNL,0.0023,0.0002,0.0349,0.1502,0.8764,0.0084
INDIACEM,0.0,0.1151,0.0082,0.4652,0.3047,0.0784
VRLLOG,0.0042,0.0004,0.2489,0.1711,0.4174,0.0289
ALLSEC,0.0047,0.0362,0.1156,0.1158,0.7249,0.5495
DEEPIND,0.0022,0.0002,0.0282,0.1668,0.0673,0.9463
HOTELEELA,0.0001,0.0034,0.5045,0.1358,0.9708,0.1226
RSWM,0.0,0.0027,0.7442,0.1564,0.2109,0.4278
ADANIENT,0.0,0.161,0.8663,0.1825,0.5329,0.8871
MAWANASUG,0.0284,0.0007,0.0711,0.1446,0.7793,0.0452
UGARSUGAR,0.0004,0.0006,0.3152,0.1423,0.5128,0.4683
CYBERTECH,0.0,0.0009,0.3576,0.1589,0.7006,0.0088
GANESHHOUC,0.0001,0.0,0.0012,0.2955,0.7448,0.4873
OMAXAUTO,0.0001,0.0,0.1186,0.1931,0.993,0.0184
JISLJALEQS,0.0,0.0,0.3164,0.349,0.5313,0.6736
RTNINFRA,0.6904,0.5879,0.0453,0.0384,0.0201,0.8093
SUMMITSEC,0.0008,0.0,0.1648,0.1694,0.0161,0.0065
ASIANHOTNR,0.4023,0.3886,0.5819,0.0188,0.255,0.1095
INDIANCARD,0.1249,0.0179,0.1103,0.05,0.7147,0.3313
TDPOWERSYS,0.0018,0.0383,0.1685,0.1308,0.5684,0.3515
EICHERMOT,0.0,0.3107,0.1896,0.204,0.7726,0.2955
DEEPAKNTR,0.0003,0.0208,0.6536,0.1425,0.1197,0.2394
SIYSIL,0.0,0.0,0.0,0.5308,0.4227,0.0389
BATAINDIA,0.0,0.3821,0.4228,0.2192,0.3185,0.7485
RAMCOSYS,0.0008,0.0013,0.4233,0.1246,0.747,0.5214
ITDC,0.15,0.0003,0.0125,0.1421,0.7304,0.0197
CIGNITITEC,0.0198,0.1605,0.0421,0.0921,0.3092,0.8181
SITINET,0.6254,0.218,0.0063,0.0304,0.0782,0.306
COUNCODOS,0.5983,0.0001,0.0523,0.0548,0.7198,0.9778
MANAKCOAT,0.0122,0.5479,0.8777,0.0385,0.302,0.7029
EMAMILTD,0.0018,0.9689,0.4143,0.1271,0.7218,0.0426
FDC,0.0009,0.0287,0.8353,0.0792,0.6545,0.0089
CUMMINSIND,0.0116,0.0865,0.0297,0.1056,0.8788,0.6755
PITTIENG,0.0362,0.0055,0.4379,0.0843,0.4392,0.2769
MONSANTO,0.1486,0.078,0.0009,0.109,0.7945,0.8219
SEQUENT,0.0001,0.0042,0.5393,0.1462,0.1917,0.6331
GARDENSILK,0.0,0.0062,0.4235,0.2234,0.8313,0.4166
VASWANI,0.208,0.0042,0.1787,0.0746,0.7612,0.1118
SARLAPOLY,0.0,0.0198,0.1438,0.1933,0.6465,0.3356
CINELINE,0.0017,0.0,0.002,0.2184,0.9892,0.7186
MAITHANALL,0.0009,0.0171,0.7783,0.1252,0.2238,0.129
JSL,0.0,0.0067,0.5299,0.1923,0.1747,0.4526
AKSHOPTFBR,0.0,0.0,0.0295,0.301,0.7432,0.31
RAYMOND,0.0004,0.0002,0.0506,0.1925,0.3817,0.5669
AMBIKCO,0.0013,0.3434,0.7325,0.0561,0.4807,0.6045
MAHASTEEL,0.2795,0.0632,0.1633,0.0299,0.2581,0.8181
GREENLAM,0.0,0.1304,0.086,0.1347,0.1985,0.2097
SREEL,0.1577,0.68,0.6873,0.0071,0.3864,0.399
DHUNINV,0.2913,0.03,0.0216,0.0555,0.2005,0.9665
JSLHISAR,0.0,0.5933,0.4472,0.0994,0.1434,0.9573
CORPBANK,0.9029,0.0841,0.0,0.4861,0.29,0.6869
COMPINFO,0.9981,0.2125,0.5854,-0.0076,0.5164,0.6785
OBEROIRLTY,0.0,0.3405,0.1866,0.1002,0.4435,0.7318
BALKRISIND,0.0832,0.2001,0.071,0.025,0.8865,0.1037
LGBBROSLTD,0.0,0.6727,0.3209,0.1074,0.1678,0.8753
ADLABS,0.0005,0.0028,0.2963,0.153,0.6079,0.5677
SSWL,0.0181,0.0,0.034,0.1634,0.2699,0.3091
NAHARSPING,0.0,0.0,0.0,0.3213,0.3566,0.1509
IL&FSENGG,0.0004,0.3553,0.022,0.1754,0.8842,0.0161
NECLIFE,0.0019,0.0,0.0238,0.1862,0.6495,0.1388
GENESYS,0.2398,0.0211,0.0376,0.0641,0.2177,0.4149
JAYSREETEA,0.0309,0.001,0.0037,0.1823,0.6116,0.1055
LEEL,0.0006,0.0001,0.1569,0.1801,0.3937,0.4232
BEML,0.0,0.0003,0.1721,0.2838,0.8279,0.3122
AMBUJACEM,0.0,0.739,0.4688,0.2392,0.9884,0.2447
HINDNATGLS,0.0007,0.937,0.1484,0.0428,0.6554,0.6776
SHREECEM,0.0,0.1664,0.4044,0.117,0.8443,0.2638
TULSI,0.0853,0.3947,0.5991,0.0043,0.9774,0.3571
ALKALI,0.1133,0.009,0.1693,0.0982,0.6848,0.3405
NAUKRI,0.0032,0.7189,0.5473,0.0379,0.2528,0.7422
TATAMETALI,0.0,0.0,0.1203,0.2475,0.1557,0.1793
BSLGOLDETF,0.7713,0.119,0.7158,0.0004,0.6513,0.6125
SOLARINDS,0.001,0.0381,0.176,0.1243,0.0267,0.9225
PNB,0.6721,0.0,0.0,0.715,0.2124,0.0628
BFINVEST,0.0,0.0022,0.1768,0.2192,0.3084,0.9183
FEDDERELEC,0.0,0.0249,0.5257,0.2025,0.2595,0.0258
PREMIER,0.007,0.0311,0.5981,0.0661,0.8984,0.458
CADILAHC,0.0,0.4914,0.2161,0.1119,0.8053,0.0257
TECHM,0.0007,0.2892,0.5596,0.0559,0.7027,0.0103
SUNCLAYLTD,0.0015,0.2492,0.3286,0.0471,0.0405,0.3919
MAHINDCIE,0.1764,0.0207,0.0003,0.1451,0.7079,0.1063
KEI,0.0005,0.0743,0.3861,0.1098,0.0645,0.7952
COMPUSOFT,0.0001,0.0246,0.7226,0.1081,0.9171,0.432
SIMBHALS,0.0089,0.0002,0.1355,0.142,0.2123,0.74
GSCLCEMENT,0.011,0.0004,0.046,0.1809,0.818,0.6994
KEC,0.0,0.4875,0.2209,0.1697,0.0602,0.9717
LINCOLN,0.1962,0.0003,0.0456,0.0902,0.991,0.4638
MUNJALAU,0.0322,0.0209,0.1776,0.0714,0.6746,0.9963
TINPLATE,0.0003,0.0,0.2133,0.2279,0.3864,0.0272
VARDHACRLC,0.1452,0.0026,0.125,0.0745,0.9417,0.3907
BAJAJELEC,0.0,0.0616,0.417,0.1071,0.1486,0.4853
INDRAMEDCO,0.0815,0.0,0.0527,0.1103,0.602,0.2221
PDMJEPAPER,0.0016,0.0536,0.7239,0.083,0.8097,0.7722
ZEEL,0.0001,0.4588,0.8899,0.1243,0.7073,0.2909
GANDHITUBE,0.0,0.6158,0.0842,0.1191,0.7421,0.6508
PARAGMILK,0.0,0.0009,0.9716,0.1782,0.5461,0.7892
BLUESTARCO,0.4219,0.0099,0.154,0.0752,0.2856,0.0149
HCLTECH,0.0011,0.1786,0.0091,0.0338,0.3878,0.0219
DLF,0.0,0.0,0.0006,0.3617,0.6081,0.6983
SICAGEN,0.1736,0.0,0.0012,0.1792,0.5257,0.845
JINDALSAW,0.0014,0.0,0.0007,0.243,0.2253,0.7838
KIRLOSIND,0.1332,0.3216,0.7145,0.0144,0.2924,0.7878
APARINDS,0.0003,0.0059,0.7214,0.1241,0.7299,0.9839
MANPASAND,0.0047,0.5006,0.8256,0.0556,0.5144,0.9384
HINDMOTORS,0.0001,0.2316,0.8011,0.115,0.9186,0.7998
WELSPUNIND,0.0001,0.0276,0.4543,0.1388,0.5185,0.8761
NTPC,0.0005,0.1471,0.3728,0.1375,0.7726,0.2733
SPLIL,0.1323,0.1353,0.1327,0.0416,0.5017,0.9395
ESSELPACK,0.0001,0.0412,0.8646,0.1332,0.8032,0.5585
SFL,0.4744,0.013,0.2078,0.0269,0.0848,0.9086
SIEMENS,0.0,0.1879,0.9375,0.326,0.3444,0.4023
SPARC,0.0002,0.0023,0.473,0.1305,0.3852,0.0519
KIRLOSENG,0.0118,0.4079,0.7474,0.0474,0.7644,0.8329
CENTUM,0.0013,0.0039,0.3814,0.1128,0.7188,0.5954
KABRAEXTRU,0.0101,0.0003,0.1344,0.1407,0.5718,0.2634
RNAVAL,0.0,0.0,0.0112,0.2363,0.2726,0.0292
NAGREEKEXP,0.6991,0.0437,0.2792,0.0122,0.5437,0.8269
BANARISUG,0.0099,0.0032,0.057,0.121,0.7724,0.8266
STEL,0.0002,0.0009,0.37,0.2381,0.3708,0.1198
PODDARMENT,0.0163,0.082,0.6229,0.0454,0.4102,0.2217
MINDAIND,0.0033,0.0675,0.5237,0.0988,0.0004,0.3304
PRSMJOHNSN,0.0,0.0926,0.0392,0.2364,0.7625,0.089
TEXMOPIPES,0.0371,0.0,0.1664,0.132,0.782,0.6416
AVTNPL,0.0078,0.0,0.0051,0.1714,0.4206,0.8188
SUNILHITEC,0.3049,0.0,0.1195,0.1125,0.5352,0.1334
MRF,0.0005,0.3478,0.4105,0.1501,0.5861,0.036
GUJALKALI,0.0393,0.0051,0.586,0.0738,0.1681,0.4636
GOLDBEES,0.0016,0.2219,0.135,0.0401,0.125,0.8003
VSSL,0.006,0.0728,0.3115,0.0885,0.7262,0.6571
ICSA,0.3128,0.059,0.1759,0.0563,0.2985,0.0007
HESTERBIO,0.0214,0.0195,0.5451,0.0551,0.0518,0.0604
ESABINDIA,0.0515,0.3922,0.3961,0.0393,0.6839,0.7151
SELMCL,0.0104,0.0164,0.1345,0.0858,0.8169,0.1796
RESPONIND,0.39,0.8089,0.8775,-0.0118,0.5948,0.65
MONTECARLO,0.0001,0.0203,0.7961,0.1196,0.7379,0.868
SOBHA,0.079,0.0006,0.0484,0.104,0.2102,0.4622
ALBERTDAVD,0.0015,0.0015,0.4233,0.1277,0.432,0.7674
BLUEBLENDS,0.0768,0.057,0.9961,0.0241,0.8785,0.1664
TARMAT,0.2946,0.0286,0.3517,0.0415,0.9592,0.2071
VIDEOIND,0.0537,0.0022,0.0319,0.0912,0.0019,0.1021
RAMCOCEM,0.0,0.8395,0.8785,0.1082,0.4473,0.4747
TRITURBINE,0.0025,0.2056,0.0557,0.0502,0.9224,0.7347
GREAVESCOT,0.0091,0.0097,0.0538,0.1039,0.9837,0.1414
LUPIN,0.0,0.3216,0.9128,0.1198,0.0445,0.0011
EROSMEDIA,0.0047,0.0006,0.0246,0.1509,0.6804,0.9969
GAYAPROJ,0.699,0.3425,0.075,0.0238,0.43,0.2546
MARATHON,0.0058,0.009,0.5487,0.08,0.1203,0.5343
JPPOWER,0.0275,0.0022,0.0097,0.1188,0.246,0.0276
MBLINFRA,0.4924,0.7331,0.272,0.0026,0.6502,0.731
WELENT,0.4996,0.0,0.0001,0.2029,0.2177,0.0013
TIDEWATER,0.0006,0.0178,0.4009,0.1172,0.9104,0.8032
AARTIIND,0.0001,0.129,0.4324,0.0952,0.2494,0.603
AURIONPRO,0.0664,0.0014,0.0676,0.0864,0.6043,0.8561
SANWARIA,0.4433,0.002,0.2032,0.0454,0.0189,0.1487
QGOLDHALF,0.0001,0.0051,0.0108,0.0681,0.1517,0.835
JPASSOCIAT,0.0079,0.0,0.0,0.2546,0.3113,0.05
HBLPOWER,0.0,0.0,0.1184,0.2529,0.8457,0.7425
20MICRONS,0.1581,0.0022,0.001,0.1419,0.8081,0.1096
VIVIDHA,0.6714,0.0003,0.0508,0.0552,0.8953,0.2023
UNITECH,0.0149,0.0,0.0001,0.2067,0.3704,0.0181
SUTLEJTEX,0.1154,0.6555,0.6014,-0.0036,0.5003,0.2979
AMARAJABAT,0.0005,0.1657,0.3656,0.1142,0.3151,0.8526
WONDERLA,0.0129,0.244,0.3486,0.0569,0.9507,0.651
SBIN,0.3244,0.0,0.0,0.6708,0.3757,0.4321
PANACEABIO,0.0042,0.0434,0.4854,0.0826,0.5626,0.9845
SUBROS,0.0,0.0327,0.9442,0.1581,0.4202,0.5384
ORTINLABSS,0.0806,0.0002,0.0982,0.0988,0.9702,0.6835
