Symbol,Rm-Rf %,SMB %,HML %,WML %,ent,Adj-r_sq,const,high-low
OMMETALS,0.0033,0.0008,0.389,0.4356,,0.1273,0.8749,0.2654
FILATEX,0.0409,0.021,0.827,0.9022,,0.057,0.1059,0.4807
BIL,0.0008,0.1138,0.8798,0.0832,,0.1281,0.4342,0.9591
UJAAS,0.0015,0.0005,0.275,0.8188,,0.1373,0.0358,0.983
GAMMNINFRA,0.2562,0.0015,0.0131,0.2969,,0.0989,0.7256,0.0639
ECEIND,0.2781,0.0764,0.6287,0.3333,,0.0095,0.1653,0.7316
SURANASOL,0.0018,0.1005,0.8751,0.4121,,0.079,0.5545,0.9114
DEN,0.1007,0.0003,0.0321,0.2087,,0.1084,0.6125,0.1111
NDGL,0.0323,0.0024,0.3009,0.055,,0.0754,0.0088,0.1392
NBVENTURES,0.0,0.0018,0.6652,0.8873,,0.1716,0.9167,0.7074
TATAELXSI,0.3065,0.3905,0.3154,0.9571,,0.0298,0.4336,0.11
KAKATCEM,0.0002,0.0008,0.0982,0.4944,,0.2097,0.676,0.3279
PERSISTENT,0.0973,0.6621,0.6853,0.2106,,-0.0026,0.3448,0.8167
KAYA,0.1042,0.0087,0.2536,0.7764,,0.0613,0.6548,0.5969
HIRECT,0.3791,0.0049,0.0121,0.2664,,0.1227,0.6943,0.9819
LICHSGFIN,0.0,0.5483,0.0236,0.013,,0.2936,0.1781,0.8317
MASTEK,0.0001,0.024,0.5397,0.4897,,0.1401,0.4812,0.1017
HEXAWARE,0.0003,0.0681,0.7077,0.0084,,0.0794,0.1221,0.4173
RPPINFRA,0.0155,0.1802,0.7872,0.173,,0.0505,0.9195,0.791
SASKEN,0.0019,0.0068,0.9524,0.5411,,0.085,0.2373,0.5805
PTL,0.7818,0.6545,0.6996,0.1893,,-0.0136,0.6884,0.5022
VHL,0.0319,0.1082,0.9349,0.0791,,0.0275,0.0378,0.5319
ORIENTBANK,0.0395,0.3752,0.0,0.7413,,0.6595,0.4967,0.4417
UJJIVAN,0.0,0.0292,0.8216,0.63,,0.2659,0.2889,0.2707
PAGEIND,0.0025,0.7036,0.7042,0.1799,,0.0941,0.1359,0.9858
NAHARINDUS,0.0055,0.0,0.0001,0.8055,,0.2686,0.1954,0.7045
ASIANTILES,0.0,0.005,0.4167,0.9631,,0.2335,0.0234,0.0177
HERCULES,0.0059,0.0,0.0857,0.8838,,0.1521,0.5287,0.5766
PURVA,0.0,0.0012,0.2478,0.4564,,0.2185,0.0839,0.3573
DHANUKA,0.269,0.0149,0.0814,0.1541,,0.0606,0.5167,0.7443
SKFINDIA,0.0066,0.1373,0.9133,0.2278,,0.0505,0.0656,0.7312
SAREGAMA,0.0057,0.0491,0.0468,0.9135,,0.1136,0.0814,0.7114
KAMDHENU,0.0036,0.0004,0.0425,0.0498,,0.2075,0.1271,0.1331
TATACOFFEE,0.0,0.0,0.1148,0.6498,,0.259,0.9619,0.8103
NELCAST,0.0009,0.0025,0.1373,0.2395,,0.1626,0.6828,0.5715
NATCOPHARM,0.0003,0.0363,0.5603,0.8076,,0.0852,0.4479,0.198
TIMKEN,0.1101,0.0948,0.197,0.1035,,0.0566,0.5082,0.1253
WHIRLPOOL,0.0,0.0335,0.5455,0.1808,,0.1696,0.2603,0.7989
GOODLUCK,0.0038,0.0007,0.0292,0.2024,,0.1453,0.6731,0.7824
NBCC,0.0954,0.4254,0.7175,0.0006,,0.0877,0.3792,0.9168
SYNGENE,0.0037,0.0076,0.5665,0.4269,,0.0822,0.5669,0.5879
DRREDDY,0.0002,0.0218,0.7748,0.0047,,0.0959,0.3678,0.4803
SETFGOLD,0.0269,0.2129,0.354,0.9584,,0.0159,0.1571,0.6512
BAJAJFINSV,0.0,0.8513,0.0063,0.0029,,0.3354,0.6753,0.0406
TATASTEEL,0.0,0.0094,0.4771,0.0113,,0.3472,0.2884,0.2269
JVLAGRO,0.0137,0.008,0.0597,0.5678,,0.0945,0.5954,0.1227
ALPHAGEO,0.0001,0.2987,0.5022,0.6382,,0.0905,0.5845,0.079
MAANALU,0.4448,0.0831,0.3263,0.0096,,0.0534,0.73,0.8673
INDNIPPON,0.049,0.5035,0.9569,0.5796,,0.0374,0.2486,0.3692
VINYLINDIA,0.5073,0.0002,0.0148,0.8693,,0.1097,0.5264,0.0227
CGPOWER,0.0,0.0009,0.1504,0.9421,,0.2728,0.9993,0.965
TIL,0.0015,0.0003,0.0385,0.3295,,0.1956,0.2051,0.5909
ROSSELLIND,0.0765,0.0247,0.201,0.8974,,0.0676,0.9887,0.7149
SKIPPER,0.0,0.0005,0.564,0.1514,,0.2213,0.5245,0.9033
MANGTIMBER,0.0013,0.0003,0.2276,0.6469,,0.1312,0.8003,0.0411
TRF,0.0698,0.0,0.0019,0.5685,,0.1905,0.9937,0.3608
NAVNETEDUL,0.0005,0.003,0.0719,0.1462,,0.1079,0.4126,0.6114
SPECIALITY,0.4885,0.0044,0.0019,0.1124,,0.0793,0.239,0.1015
KCPSUGIND,0.0015,0.0,0.0327,0.8255,,0.2399,0.2665,0.0203
ROHLTD,0.028,0.0175,0.6516,0.5858,,0.0669,0.3548,0.8484
DAAWAT,0.0042,0.5203,0.3164,0.4758,,0.0212,0.9898,0.7576
GMBREW,0.0021,0.6484,0.1339,0.7551,,0.0398,0.285,0.4877
EMMBI,0.0086,0.2465,0.9129,0.0632,,0.0714,0.2286,0.2056
JPINFRATEC,0.6061,0.0,0.0,0.0011,,0.1989,0.1318,0.0027
TATAINVEST,0.0,0.0024,0.4614,0.8735,,0.2365,0.6406,0.8482
SUBEX,0.0,0.0093,0.8491,0.2768,,0.1634,0.5463,0.0156
SAKUMA,0.0009,0.7535,0.1644,0.3064,,0.0643,0.0371,0.193
LAXMIMACH,0.0002,0.0218,0.6945,0.0195,,0.1906,0.6991,0.3783
GUJGASLTD,0.0135,0.0874,0.6329,0.835,,0.075,0.2131,0.1931
JBFIND,0.0009,0.0105,0.5723,0.2606,,0.1114,0.5013,0.4654
KOPRAN,0.0003,0.0001,0.0054,0.1258,,0.2111,0.8494,0.9531
IOC,0.0,0.0047,0.5008,0.006,,0.2025,0.6877,0.9805
IVRCLINFRA,0.1273,0.0,0.0001,0.0078,,0.1862,0.9055,0.0673
KRIDHANINF,0.0001,0.0043,0.6035,0.084,,0.1866,0.6412,0.0436
PRAKASH,0.0001,0.0003,0.0022,0.535,,0.226,0.1673,0.6227
CGCL,0.0036,0.0022,0.2031,0.3278,,0.1279,0.6367,0.3244
MINDTREE,0.0,0.7993,0.1646,0.0441,,0.0701,0.5171,0.3867
SCHNEIDER,0.0012,0.0,0.0001,0.5049,,0.2782,0.076,0.3288
GRPLTD,0.7509,0.9898,0.4759,0.1443,,0.0112,0.7177,0.3502
VIMTALABS,0.0673,0.0018,0.3597,0.3327,,0.0751,0.57,0.3767
RSSOFTWARE,0.0061,0.058,0.2408,0.1071,,0.1157,0.1414,0.6901
DCM,0.0012,0.0125,0.0835,0.3498,,0.1687,0.3457,0.5823
RELAXO,0.0326,0.423,0.8804,0.7906,,0.0268,0.1284,0.7747
ABFRL,0.1491,0.0536,0.0349,0.62,,0.0934,0.9723,0.1057
SANGAMIND,0.3571,0.0357,0.0435,0.1289,,0.0827,0.1543,0.182
LIBERTSHOE,0.0,0.9589,0.4989,0.3483,,0.1233,0.4526,0.1583
JAYBARMARU,0.0033,0.0308,0.2025,0.0669,,0.1712,0.8333,0.1857
RCF,0.0002,0.0022,0.002,0.3325,,0.2484,0.6208,0.8882
ORIENTLTD,0.3864,0.232,0.6358,0.024,,0.0183,0.0123,0.3309
ICICIBANK,0.0001,0.0,0.0001,0.4947,,0.3664,0.5105,0.5419
INDUSINDBK,0.0,0.0764,0.0001,0.1082,,0.2282,0.219,0.0082
CPSEETF,0.0,0.0944,0.1592,0.0336,,0.5117,0.6654,0.371
ORBTEXP,0.2158,0.1669,0.1635,0.1771,,0.0382,0.2696,0.2936
MANALIPETC,0.0024,0.0,0.0418,0.5654,,0.1802,0.5491,0.4667
CENTURYPLY,0.0038,0.027,0.8177,0.6734,,0.1012,0.1566,0.3785
VSTIND,0.002,0.6488,0.528,0.5901,,0.0459,0.482,0.8187
SUZLON,0.0,0.0201,0.6731,0.0114,,0.249,0.635,0.3103
CRISIL,0.0178,0.2982,0.9689,0.9713,,0.0439,0.1694,0.5006
RANEENGINE,0.0132,0.0847,0.9394,0.9037,,0.0653,0.5365,0.3569
LINCPEN,0.6476,0.0403,0.0692,0.4178,,0.0267,0.4193,0.9172
ADANIPORTS,0.0,0.7007,0.346,0.9722,,0.295,0.8165,0.6626
EXCEL,0.111,0.0832,0.4755,0.4151,,0.0465,0.2806,0.7623
SONATSOFTW,0.0,0.0074,0.6056,0.5231,,0.1742,0.8276,0.318
GOLDIAM,0.0652,0.0173,0.5012,0.3275,,0.0442,0.7956,0.6613
JSWHL,0.0154,0.0237,0.3207,0.2981,,0.113,0.7609,0.248
ASHIANA,0.0052,0.0005,0.0654,0.4849,,0.1763,0.6212,0.1721
POLYPLEX,0.0001,0.0486,0.1217,0.7099,,0.1511,0.4155,0.5556
ITI,0.5485,0.0001,0.0094,0.2609,,0.0958,0.3492,0.9823
VIDHIING,0.0006,0.0176,0.5585,0.6617,,0.1113,0.4476,0.1499
GODREJPROP,0.0001,0.0028,0.1447,0.586,,0.187,0.1564,0.7473
TVSSRICHAK,0.0912,0.0304,0.4481,0.6008,,0.0647,0.9928,0.1992
JBCHEPHARM,0.0515,0.0762,0.5034,0.7256,,0.0315,0.7636,0.3247
RELCNX100,0.0,0.3731,0.2551,0.0711,,0.2483,0.0584,0.6984
MUKANDLTD,0.0,0.0073,0.6712,0.6174,,0.189,0.7738,0.6927
VIJSHAN,0.0663,0.0462,0.1388,0.1404,,0.0956,0.5696,0.4199
BSE,0.0012,0.6787,0.9924,0.0802,,0.0969,0.1568,0.387
DLINKINDIA,0.0006,0.0032,0.3899,0.2705,,0.1308,0.6366,0.5249
ACC,0.0,0.2694,0.7893,0.1833,,0.2475,0.9554,0.0496
NAVINFLUOR,0.3044,0.2836,0.7443,0.9376,,0.0498,0.4811,0.0001
TRENT,0.0003,0.8211,0.25,0.5277,,0.1021,0.4803,0.1859
ORICONENT,0.0,0.0004,0.2352,0.2159,,0.2237,0.3413,0.5323
FOSECOIND,0.0059,0.1471,0.5419,0.0,,0.0875,0.0614,0.7923
KELLTONTEC,0.0511,0.2863,0.7747,0.1064,,0.032,0.949,0.34
MERCK,0.0202,0.0002,0.5665,0.4697,,0.1036,0.7607,0.4312
ELECTCAST,0.0003,0.0002,0.2009,0.1807,,0.1831,0.9151,0.0268
ORIENTREF,0.0,0.0003,0.4769,0.744,,0.1699,0.7899,0.8354
DPSCLTD,0.5904,0.2144,0.2945,0.9383,,-0.0012,0.7614,0.8964
TIIL,0.0483,0.0797,0.1779,0.297,,0.0669,0.5437,0.5728
TECHNOFAB,0.8648,0.0889,0.248,0.38,,0.0067,0.6336,0.9923
SETFNIF50,0.0,0.0,0.0,0.5291,,0.7085,0.0117,0.7458
TVTODAY,0.1219,0.0878,0.9799,0.6506,,0.0125,0.2629,0.2905
STRTECH,0.0083,0.0059,0.1739,0.0035,,0.159,0.1574,0.248
NITINSPIN,0.0021,0.0143,0.1474,0.9992,,0.1178,0.6107,0.6238
THERMAX,0.0,0.1142,0.5149,0.2561,,0.1248,0.1819,0.4842
STAR,0.0,0.0,0.021,0.0082,,0.3045,0.0347,0.2416
FEDERALBNK,0.0008,0.0029,0.028,0.0003,,0.2696,0.9592,0.6572
METALFORGE,0.0922,0.0001,0.023,0.9548,,0.1238,0.2871,0.5526
PAISALO,0.0172,0.0083,0.7142,0.6161,,0.068,0.8609,0.1319
TFCILTD,0.0001,0.0014,0.2354,0.0042,,0.2408,0.4224,0.7172
SELAN,0.1436,0.0781,0.0134,0.1489,,0.101,0.8655,0.1143
NLCINDIA,0.0012,0.8832,0.2038,0.6978,,0.054,0.603,0.9056
DTIL,0.0853,0.0024,0.1591,0.8772,,0.0733,0.8592,0.5552
TATASPONGE,0.0,0.0018,0.0173,0.0243,,0.3215,0.9038,0.4615
ITC,0.0,0.1451,0.0017,0.7761,,0.1005,0.961,0.7239
NATIONALUM,0.0025,0.5938,0.0005,0.0296,,0.2534,0.5144,0.5238
WABAG,0.0006,0.923,0.5854,0.6929,,0.0749,0.7544,0.8673
IBVENTURES,0.0003,0.0055,0.6911,0.375,,0.1624,0.0003,0.418
SETFNN50,0.0,0.4931,0.9098,0.8866,,0.5368,0.137,0.1097
ADHUNIK,0.0127,0.0002,0.3297,0.0991,,0.1094,0.5719,0.4883
RKDL,0.0038,0.6279,0.0986,0.6468,,0.0368,0.9525,0.14
PGEL,0.0036,0.1456,0.9371,0.1711,,0.0482,0.0553,0.2601
ALKYLAMINE,0.1294,0.0013,0.0277,0.004,,0.168,0.5667,0.2314
MALUPAPER,0.1293,0.0001,0.1778,0.4706,,0.1032,0.829,0.4248
ASTRAMICRO,0.0026,0.0001,0.0651,0.1483,,0.2008,0.2118,0.5081
RUSHIL,0.8224,0.1838,0.0754,0.3729,,0.0055,0.1814,0.4321
GPTINFRA,0.2864,0.0256,0.2776,0.5049,,0.0314,0.5416,0.9226
RICOAUTO,0.0003,0.0,0.0247,0.0002,,0.3007,0.7414,0.3743
TMRVL,0.0033,0.0007,0.5023,0.5291,,0.1067,0.2479,0.7414
POWERGRID,0.0015,0.2802,0.4091,0.2069,,0.0809,0.8989,0.5997
CASTROLIND,0.0434,0.0646,0.2613,0.0795,,0.0323,0.2574,0.0799
MAGMA,0.0546,0.0988,0.408,0.0696,,0.0784,0.6825,0.7744
KDDL,0.0928,0.0759,0.5536,0.401,,0.0416,0.5859,0.7124
SHOPERSTOP,0.0398,0.9005,0.4687,0.3839,,0.0278,0.1666,0.0732
ABB,0.012,0.05,0.2718,0.7048,,0.0725,0.5353,0.9897
MTNL,0.0006,0.0003,0.0473,0.0177,,0.158,0.8045,0.0733
INDIACEM,0.0,0.1132,0.008,0.0892,,0.4631,0.2995,0.7795
VRLLOG,0.0148,0.0003,0.2162,0.0454,,0.1725,0.4528,0.2398
ALLSEC,0.0019,0.0424,0.1418,0.4268,,0.1196,0.7798,0.1547
DEEPIND,0.0011,0.0003,0.0354,0.812,,0.1684,0.0771,0.226
HOTELEELA,0.0003,0.0031,0.4739,0.1041,,0.134,0.9993,0.4842
RSWM,0.0002,0.0021,0.6522,0.3049,,0.1629,0.1802,0.0917
ADANIENT,0.0,0.1606,0.86,0.8752,,0.1791,0.5383,0.905
MAWANASUG,0.0849,0.0006,0.0565,0.0738,,0.1483,0.7239,0.1539
UGARSUGAR,0.0008,0.0006,0.31,0.4554,,0.1389,0.5072,0.8315
CYBERTECH,0.0,0.0012,0.4161,0.0164,,0.1628,0.7559,0.1469
GANESHHOUC,0.0,0.0,0.0017,0.3667,,0.2992,0.687,0.1311
OMAXAUTO,0.0001,0.0,0.119,0.0192,,0.1897,0.9962,0.937
JISLJALEQS,0.0,0.0,0.3825,0.8669,,0.3548,0.591,0.0757
RTNINFRA,0.1839,0.5305,0.0665,0.8632,,0.0892,0.0087,0.0005
SUMMITSEC,0.0022,0.0,0.1544,0.0056,,0.167,0.0177,0.5747
ASIANHOTNR,0.567,0.3663,0.5403,0.1428,,0.0176,0.2728,0.4034
INDIANCARD,0.2518,0.0154,0.0926,0.2574,,0.0518,0.6695,0.2282
TDPOWERSYS,0.0022,0.0401,0.1766,0.3378,,0.1275,0.579,0.7877
EICHERMOT,0.0,0.3573,0.2443,0.4544,,0.2151,0.8541,0.0369
DEEPAKNTR,0.002,0.017,0.5741,0.3415,,0.1474,0.1388,0.1237
SIYSIL,0.0,0.0,0.0,0.0437,,0.529,0.4191,0.8622
BATAINDIA,0.0,0.3803,0.4305,0.7652,,0.216,0.3233,0.8982
RAMCOSYS,0.0003,0.0016,0.4884,0.6676,,0.1288,0.6909,0.143
ITDC,0.1302,0.0004,0.0142,0.0177,,0.1394,0.7129,0.6315
CIGNITITEC,0.0451,0.1502,0.0369,0.7318,,0.0913,0.2878,0.3792
SITINET,0.6309,0.2187,0.0065,0.3149,,0.0264,0.0788,0.9648
COUNCODOS,0.9393,0.0001,0.0674,0.8683,,0.0609,0.6631,0.1177
MANAKCOAT,0.0916,0.4591,0.9615,0.9928,,0.0645,0.366,0.0058
EMAMILTD,0.0006,0.9716,0.483,0.0256,,0.1324,0.6623,0.1166
FDC,0.0003,0.0339,0.7524,0.0167,,0.0836,0.6012,0.1433
CUMMINSIND,0.0072,0.0957,0.036,0.7815,,0.1054,0.9181,0.3317
PITTIENG,0.0132,0.0068,0.5135,0.1879,,0.0912,0.3893,0.0935
MONSANTO,0.2029,0.0756,0.0009,0.7791,,0.1059,0.8113,0.6803
SEQUENT,0.0003,0.0038,0.5022,0.5577,,0.145,0.179,0.4189
GARDENSILK,0.0,0.0057,0.3931,0.3616,,0.2221,0.8012,0.4405
VASWANI,0.3076,0.0039,0.1646,0.1399,,0.0725,0.7885,0.4919
SARLAPOLY,0.0,0.0202,0.146,0.3424,,0.19,0.6481,0.989
CINELINE,0.0016,0.0,0.0024,0.7769,,0.2161,0.9683,0.6056
MAITHANALL,0.0008,0.0186,0.7484,0.1146,,0.1227,0.2145,0.5819
JSL,0.0,0.0069,0.5334,0.4609,,0.189,0.1756,0.9736
AKSHOPTFBR,0.0,0.0,0.0404,0.4616,,0.3167,0.8703,0.0166
RAYMOND,0.0015,0.0002,0.0446,0.6534,,0.1915,0.4062,0.4046
AMBIKCO,0.0077,0.3054,0.8221,0.4598,,0.0621,0.5317,0.1114
MAHASTEEL,0.2969,0.0642,0.1658,0.8179,,0.0259,0.2601,0.9834
GREENLAM,0.0,0.1405,0.0775,0.1782,,0.1331,0.1865,0.4518
SREEL,0.12,0.665,0.6567,0.364,,0.0043,0.3881,0.5095
DHUNINV,0.3418,0.0297,0.0213,0.9416,,0.0517,0.206,0.822
JSLHISAR,0.0001,0.5886,0.4572,0.9379,,0.0957,0.1472,0.8592
CORPBANK,0.7636,0.0906,0.0,0.6224,,0.4849,0.3069,0.5054
COMPINFO,0.5156,0.2522,0.7072,0.4546,,0.0113,0.5935,0.0186
OBEROIRLTY,0.0001,0.3172,0.2139,0.6294,,0.1003,0.4754,0.3103
BALKRISIND,0.0615,0.1887,0.0638,0.0864,,0.0233,0.8565,0.4517
LGBBROSLTD,0.0,0.7084,0.2874,0.9898,,0.1075,0.1531,0.3123
ADLABS,0.001,0.0029,0.2925,0.5549,,0.1491,0.5997,0.8371
SSWL,0.0083,0.0,0.0433,0.2311,,0.1662,0.2413,0.1799
NAHARSPING,0.0002,0.0,0.0,0.0902,,0.3284,0.307,0.0595
IL&FSENGG,0.0002,0.3674,0.0267,0.0242,,0.177,0.95,0.2346
NECLIFE,0.0009,0.0,0.0301,0.1955,,0.1879,0.6953,0.2192
GENESYS,0.4252,0.0181,0.0305,0.5241,,0.066,0.2417,0.2256
JAYSREETEA,0.0366,0.001,0.004,0.1071,,0.1787,0.6152,0.9458
LEEL,0.0007,0.0001,0.1657,0.4031,,0.177,0.4042,0.7516
BEML,0.0,0.0003,0.152,0.3877,,0.2836,0.7899,0.3322
AMBUJACEM,0.0,0.816,0.5691,0.3919,,0.2506,0.9239,0.0313
HINDNATGLS,0.0012,0.9392,0.1493,0.6867,,0.0388,0.6546,0.9583
SHREECEM,0.0001,0.1765,0.4321,0.3083,,0.1147,0.8691,0.5406
TULSI,0.1762,0.3666,0.6574,0.2857,,0.0052,0.9326,0.2695
ALKALI,0.1623,0.0081,0.1642,0.3848,,0.0951,0.632,0.568
NAUKRI,0.005,0.7173,0.5528,0.7375,,0.0339,0.2559,0.9427
TATAMETALI,0.0001,0.0,0.1011,0.2461,,0.249,0.1746,0.2237
BSLGOLDETF,0.6093,0.1291,0.6707,0.7001,,-0.0009,0.6183,0.4017
SOLARINDS,0.0014,0.0393,0.1809,0.91,,0.1208,0.0268,0.9049
PNB,0.5553,0.0,0.0,0.0806,,0.7144,0.2014,0.5059
BFINVEST,0.0,0.0022,0.17,0.9616,,0.2164,0.3191,0.7061
FEDDERELEC,0.0001,0.0235,0.5,0.0337,,0.2003,0.2484,0.5613
PREMIER,0.006,0.0338,0.6301,0.5156,,0.0636,0.9226,0.553
CADILAHC,0.0,0.4526,0.2547,0.0166,,0.1147,0.8578,0.1867
TECHM,0.0022,0.3071,0.5997,0.0082,,0.0544,0.7327,0.4408
SUNCLAYLTD,0.0021,0.2525,0.3275,0.405,,0.0432,0.0407,0.9257
MAHINDCIE,0.0806,0.0249,0.0005,0.0672,,0.1508,0.6471,0.1064
KEI,0.0007,0.0774,0.3997,0.8284,,0.1064,0.0633,0.7781
COMPUSOFT,0.0001,0.0277,0.6739,0.5162,,0.1074,0.9542,0.3624
SIMBHALS,0.009,0.0002,0.1437,0.7838,,0.1383,0.216,0.7453
GSCLCEMENT,0.0068,0.0006,0.0471,0.8244,,0.1811,0.735,0.3097
KEC,0.0,0.4681,0.2424,0.9502,,0.1679,0.0658,0.4895
LINCOLN,0.2821,0.0003,0.0419,0.5225,,0.0878,0.9666,0.5474
MUNJALAU,0.0643,0.0193,0.1618,0.918,,0.0698,0.6471,0.4462
TINPLATE,0.0,0.0,0.2796,0.0114,,0.2421,0.3212,0.0198
VARDHACRLC,0.1146,0.0029,0.1387,0.3468,,0.0723,0.9685,0.5128
BAJAJELEC,0.0001,0.0629,0.4163,0.4969,,0.1034,0.1489,0.9437
INDRAMEDCO,0.0609,0.0,0.0605,0.2694,,0.1087,0.577,0.4619
PDMJEPAPER,0.0064,0.0474,0.6626,0.6541,,0.0841,0.8552,0.2534
ZEEL,0.0001,0.4472,0.9166,0.2681,,0.1214,0.6911,0.6516
GANDHITUBE,0.0,0.6568,0.1018,0.5359,,0.1208,0.7892,0.2272
PARAGMILK,0.0,0.0008,0.9933,0.7275,,0.176,0.5272,0.5506
BLUESTARCO,0.3922,0.0106,0.1626,0.0144,,0.0718,0.2801,0.7575
HCLTECH,0.0012,0.1735,0.0086,0.0273,,0.0305,0.3776,0.6745
DLF,0.0,0.0,0.0006,0.7286,,0.3592,0.6184,0.7984
SICAGEN,0.2404,0.0,0.0011,0.9002,,0.1766,0.5431,0.6304
JINDALSAW,0.0031,0.0,0.0007,0.8271,,0.2403,0.234,0.7087
KIRLOSIND,0.2136,0.3062,0.6763,0.8696,,0.0124,0.3107,0.4696
APARINDS,0.0002,0.0068,0.7736,0.8804,,0.1236,0.6952,0.355
MANPASAND,0.0121,0.4783,0.7821,0.9736,,0.0541,0.4901,0.4376
HINDMOTORS,0.0006,0.2126,0.7408,0.9215,,0.1156,0.8751,0.2798
WELSPUNIND,0.0004,0.0252,0.4195,0.7849,,0.1378,0.492,0.4008
NTPC,0.0005,0.142,0.394,0.25,,0.1348,0.792,0.6306
SPLIL,0.1482,0.1366,0.1346,0.9395,,0.0376,0.5034,0.9948
ESSELPACK,0.0003,0.0399,0.8422,0.6019,,0.1302,0.7881,0.6885
SFL,0.5534,0.0127,0.201,0.9478,,0.0234,0.089,0.7338
SIEMENS,0.0,0.1896,0.939,0.4097,,0.3232,0.3465,0.983
SPARC,0.0002,0.0025,0.4926,0.0618,,0.1274,0.376,0.7002
KIRLOSENG,0.0127,0.4168,0.764,0.8045,,0.0438,0.7544,0.7815
