Symbol,Rm-Rf %,SMB %,HML %,high-low,Adj-r_sq,const
IVRCLINFRA,0.0,0.0,0.0,0.3869,0.3425,0.0602
PRAKASH,0.0,0.0,0.0,0.3538,0.2976,0.2833
CGCL,0.0,0.0,0.0552,0.831,0.0643,0.6236
MINDTREE,0.0,0.0353,0.3202,0.0941,0.0267,0.6821
SCHNEIDER,0.0,0.0,0.0,0.3642,0.2475,0.8136
GRPLTD,0.0067,0.4537,0.5183,0.0183,0.0509,0.9898
VIMTALABS,0.0,0.0,0.0,0.2111,0.1574,0.0754
RSSOFTWARE,0.0,0.0,0.002,0.1018,0.1552,0.7404
DCM,0.0,0.0,0.0,0.1955,0.1681,0.6092
RELAXO,0.0042,0.0581,0.0209,0.2704,0.0278,0.4394
ABFRL,0.0,0.0007,0.3959,0.3129,0.1144,0.9561
SANGAMIND,0.0,0.0,0.0,0.859,0.1917,0.2157
LIBERTSHOE,0.0,0.0,0.0,0.6233,0.2761,0.3829
JAYBARMARU,0.0,0.0,0.0006,0.9552,0.1502,0.0532
RCF,0.0,0.0,0.0,0.0224,0.319,0.5442
ORIENTLTD,0.546,0.9174,0.1111,0.4928,0.0067,0.3227
ICICIBANK,0.0,0.0002,0.5102,0.3725,0.1916,0.8234
INDUSINDBK,0.0,0.0,0.0,0.5899,0.3736,0.0029
CPSEETF,0.0,0.0,0.0211,0.001,0.63,0.0487
ORBTEXP,0.0,0.0001,0.1934,0.3584,0.066,0.5801
MANALIPETC,0.0,0.0,0.0,0.5302,0.2817,0.3362
CENTURYPLY,0.0,0.0,0.0,0.2593,0.1812,0.1094
VSTIND,0.0,0.1895,0.3241,0.0454,0.0542,0.2344
SUZLON,0.0,0.0,0.0,0.231,0.2465,0.8895
CRISIL,0.0,0.1366,0.9422,0.2732,0.0614,0.1637
RANEENGINE,0.4021,0.0006,0.0275,0.4347,0.0191,0.1254
LINCPEN,0.0,0.0,0.0,0.9444,0.1709,0.2557
ADANIPORTS,0.0,0.9423,0.19,0.8484,0.2859,0.1131
EXCEL,0.0,0.0,0.1637,0.3452,0.085,0.132
SONATSOFTW,0.0,0.0,0.0293,0.949,0.1169,0.0054
GOLDIAM,0.0,0.0,0.0003,0.5192,0.0978,0.2599
JSWHL,0.0,0.1114,0.0,0.001,0.213,0.0818
ASHIANA,0.0,0.0001,0.0099,0.8493,0.0778,0.5563
POLYPLEX,0.0,0.0,0.0,0.8794,0.2841,0.2833
ITI,0.0,0.0,0.0,0.2241,0.1847,0.1141
GODREJPROP,0.0,0.0,0.2848,0.9091,0.1773,0.9301
TVSSRICHAK,0.0,0.0,0.024,0.081,0.1314,0.003
JBCHEPHARM,0.0,0.0,0.0,0.7594,0.1731,0.0937
RELCNX100,0.0,0.1678,0.2152,0.9814,0.0555,0.1829
MUKANDLTD,0.0,0.0,0.0,0.2087,0.1877,0.141
VIJSHAN,0.0,0.0,0.0,0.7665,0.1379,0.6151
ACC,0.0,0.1666,0.0102,0.2486,0.3334,0.5875
NAVINFLUOR,0.0,0.0001,0.0596,0.0001,0.0807,0.1969
TRENT,0.0,0.2244,0.1639,0.2673,0.0671,0.9444
ORICONENT,0.0,0.0,0.1596,0.9073,0.3207,0.8615
FOSECOIND,0.0,0.0,0.0,0.6444,0.1295,0.048
MERCK,0.0,0.0,0.0008,0.1627,0.1563,0.2887
ELECTCAST,0.0,0.0,0.0,0.0018,0.2956,0.7333
ORIENTREF,0.0,0.0,0.1408,0.1952,0.1074,0.063
DPSCLTD,0.0,0.0017,0.0034,0.4905,0.0787,0.4028
TIIL,0.0,0.0,0.0,0.2888,0.1427,0.0498
TECHNOFAB,0.0,0.0,0.0001,0.5121,0.0835,0.3054
SETFNIF50,0.0,0.0507,0.0001,0.7514,0.3934,0.2481
TVTODAY,0.0,0.0001,0.0001,0.4874,0.1422,0.0777
STRTECH,0.0,0.0,0.0,0.0412,0.2975,0.0221
NITINSPIN,0.0,0.0,0.0,0.0803,0.2019,0.0282
THERMAX,0.0,0.0,0.9302,0.328,0.1364,0.1964
STAR,0.0,0.0,0.0348,0.0028,0.1402,0.8
FEDERALBNK,0.0,0.2332,0.3382,0.5192,0.1597,0.5912
METALFORGE,0.0,0.0,0.0,0.1992,0.2009,0.3824
PAISALO,0.0,0.0001,0.2456,0.37,0.0369,0.9218
TFCILTD,0.0,0.0,0.0,0.2396,0.2979,0.1281
SELAN,0.0,0.0,0.0,0.3272,0.1788,0.9162
NLCINDIA,0.0,0.0,0.0,0.0895,0.2169,0.5613
PARSVNATH,0.0,0.0,0.0,0.2002,0.176,0.7572
DTIL,0.0,0.0,0.2121,0.5003,0.1703,0.5272
TATASPONGE,0.0,0.0,0.0,0.0075,0.2252,0.3447
PEARLPOLY,0.0044,0.061,0.8845,0.8885,0.0142,0.1663
ITC,0.0,0.016,0.0,0.8461,0.1337,0.6577
NATIONALUM,0.0,0.0103,0.0,0.2571,0.203,0.3696
WABAG,0.0,0.0042,0.6521,0.5273,0.0997,0.7159
GVKPIL,0.0,0.0,0.0,0.2377,0.2741,0.8711
SETFNN50,0.0,0.0034,0.7113,0.0552,0.1878,0.2751
ALANKIT,0.0,0.9107,0.0609,0.7166,0.0507,0.9767
ADHUNIK,0.0,0.0,0.0,0.4745,0.1638,0.0951
RKDL,0.0,0.0,0.0013,0.2185,0.0656,0.6399
FACT,0.0,0.0,0.0,0.8119,0.179,0.6228
PGEL,0.0,0.0,0.0025,0.6897,0.068,0.5902
ALKYLAMINE,0.0,0.0,0.0425,0.9124,0.0703,0.0667
ASTRAMICRO,0.0,0.0,0.0,0.8639,0.1894,0.3198
RUSHIL,0.0,0.0,0.0,0.9107,0.065,0.2246
RICOAUTO,0.0,0.0,0.0,0.7554,0.2517,0.057
POWERGRID,0.0,0.0904,0.4171,0.9272,0.2006,0.0771
CASTROLIND,0.0,0.667,0.3441,0.3328,0.0819,0.683
MAGMA,0.0,0.0,0.0047,0.0304,0.1868,0.5571
KSK,0.0,0.0,0.0,0.2134,0.1145,0.2835
SHOPERSTOP,0.0,0.0099,0.8256,0.159,0.1179,0.6344
ABB,0.0,0.8037,0.9288,0.8609,0.1665,0.1994
MTNL,0.0,0.0,0.0,0.0003,0.2505,0.8877
INDIACEM,0.0,0.0,0.0,0.026,0.4288,0.724
VRLLOG,0.0,0.0,0.3443,0.4869,0.146,0.6849
ALLSEC,0.0,0.0,0.11,0.6468,0.0647,0.0548
DEEPIND,0.0,0.0,0.0,0.3679,0.2153,0.2061
HOTELEELA,0.0,0.0,0.0,0.7789,0.2227,0.5801
RSWM,0.0,0.0,0.0,0.6038,0.25,0.1153
ADANIENT,0.0,0.5329,0.0,0.7794,0.2416,0.7519
MAWANASUG,0.0,0.0,0.0,0.3266,0.1124,0.1634
UGARSUGAR,0.0,0.0,0.0007,0.8397,0.0944,0.5532
CYBERTECH,0.0,0.0,0.0001,0.41,0.1502,0.124
GANESHHOUC,0.0,0.0,0.0,0.0835,0.2127,0.7079
JISLJALEQS,0.0,0.0,0.0,0.5282,0.3984,0.6685
RTNINFRA,0.0,0.0444,0.0002,0.4201,0.056,0.392
SUMMITSEC,0.0,0.0,0.0039,0.3794,0.0917,0.0237
ASIANHOTNR,0.0005,0.0046,0.0002,0.9183,0.0483,0.6917
SALSTEEL,0.0213,0.0004,0.0008,0.8485,0.0385,0.2299
SEPOWER,0.4542,0.0659,0.0003,0.3165,0.0182,0.4078
INDIANCARD,0.0,0.0,0.0,0.3138,0.1421,0.733
TDPOWERSYS,0.0,0.0,0.0004,0.7772,0.1147,0.9711
EICHERMOT,0.0,0.0067,0.714,0.0001,0.1883,0.0006
DEEPAKNTR,0.0,0.0,0.0056,0.6264,0.066,0.349
SIYSIL,0.0,0.0,0.0,0.3815,0.1291,0.2128
BATAINDIA,0.0,0.2318,0.5951,0.5114,0.1511,0.942
RAMCOSYS,0.0,0.0,0.7592,0.3243,0.0727,0.1982
CIGNITITEC,0.0,0.0026,0.0002,0.4914,0.123,0.5669
SITINET,0.0,0.0523,0.009,0.0048,0.1387,0.5716
COUNCODOS,0.0158,0.0,0.0069,0.0147,0.0437,0.1352
MANAKCOAT,0.0181,0.0594,0.924,0.4589,0.021,0.383
EMAMILTD,0.0,0.7684,0.0295,0.257,0.0713,0.1518
FDC,0.0,0.0,0.0015,0.7182,0.139,0.1318
CUMMINSIND,0.0,0.227,0.4022,0.9259,0.1577,0.1954
PITTIENG,0.0,0.0,0.0,0.3614,0.1338,0.5432
MONSANTO,0.0,0.0,0.0207,0.0051,0.0915,0.1173
GARDENSILK,0.0,0.0,0.0,0.8402,0.1812,0.6714
VASWANI,0.4248,0.0,0.0036,0.615,0.0294,0.1629
SARLAPOLY,0.0,0.0017,0.2791,0.9788,0.0718,0.705
CINELINE,0.0,0.0,0.0001,0.9065,0.0865,0.0644
MAITHANALL,0.0,0.0,0.0695,0.6095,0.0906,0.1017
JSL,0.0,0.0,0.0,0.5015,0.1879,0.5137
AKSHOPTFBR,0.0,0.0,0.0,0.142,0.2094,0.3204
RAYMOND,0.0,0.0,0.0021,0.0038,0.3057,0.2522
AMBIKCO,0.0,0.0,0.0004,0.061,0.0984,0.0203
GREENLAM,0.0,0.0,0.298,0.8809,0.0995,0.1534
SREEL,0.0061,0.2282,0.5733,0.4291,0.0094,0.8019
DHUNINV,0.0,0.0019,0.0056,0.2449,0.0594,0.0547
CORPBANK,0.0,0.4412,0.0,0.1115,0.1534,0.1686
OBEROIRLTY,0.0,0.0001,0.1097,0.5547,0.1776,0.5212
BALKRISIND,0.0,0.0462,0.9771,0.6452,0.0358,0.0327
LGBBROSLTD,0.0,0.0,0.2145,0.9604,0.0925,0.1005
ADLABS,0.0,0.0,0.0025,0.2342,0.2055,0.218
SSWL,0.0,0.0,0.0001,0.4984,0.2013,0.0516
NAHARSPING,0.0,0.0,0.0,0.0165,0.3002,0.8186
IL&FSENGG,0.0,0.0,0.0,0.0117,0.2315,0.9108
NECLIFE,0.0,0.0,0.0,0.9039,0.2641,0.7911
GENESYS,0.0,0.0,0.0,0.5305,0.1141,0.4251
JAYSREETEA,0.0,0.0,0.0,0.672,0.2617,0.8697
LEEL,0.0,0.0,0.0,0.0469,0.2338,0.2887
BEML,0.0,0.0,0.0,0.1022,0.2626,0.0429
AMBUJACEM,0.0,0.0411,0.0068,0.2118,0.336,0.5603
HINDNATGLS,0.001,0.0003,0.5788,0.1742,0.0324,0.8845
SHREECEM,0.0,0.5283,0.0002,0.0182,0.1578,0.0119
ALKALI,0.0,0.0,0.0,0.8845,0.1283,0.228
NAUKRI,0.0,0.031,0.751,0.0298,0.0522,0.0341
TATAMETALI,0.0,0.0,0.0009,0.2276,0.2164,0.0073
BSLGOLDETF,0.0253,0.8721,0.6326,0.8486,0.0033,0.3837
SOLARINDS,0.0,0.0,0.0015,0.849,0.0571,0.3258
PNB,0.0,0.0,0.0,0.0527,0.2332,0.9139
BFINVEST,0.0,0.0,0.0,0.436,0.1884,0.1026
FEDDERELEC,0.0,0.0,0.0,0.6309,0.2472,0.7904
PREMIER,0.0,0.0,0.0,0.1823,0.1911,0.2247
CADILAHC,0.0,0.0639,0.6995,0.0463,0.0352,0.8899
TECHM,0.0,0.5439,0.2031,0.7239,0.0337,0.786
SUNCLAYLTD,0.0,0.1068,0.9337,0.4439,0.1106,0.0
MAHINDCIE,0.0,0.0001,0.0,0.2851,0.1366,0.0742
KEI,0.0,0.0,0.0,0.8035,0.252,0.0055
COMPUSOFT,0.0,0.0,0.0006,0.0126,0.1176,0.8098
GSCLCEMENT,0.0,0.0,0.0,0.1687,0.2575,0.8934
KEC,0.0,0.0,0.0195,0.1472,0.2287,0.0471
LINCOLN,0.0,0.0,0.0538,0.0394,0.2156,0.8158
GOKUL,0.0,0.0,0.0005,0.0222,0.0669,0.8929
MUNJALAU,0.0,0.0,0.0,0.4707,0.1967,0.498
TINPLATE,0.0,0.0,0.0001,0.1664,0.2487,0.1169
VARDHACRLC,0.0,0.0,0.0021,0.8874,0.1487,0.0874
BAJAJELEC,0.0,0.0,0.4233,0.1561,0.1593,0.361
ARIHANT,0.0164,0.0008,0.0059,0.6337,0.0646,0.503
INDRAMEDCO,0.0,0.0,0.0,0.2099,0.2083,0.5376
ZEEL,0.0,0.1664,0.4136,0.4332,0.1887,0.0592
GANDHITUBE,0.0,0.0013,0.1118,0.6145,0.0626,0.1643
BLUESTARCO,0.0,0.0,0.5752,0.9339,0.1661,0.011
HCLTECH,0.0,0.3346,0.0005,0.8634,0.0464,0.25
DLF,0.0,0.254,0.0,0.9779,0.3956,0.9489
SICAGEN,0.0,0.0,0.0,0.6442,0.1299,0.3123
JINDALSAW,0.0,0.0,0.0,0.0278,0.3272,0.9759
KIRLOSIND,0.0,0.0,0.1153,0.3801,0.0437,0.1041
APARINDS,0.0,0.0,0.0,0.7418,0.21,0.0677
MANPASAND,0.0,0.5414,0.8391,0.5208,0.0978,0.5178
HINDMOTORS,0.0,0.0,0.0,0.9352,0.209,0.9784
WELSPUNIND,0.0,0.0,0.0012,0.19,0.0724,0.2172
NTPC,0.0,0.174,0.9357,0.1522,0.2424,0.4699
SPLIL,0.0005,0.0,0.0009,0.0787,0.0746,0.2184
ESSELPACK,0.0,0.0,0.0,0.2737,0.2075,0.0069
SIEMENS,0.0,0.5791,0.2151,0.0927,0.4017,0.3502
SPARC,0.0,0.0,0.02,0.3781,0.1528,0.1835
KIRLOSENG,0.0,0.0005,0.0011,0.3243,0.0638,0.2432
CENTUM,0.0,0.0,0.0,0.8614,0.0982,0.0224
KABRAEXTRU,0.0,0.0,0.0,0.2908,0.1995,0.192
RNAVAL,0.0,0.0,0.0,0.6933,0.1767,0.4916
NAGREEKEXP,0.0003,0.0,0.0003,0.9738,0.08,0.3399
BANARISUG,0.0,0.0,0.0,0.0989,0.1395,0.3773
ASSAMCO,0.0,0.0,0.0,0.6171,0.1639,0.9847
STEL,0.0172,0.0,0.0215,0.1801,0.0495,0.1032
MINDAIND,0.0,0.0,0.0015,0.2034,0.1058,0.0347
PRSMJOHNSN,0.0,0.0,0.0009,0.6644,0.2559,0.5149
TEXMOPIPES,0.0,0.0,0.0,0.7925,0.1701,0.3588
AVTNPL,0.0,0.0,0.0,0.1902,0.1733,0.6898
SUNILHITEC,0.0,0.0,0.0,0.2168,0.1557,0.9207
MRF,0.0,0.0698,0.0001,0.0012,0.3006,0.004
GUJALKALI,0.0,0.0,0.0,0.1699,0.1639,0.048
GOLDBEES,0.0,0.5933,0.1722,0.2811,0.0346,0.1484
VSSL,0.0,0.0,0.03,0.3087,0.0832,0.1101
HESTERBIO,0.0,0.0,0.0485,0.0582,0.1491,0.059
ESABINDIA,0.0,0.0006,0.6333,0.3614,0.0842,0.3777
SELMCL,0.0,0.0,0.0,0.7784,0.1808,0.9357
PNC,0.0001,0.0,0.0,0.1607,0.0851,0.4
RESPONIND,0.0,0.0235,0.0436,0.0474,0.0656,0.5796
MONTECARLO,0.0,0.0,0.1561,0.5352,0.1476,0.9526
SOBHA,0.0,0.0005,0.0893,0.0789,0.1256,0.4138
TARMAT,0.0266,0.0002,0.0674,0.3613,0.0202,0.1895
RAMCOCEM,0.0,0.0004,0.3221,0.0106,0.1886,0.0293
TRITURBINE,0.0,0.0,0.7637,0.0783,0.1318,0.25
GREAVESCOT,0.0,0.0001,0.0468,0.0571,0.1412,0.2614
LUPIN,0.0,0.0325,0.3811,0.3586,0.1094,0.4046
EROSMEDIA,0.0,0.0,0.0077,0.6867,0.1828,0.9394
GALLISPAT,0.0005,0.4161,0.7602,0.02,0.0101,0.0246
GAYAPROJ,0.0,0.0,0.0,0.3604,0.1707,0.3464
JPPOWER,0.0,0.0332,0.0,0.9886,0.2383,0.3825
MBLINFRA,0.0,0.0,0.0,0.2102,0.1371,0.3091
WELENT,0.0,0.0,0.0,0.0708,0.1513,0.1007
TIDEWATER,0.0,0.0,0.0,0.0072,0.0849,0.7248
AARTIIND,0.0,0.0,0.0215,0.146,0.143,0.0014
AURIONPRO,0.0,0.0,0.0094,0.2506,0.1261,0.5807
SANWARIA,0.0,0.0,0.0128,0.3354,0.0773,0.8065
QGOLDHALF,0.0,0.3275,0.0992,0.161,0.0295,0.177
JPASSOCIAT,0.0,0.0149,0.0,0.7073,0.3337,0.3787
HBLPOWER,0.0,0.0,0.0,0.0321,0.2441,0.3524
20MICRONS,0.0,0.0,0.002,0.6188,0.0811,0.5772
VIVIDHA,0.004,0.0099,0.3836,0.908,0.0177,0.2438
UNITECH,0.0,0.0008,0.0,0.4558,0.3943,0.3493
SUTLEJTEX,0.0,0.0,0.0035,0.5127,0.089,0.8421
AMARAJABAT,0.0,0.0,0.4243,0.3259,0.1498,0.0763
WONDERLA,0.0,0.0005,0.0784,0.4428,0.1462,0.2729
SBIN,0.0,0.0,0.0,0.0058,0.2137,0.6533
PANACEABIO,0.0,0.0,0.0051,0.1023,0.1063,0.4586
SUBROS,0.0,0.0,0.0,0.1029,0.217,0.0383
ORTINLABSS,0.0001,0.0,0.0015,0.6939,0.1488,0.3955
INDBANK,0.0,0.0,0.0022,0.0008,0.1001,0.1258
MADHUCON,0.0,0.0,0.0,0.1383,0.2658,0.9859
ONWARDTEC,0.0,0.0,0.0112,0.0193,0.0893,0.3039
NAHARPOLY,0.0,0.0,0.0,0.6841,0.1282,0.2711
IDEA,0.0,0.1041,0.2704,0.1222,0.0974,0.5093
TREEHOUSE,0.0,0.0,0.0282,0.0634,0.0777,0.037
INDOSOLAR,0.0006,0.0,0.019,0.1323,0.0318,0.3624
CCHHL,0.0,0.0,0.0,0.1726,0.2177,0.8897
KAJARIACER,0.0,0.0077,0.1076,0.1688,0.09,0.0978
BBL,0.0,0.0,0.0089,0.6563,0.1628,0.2149
MANAKSTEEL,0.0219,0.0,0.0409,0.5796,0.05,0.287
SWARAJENG,0.0,0.0017,0.1564,0.0163,0.1336,0.0132
DREDGECORP,0.0,0.0,0.0,0.3925,0.2422,0.215
KRBL,0.0,0.0,0.0,0.8264,0.1566,0.0002
GEECEE,0.0,0.0,0.0007,0.5896,0.1117,0.1973
MOHOTAIND,0.0001,0.2569,0.7899,0.8439,0.0288,0.065
INDOTECH,0.0,0.0,0.0001,0.3117,0.1258,0.5332
SHANTIGEAR,0.0,0.0,0.0001,0.5364,0.1859,0.2953
JKLAKSHMI,0.0,0.0,0.0043,0.3444,0.1993,0.2665
OIL,0.0,0.3123,0.7056,0.0013,0.168,0.7725
FCONSUMER,0.0,0.0,0.0001,0.313,0.1733,0.1019
BHARATFORG,0.0,0.7777,0.4725,0.3499,0.1668,0.1267
PSL,0.0,0.0,0.0,0.0022,0.17,0.0713
GULPOLY,0.0174,0.0,0.093,0.1077,0.0678,0.6732
CELESTIAL,0.0,0.0,0.0163,0.1423,0.0786,0.5617
MENONBE,0.0,0.0,0.0165,0.9667,0.1152,0.8701
PATSPINLTD,0.0,0.0001,0.0002,0.9204,0.0761,0.2037
IGL,0.0,0.3794,0.5953,0.1198,0.054,0.2401
IDFC,0.0,0.5305,0.001,0.4235,0.2643,0.4408
JMFINANCIL,0.0,0.0,0.0185,0.0317,0.3103,0.0465
TRIVENI,0.0,0.0,0.0,0.6726,0.2049,0.3039
ZODIACLOTH,0.0053,0.0,0.0,0.0365,0.0736,0.8017
PETRONET,0.0,0.1321,0.1576,0.0487,0.1112,0.2616
VISASTEEL,0.0,0.0,0.0,0.6537,0.1145,0.7771
CYIENT,0.0006,0.0001,0.1523,0.6346,0.0297,0.033
PNBGILTS,0.0,0.001,0.0,0.0454,0.1455,0.3636
