,Adj-r_sq,F-statistics,HML %,P(F-value),Rm-Rf %,SMB %,Symbol,WML %,const
115,0.1231,20.3747,0.3289,0.0,0.0,0.0004,GUJGASLTD,0.7097,0.4021
116,0.281,121.2533,0.0,0.0,0.0,0.0,KOPRAN,0.1002,0.537
117,0.1534,56.7499,0.2018,0.0,0.0,0.1553,IOC,0.3998,0.6513
118,0.3572,170.4726,0.0,0.0,0.0,0.0,IVRCLINFRA,0.0,0.0634
119,0.2972,130.8381,0.0,0.0,0.0,0.0,PRAKASH,0.5965,0.4767
120,0.0643,20.4381,0.0697,0.0,0.0,0.0,CGCL,0.7603,0.7785
121,0.0263,9.2976,0.4453,0.0,0.0,0.033,MINDTREE,0.142,0.9702
122,0.2469,100.97,0.0,0.0,0.0,0.0,SCHNEIDER,0.6702,0.8693
123,0.0433,8.8468,0.6104,0.0,0.0,0.3069,GRPLTD,0.8257,0.8859
124,0.1611,58.0536,0.0,0.0,0.0,0.0,VIMTALABS,0.01,0.1643
125,0.1557,57.7681,0.0006,0.0,0.0,0.0,RSSOFTWARE,0.0778,0.4086
126,0.1678,63.0344,0.0,0.0,0.0,0.0,DCM,0.2282,0.9146
127,0.0277,9.7827,0.0151,0.0,0.0003,0.0583,RELAXO,0.2856,0.6346
128,0.1136,35.7415,0.359,0.0,0.0,0.0017,ABFRL,0.823,0.6487
129,0.1921,74.199,0.0,0.0,0.0,0.0,SANGAMIND,0.4985,0.4193
130,0.2764,115.5711,0.0001,0.0,0.0,0.0,LIBERTSHOE,0.484,0.5767
131,0.1504,52.5938,0.0006,0.0,0.0,0.0,JAYBARMARU,0.6393,0.1188
132,0.3208,146.3353,0.0,0.0,0.0,0.0,RCF,0.0037,0.8134
133,0.0067,2.1419,0.1268,0.0741,0.2824,0.7081,ORIENTLTD,0.518,0.3352
134,0.1912,73.7598,0.5132,0.0,0.0,0.0001,ICICIBANK,0.9013,0.5247
135,0.3743,185.0736,0.0,0.0,0.0,0.0,INDUSINDBK,0.2983,0.0181
136,0.6359,400.994,0.1467,0.0,0.0,0.0,CPSEETF,0.0,0.3131
137,0.0674,19.4322,0.1064,0.0,0.0,0.001,ORBTEXP,0.1215,0.8923
138,0.2813,121.4801,0.0,0.0,0.0,0.0,MANALIPETC,0.8442,0.5345
139,0.1809,68.3948,0.0,0.0,0.0,0.0,CENTURYPLY,0.4274,0.2049
140,0.0512,17.6042,0.3076,0.0,0.0,0.0989,VSTIND,0.8886,0.4763
141,0.2563,104.8003,0.0,0.0,0.0,0.0,SUZLON,0.0,0.8729
142,0.061,20.9927,0.842,0.0,0.0,0.128,CRISIL,0.3807,0.4467
143,0.0188,5.5982,0.0256,0.0002,0.2272,0.0008,RANEENGINE,0.563,0.199
144,0.1721,37.06,0.0001,0.0,0.0,0.0,LINCPEN,0.3237,0.3424
145,0.2862,124.3884,0.1552,0.0,0.0,0.8154,ADANIPORTS,0.5077,0.3093
146,0.085,26.8403,0.1359,0.0,0.0,0.0,EXCEL,0.3043,0.2279
147,0.1191,41.0705,0.0116,0.0,0.0,0.0,SONATSOFTW,0.0718,0.0274
148,0.0979,33.8852,0.0007,0.0,0.0,0.0,GOLDIAM,0.5044,0.3558
149,0.2396,97.9832,0.0014,0.0,0.0,0.0166,JSWHL,0.0,0.0823
150,0.079,27.3797,0.0056,0.0,0.0,0.0001,ASHIANA,0.2092,0.8538
151,0.2871,124.94,0.0,0.0,0.0,0.0,POLYPLEX,0.0208,0.4458
152,0.1869,71.7627,0.0,0.0,0.0,0.0,ITI,0.0277,0.1633
153,0.1781,67.6661,0.3831,0.0,0.0,0.0,GODREJPROP,0.3574,0.7837
154,0.1295,45.4034,0.0191,0.0,0.0,0.0,TVSSRICHAK,0.3226,0.0106
155,0.1733,65.4978,0.0,0.0,0.0,0.0,JBCHEPHARM,0.4868,0.2671
156,0.0593,17.0692,0.4088,0.0,0.0,0.0714,RELCNX100,0.0429,0.3062
157,0.1869,65.8233,0.0,0.0,0.0,0.0,MUKANDLTD,0.6767,0.3069
158,0.138,50.2098,0.0,0.0,0.0,0.0,VIJSHAN,0.6892,0.8731
159,0.3343,155.5146,0.0255,0.0,0.0,0.1316,ACC,0.0759,0.73
160,0.0695,23.4883,0.1387,0.0,0.0,0.0,NAVINFLUOR,0.3138,0.1847
161,0.0744,25.7455,0.0493,0.0,0.0,0.43,TRENT,0.0009,0.6299
162,0.324,72.7864,0.0845,0.0,0.0,0.0,ORICONENT,0.0889,0.57
163,0.1291,46.5641,0.0,0.0,0.0,0.0,FOSECOIND,0.7128,0.1568
164,0.1577,58.6224,0.0003,0.0,0.0,0.0,MERCK,0.0512,0.6969
165,0.2937,128.9745,0.0,0.0,0.0,0.0,ELECTCAST,0.0102,0.9578
166,0.1063,35.6739,0.1733,0.0,0.0,0.0,ORIENTREF,0.8438,0.1193
167,0.0783,27.1065,0.0058,0.0,0.0,0.0008,DPSCLTD,0.6,0.5539
168,0.1447,49.8446,0.0,0.0,0.0,0.0,TIIL,0.0576,0.1469
169,0.0896,30.4943,0.0005,0.0,0.0,0.0,TECHNOFAB,0.0039,0.359
170,0.3986,99.5715,0.0,0.0,0.0,0.145,SETFNIF50,0.027,0.4902
171,0.142,51.9501,0.0002,0.0,0.0,0.0001,TVTODAY,0.7768,0.1599
172,0.3035,131.1617,0.0,0.0,0.0,0.0,STRTECH,0.0002,0.0329
173,0.2001,77.9788,0.0,0.0,0.0,0.0,NITINSPIN,0.5928,0.0564
174,0.136,49.4476,0.9177,0.0,0.0,0.0,THERMAX,0.887,0.4425
175,0.1342,48.6982,0.034,0.0,0.0,0.0,STAR,0.4002,0.6191
176,0.1597,59.4818,0.4251,0.0,0.0,0.3408,FEDERALBNK,0.5297,0.4506
177,0.2002,75.9623,0.0,0.0,0.0,0.0,METALFORGE,0.3114,0.1693
178,0.0371,12.8041,0.1729,0.0,0.0,0.0006,PAISALO,0.3219,0.5651
179,0.2987,130.8759,0.0,0.0,0.0,0.0,TFCILTD,0.0893,0.2819
180,0.1802,66.8391,0.0,0.0,0.0,0.0,SELAN,0.0872,0.663
181,0.2285,92.1702,0.0,0.0,0.0,0.0,NLCINDIA,0.0,0.7622
182,0.1748,63.0265,0.0,0.0,0.0,0.0,PARSVNATH,0.818,0.5813
183,0.1699,36.8209,0.22,0.0,0.0,0.0,DTIL,0.8018,0.7561
184,0.2237,89.6609,0.0,0.0,0.0,0.0,TATASPONGE,0.0305,0.584
185,0.0146,4.2028,0.9558,0.0022,0.0028,0.0966,PEARLPOLY,0.535,0.251
186,0.1337,48.5026,0.0,0.0,0.0,0.0106,ITC,0.5486,0.8158
187,0.2045,80.0914,0.0,0.0,0.0,0.007,NATIONALUM,0.0724,0.5711
188,0.1,34.4631,0.5262,0.0,0.0,0.0018,WABAG,0.4058,0.9369
189,0.2908,116.9486,0.0,0.0,0.0,0.0,GVKPIL,0.0,0.8789
190,0.1843,34.7765,0.9305,0.0,0.0,0.001,SETFNN50,0.2977,0.3761
191,0.0523,8.8026,0.0411,0.0,0.0,0.9191,ALANKIT,0.2935,0.9998
192,0.1679,60.9859,0.0001,0.0,0.0,0.0,ADHUNIK,0.0107,0.0699
193,0.0646,21.4455,0.002,0.0,0.0,0.0,RKDL,0.5479,0.8555
194,0.1788,64.7842,0.0,0.0,0.0,0.0,FACT,0.9621,0.8586
195,0.068,23.4478,0.0032,0.0,0.0,0.0,PGEL,0.9926,0.7183
196,0.0708,23.361,0.0379,0.0,0.0,0.0001,ALKYLAMINE,0.5862,0.1337
197,0.19,73.185,0.0,0.0,0.0,0.0,ASTRAMICRO,0.4499,0.585
198,0.0659,22.2479,0.0,0.0,0.0,0.0,RUSHIL,0.297,0.2504
199,0.2517,101.1636,0.0,0.0,0.0,0.0,RICOAUTO,0.6606,0.1109
200,0.2003,78.0779,0.4574,0.0,0.0,0.0842,POWERGRID,0.7825,0.3486
201,0.082,21.5726,0.501,0.0,0.0,0.9225,CASTROLIND,0.3032,0.3789
202,0.1838,70.2939,0.0068,0.0,0.0,0.0,MAGMA,0.9168,0.7517
203,0.1194,40.562,0.0001,0.0,0.0,0.0,KSK,0.0047,0.2044
204,0.1163,41.5054,0.7747,0.0,0.0,0.0043,SHOPERSTOP,0.9164,0.9625
205,0.177,67.1701,0.3993,0.0,0.0,0.2996,ABB,0.0001,0.2664
206,0.248,102.4732,0.0,0.0,0.0,0.0,MTNL,0.0029,0.8436
207,0.4271,230.4039,0.0,0.0,0.0,0.0,INDIACEM,0.0882,0.9013
208,0.1466,29.2945,0.4513,0.0,0.0,0.0,VRLLOG,0.3356,0.8477
209,0.0678,19.9346,0.0472,0.0,0.0,0.0,ALLSEC,0.0554,0.1212
210,0.2153,85.4619,0.0,0.0,0.0,0.0,DEEPIND,0.4452,0.3242
211,0.2281,91.1495,0.0,0.0,0.0,0.0,HOTELEELA,0.0028,0.4458
212,0.2499,103.5224,0.0,0.0,0.0,0.0,RSWM,0.7371,0.246
213,0.2452,100.9751,0.0,0.0,0.0,0.258,ADANIENT,0.017,0.7934
214,0.1127,36.9063,0.0,0.0,0.0,0.0,MAWANASUG,0.2535,0.2331
215,0.0946,22.2006,0.0007,0.0,0.0,0.0,UGARSUGAR,0.7598,0.7371
216,0.1508,55.5769,0.0,0.0,0.0,0.0,CYBERTECH,0.1856,0.2785
217,0.2147,85.1181,0.0001,0.0,0.0,0.0,GANESHHOUC,0.0159,0.8757
218,0.3988,205.16,0.0,0.0,0.0,0.0,JISLJALEQS,0.2379,0.9872
219,0.0571,17.558,0.0005,0.0,0.0,0.0309,RTNINFRA,0.1743,0.4482
220,0.0913,30.4829,0.0055,0.0,0.0,0.0,SUMMITSEC,0.5717,0.0333
221,0.0488,16.4797,0.0001,0.0,0.0001,0.0068,ASIANHOTNR,0.4181,0.9708
222,0.041,10.8454,0.0015,0.0,0.0054,0.0001,SALSTEEL,0.1284,0.1932
223,0.0173,5.6152,0.0002,0.0002,0.7377,0.1228,SEPOWER,0.7933,0.6056
224,0.141,49.738,0.0,0.0,0.0,0.0,INDIANCARD,0.8035,0.9956
225,0.115,40.9432,0.0003,0.0,0.0,0.0,TDPOWERSYS,0.484,0.582
226,0.1841,70.4339,0.3947,0.0,0.0,0.005,EICHERMOT,0.0009,0.005
227,0.0659,22.0152,0.0073,0.0,0.0,0.0,DEEPAKNTR,0.9127,0.4819
228,0.1306,46.774,0.0,0.0,0.0,0.0,SIYSIL,0.1161,0.2993
229,0.1545,57.2418,0.8908,0.0,0.0,0.3713,BATAINDIA,0.026,0.6026
230,0.0722,20.9473,0.8906,0.0,0.0,0.0,RAMCOSYS,0.6612,0.2488
231,0.1226,28.5189,0.0003,0.0,0.0,0.0022,CIGNITITEC,0.8769,0.3995
232,0.1541,55.8736,0.1093,0.0,0.0,0.0163,SITINET,0.0,0.6927
233,0.038,10.172,0.0075,0.0,0.1153,0.0,COUNCODOS,0.4694,0.2031
234,0.0232,4.8107,0.7493,0.0008,0.0097,0.1304,MANAKCOAT,0.1602,0.5241
235,0.0744,25.7322,0.08,0.0,0.0,0.9496,EMAMILTD,0.0207,0.4051
236,0.1423,52.0748,0.0004,0.0,0.0,0.0,FDC,0.0281,0.4442
237,0.1586,59.0061,0.5426,0.0,0.0,0.158,CUMMINSIND,0.2463,0.4541
238,0.1334,45.3332,0.0,0.0,0.0,0.0,PITTIENG,0.7769,0.6703
239,0.0874,30.4837,0.0141,0.0,0.0,0.0,MONSANTO,0.1243,0.2235
240,0.1812,67.7551,0.0,0.0,0.0,0.0,GARDENSILK,0.9215,0.4398
241,0.0292,7.7075,0.0037,0.0,0.2778,0.0,VASWANI,0.8279,0.2074
242,0.0724,21.0446,0.228,0.0,0.0,0.0033,SARLAPOLY,0.4235,0.9086
243,0.0876,28.8715,0.0002,0.0,0.0,0.0,CINELINE,0.2383,0.0891
244,0.0903,26.901,0.0588,0.0,0.0,0.0,MAITHANALL,0.703,0.1893
245,0.188,71.6827,0.0,0.0,0.0,0.0,JSL,0.4296,0.7231
246,0.2136,77.6598,0.0,0.0,0.0,0.0,AKSHOPTFBR,0.0044,0.7089
247,0.3021,134.2281,0.0045,0.0,0.0,0.0,RAYMOND,0.1305,0.5713
248,0.0959,32.6755,0.0007,0.0,0.0,0.0,AMBIKCO,0.9856,0.0416
249,0.1091,22.0525,0.5537,0.0,0.0,0.0009,GREENLAM,0.007,0.3748
250,0.0103,2.8344,0.459,0.0238,0.0048,0.2005,SREEL,0.2362,0.9568
251,0.0595,17.4431,0.0024,0.0,0.0,0.0067,DHUNINV,0.2386,0.1244
252,0.1549,57.4124,0.0,0.0,0.0,0.3741,CORPBANK,0.0306,0.1013
253,0.1786,67.915,0.1907,0.0,0.0,0.0,OBEROIRLTY,0.1185,0.8029
254,0.0358,12.3328,0.9867,0.0,0.0,0.0535,BALKRISIND,0.906,0.0827
255,0.093,32.3383,0.1861,0.0,0.0,0.0,LGBBROSLTD,0.5496,0.2133
256,0.2044,42.2871,0.004,0.0,0.0,0.0,ADLABS,0.5019,0.1576
257,0.2013,78.5846,0.0002,0.0,0.0,0.0,SSWL,0.5845,0.1199
258,0.297,128.2882,0.0,0.0,0.0,0.0,NAHARSPING,0.769,0.9706
259,0.2304,89.8248,0.0,0.0,0.0,0.0,IL&FSENGG,0.0352,0.6798
260,0.2646,111.7309,0.0,0.0,0.0,0.0,NECLIFE,0.4396,0.9014
261,0.1137,40.4287,0.0,0.0,0.0,0.0,GENESYS,0.8733,0.5859
262,0.2626,105.3504,0.0,0.0,0.0,0.0,JAYSREETEA,0.1885,0.6363
263,0.2322,92.0989,0.0,0.0,0.0,0.0,LEEL,0.2499,0.4508
264,0.2658,110.0846,0.0,0.0,0.0,0.0,BEML,0.0053,0.0746
265,0.3401,159.584,0.0303,0.0,0.0,0.0176,AMBUJACEM,0.0033,0.779
266,0.0332,10.5864,0.4042,0.0,0.0,0.0004,HINDNATGLS,0.0829,0.7952
267,0.1598,59.5468,0.0016,0.0,0.0,0.6163,SHREECEM,0.003,0.0724
268,0.1286,44.3035,0.0,0.0,0.0,0.0,ALKALI,0.5825,0.3117
269,0.0487,16.757,0.6316,0.0,0.0,0.0083,NAUKRI,0.6462,0.069
270,0.2172,82.1369,0.0027,0.0,0.0,0.0,TATAMETALI,0.1009,0.0152
271,0.0053,2.629,0.4401,0.0331,0.0099,0.8553,BSLGOLDETF,0.1093,0.9996
272,0.0597,20.1295,0.0005,0.0,0.0,0.0,SOLARINDS,0.0685,0.6402
273,0.2397,98.0123,0.0,0.0,0.0,0.0,PNB,0.0002,0.8151
274,0.1891,71.828,0.0,0.0,0.0,0.0,BFINVEST,0.2425,0.1875
275,0.2497,103.3934,0.0,0.0,0.0,0.0,FEDDERELEC,0.0457,0.8268
276,0.1906,73.4834,0.0,0.0,0.0,0.0,PREMIER,0.2528,0.1213
277,0.0434,14.972,0.2991,0.0,0.0,0.1342,CADILAHC,0.0001,0.6779
278,0.0399,13.773,0.46,0.0,0.0,0.8898,TECHM,0.005,0.7549
279,0.1136,39.5937,0.625,0.0,0.0,0.169,SUNCLAYLTD,0.0295,0.0004
280,0.1366,49.672,0.0,0.0,0.0,0.0001,MAHINDCIE,0.3357,0.153
281,0.255,106.3344,0.0,0.0,0.0,0.0,KEI,0.0263,0.009
282,0.1149,40.9552,0.0017,0.0,0.0,0.0,COMPUSOFT,0.0896,0.9154
283,0.2635,97.7577,0.0,0.0,0.0,0.0,GSCLCEMENT,0.0012,0.8126
284,0.2282,92.0104,0.0336,0.0,0.0,0.0,KEC,0.2858,0.1077
285,0.2161,35.5262,0.0309,0.0,0.0,0.0,LINCOLN,0.0342,0.5722
286,0.0668,20.6407,0.0023,0.0,0.0,0.0,GOKUL,0.0245,0.9992
287,0.197,76.5026,0.0,0.0,0.0,0.0,MUNJALAU,0.3186,0.7802
288,0.2478,97.1878,0.0001,0.0,0.0,0.0,TINPLATE,0.4677,0.249
289,0.1489,54.847,0.0013,0.0,0.0,0.0,VARDHACRLC,0.3604,0.2359
290,0.1579,58.7092,0.4142,0.0,0.0,0.0,BAJAJELEC,0.6694,0.6189
291,0.0672,11.1642,0.0032,0.0,0.023,0.005,ARIHANT,0.1891,0.6909
292,0.2072,81.4531,0.0,0.0,0.0,0.0,INDRAMEDCO,0.9756,0.9867
293,0.1941,75.1078,0.7562,0.0,0.0,0.0741,ZEEL,0.0042,0.25
294,0.0636,21.1129,0.0811,0.0,0.0,0.0021,GANDHITUBE,0.2563,0.3463
295,0.1667,62.5697,0.7014,0.0,0.0,0.0,BLUESTARCO,0.369,0.0431
296,0.0499,17.1753,0.0025,0.0,0.0,0.1799,HCLTECH,0.0325,0.6024
297,0.4044,209.9137,0.0,0.0,0.0,0.0503,DLF,0.0,0.9885
298,0.1298,46.7352,0.0,0.0,0.0,0.0,SICAGEN,0.9223,0.4368
299,0.3345,154.4073,0.0,0.0,0.0,0.0,JINDALSAW,0.0,0.811
300,0.0433,14.6602,0.1587,0.0,0.0,0.0,KIRLOSIND,0.5836,0.1645
301,0.2125,84.0562,0.0,0.0,0.0,0.0,APARINDS,0.0468,0.1207
302,0.0986,17.6797,0.7167,0.0,0.0,0.6621,MANPASAND,0.3413,0.7137
