Symbol, Type
ASTEC,EQ
ASTERDM,EQ
ASTRAL,EQ
ASTRAMICRO,EQ
ASTRAZEN,EQ
ASTRON,EQ
ATFL,EQ
ATLANTA,EQ
ATUL,EQ
ATULAUTO,EQ
AUBANK,EQ
AURIONPRO,EQ
AUROPHARMA,EQ
AUSOMENT,EQ
AUTOAXLES,EQ
AUTOIND,EQ
AUTOLITIND,EQ
AVADHSUGAR,EQ
AVANTIFEED,EQ
AVTNPL,EQ
AXISBANK,EQ
AXISCADES,EQ
AXISGOLD,EQ
AXISNIFTY,EQ
AYMSYNTEX,EQ
BAFNAPHARM,EQ
BAGFILMS,EQ
BAJAJ-AUTO,EQ
BAJAJCORP,EQ
BAJAJELEC,EQ
BAJAJFINSV,EQ
BAJAJHIND,EQ
BAJAJHLDNG,EQ
BAJFINANCE,EQ
BALAJITELE,EQ
BALAMINES,EQ
BALKRISHNA,EQ
BALKRISIND,EQ
BALLARPUR,EQ
BALMLAWRIE,EQ
BALPHARMA,EQ
BALRAMCHIN,EQ
BANARBEADS,EQ
BANARISUG,EQ
BANCOINDIA,EQ
BANDHANBNK,EQ
BANG,EQ
BANKBARODA,EQ
BANKBEES,EQ
BANKINDIA,EQ
BANSWRAS,EQ
BASF,EQ
BASML,EQ
BATAINDIA,EQ
BAYERCROP,EQ
BBL,EQ
BBTC,EQ
BDL,EQ
BEARDSELL,EQ
BEL,EQ
BEML,EQ
BEPL,EQ
BERGEPAINT,EQ
BFINVEST,EQ
BFUTILITIE,EQ
BGRENERGY,EQ
BHAGERIA,EQ
BHAGYANGR,EQ
BHANDARI,EQ
BHARATFIN,EQ
BHARATFORG,EQ
BHARATGEAR,EQ
BHARATRAS,EQ
BHARATWIRE,EQ
BHARTIARTL,EQ
BHEL,EQ
BHUSANSTL,EQ
BIGBLOC,EQ
BIL,EQ
BINANIIND,EQ
BINDALAGRO,EQ
BIOCON,EQ
BIRLACORPN,EQ
BKMINDST,EQ
BLISSGVS,EQ
BLKASHYAP,EQ
BLS,EQ
BLUEBLENDS,EQ
BLUEDART,EQ
BLUESTARCO,EQ
BODALCHEM,EQ
BOROSIL,EQ
BOSCHLTD,EQ
BPCL,EQ
BPL,EQ
BRIGADE,EQ
BRITANNIA,EQ
BRNL,EQ
BROOKS,EQ
BSE,EQ
BSELINFRA,EQ
BSL,EQ
BSLGOLDETF,EQ
BSLNIFTY,EQ
BYKE,EQ
CADILAHC,EQ
CAMLINFINE,EQ
CANBK,EQ
CANDC,EQ
CANFINHOME,EQ
CAPACITE,EQ
CAPF,EQ
CAPLIPOINT,EQ
CAPTRUST,EQ
CARBORUNIV,EQ
CAREERP,EQ
CARERATING,EQ
CASTROLIND,EQ
CCCL,EQ
CCHHL,EQ
CCL,EQ
CDSL,EQ
CEATLTD,EQ
CEBBCO,EQ
CELEBRITY,EQ
CELESTIAL,EQ
CENTENKA,EQ
CENTEXT,EQ
CENTRALBK,EQ
CENTRUM,EQ
CENTUM,EQ
CENTURYPLY,EQ
CENTURYTEX,EQ
CERA,EQ
CESC,EQ
CGCL,EQ
CGPOWER,EQ
CHAMBLFERT,EQ
CHENNPETRO,EQ
CHOLAFIN,EQ
CHROMATIC,EQ
CIGNITITEC,EQ
CIMMCO,EQ
CINELINE,EQ
CINEVISTA,EQ
CIPLA,EQ
CLEDUCATE,EQ
CLNINDIA,EQ
CMICABLES,EQ
CNOVAPETRO,EQ
COALINDIA,EQ
COCHINSHIP,EQ
COFFEEDAY,EQ
COLPAL,EQ
COMPINFO,EQ
COMPUSOFT,EQ
CONCOR,EQ
CONSOFINVT,EQ
CONTROLPR,EQ
CORALFINAC,EQ
CORDSCABLE,EQ
COROMANDEL,EQ
CORPBANK,EQ
COSMOFILMS,EQ
COUNCODOS,EQ
COX&KINGS,EQ
CPSEETF,EQ
CREST,EQ
CRISIL,EQ
CRMFGETF,EQ
CROMPTON,EQ
CTE,EQ
CUB,EQ
CUMMINSIND,EQ
CUPID,EQ
CYBERMEDIA,EQ
CYBERTECH,EQ
CYIENT,EQ
DAAWAT,EQ
DABUR,EQ
DALMIABHA,EQ
DALMIASUG,EQ
DAMODARIND,EQ
DATAMATICS,EQ
DBCORP,EQ
DBL,EQ
DBREALTY,EQ
DCAL,EQ
DCBBANK,EQ
DCM,EQ
DCMSHRIRAM,EQ
DCW,EQ
DECCANCE,EQ
DEEPAKFERT,EQ
DEEPAKNTR,EQ
DEEPIND,EQ
DELTACORP,EQ
DELTAMAGNT,EQ
DEN,EQ
DENABANK,EQ
DENORA,EQ
DFMFOODS,EQ
DHAMPURSUG,EQ
DHANBANK,EQ
DHANUKA,EQ
DHFL,EQ
DHUNINV,EQ
DIAMONDYD,EQ
DICIND,EQ
DIGJAMLTD,EQ
DISHTV,EQ
DIVISLAB,EQ
DIXON,EQ
DLF,EQ
DMART,EQ
DNAMEDIA,EQ
DOLLAR,EQ
DOLPHINOFF,EQ
DONEAR,EQ
DPL,EQ
DPSCLTD,EQ
DREDGECORP,EQ
DRREDDY,EQ
DSSL,EQ
DTIL,EQ
DUCON,EQ
DWARKESH,EQ
DYNAMATECH,EQ
DYNPRO,EQ
EASTSILK,EQ
ECEIND,EQ
ECLERX,EQ
EDELWEISS,EQ
EDL,EQ
EICHERMOT,EQ
EIDPARRY,EQ
EIHAHOTELS,EQ
EIHOTEL,EQ
EIMCOELECO,EQ
EKC,EQ
ELAND,EQ
ELECON,EQ
ELECTCAST,EQ
ELECTHERM,EQ
ELGIEQUIP,EQ
ELGIRUBCO,EQ
EMAMILTD,EQ
EMKAY,EQ
EMMBI,EQ
ENDURANCE,EQ
ENERGYDEV,EQ
ENGINERSIN,EQ
ENIL,EQ
EON,EQ
EQUITAS,EQ
ERIS,EQ
EROSMEDIA,EQ
ESABINDIA,EQ
ESCORTS,EQ
ESSARSHPNG,EQ
ESSELPACK,EQ
ESTER,EQ
EUROTEXIND,EQ
EVEREADY,EQ
EVERESTIND,EQ
EXCEL,EQ
EXCELCROP,EQ
EXCELINDUS,EQ
EXIDEIND,EQ
FACT,EQ
FAIRCHEM,EQ
FCL,EQ
FCONSUMER,EQ
FDC,EQ
FEDDERELEC,EQ
FEDERALBNK,EQ
FEL,EQ
FELDVR,EQ
FIEMIND,EQ
FILATEX,EQ
FINCABLES,EQ
FINEORG,EQ
FINPIPE,EQ
FLEXITUFF,EQ
FLFL,EQ
FMGOETZE,EQ
FMNL,EQ
FORTIS,EQ
FORTUNEFIN,EQ
FOSECOIND,EQ
FRETAIL,EQ
FSC,EQ
FSL,EQ
GABRIEL,EQ
GAEL,EQ
GAIL,EQ
GAL,EQ
GALAXYSURF,EQ
GALLANTT,EQ
GALLISPAT,EQ
GAMMNINFRA,EQ
GANDHITUBE,EQ
GANECOS,EQ
GANESHHOUC,EQ
GANGESSECU,EQ
GARDENSILK,EQ
GARWALLROP,EQ
GATI,EQ
GAYAPROJ,EQ
GDL,EQ
GEECEE,EQ
GENESYS,EQ
GENUSPAPER,EQ
GENUSPOWER,EQ
GEOJITFSL,EQ
GEPIL,EQ
GESHIP,EQ
GET&D,EQ
GHCL,EQ
GICHSGFIN,EQ
GICRE,EQ
GILLANDERS,EQ
GILLETTE,EQ
GINNIFILA,EQ
GIPCL,EQ
GLAXO,EQ
GLENMARK,EQ
GLOBALVECT,EQ
GLOBUSSPR,EQ
GMBREW,EQ
GMDCLTD,EQ
GMMPFAUDLR,EQ
GMRINFRA,EQ
GNA,EQ
GNFC,EQ
GOACARBON,EQ
GOCLCORP,EQ
GODFRYPHLP,EQ
GODREJAGRO,EQ
GODREJCP,EQ
GODREJIND,EQ
GODREJPROP,EQ
GOKEX,EQ
GOKUL,EQ
GOKULAGRO,EQ
GOLDBEES,EQ
GOLDIAM,EQ
GOLDINFRA,EQ
GOLDSHARE,EQ
GOLDTECH,EQ
GOODLUCK,EQ
GPIL,EQ
GPPL,EQ
GPTINFRA,EQ
GRANULES,EQ
GRAPHITE,EQ
GRASIM,EQ
GRAVITA,EQ
GREAVESCOT,EQ
GREENLAM,EQ
GREENPLY,EQ
GREENPOWER,EQ
GRINDWELL,EQ
GRPLTD,EQ
GRUH,EQ
GSCLCEMENT,EQ
GSFC,EQ
GSKCONS,EQ
GSPL,EQ
GSS,EQ
GTL,EQ
GTNIND,EQ
GTNTEX,EQ
GTPL,EQ
GUFICBIO,EQ
GUJALKALI,EQ
GUJAPOLLO,EQ
GUJFLUORO,EQ
GUJGASLTD,EQ
GULFOILLUB,EQ
GULFPETRO,EQ
GULPOLY,EQ
GVKPIL,EQ
HAL,EQ
HARITASEAT,EQ
HARRMALAYA,EQ
HATHWAY,EQ
HATSUN,EQ
HAVELLS,EQ
HBLPOWER,EQ
HCC,EQ
HCG,EQ
HCL-INSYS,EQ
HCLTECH,EQ
HDFC,EQ
HDFCBANK,EQ
HDFCLIFE,EQ
HDFCMFGETF,EQ
HDFCNIFETF,EQ
HDFCSENETF,EQ
HDIL,EQ
HEG,EQ
HEIDELBERG,EQ
HERCULES,EQ
HERITGFOOD,EQ
HEROMOTOCO,EQ
HESTERBIO,EQ
HEXAWARE,EQ
HFCL,EQ
HGINFRA,EQ
HGS,EQ
HIGHGROUND,EQ
HIKAL,EQ
HIL,EQ
HIMATSEIDE,EQ
HINDALCO,EQ
HINDCOMPOS,EQ
HINDCOPPER,EQ
HINDMOTORS,EQ
HINDNATGLS,EQ
HINDOILEXP,EQ
HINDPETRO,EQ
HINDUJAVEN,EQ
HINDUNILVR,EQ
HINDZINC,EQ
HIRECT,EQ
HISARMETAL,EQ
HITECH,EQ
HITECHCORP,EQ
HITECHGEAR,EQ
HMVL,EQ
HNGSNGBEES,EQ
HONAUT,EQ
HONDAPOWER,EQ
HOTELEELA,EQ
HOVS,EQ
HPL,EQ
HSCL,EQ
HSIL,EQ
HTMEDIA,EQ
HUBTOWN,EQ
HUDCO,EQ
IBREALEST,EQ
IBULHSGFIN,EQ
ICICI500,EQ
ICICIB22,EQ
ICICIBANK,EQ
ICICIGI,EQ
ICICIGOLD,EQ
ICICILOVOL,EQ
ICICIMCAP,EQ
ICICINF100,EQ
ICICINIFTY,EQ
ICICINV20,EQ
ICICIPRULI,EQ
ICICISENSX,EQ
ICIL,EQ
ICRA,EQ
IDBI,EQ
IDBIGOLD,EQ
IDEA,EQ
IDFC,EQ
IDFCBANK,EQ
IDFNIFTYET,EQ
IEX,EQ
IFBIND,EQ
IFCI,EQ
IFGLEXPOR,EQ
IGARASHI,EQ
IGL,EQ
IGPL,EQ
IIFL,EQ
IITL,EQ
IL&FSENGG,EQ
IL&FSTRANS,EQ
IMFA,EQ
IMPAL,EQ
INDBANK,EQ
INDHOTEL,EQ
INDIACEM,EQ
INDIAGLYCO,EQ
INDIANB,EQ
INDIANCARD,EQ
INDIANHUME,EQ
INDIGO,EQ
INDLMETER,EQ
INDNIPPON,EQ
INDOCO,EQ
INDORAMA,EQ
INDOSOLAR,EQ
INDOSTAR,EQ
INDOTECH,EQ
INDOTHAI,EQ
INDOWIND,EQ
INDRAMEDCO,EQ
INDSWFTLAB,EQ
INDTERRAIN,EQ
INDUSINDBK,EQ
INEOSSTYRO,EQ
INFIBEAM,EQ
INFINITE,EQ
INFRABEES,EQ
INFRATEL,EQ
INFY,EQ
INGERRAND,EQ
INOXLEISUR,EQ
INOXWIND,EQ
INSECTICID,EQ
INTELLECT,EQ
INTENTECH,EQ
INVENTURE,EQ
IOB,EQ
IOC,EQ
IPAPPM,EQ
IPCALAB,EQ
IRB,EQ
ISEC,EQ
ISFT,EQ
ISMTLTD,EQ
ITC,EQ
ITDC,EQ
ITDCEM,EQ
ITI,EQ
IVC,EQ
IVP,EQ
IVRCLINFRA,EQ
IVZINGOLD,EQ
IZMO,EQ
J&KBANK,EQ
JAGRAN,EQ
JAGSNPHARM,EQ
JAIBALAJI,EQ
JAICORPLTD,EQ
JAMNAAUTO,EQ
JAYAGROGN,EQ
JAYBARMARU,EQ
JAYNECOIND,EQ
JAYSREETEA,EQ
JBCHEPHARM,EQ
JBMA,EQ
JCHAC,EQ
JETAIRWAYS,EQ
JHS,EQ
JINDALPHOT,EQ
JINDALPOLY,EQ
JINDALSAW,EQ
JINDALSTEL,EQ
JINDRILL,EQ
JINDWORLD,EQ
JISLDVREQS,EQ
JISLJALEQS,EQ
JKCEMENT,EQ
JKIL,EQ
JKLAKSHMI,EQ
JKPAPER,EQ
JKTYRE,EQ
JMA,EQ
JMCPROJECT,EQ
JMFINANCIL,EQ
JMTAUTOLTD,EQ
JOCIL,EQ
JPASSOCIAT,EQ
JPOLYINVST,EQ
JPPOWER,EQ
JSL,EQ
JSLHISAR,EQ
JSWENERGY,EQ
JSWHL,EQ
JSWSTEEL,EQ
JTEKTINDIA,EQ
JUBILANT,EQ
JUBLFOOD,EQ
JUBLINDS,EQ
JUNIORBEES,EQ
JUSTDIAL,EQ
JVLAGRO,EQ
JYOTHYLAB,EQ
KABRAEXTRU,EQ
KAJARIACER,EQ
KAKATCEM,EQ
KALPATPOWR,EQ
KAMATHOTEL,EQ
KAMDHENU,EQ
KANANIIND,EQ
KANORICHEM,EQ
KANSAINER,EQ
KARDA,EQ
KARMAENG,EQ
KARURVYSYA,EQ
KAUSHALYA,EQ
KAVVERITEL,EQ
KAYA,EQ
KCP,EQ
KCPSUGIND,EQ
KDDL,EQ
KEC,EQ
KECL,EQ
KEI,EQ
KELLTONTEC,EQ
KESARENT,EQ
KESORAMIND,EQ
KHADIM,EQ
KHAITANLTD,EQ
KHANDSE,EQ
KICL,EQ
KILITCH,EQ
KINGFA,EQ
KIOCL,EQ
KIRIINDUS,EQ
KIRLOSBROS,EQ
KIRLOSENG,EQ
KIRLOSIND,EQ
KITEX,EQ
KKCL,EQ
KMSUGAR,EQ
KNRCON,EQ
KOHINOOR,EQ
KOKUYOCMLN,EQ
KOLTEPATIL,EQ
KOPRAN,EQ
KOTAKBANK,EQ
KOTAKBKETF,EQ
KOTAKGOLD,EQ
KOTAKNIFTY,EQ
KOTAKNV20,EQ
KOTAKPSUBK,EQ
KOTARISUG,EQ
KOTHARIPET,EQ
KOTHARIPRO,EQ
KPIT,EQ
KPRMILL,EQ
KRBL,EQ
KRIDHANINF,EQ
KSBPUMPS,EQ
KSCL,EQ
KSK,EQ
KSL,EQ
KTIL,EQ
KTKBANK,EQ
KWALITY,EQ
L&TFH,EQ
LAKPRE,EQ
LAKSHMIEFL,EQ
LAKSHVILAS,EQ
LALPATHLAB,EQ
LAMBODHARA,EQ
LAOPALA,EQ
LASA,EQ
LAURUSLABS,EQ
LAXMIMACH,EQ
LEEL,EQ
LEMONTREE,EQ
LGBBROSLTD,EQ
LIBERTSHOE,EQ
LICHSGFIN,EQ
LICNETFGSC,EQ
LICNETFN50,EQ
LICNETFSEN,EQ
LICNFNHGP,EQ
LINCOLN,EQ
LINCPEN,EQ
LINDEINDIA,EQ
LIQUIDBEES,EQ
LIQUIDETF,EQ
LOKESHMACH,EQ
LOTUSEYE,EQ
LOVABLE,EQ
LPDC,EQ
LSIL,EQ
LT,EQ
LTI,EQ
LTTS,EQ
LUMAXIND,EQ
LUMAXTECH,EQ
LUPIN,EQ
LUXIND,EQ
LYKALABS,EQ
LYPSAGEMS,EQ
M&M,EQ
M&MFIN,EQ
M100,EQ
M50,EQ
MAANALU,EQ
MADHAV,EQ
MADHUCON,EQ
MADRASFERT,EQ
MAGADSUGAR,EQ
MAGMA,EQ
MAGNUM,EQ
MAHABANK,EQ
MAHINDCIE,EQ
MAHLIFE,EQ
MAHLOG,EQ
MAHSCOOTER,EQ
MAHSEAMLES,EQ
MAITHANALL,EQ
MAJESCO,EQ
MANAKALUCO,EQ
MANAKCOAT,EQ
MANAKSIA,EQ
MANAKSTEEL,EQ
MANALIPETC,EQ
MANAPPURAM,EQ
MANGALAM,EQ
MANGCHEFER,EQ
MANGLMCEM,EQ
MANGTIMBER,EQ
MANINDS,EQ
MANINFRA,EQ
MANPASAND,EQ
MANUGRAPH,EQ
MARALOVER,EQ
MARATHON,EQ
MARICO,EQ
MARKSANS,EQ
MARUTI,EQ
MASFIN,EQ
MASTEK,EQ
MATRIMONY,EQ
MAWANASUG,EQ
MAXINDIA,EQ
MAXVIL,EQ
MAYURUNIQ,EQ
MAZDA,EQ
MBLINFRA,EQ
MCDHOLDING,EQ
MCDOWELL-N,EQ
MCLEODRUSS,EQ
MCX,EQ
MEGASOFT,EQ
MEGH,EQ
MENONBE,EQ
MEP,EQ
MERCATOR,EQ
MERCK,EQ
METALFORGE,EQ
METKORE,EQ
MFSL,EQ
MGL,EQ
MHRIL,EQ
MIDHANI,EQ
MINDACORP,EQ
MINDAIND,EQ
MINDTREE,EQ
MIRCELECTR,EQ
MIRZAINT,EQ
MMFL,EQ
MMTC,EQ
MOHITIND,EQ
MOHOTAIND,EQ
MOIL,EQ
MOLDTECH,EQ
MOLDTKPAC,EQ
MONSANTO,EQ
MONTECARLO,EQ
MORARJEE,EQ
MOREPENLAB,EQ
MOTHERSUMI,EQ
MOTILALOFS,EQ
MOTOGENFIN,EQ
MPHASIS,EQ
MPSLTD,EQ
MRF,EQ
MRO-TEK,EQ
MRPL,EQ
MSPL,EQ
MTEDUCARE,EQ
MTNL,EQ
MUKANDENGG,EQ
MUKANDLTD,EQ
MUKTAARTS,EQ
MUNJALAU,EQ
MUNJALSHOW,EQ
MURUDCERA,EQ
MUTHOOTCAP,EQ
MUTHOOTFIN,EQ
N100,EQ
NACLIND,EQ
NAGAFERT,EQ
NAGAROIL,EQ
NAGREEKCAP,EQ
NAGREEKEXP,EQ
NAHARCAP,EQ
NAHARINDUS,EQ
NAHARPOLY,EQ
NAHARSPING,EQ
NATCOPHARM,EQ
NATHBIOGEN,EQ
NATIONALUM,EQ
NATNLSTEEL,EQ
NAUKRI,EQ
NAVINFLUOR,EQ
NAVKARCORP,EQ
NAVNETEDUL,EQ
NBCC,EQ
NBIFIN,EQ
NBVENTURES,EQ
NCC,EQ
NCLIND,EQ
NDGL,EQ
NDL,EQ
NECCLTD,EQ
NECLIFE,EQ
NELCAST,EQ
NESCO,EQ
NESTLEIND,EQ
NETWORK18,EQ
NEULANDLAB,EQ
NEWGEN,EQ
NFL,EQ
NH,EQ
NHPC,EQ
NIACL,EQ
NIBL,EQ
NIFTYBEES,EQ
NIFTYEES,EQ
NIITLTD,EQ
NIITTECH,EQ
NILAINFRA,EQ
NILKAMAL,EQ
NIPPOBATRY,EQ
NITCO,EQ
NITESHEST,EQ
NITINSPIN,EQ
NKIND,EQ
NLCINDIA,EQ
NMDC,EQ
NOCIL,EQ
NOIDATOLL,EQ
NRAIL,EQ
NRBBEARING,EQ
NSIL,EQ
NTPC,EQ
NUCLEUS,EQ
NUTEK,EQ
OBEROIRLTY,EQ
OCCL,EQ
OCL,EQ
OFSS,EQ
OIL,EQ
OILCOUNTUB,EQ
OISL,EQ
OMAXE,EQ
OMKARCHEM,EQ
OMMETALS,EQ
ONGC,EQ
ONMOBILE,EQ
ONWARDTEC,EQ
ORBTEXP,EQ
ORICONENT,EQ
ORIENTABRA,EQ
ORIENTALTL,EQ
ORIENTBANK,EQ
ORIENTBELL,EQ
ORIENTCEM,EQ
ORIENTELEC,EQ
ORIENTHOT,EQ
ORIENTLTD,EQ
ORIENTPPR,EQ
ORIENTREF,EQ
ORISSAMINE,EQ
ORTEL,EQ
ORTINLABSS,EQ
OSWALAGRO,EQ
PAGEIND,EQ
PAISALO,EQ
PALASHSECU,EQ
PALREDTEC,EQ
PANACEABIO,EQ
PANAMAPET,EQ
PAPERPROD,EQ
PARACABLES,EQ
PARAGMILK,EQ
PARSVNATH,EQ
PATELENG,EQ
PATINTLOG,EQ
PATSPINLTD,EQ
PBAINFRA,EQ
PCJEWELLER,EQ
PDMJEPAPER,EQ
PDPL,EQ
PDSMFL,EQ
PEARLPOLY,EQ
PEL,EQ
PENIND,EQ
PENINLAND,EQ
PENPEBS,EQ
PERSISTENT,EQ
PETRONET,EQ
PFC,EQ
PFIZER,EQ
PFOCUS,EQ
PFS,EQ
PGEL,EQ
PGHH,EQ
PGIL,EQ
PHILIPCARB,EQ
PHOENIXLTD,EQ
PIDILITIND,EQ
PIIND,EQ
PILITA,EQ
PIONDIST,EQ
PIONEEREMB,EQ
PITTIENG,EQ
PLASTIBLEN,EQ
PNB,EQ
PNBGILTS,EQ
PNBHOUSING,EQ
PNC,EQ
PNCINFRA,EQ
PODDARHOUS,EQ
PODDARMENT,EQ
POKARNA,EQ
POLARIS,EQ
POLYMED,EQ
POLYPLEX,EQ
PONNIERODE,EQ
POWERGRID,EQ
POWERMECH,EQ
PPAP,EQ
PRABHAT,EQ
PRAENG,EQ
PRAJIND,EQ
PRAKASH,EQ
PRAKASHCON,EQ
PRECAM,EQ
PRECOT,EQ
PRECWIRE,EQ
PREMEXPLN,EQ
PREMIER,EQ
PREMIERPOL,EQ
PRESSMN,EQ
PRESTIGE,EQ
PRICOLLTD,EQ
PRIMESECU,EQ
PROVOGE,EQ
PROZONINTU,EQ
PRSMJOHNSN,EQ
PSB,EQ
PSL,EQ
PSPPROJECT,EQ
PSUBNKBEES,EQ
PTC,EQ
PTL,EQ
PUNJABCHEM,EQ
PUNJLLOYD,EQ
PURVA,EQ
PVP,EQ
PVR,EQ
QGOLDHALF,EQ
QUESS,EQ
QUICKHEAL,EQ
RADICO,EQ
RADIOCITY,EQ
RAJESHEXPO,EQ
RAJSREESUG,EQ
RAJTV,EQ
RALLIS,EQ
RAMANEWS,EQ
RAMASTEEL,EQ
RAMCOCEM,EQ
RAMCOIND,EQ
RAMCOSYS,EQ
RAMKY,EQ
RANASUG,EQ
RANEENGINE,EQ
RANEHOLDIN,EQ
RATNAMANI,EQ
RAYMOND,EQ
RBL,EQ
RBLBANK,EQ
RCF,EQ
RCOM,EQ
RECLTD,EQ
REDINGTON,EQ
REFEX,EQ
RELAXO,EQ
RELCAPITAL,EQ
RELCNX100,EQ
RELCONS,EQ
RELDIVOPP,EQ
RELIANCE,EQ
RELIGARE,EQ
RELINFRA,EQ
RELNV20,EQ
REMSONSIND,EQ
RENUKA,EQ
REPCOHOME,EQ
REPRO,EQ
RESPONIND,EQ
REVATHI,EQ
RHFL,EQ
RICOAUTO,EQ
RIIL,EQ
RITES,EQ
RJL,EQ
RKDL,EQ
RKFORGE,EQ
RMCL,EQ
RML,EQ
RNAM,EQ
RNAVAL,EQ
ROHITFERRO,EQ
ROHLTD,EQ
ROLLT,EQ
ROLTA,EQ
ROSSELLIND,EQ
RPGLIFE,EQ
RPOWER,EQ
RPPINFRA,EQ
RRSLGETF,EQ
RSSOFTWARE,EQ
RSWM,EQ
RSYSTEMS,EQ
RTNINFRA,EQ
RTNPOWER,EQ
RUBYMILLS,EQ
RUCHIRA,EQ
RUCHISOYA,EQ
RUPA,EQ
RUSHIL,EQ
SABTN,EQ
SADBHAV,EQ
SADBHIN,EQ
SAGCEM,EQ
SAIL,EQ
SAKHTISUG,EQ
SAKSOFT,EQ
SAKUMA,EQ
SALASAR,EQ
SALONA,EQ
SALORAINTL,EQ
SALSTEEL,EQ
SALZERELEC,EQ
SAMBHAAV,EQ
SANCO,EQ
SANDESH,EQ
SANDHAR,EQ
SANGAMIND,EQ
SANGHIIND,EQ
SANGHVIFOR,EQ
SANGHVIMOV,EQ
SANOFI,EQ
SANWARIA,EQ
SARDAEN,EQ
SAREGAMA,EQ
SARLAPOLY,EQ
SASKEN,EQ
SASTASUNDR,EQ
SATHAISPAT,EQ
SATIN,EQ
SBILIFE,EQ
SBIN,EQ
SCAPDVR,EQ
SCHAEFFLER,EQ
SCHAND,EQ
SCHNEIDER,EQ
SCI,EQ
SDBL,EQ
SEAMECLTD,EQ
SELAN,EQ
SELMCL,EQ
SEPOWER,EQ
SEQUENT,EQ
SESHAPAPER,EQ
SETCO,EQ
SETFGOLD,EQ
SETFNIF50,EQ
SETFNIFBK,EQ
SETFNN50,EQ
SFL,EQ
SGL,EQ
SHAHALLOYS,EQ
SHAKTIPUMP,EQ
SHALBY,EQ
SHALPAINTS,EQ
SHANKARA,EQ
SHANTIGEAR,EQ
SHARDACROP,EQ
SHARDAMOTR,EQ
SHARIABEES,EQ
SHEMAROO,EQ
SHILPAMED,EQ
SHIRPUR-G,EQ
SHIVAMAUTO,EQ
SHIVAMILLS,EQ
SHIVATEX,EQ
SHK,EQ
SHOPERSTOP,EQ
SHREECEM,EQ
SHREEPUSHK,EQ
SHREERAMA,EQ
SHREYANIND,EQ
SHREYAS,EQ
SHRIRAMCIT,EQ
SHRIRAMEPC,EQ
SICAGEN,EQ
SICAL,EQ
SIEMENS,EQ
SIGNET,EQ
SILINV,EQ
SIMBHALS,EQ
SIMPLEX,EQ
SIMPLEXINF,EQ
SINTEX,EQ
SIS,EQ
SITINET,EQ
SIYSIL,EQ
SJVN,EQ
SKFINDIA,EQ
SKIL,EQ
SKIPPER,EQ
SKMEGGPROD,EQ
SMARTLINK,EQ
SMLISUZU,EQ
SMSLIFE,EQ
SMSPHARMA,EQ
SNOWMAN,EQ
SOBHA,EQ
SOLARA,EQ
SOLARINDS,EQ
SOMANYCERA,EQ
SOMICONVEY,EQ
SONATSOFTW,EQ
SOTL,EQ
SOUTHBANK,EQ
