Date,PNBHOUSING
2017-11-14,1355.55
2017-11-15,1316.4
2017-11-16,1332.25
2017-11-17,1374.25
2017-11-20,1389.85
2017-11-21,1389.45
2017-11-22,1388.8
2017-11-23,1382.85
2017-11-24,1375.5
2017-11-27,1387.6
2017-11-28,1344.45
2017-11-29,1333.95
2017-11-30,1341.0
2017-12-01,1332.1
2017-12-04,1329.85
2017-12-05,1304.65
2017-12-06,1319.4
2017-12-07,1340.55
2017-12-08,1342.3
2017-12-11,1340.0
2017-12-12,1339.35
2017-12-13,1329.6
2017-12-14,1338.95
2017-12-15,1339.35
2017-12-18,1330.8
2017-12-19,1374.55
2017-12-20,1354.55
2017-12-21,1371.6
2017-12-22,1348.6
2017-12-26,1334.85
2017-12-27,1327.65
2017-12-28,1313.4
2017-12-29,1340.35
