Date,ADVENZYMES
2017-10-26,259.2
2017-10-27,264.95
2017-10-30,266.8
2017-10-31,271.8
2017-11-01,271.1
2017-11-02,271.15
2017-11-03,270.9
2017-11-06,270.1
2017-11-07,271.95
2017-11-08,268.45
2017-11-09,266.95
2017-11-10,267.3
2017-11-13,267.95
2017-11-14,268.15
2017-11-15,265.2
2017-11-16,267.35
2017-11-17,265.35
2017-11-20,265.4
2017-11-21,265.7
2017-11-22,265.15
2017-11-23,265.35
2017-11-24,265.2
2017-11-27,265.5
2017-11-28,265.2
2017-11-29,265.05
2017-11-30,276.6
2017-12-01,289.75
2017-12-04,289.0
2017-12-05,278.35
2017-12-06,271.0
2017-12-07,287.0
2017-12-08,283.3
2017-12-11,286.9
2017-12-12,282.05
2017-12-13,281.4
2017-12-14,281.8
2017-12-15,281.9
2017-12-18,282.55
2017-12-19,285.3
2017-12-20,282.15
2017-12-21,281.95
2017-12-22,282.55
2017-12-26,281.9
2017-12-27,282.0
2017-12-28,277.95
2017-12-29,277.45
