Date,DFMFOODS
2017-05-15,1665.8
2017-05-16,1674.15
2017-05-17,1663.85
2017-05-18,1611.05
2017-05-19,1607.5
2017-05-22,1576.9
2017-05-23,1489.35
2017-05-24,1489.35
2017-05-25,1493.65
2017-05-26,1410.0
2017-05-29,1297.15
2017-05-30,1215.4
2017-05-31,1212.5
2017-06-01,1196.15
2017-06-02,1173.75
2017-06-05,1172.95
2017-06-06,1157.5
2017-06-07,1130.75
2017-06-08,1356.9
2017-06-09,1322.0
2017-06-12,1282.55
2017-06-13,1264.5
2017-06-14,1208.15
2017-06-15,1205.1
2017-06-16,1259.7
2017-06-19,1348.45
2017-06-20,1399.65
2017-06-21,1399.8
2017-06-22,1411.1
2017-06-23,1372.45
2017-06-27,1389.1
2017-06-28,1422.15
2017-06-29,1463.6
2017-06-30,1447.75
2017-07-03,1432.75
2017-07-04,1387.9
2017-07-05,1374.8
2017-07-06,1367.2
2017-07-07,1371.9
2017-07-10,1382.75
2017-07-11,1383.65
2017-07-12,1382.6
2017-07-13,1405.25
2017-07-14,1421.5
2017-07-17,1511.75
2017-07-18,1549.85
2017-07-19,1520.3
2017-07-20,1557.2
2017-07-21,1561.05
2017-07-24,1563.75
2017-07-25,1522.25
2017-07-26,1519.85
2017-07-27,1509.5
2017-07-28,1505.6
2017-07-31,1602.05
2017-08-01,1606.9
2017-08-02,1573.15
2017-08-03,1541.3
2017-08-04,1529.85
2017-08-07,1605.3
2017-08-08,1583.85
2017-08-09,1596.9
2017-08-10,1420.9
2017-08-11,1394.45
2017-08-14,1383.95
2017-08-16,1449.1
2017-08-17,1422.1
2017-08-18,1418.25
2017-08-21,1377.2
2017-08-22,1347.7
2017-08-23,1402.85
2017-08-24,1406.95
2017-08-28,1399.1
2017-08-29,1393.05
2017-08-30,1382.6
2017-08-31,1369.2
2017-09-01,1393.1
2017-09-04,1319.75
2017-09-05,1368.1
2017-09-06,1407.9
2017-09-07,1420.8
2017-09-08,1405.3
2017-09-11,1393.4
2017-09-12,1390.2
2017-09-13,1355.2
2017-09-14,1376.7
2017-09-15,1365.65
2017-09-18,1370.8
2017-09-19,1434.25
2017-09-20,1476.3
2017-09-21,1399.7
2017-09-22,1329.7
2017-09-25,1298.55
2017-09-26,1343.6
2017-09-27,1354.75
2017-09-28,1366.5
2017-09-29,1388.25
2017-10-03,1412.1
2017-10-04,1462.9
2017-10-05,1485.95
2017-10-06,1506.75
2017-10-09,1478.3
2017-10-10,1494.75
2017-10-11,1503.9
2017-10-12,1589.5
2017-10-13,1578.5
2017-10-16,1558.2
2017-10-17,1569.9
2017-10-18,1555.9
2017-10-19,1561.8
2017-10-23,1558.05
2017-10-24,1611.3
2017-10-25,1621.7
2017-10-26,1678.2
2017-10-27,1721.2
2017-10-30,1749.0
2017-10-31,1925.3
2017-11-01,1917.55
2017-11-02,1878.9
2017-11-03,1915.15
2017-11-06,1899.65
2017-11-07,1901.05
2017-11-08,1941.05
2017-11-09,2000.85
2017-11-10,1909.75
2017-11-13,1936.05
2017-11-14,1933.55
2017-11-15,1899.35
2017-11-16,1939.95
2017-11-17,1951.95
2017-11-20,1947.2
2017-11-21,1931.5
2017-11-22,1953.95
2017-11-23,1952.65
2017-11-24,1952.7
2017-11-27,1956.25
2017-11-28,1970.85
2017-11-29,2015.3
2017-11-30,2001.25
2017-12-01,2053.85
2017-12-04,2043.55
2017-12-05,2066.2
2017-12-06,2071.5
2017-12-07,2055.5
2017-12-08,2043.8
2017-12-11,2041.45
2017-12-12,1994.35
2017-12-13,1904.0
2017-12-14,1923.85
2017-12-15,1905.45
2017-12-18,1975.2
2017-12-19,1976.55
2017-12-20,1998.2
2017-12-21,1975.9
2017-12-22,2013.35
2017-12-26,2005.7
2017-12-27,1999.9
2017-12-28,1948.7
2017-12-29,1982.7
