Date,BLS
2017-05-29,188.2
2017-05-30,185.55
2017-05-31,189.35
2017-06-01,191.75
2017-06-02,187.15
2017-06-05,187.45
2017-06-06,180.7
2017-06-07,182.6
2017-06-08,188.95
2017-06-09,185.85
2017-06-12,188.75
2017-06-13,188.1
2017-06-14,188.3
2017-06-15,186.65
2017-06-16,187.8
2017-06-19,187.9
2017-06-20,186.3
2017-06-21,194.1
2017-06-22,191.75
2017-06-23,186.6
2017-06-27,181.2
2017-06-28,191.05
2017-06-29,191.7
2017-06-30,193.4
2017-07-03,193.85
2017-07-04,212.4
2017-07-05,214.65
2017-07-06,203.8
2017-07-07,204.1
2017-07-10,200.35
2017-07-11,203.05
2017-07-12,201.7
2017-07-13,199.75
2017-07-14,197.3
2017-07-17,195.8
2017-07-18,193.05
2017-07-19,199.25
2017-07-20,196.25
2017-07-21,196.3
2017-07-24,195.35
2017-07-25,195.3
2017-07-26,193.1
2017-07-27,190.45
2017-07-28,195.05
2017-07-31,202.25
2017-08-01,200.55
2017-08-02,196.15
2017-08-03,192.1
2017-08-04,193.55
2017-08-07,188.55
2017-08-08,179.1
2017-08-09,183.95
2017-08-10,179.2
2017-08-11,179.8
2017-08-14,179.65
2017-08-16,182.7
2017-08-17,183.7
2017-08-18,180.45
2017-08-21,179.6
2017-08-22,178.5
2017-08-23,210.65
2017-08-24,216.9
2017-08-28,222.0
2017-08-29,217.45
2017-08-30,214.3
2017-08-31,224.2
2017-09-01,231.7
2017-09-04,226.4
2017-09-05,227.4
2017-09-06,227.5
2017-09-07,226.95
2017-09-08,226.75
2017-09-11,229.55
2017-09-12,237.45
2017-09-13,239.15
2017-09-14,248.1
2017-09-15,262.05
2017-09-18,265.65
2017-09-19,260.95
2017-09-20,272.55
2017-09-21,266.6
2017-09-22,251.95
2017-09-25,244.55
2017-09-26,243.95
2017-09-27,231.0
2017-09-28,245.15
2017-09-29,246.95
2017-10-03,240.95
2017-10-04,245.6
2017-10-05,243.7
2017-10-06,247.8
2017-10-09,259.25
2017-10-10,259.45
2017-10-11,247.1
2017-10-12,262.7
2017-10-13,258.3
2017-10-16,263.85
2017-10-17,260.65
2017-10-18,261.15
2017-10-19,259.55
2017-10-23,257.6
2017-10-24,255.1
2017-10-25,261.4
2017-10-26,258.45
2017-10-27,256.3
2017-10-30,254.95
2017-10-31,255.5
2017-11-01,249.25
2017-11-02,251.5
2017-11-03,252.8
2017-11-06,267.65
2017-11-07,263.15
2017-11-08,263.25
2017-11-09,269.8
2017-11-10,256.15
2017-11-13,245.6
2017-11-14,246.5
2017-11-15,239.05
2017-11-16,245.5
2017-11-17,244.8
2017-11-20,245.0
2017-11-21,245.05
2017-11-22,242.45
2017-11-23,246.2
2017-11-24,246.55
2017-11-27,244.1
2017-11-28,241.65
2017-11-29,240.1
2017-11-30,236.9
2017-12-01,237.35
2017-12-04,233.95
2017-12-05,230.4
2017-12-06,228.45
2017-12-07,234.8
2017-12-08,236.45
2017-12-11,241.1
2017-12-12,241.85
2017-12-13,233.05
2017-12-14,234.7
2017-12-15,237.75
2017-12-18,244.6
2017-12-19,244.85
2017-12-20,259.8
2017-12-21,262.0
2017-12-22,263.75
2017-12-26,267.95
2017-12-27,261.6
2017-12-28,263.9
2017-12-29,263.45
