Date,INFIBEAM
2017-08-17,1414.95
2017-08-18,1418.55
2017-08-21,1395.6
2017-08-22,1389.1
2017-08-23,1405.4
2017-08-24,1435.5
2017-08-28,1452.05
2017-08-29,1442.05
2017-08-30,1470.3
2017-08-31,149.65
2017-09-01,143.4
2017-09-04,143.0
2017-09-05,146.1
2017-09-06,143.7
2017-09-07,146.65
2017-09-08,145.65
2017-09-11,144.55
2017-09-12,144.4
2017-09-13,144.7
2017-09-14,144.5
2017-09-15,146.95
2017-09-18,158.85
2017-09-19,154.6
2017-09-20,152.05
2017-09-21,149.5
2017-09-22,143.4
2017-09-25,119.85
2017-09-26,125.85
2017-09-27,124.65
2017-09-28,128.9
2017-09-29,128.6
2017-10-03,126.9
2017-10-04,126.25
2017-10-05,126.4
2017-10-06,127.0
2017-10-09,126.0
2017-10-10,126.55
2017-10-11,125.2
2017-10-12,126.0
2017-10-13,128.0
2017-10-16,126.7
2017-10-17,128.85
2017-10-18,131.5
2017-10-19,131.15
2017-10-23,128.2
2017-10-24,129.85
2017-10-25,127.6
2017-10-26,130.75
2017-10-27,128.2
2017-10-30,127.0
2017-10-31,127.1
2017-11-01,131.7
2017-11-02,157.95
2017-11-03,167.9
2017-11-06,186.95
2017-11-07,185.9
2017-11-08,183.95
2017-11-09,178.35
2017-11-10,178.4
2017-11-13,178.4
2017-11-14,176.9
2017-11-15,175.85
2017-11-16,179.25
2017-11-17,180.15
2017-11-20,180.0
2017-11-21,178.45
2017-11-22,178.05
2017-11-23,176.8
2017-11-24,174.95
2017-11-27,173.2
2017-11-28,172.95
2017-11-29,172.15
2017-11-30,170.05
2017-12-01,165.15
2017-12-04,164.4
2017-12-05,162.05
2017-12-06,163.5
2017-12-07,161.35
2017-12-08,162.7
2017-12-11,162.25
2017-12-12,161.45
2017-12-13,160.9
2017-12-14,160.05
2017-12-15,163.4
2017-12-18,164.1
2017-12-19,164.65
2017-12-20,164.05
2017-12-21,162.4
2017-12-22,163.15
2017-12-26,165.6
2017-12-27,165.7
2017-12-28,163.8
2017-12-29,141.15
