Date,OCCL
2017-06-13,977.85
2017-06-14,959.3
2017-06-15,957.7
2017-06-16,951.5
2017-06-19,985.95
2017-06-20,984.85
2017-06-21,986.3
2017-06-22,968.05
2017-06-23,955.9
2017-06-27,936.55
2017-06-28,955.75
2017-06-29,954.9
2017-06-30,981.7
2017-07-03,1013.1
2017-07-04,1024.1
2017-07-05,1027.3
2017-07-06,1191.85
2017-07-07,1170.0
2017-07-10,1204.2
2017-07-11,1185.55
2017-07-12,1210.7
2017-07-13,1348.1
2017-07-14,1370.55
2017-07-17,1336.45
2017-07-18,1315.0
2017-07-19,1323.1
2017-07-20,1333.8
2017-07-21,1326.25
2017-07-24,1323.55
2017-07-25,1282.85
2017-07-26,1312.15
2017-07-27,1304.4
2017-07-28,1279.45
2017-07-31,1307.55
2017-08-01,1275.65
2017-08-02,1261.4
2017-08-03,1224.4
2017-08-04,1209.2
2017-08-07,1209.6
2017-08-08,1186.65
2017-08-09,1152.0
2017-08-10,1181.9
2017-08-11,1171.75
2017-08-14,1170.15
2017-08-16,1198.2
2017-08-17,1254.35
2017-08-18,1218.1
2017-08-21,1220.1
2017-08-22,1201.6
2017-08-23,1217.95
2017-08-24,1215.95
2017-08-28,1204.7
2017-08-29,1201.7
2017-08-30,1229.65
2017-08-31,1225.5
2017-09-01,1215.35
2017-09-04,1203.1
2017-09-05,1226.8
2017-09-06,1216.15
2017-09-07,1199.7
2017-09-08,1185.55
2017-09-11,1158.45
2017-09-12,1181.1
2017-09-13,1165.1
2017-09-14,1151.3
2017-09-15,1148.55
2017-09-18,1245.55
2017-09-19,1228.7
2017-09-20,1234.25
2017-09-21,1243.65
2017-09-22,1231.85
2017-09-25,1225.35
2017-09-26,1247.75
2017-09-27,1228.85
2017-09-28,1210.95
2017-09-29,1212.2
2017-10-03,1248.45
2017-10-04,1301.0
2017-10-05,1410.3
2017-10-06,1412.1
2017-10-09,1397.25
2017-10-10,1364.65
2017-10-11,1326.05
2017-10-12,1344.35
2017-10-13,1384.5
2017-10-16,1399.25
2017-10-17,1378.9
2017-10-18,1360.95
2017-10-19,1391.5
2017-10-23,1369.25
2017-10-24,1346.15
2017-10-25,1339.7
2017-10-26,1343.45
2017-10-27,1334.0
2017-10-30,1329.75
2017-10-31,1310.05
2017-11-01,1303.95
2017-11-02,1324.05
2017-11-03,1301.3
2017-11-06,1336.4
2017-11-07,1324.1
2017-11-08,1339.45
2017-11-09,1332.3
2017-11-10,1320.1
2017-11-13,1302.35
2017-11-14,1346.0
2017-11-15,1302.6
2017-11-16,1317.2
2017-11-17,1329.75
2017-11-20,1324.7
2017-11-21,1316.45
2017-11-22,1301.95
2017-11-23,1299.05
2017-11-24,1347.65
2017-11-27,1312.5
2017-11-28,1320.2
2017-11-29,1278.05
2017-11-30,1272.95
2017-12-01,1244.4
2017-12-04,1221.4
2017-12-05,1188.45
2017-12-06,1185.45
2017-12-07,1212.35
2017-12-08,1176.2
2017-12-11,1199.35
2017-12-12,1236.5
2017-12-13,1207.85
2017-12-14,1192.2
2017-12-15,1269.95
2017-12-18,1227.25
2017-12-19,1216.15
2017-12-20,1221.05
2017-12-21,1266.2
2017-12-22,1265.55
2017-12-26,1247.6
2017-12-27,1225.55
2017-12-28,1241.0
2017-12-29,1238.8
