Date,MANAKALUCO
2015-10-06,3.8
2015-10-07,4.1
2015-10-08,4.15
2015-10-09,3.9
2015-10-12,4.05
2015-10-13,4.05
2015-10-14,4.15
2015-10-15,4.05
2015-10-16,3.95
2015-10-19,4.0
2015-10-20,3.9
2015-10-21,3.95
2015-10-23,3.85
2015-10-26,4.15
2015-10-27,3.8
2015-10-28,3.8
2015-10-29,3.9
2015-10-30,3.95
2015-11-02,4.0
2015-11-03,4.05
2015-11-04,4.2
2015-11-05,4.4
2015-11-06,4.35
2015-11-09,4.3
2015-11-10,3.75
2015-11-11,3.55
2015-11-13,3.9
2015-11-16,3.65
2015-11-17,4.35
2015-11-18,5.2
2015-11-19,5.6
2015-11-20,5.45
2015-11-23,5.95
2015-11-24,6.45
2015-11-26,6.4
2015-11-27,5.8
2015-11-30,5.9
2015-12-01,5.45
2015-12-02,5.35
2015-12-03,5.6
2015-12-04,5.4
2015-12-07,5.95
2015-12-08,6.0
2015-12-09,6.2
2015-12-10,6.25
2015-12-11,5.95
2015-12-14,5.7
2015-12-15,5.45
2015-12-16,5.35
2015-12-17,5.15
2015-12-18,5.3
2015-12-21,5.25
2015-12-22,5.15
2015-12-23,5.25
2015-12-24,5.3
2015-12-28,5.85
2015-12-29,5.7
2015-12-30,5.5
2015-12-31,5.75
2016-01-01,5.7
2016-01-04,5.25
2016-01-05,5.25
2016-01-06,5.45
2016-01-07,5.0
2016-01-08,4.6
2016-01-11,5.3
2016-01-12,5.25
2016-01-13,5.2
2016-01-14,5.3
2016-01-15,4.75
2016-01-18,3.85
2016-01-19,4.15
2016-01-20,4.2
2016-01-21,4.1
2016-01-22,3.7
2016-01-25,3.75
2016-01-27,3.45
2016-01-28,3.55
2016-01-29,3.85
2016-02-01,3.85
2016-02-02,3.65
2016-02-03,3.95
2016-02-04,3.85
2016-02-05,3.9
2016-02-08,3.65
2016-02-09,3.85
2016-02-10,3.7
2016-02-11,3.3
2016-02-12,3.1
2016-02-15,3.5
2016-02-16,3.3
2016-02-17,3.35
2016-02-18,3.7
2016-02-19,3.35
2016-02-22,3.2
2016-02-23,3.1
2016-02-24,3.1
2016-02-25,3.45
2016-02-26,3.45
2016-02-29,3.55
2016-03-01,3.45
2016-03-02,3.25
2016-03-03,3.25
2016-03-04,3.15
2016-03-08,3.55
2016-03-09,3.35
2016-03-10,3.45
2016-03-11,3.4
2016-03-14,3.5
2016-03-15,3.15
2016-03-16,3.15
2016-03-17,3.1
2016-03-18,2.95
2016-03-21,3.2
2016-03-22,3.45
2016-03-23,3.25
2016-03-28,3.1
2016-03-29,3.0
2016-03-30,3.0
2016-03-31,3.0
2016-04-04,3.1
2016-04-05,3.1
2016-04-06,3.0
2016-04-07,3.0
2016-04-08,3.25
2016-04-11,3.1
2016-04-12,3.1
2016-04-13,3.3
2016-04-18,3.1
2016-04-20,3.25
2016-04-21,3.3
2016-04-22,3.55
2016-04-25,3.25
2016-04-26,3.5
2016-04-27,3.35
2016-04-28,3.5
2016-04-29,3.5
2016-05-02,3.7
2016-05-03,3.6
2016-05-04,3.45
2016-05-05,3.75
2016-05-06,3.65
2016-05-09,3.55
2016-05-10,3.5
2016-05-11,3.5
2016-05-12,3.4
2016-05-13,3.45
2016-05-16,3.4
2016-05-17,3.45
2016-05-18,3.85
2016-05-19,3.85
2016-05-20,3.65
2016-05-23,3.7
2016-05-24,3.6
2016-05-25,3.6
2016-05-26,3.8
2016-05-27,3.7
2016-05-30,3.65
2016-05-31,3.8
2016-06-01,3.55
2016-06-02,3.5
2016-06-03,3.85
2016-06-06,3.65
2016-06-07,3.4
2016-06-08,3.35
2016-06-09,3.35
2016-06-10,3.4
2016-06-13,3.55
2016-06-14,3.55
2016-06-15,3.5
2016-06-16,3.7
2016-06-17,3.55
2016-06-20,3.85
2016-06-21,4.6
2016-06-22,4.9
2016-06-23,4.75
2016-06-24,4.45
2016-06-27,4.6
2016-06-28,4.15
2016-06-29,4.2
2016-06-30,4.2
2016-07-01,4.25
2016-07-04,4.25
2016-07-05,4.35
2016-07-07,4.35
2016-07-08,4.5
2016-07-11,4.5
2016-07-12,4.95
2016-07-13,5.4
2016-07-14,5.9
2016-07-15,5.65
2016-07-18,5.4
2016-07-19,5.15
2016-07-20,5.0
2016-07-21,4.95
2016-07-22,4.9
2016-07-25,4.95
2016-07-26,4.95
2016-07-27,4.9
2016-07-28,5.0
2016-07-29,4.9
2016-08-01,4.9
2016-08-02,4.9
2016-08-03,5.1
2016-08-04,5.35
2016-08-05,5.35
2016-08-08,5.6
2016-08-09,5.85
2016-08-10,5.85
2016-08-11,6.1
2016-08-12,5.8
2016-08-16,5.55
2016-08-17,5.3
2016-08-18,5.05
2016-08-19,4.9
2016-08-22,5.1
2016-08-23,4.85
2016-08-24,5.05
2016-08-25,4.9
2016-08-26,5.0
2016-08-29,4.85
2016-08-30,4.8
2016-08-31,4.65
2016-09-01,4.75
2016-09-02,4.7
2016-09-06,4.7
2016-09-07,4.7
2016-09-08,4.9
2016-09-09,5.1
2016-09-12,4.9
2016-09-14,4.7
2016-09-15,5.0
2016-09-16,4.85
2016-09-19,5.15
2016-09-20,4.95
2016-09-21,5.15
2016-09-22,5.3
2016-09-23,5.3
2016-09-26,5.15
2016-09-27,5.1
2016-09-28,5.45
2016-09-29,4.95
2016-09-30,5.05
2016-10-03,5.05
2016-10-04,5.3
2016-10-05,5.25
2016-10-06,5.3
2016-10-07,4.95
2016-10-10,5.45
2016-10-13,5.55
2016-10-14,5.75
2016-10-17,5.45
2016-10-18,5.05
2016-10-19,5.55
2016-10-20,5.4
2016-10-21,5.3
2016-10-24,6.35
2016-10-25,6.75
2016-10-26,6.3
2016-10-27,6.7
2016-10-28,6.35
2016-10-30,6.3
2016-11-01,6.2
2016-11-02,6.05
2016-11-03,6.35
2016-11-04,5.8
2016-11-07,6.5
2016-11-08,6.45
2016-11-09,5.5
2016-11-10,5.05
2016-11-11,5.05
2016-11-15,5.1
2016-11-16,4.8
2016-11-17,4.85
2016-11-18,4.95
2016-11-21,4.65
2016-11-22,4.55
2016-11-23,4.55
2016-11-24,4.5
2016-11-25,4.7
2016-11-28,5.2
2016-11-29,5.65
2016-11-30,6.1
2016-12-01,5.55
2016-12-02,5.55
2016-12-05,5.45
2016-12-06,5.75
2016-12-07,5.65
2016-12-08,5.7
2016-12-09,5.95
2016-12-12,5.7
2016-12-13,5.85
2016-12-14,5.55
2016-12-15,5.65
2016-12-16,5.85
2016-12-19,5.65
2016-12-20,5.7
2016-12-21,5.45
2016-12-22,5.55
2016-12-23,5.4
2016-12-26,5.15
2016-12-27,5.15
2016-12-28,5.1
2016-12-29,5.05
2016-12-30,5.4
2017-01-02,5.4
2017-01-03,5.4
2017-01-04,5.5
2017-01-05,5.25
2017-01-06,5.15
2017-01-09,5.35
2017-01-10,5.5
2017-01-11,5.5
2017-01-12,5.3
2017-01-13,5.25
2017-01-16,5.2
2017-01-17,5.15
2017-01-18,5.15
2017-01-19,5.2
2017-01-20,5.35
2017-01-23,5.1
2017-01-24,5.55
2017-01-25,6.3
2017-01-27,6.15
2017-01-30,5.95
2017-01-31,6.1
2017-02-01,6.0
2017-02-02,6.1
2017-02-03,6.15
2017-02-06,6.25
2017-02-07,6.1
2017-02-08,5.95
2017-02-09,7.1
2017-02-10,8.5
2017-02-13,8.4
2017-02-14,7.75
2017-02-15,7.4
2017-05-30,6.2
2017-05-31,6.1
2017-06-01,6.25
2017-06-02,6.1
2017-06-05,6.05
2017-06-06,6.15
2017-06-07,6.25
2017-06-08,6.4
2017-06-09,6.2
2017-06-12,6.0
2017-06-13,6.3
2017-06-14,6.0
2017-06-15,6.15
2017-06-16,6.15
2017-06-19,6.15
2017-06-20,6.05
2017-06-21,6.1
2017-06-22,6.05
2017-06-23,6.05
2017-06-27,6.15
2017-06-28,6.15
2017-06-29,6.2
2017-06-30,6.5
2017-07-03,6.3
2017-07-04,6.45
2017-07-05,6.25
2017-07-06,6.85
2017-07-07,6.9
2017-07-10,6.9
2017-07-11,7.55
2017-07-12,8.3
2017-07-13,8.65
2017-07-14,8.25
2017-07-17,7.85
2017-07-18,7.5
2017-07-19,7.3
2017-08-23,6.55
2017-08-24,6.85
2017-08-28,7.1
2017-08-29,7.1
2017-08-30,7.15
2017-08-31,7.0
2017-09-01,7.35
2017-09-04,7.7
2017-09-05,8.05
2017-09-06,8.45
2017-09-07,8.75
2017-09-08,8.65
2017-09-11,8.45
2017-09-12,8.25
2017-09-13,8.1
2017-09-14,7.95
2017-09-15,8.3
2017-09-18,8.0
2017-09-19,8.4
2017-09-20,8.55
2017-09-21,8.95
2017-09-22,8.85
2017-09-25,8.8
2017-09-26,8.95
2017-09-27,8.6
2017-09-28,8.45
2017-09-29,8.4
2017-10-03,8.5
2017-10-04,8.6
2017-10-05,8.25
2017-10-06,8.3
2017-10-09,7.85
2017-10-10,7.9
2017-10-11,8.1
2017-10-12,8.15
2017-10-13,7.85
2017-10-16,8.05
2017-10-17,7.95
2017-10-18,7.85
2017-10-19,8.05
2017-10-23,8.05
2017-10-24,8.25
2017-10-25,8.1
2017-10-26,8.0
2017-10-27,7.95
2017-10-30,8.7
2017-10-31,9.55
2017-11-01,10.5
2017-11-02,11.0
2017-11-03,10.55
2017-11-06,10.05
2017-11-07,10.15
2017-11-08,9.95
2017-11-09,9.85
2017-11-10,9.95
2017-11-13,10.25
2017-11-14,10.0
2017-11-15,9.9
2017-11-16,10.0
2017-11-17,10.1
2017-11-20,10.6
2017-11-21,10.85
2017-11-22,10.6
2017-11-23,11.1
2017-11-24,11.65
2017-11-27,11.8
2017-11-28,11.35
2017-11-29,11.9
2017-11-30,11.6
2017-12-01,11.6
2017-12-04,11.05
2017-12-05,10.65
2017-12-06,10.4
2017-12-07,10.7
2017-12-08,10.8
2017-12-11,10.85
2017-12-12,11.3
2017-12-13,11.45
2017-12-14,11.65
2017-12-15,12.05
2017-12-18,12.85
2017-12-19,14.05
2017-12-20,15.15
2017-12-21,15.9
2017-12-22,16.05
2017-12-26,15.7
2017-12-27,14.95
2017-12-28,14.25
2017-12-29,14.85
