Date,VSSL
2015-12-10,47.05
2015-12-11,46.85
2015-12-14,54.7
2015-12-15,65.6
2015-12-16,59.05
2015-12-17,58.25
2015-12-18,59.05
2015-12-21,58.35
2015-12-22,59.05
2015-12-23,57.9
2015-12-24,56.2
2015-12-28,56.5
2015-12-29,57.0
2015-12-30,57.95
2015-12-31,57.35
2016-01-01,58.1
2016-01-04,57.75
2016-01-05,57.7
2016-01-06,59.0
2016-01-07,53.85
2016-01-08,56.65
2016-01-11,54.15
2016-01-12,55.75
2016-01-13,52.65
2016-01-14,50.25
2016-01-15,48.95
2016-01-18,43.95
2016-01-19,44.0
2016-01-20,43.55
2016-01-21,40.3
2016-01-22,45.5
2016-01-25,54.6
2016-01-27,53.55
2016-01-28,52.6
2016-01-29,56.15
2016-02-01,55.2
2016-02-02,54.95
2016-02-03,51.7
2016-02-04,50.0
2016-02-05,50.95
2016-02-08,53.05
2016-02-09,51.5
2016-02-10,52.2
2016-02-11,46.05
2016-02-12,48.0
2016-02-15,51.55
2016-02-16,47.75
2016-02-17,46.95
2016-02-18,47.3
2016-02-19,46.75
2016-02-22,47.5
2016-02-23,46.5
2016-02-24,45.05
2016-02-25,44.75
2016-02-26,44.75
2016-02-29,45.0
2016-03-01,48.1
2016-03-02,49.9
2016-03-03,49.0
2016-03-04,50.9
2016-03-08,55.55
2016-03-09,54.5
2016-03-10,54.0
2016-03-11,52.15
2016-03-14,54.85
2016-03-15,53.3
2016-03-16,52.6
2016-03-17,53.0
2016-03-18,53.25
2016-03-21,52.05
2016-03-22,54.95
2016-03-23,52.5
2016-03-28,52.25
2016-03-29,54.1
2016-03-30,54.0
2016-03-31,52.6
2016-04-01,53.0
2016-04-04,56.0
2016-04-05,55.5
2016-04-06,53.05
2016-04-07,54.45
2016-04-08,56.5
2016-04-11,55.7
2016-04-12,56.05
2016-04-13,56.9
2016-04-18,56.85
2016-04-20,57.35
2016-04-21,57.7
2016-04-22,56.0
2016-04-25,54.5
2016-04-26,55.0
2016-04-27,56.0
2016-04-28,57.05
2016-04-29,59.25
2016-05-02,56.7
2016-05-03,57.95
2016-05-04,58.3
2016-05-05,58.8
2016-05-06,56.5
2016-05-09,58.1
2016-05-10,58.6
2016-05-11,59.3
2016-05-12,58.15
2016-05-13,56.95
2016-05-16,57.05
2016-05-17,56.55
2016-05-18,55.9
2016-05-19,57.3
2016-05-20,58.5
2016-05-23,59.4
2016-05-24,59.05
2016-05-25,59.2
2016-05-26,58.6
2016-05-27,59.15
2016-05-30,57.8
2016-05-31,56.55
2016-06-01,58.35
2016-06-02,57.4
2016-06-03,57.75
2016-06-06,58.6
2016-06-07,57.8
2016-06-08,61.65
2016-06-09,71.65
2016-06-10,77.1
2016-06-13,75.45
2016-06-14,77.15
2016-06-15,80.15
2016-06-16,77.65
2016-06-17,76.6
2016-06-20,74.45
2016-06-21,72.3
2016-06-22,72.25
2016-06-23,72.5
2016-06-24,73.05
2016-06-27,75.7
2016-06-28,74.8
2016-06-29,74.0
2016-06-30,74.05
2016-07-01,68.1
2016-07-04,69.15
2016-07-05,70.2
2016-07-07,70.45
2016-07-08,68.7
2016-07-11,69.55
2016-07-12,68.65
2016-07-13,71.35
2016-07-14,69.4
2016-07-15,68.85
2016-07-18,69.95
2016-07-19,69.4
2016-07-20,69.65
2016-07-21,70.85
2016-07-22,71.8
2016-07-25,73.95
2016-07-26,74.55
2016-07-27,74.45
2016-07-28,74.65
2016-07-29,75.65
2016-08-01,73.45
2016-08-02,73.0
2016-08-03,73.3
2016-08-04,74.45
2016-08-05,76.7
2016-08-08,77.9
2016-08-09,77.7
2016-08-10,76.0
2016-08-11,77.2
2016-08-12,74.65
2016-08-16,74.8
2016-08-17,73.1
2016-08-18,75.9
2016-08-19,76.45
2016-08-22,77.85
2016-08-23,76.9
2016-08-24,77.45
2016-08-25,79.55
2016-08-26,80.4
2016-08-29,80.55
2016-08-30,81.9
2016-08-31,77.7
2016-09-01,79.25
2016-09-02,76.5
2016-09-06,77.9
2016-09-07,75.95
2016-09-08,75.75
2016-09-09,75.8
2016-09-12,74.25
2016-09-14,74.95
2016-09-15,75.5
2016-09-16,76.55
2016-09-19,76.15
2016-09-20,77.4
2016-09-21,78.8
2016-09-22,77.75
2016-09-23,76.55
2016-09-26,78.0
2016-09-27,78.1
2016-09-28,78.45
2016-09-29,75.85
2016-09-30,77.0
2016-10-03,75.8
2016-10-04,76.8
2016-10-05,80.05
2016-10-06,80.65
2016-10-07,78.95
2016-10-10,80.2
2016-10-13,80.7
2016-10-14,85.9
2016-10-17,84.75
2016-10-18,87.9
2016-10-19,102.0
2016-10-20,121.7
2016-10-21,112.3
2016-10-24,111.7
2016-10-25,106.85
2016-10-26,106.0
2016-10-27,104.7
2016-10-28,106.85
2016-10-30,107.55
2016-11-01,111.35
2016-11-02,108.65
2016-11-03,108.55
2016-11-04,103.95
2016-11-07,108.0
2016-11-08,107.1
2016-11-09,102.0
2016-11-10,102.85
2016-11-11,99.1
2016-11-15,94.05
2016-11-16,93.75
2016-11-17,88.7
2016-11-18,88.7
2016-11-21,81.85
2016-11-22,80.0
2016-11-23,96.0
2016-11-24,94.4
2016-11-25,95.75
2016-11-28,95.15
2016-11-29,96.7
2016-11-30,97.7
2016-12-01,93.8
2016-12-02,92.8
2016-12-05,98.45
2016-12-06,95.95
2016-12-07,92.5
2016-12-08,95.45
2016-12-09,94.5
2016-12-12,97.1
2016-12-13,96.6
2016-12-14,95.5
2016-12-15,93.05
2016-12-16,92.55
2016-12-19,92.35
2016-12-20,92.9
2016-12-21,93.15
2016-12-22,92.95
2016-12-23,98.6
2016-12-26,93.55
2016-12-27,92.5
2016-12-28,91.95
2016-12-29,91.7
2016-12-30,91.9
2017-01-02,91.25
2017-01-03,91.1
2017-01-04,90.95
2017-01-05,91.85
2017-01-06,90.5
2017-01-09,91.0
2017-01-10,91.9
2017-01-11,94.4
2017-01-12,95.3
2017-01-13,95.2
2017-01-16,98.05
2017-01-17,105.0
2017-01-18,104.1
2017-01-19,109.15
2017-01-20,110.9
2017-01-23,115.1
2017-01-24,116.05
2017-01-25,116.65
2017-01-27,116.0
2017-01-30,109.85
2017-01-31,107.75
2017-02-01,112.05
2017-02-02,109.55
2017-02-03,106.9
2017-02-06,104.95
2017-02-07,120.45
2017-02-08,121.9
2017-02-09,119.45
2017-02-10,126.0
2017-02-13,124.1
2017-02-14,122.15
2017-02-15,116.15
2017-02-16,119.8
2017-02-17,120.75
2017-02-20,118.45
2017-02-21,117.4
2017-02-22,116.35
2017-02-23,116.3
2017-02-27,117.05
2017-02-28,117.85
2017-03-01,121.1
2017-03-02,118.6
2017-03-03,117.15
2017-03-06,117.05
2017-03-07,116.15
2017-03-08,116.05
2017-03-09,114.05
2017-03-10,112.6
2017-03-14,113.1
2017-03-15,114.65
2017-03-16,115.25
2017-03-17,116.9
2017-03-20,114.4
2017-03-21,117.4
2017-03-22,117.3
2017-03-23,117.7
2017-03-24,120.0
2017-03-27,118.9
2017-03-28,119.35
2017-03-29,134.2
2017-03-30,138.45
2017-03-31,146.15
2017-04-03,159.45
2017-04-05,152.75
2017-04-06,155.85
2017-04-07,105.5
2017-04-10,103.1
2017-04-11,104.85
2017-04-12,103.05
2017-04-13,102.45
2017-04-17,103.15
2017-04-18,101.2
2017-04-19,99.6
2017-04-20,99.95
2017-04-21,103.7
2017-04-24,103.45
2017-04-25,104.0
2017-04-26,124.8
2017-04-27,126.7
2017-04-28,124.35
2017-05-02,114.1
2017-05-03,121.25
2017-05-04,122.1
2017-05-05,119.35
2017-05-08,120.85
2017-05-09,119.85
2017-05-10,118.2
2017-05-11,118.35
2017-05-12,118.45
2017-05-15,113.25
2017-05-16,111.35
2017-05-17,115.25
2017-05-18,114.4
2017-05-19,105.5
2017-05-22,101.15
2017-05-23,99.05
2017-05-24,100.55
2017-05-25,103.9
2017-05-26,105.95
2017-05-29,105.9
2017-05-30,103.6
2017-05-31,103.4
2017-06-01,102.5
2017-06-02,108.3
2017-06-05,112.95
2017-06-06,109.25
2017-06-07,108.4
2017-06-08,109.0
2017-06-09,109.95
2017-06-12,108.2
2017-06-13,109.65
2017-06-14,107.55
2017-06-15,107.65
2017-06-16,107.0
2017-06-19,107.75
2017-06-20,107.15
2017-06-21,107.15
2017-06-22,107.6
2017-06-23,106.25
2017-06-27,105.1
2017-06-28,106.0
2017-06-29,106.0
2017-06-30,107.2
2017-07-03,109.45
2017-07-04,112.8
2017-07-05,132.9
2017-07-06,131.25
2017-07-07,130.6
2017-07-10,128.45
2017-07-11,127.45
2017-07-12,142.3
2017-07-13,140.45
2017-07-14,137.4
2017-07-17,137.55
2017-07-18,137.7
2017-07-19,142.6
2017-07-20,145.1
2017-07-21,151.8
2017-07-24,151.6
2017-07-25,148.05
2017-07-26,148.0
2017-07-27,147.4
2017-07-28,150.9
2017-07-31,142.1
2017-08-01,138.2
2017-08-02,133.55
2017-08-03,129.8
2017-08-04,127.45
2017-08-07,136.2
2017-08-08,130.5
2017-08-09,134.4
2017-08-10,124.3
2017-08-11,121.45
2017-08-14,127.85
2017-08-16,130.45
2017-08-17,131.25
2017-08-18,130.7
2017-08-21,127.95
2017-08-22,126.7
2017-08-23,128.55
2017-08-24,129.35
2017-08-28,132.65
2017-08-29,129.8
2017-08-30,134.75
2017-08-31,136.0
2017-09-01,145.85
2017-09-04,142.25
2017-09-05,142.1
2017-09-06,141.75
2017-09-07,138.3
2017-09-08,133.75
2017-09-11,137.45
2017-09-12,137.0
2017-09-13,138.7
2017-09-14,135.15
2017-09-15,135.7
2017-09-18,135.5
2017-09-19,144.65
2017-09-20,147.1
2017-09-21,143.25
2017-09-22,137.2
2017-09-25,130.8
2017-09-26,131.9
2017-09-27,127.75
2017-09-28,126.1
2017-09-29,128.7
2017-10-03,131.95
2017-10-04,132.95
2017-10-05,132.05
2017-10-06,138.75
2017-10-09,137.45
2017-10-10,137.3
2017-10-11,136.55
2017-10-12,140.65
2017-10-13,141.7
2017-10-16,143.6
2017-10-17,150.3
2017-10-18,159.7
2017-10-19,155.45
2017-10-23,157.45
2017-10-24,180.1
2017-10-25,169.75
2017-10-26,178.5
2017-10-27,173.35
2017-10-30,185.95
2017-10-31,184.9
2017-11-01,182.1
2017-11-02,178.95
2017-11-03,176.9
2017-11-06,169.95
2017-11-07,160.65
2017-11-08,167.8
2017-11-09,180.5
2017-11-10,175.7
2017-11-13,171.5
2017-11-14,167.55
2017-11-15,164.15
2017-11-16,170.55
2017-11-17,175.2
2017-11-20,171.9
2017-11-21,178.2
2017-11-22,175.6
2017-11-23,175.5
2017-11-24,181.8
2017-11-27,181.05
2017-11-28,175.95
2017-11-29,177.45
2017-11-30,180.15
2017-12-01,177.15
2017-12-04,175.95
2017-12-05,172.6
2017-12-06,164.85
2017-12-07,162.35
2017-12-08,166.25
2017-12-11,165.65
2017-12-12,162.45
2017-12-13,162.0
2017-12-14,158.4
2017-12-15,162.2
2017-12-18,165.1
2017-12-19,165.6
2017-12-20,167.55
2017-12-21,164.65
2017-12-22,164.85
2017-12-26,172.85
2017-12-27,171.6
2017-12-28,169.75
2017-12-29,167.55
