Date,SIGNET
2017-06-20,9.15
2017-06-21,8.8
2017-06-22,8.75
2017-06-23,8.65
2017-06-27,8.95
2017-06-28,9.15
2017-06-29,9.0
2017-06-30,8.95
2017-07-03,8.95
2017-07-04,9.05
2017-07-05,9.15
2017-07-06,9.7
2017-07-07,9.85
2017-07-10,10.05
2017-07-11,10.3
2017-07-12,10.1
2017-07-13,10.1
2017-07-14,9.65
2017-07-17,9.6
2017-07-18,9.3
2017-07-19,9.25
2017-07-20,9.2
2017-07-21,10.65
2017-07-24,11.05
2017-07-25,11.25
2017-07-26,12.35
2017-07-27,12.1
2017-07-28,12.3
2017-07-31,12.05
2017-08-01,11.25
2017-08-02,11.1
2017-08-03,10.7
2017-08-04,10.8
2017-08-07,11.15
2017-08-14,8.95
2017-08-16,8.4
2017-08-17,9.4
2017-08-18,9.0
2017-08-21,8.3
2017-08-22,8.05
2017-08-23,7.75
2017-08-24,7.8
2017-08-28,7.8
2017-08-29,7.7
2017-08-30,8.15
2017-08-31,8.3
2017-09-01,8.25
2017-09-04,8.4
2017-09-05,8.5
2017-09-06,8.35
2017-09-07,8.35
2017-09-08,8.25
2017-09-11,8.1
2017-09-12,8.05
2017-09-13,7.85
2017-09-14,7.9
2017-09-15,8.0
2017-09-18,7.95
2017-09-19,7.7
2017-09-20,7.65
2017-09-21,7.75
2017-09-22,7.45
2017-09-25,7.15
2017-09-26,7.85
2017-09-27,7.25
2017-09-28,7.15
2017-09-29,7.25
2017-10-03,7.15
2017-10-04,7.3
2017-10-05,7.15
2017-10-06,6.85
2017-10-09,7.1
2017-10-10,7.9
2017-10-11,7.7
2017-10-12,7.8
2017-10-13,7.6
2017-10-16,7.5
2017-10-17,7.5
2017-10-18,7.4
2017-10-19,7.35
2017-10-23,8.2
2017-10-24,9.15
2017-10-25,9.55
2017-10-26,11.4
2017-10-27,12.5
2017-10-30,13.75
2017-10-31,12.9
2017-11-01,11.75
2017-11-02,12.9
2017-11-03,13.1
2017-11-06,12.75
2017-11-07,12.05
2017-11-08,11.6
2017-11-09,11.5
2017-11-10,11.05
2017-11-13,10.15
