Date,RNAVAL
2014-09-11,47.65
2014-09-12,45.95
2014-09-15,45.6
2014-09-16,43.35
2014-09-17,45.3
2014-09-18,44.65
2014-09-19,43.45
2014-09-22,43.6
2014-09-23,42.45
2014-09-24,40.85
2014-09-25,38.85
2014-09-26,38.65
2014-09-29,38.4
2014-09-30,38.55
2014-10-01,38.9
2014-10-07,37.45
2014-10-08,37.3
2014-10-09,39.15
2014-10-10,41.1
2014-10-13,43.15
2014-10-14,43.8
2014-10-16,41.65
2014-10-17,40.25
2014-10-20,39.8
2014-10-21,39.4
2014-10-22,39.75
2014-10-23,41.0
2014-10-27,43.05
2014-10-28,44.35
2014-10-29,42.55
2014-10-30,40.45
2014-10-31,38.45
2014-11-03,39.65
2014-11-05,39.85
2014-11-07,39.2
2014-11-10,39.75
2014-11-11,39.8
2014-11-12,39.15
2014-11-13,38.7
2014-11-14,38.5
2014-11-17,36.6
2014-11-18,37.25
2014-11-19,37.1
2014-11-20,36.35
2014-11-21,35.95
2014-11-24,36.35
2014-11-25,35.2
2014-11-26,35.2
2014-11-27,35.1
2014-11-28,35.7
2014-12-01,35.0
2014-12-02,35.2
2014-12-03,36.35
2014-12-04,38.15
2014-12-05,41.95
2014-12-08,45.1
2014-12-09,43.3
2014-12-10,46.75
2014-12-11,46.95
2014-12-12,45.8
2014-12-15,42.9
2014-12-16,39.0
2014-12-17,39.8
2014-12-18,41.75
2014-12-19,40.95
2014-12-22,39.7
2014-12-23,40.0
2014-12-24,39.2
2014-12-26,39.3
2014-12-29,40.1
2014-12-30,39.85
2014-12-31,40.2
2015-01-01,40.5
2015-01-02,46.45
2015-01-05,44.8
2015-01-06,42.55
2015-01-07,44.65
2015-01-08,52.9
2015-01-09,56.75
2015-01-12,56.65
2015-01-13,54.25
2015-01-14,53.4
2015-01-15,50.85
2015-01-16,53.0
2015-01-19,52.1
2015-01-20,51.25
2015-01-21,49.75
2015-01-22,47.85
2015-01-23,50.2
2015-01-27,50.55
2015-01-28,48.35
2015-01-29,50.1
2015-01-30,49.2
2015-02-02,50.0
2015-02-03,49.3
2015-02-04,50.1
2015-02-05,53.5
2015-02-06,51.25
2015-02-09,52.5
2015-02-10,55.15
2015-02-11,64.1
2015-02-12,67.7
2015-02-13,65.35
2015-02-16,69.2
2015-02-18,77.75
2015-02-19,79.65
2015-02-20,83.25
2015-02-23,79.55
2015-02-24,75.25
2015-02-25,78.15
2015-02-26,74.85
2015-02-27,77.45
2015-02-28,74.6
2015-03-02,72.6
2015-03-03,73.25
2015-03-04,76.45
2015-03-05,68.85
2015-03-09,63.8
2015-03-10,61.35
2015-03-11,61.1
2015-03-12,61.55
2015-03-13,60.7
2015-03-16,59.75
2015-03-17,60.0
2015-03-18,58.5
2015-03-19,58.45
2015-03-20,58.0
2015-03-23,55.95
2015-03-24,57.7
2015-03-25,56.8
2015-03-26,56.35
2015-03-27,56.5
2015-03-30,57.6
2015-03-31,57.2
2015-04-01,60.25
2015-04-06,60.1
2015-04-07,59.25
2015-04-08,60.95
2015-04-09,61.15
2015-04-10,61.7
2015-04-13,61.95
2015-04-15,61.1
2015-04-16,60.6
2015-04-17,61.1
2015-04-20,60.3
2015-04-21,59.95
2015-04-22,59.75
2015-04-23,58.9
2015-04-24,57.3
2015-04-27,56.6
2015-04-28,57.5
2015-04-29,57.3
2015-04-30,57.25
2015-05-04,57.35
2015-05-05,58.1
2015-05-06,58.6
2015-05-07,58.9
2015-05-08,60.5
2015-05-11,59.6
2015-05-12,59.15
2015-05-13,59.55
2015-05-14,59.45
2015-05-15,59.5
2015-05-18,60.25
2015-05-19,60.8
2015-05-20,60.35
2015-05-21,60.25
2015-05-22,60.2
2015-05-25,60.45
2015-05-26,60.55
2015-05-27,60.65
2015-05-28,60.65
2015-05-29,61.0
2015-06-01,61.1
2015-06-02,60.35
2015-06-03,59.35
2015-06-04,58.3
2015-06-05,59.6
2015-06-08,59.0
2015-06-09,59.2
2015-06-10,59.3
2015-06-11,59.45
2015-06-12,59.3
2015-06-15,59.6
2015-06-16,59.9
2015-06-17,60.15
2015-06-18,59.8
2015-06-19,59.75
2015-06-22,60.0
2015-06-23,59.6
2015-06-24,59.7
2015-06-25,59.85
2015-06-26,60.15
2015-06-29,59.95
2015-06-30,59.9
2015-07-01,60.0
2015-07-02,60.0
2015-07-03,60.0
2015-07-06,60.0
2015-07-07,59.7
2015-07-08,59.6
2015-07-09,59.75
2015-07-10,59.75
2015-07-13,59.8
2015-07-14,59.85
2015-07-15,60.15
2015-07-16,62.3
2015-07-17,62.65
2015-07-20,62.85
2015-07-21,62.6
2015-07-22,62.35
2015-07-23,61.7
2015-07-24,61.25
2015-07-27,61.0
2015-07-28,60.3
2015-07-29,60.6
2015-07-30,60.45
2015-07-31,60.25
2015-08-03,60.15
2015-08-04,60.15
2015-08-05,60.6
2015-08-06,62.95
2015-08-07,62.35
2015-08-10,61.25
2015-08-11,60.95
2015-08-12,62.05
2015-08-13,61.75
2015-08-14,61.65
2015-08-17,62.0
2015-08-18,61.6
2015-08-19,62.05
2015-08-20,60.55
2015-08-21,58.85
2015-08-24,57.5
2015-08-25,55.75
2015-08-26,56.8
2015-08-27,57.6
2015-08-28,57.35
2015-08-31,56.4
2015-09-01,55.1
2015-09-02,55.05
2015-09-03,55.6
2015-09-04,54.3
