Date,GREENPOWER
2014-09-17,13.5
2014-09-18,13.8
2014-09-19,13.45
2014-09-22,13.15
2014-09-23,12.6
2014-09-24,12.0
2014-09-25,11.9
2014-09-26,12.0
2014-09-29,11.95
2014-09-30,12.45
2014-10-01,12.1
2014-10-07,12.0
2014-10-08,11.95
2014-10-09,12.1
2014-10-10,11.85
2014-10-13,11.7
2014-10-14,13.2
2014-10-16,12.35
2014-10-17,12.1
2014-10-20,12.4
2014-10-21,12.15
2014-10-22,12.0
2014-10-23,12.4
2014-10-27,12.0
2014-10-28,12.0
2014-10-29,11.95
2014-10-30,11.8
2014-10-31,12.45
2014-11-03,12.45
2014-11-05,12.55
2014-11-07,12.95
2014-11-10,13.4
2014-11-11,13.5
2014-11-12,13.75
2014-11-13,13.45
2014-11-14,15.55
2014-11-17,15.45
2014-11-18,14.55
2014-11-19,15.4
2014-11-20,16.85
2014-11-21,16.7
2014-11-24,16.6
2014-11-25,16.55
2014-11-26,17.7
2014-11-27,17.4
2014-11-28,16.9
2014-12-01,16.6
2014-12-02,16.55
2014-12-03,16.55
2014-12-04,16.65
2014-12-05,17.7
2014-12-08,18.3
2014-12-09,17.7
2014-12-10,17.6
2014-12-11,17.8
2014-12-12,16.85
2014-12-15,16.75
2014-12-16,15.65
2014-12-17,15.15
2014-12-18,15.85
2014-12-19,15.8
2014-12-22,15.7
2014-12-23,15.8
2014-12-24,15.55
2014-12-26,15.3
2014-12-29,15.35
2014-12-30,15.6
2014-12-31,16.85
2015-01-01,16.65
2015-01-02,17.0
2015-01-05,16.85
2015-01-06,16.05
2015-01-07,15.65
2015-01-08,16.2
2015-01-09,15.8
2015-01-12,15.85
2015-01-13,16.55
2015-01-14,16.7
2015-01-15,16.6
2015-01-16,16.3
2015-01-19,16.7
2015-01-20,18.2
2015-01-21,17.05
2015-01-22,16.05
2015-01-23,16.9
2015-01-27,18.4
2015-01-28,18.2
2015-01-29,17.55
2015-01-30,17.55
2015-02-02,18.0
2015-02-03,17.2
2015-02-04,16.95
2015-02-05,15.95
2015-02-06,14.8
2015-02-09,15.1
2015-02-10,15.15
2015-02-11,15.55
