Date,KCPSUGIND
2014-10-20,20.15
2014-10-21,20.55
2014-10-22,20.5
2014-10-23,21.0
2014-10-27,20.7
2014-10-28,20.7
2014-10-29,20.45
2014-10-30,20.3
2014-10-31,20.2
2014-11-03,20.45
2014-11-05,20.2
2014-11-07,20.2
2014-11-10,20.0
2014-11-11,19.8
2014-11-12,19.95
2014-11-13,21.4
2014-11-14,21.05
2014-11-17,20.45
2014-11-18,21.5
2014-11-19,21.0
2014-11-20,20.8
2014-11-21,20.75
2014-11-24,21.9
2014-11-25,21.4
2014-11-26,22.7
2014-11-27,22.25
2014-11-28,22.15
2014-12-01,21.25
2014-12-02,21.35
2014-12-03,21.2
2014-12-04,21.3
2014-12-05,21.15
2014-12-08,21.25
2014-12-09,21.0
2014-12-10,21.95
2014-12-11,21.95
2014-12-12,21.1
2014-12-15,21.45
2014-12-16,21.0
2014-12-17,20.7
2014-12-18,21.75
2014-12-19,22.45
2014-12-22,23.05
2014-12-23,23.45
2014-12-24,23.2
2014-12-26,23.55
2014-12-29,23.6
2014-12-30,23.45
2014-12-31,23.7
2015-01-01,23.9
2015-01-02,23.25
2015-01-05,23.6
2015-01-06,23.95
2015-01-07,23.6
2015-01-08,23.15
2015-01-09,23.15
2015-01-12,23.3
2015-01-13,23.35
2015-01-14,22.7
2015-01-15,22.75
2015-01-16,23.45
2015-01-19,23.3
2015-01-20,23.25
2015-01-21,23.6
2015-01-22,23.65
2015-01-23,23.25
2015-01-27,23.35
2015-01-28,23.35
2015-01-29,22.75
2015-01-30,22.25
2015-02-02,22.65
2015-02-03,22.35
2015-02-04,22.05
2015-02-05,21.8
2015-02-06,20.2
2015-02-09,19.95
2015-02-10,20.1
2015-02-11,20.0
2015-02-12,20.7
2015-02-13,20.05
2015-02-16,20.2
2015-02-18,20.4
2015-02-19,20.95
2015-02-20,21.45
2015-02-23,21.35
2015-02-24,20.75
2015-02-25,20.8
2015-02-26,20.65
2015-02-27,21.0
2015-02-28,20.6
2015-03-02,20.8
2015-03-03,20.6
2015-03-04,20.0
2015-03-05,20.2
2015-03-09,19.95
2015-03-10,20.15
2015-03-11,19.95
2015-03-12,19.9
2015-03-13,19.8
2015-03-16,19.5
2015-03-17,20.1
2015-03-18,19.7
2015-03-19,19.55
2015-03-20,18.8
2015-03-23,18.55
2015-03-24,18.8
2015-03-25,18.55
2015-03-26,18.45
2015-03-27,18.0
2015-03-30,18.05
2015-03-31,18.4
2015-04-01,18.75
2015-04-06,18.7
2015-04-07,18.6
2015-04-08,19.1
2015-04-09,19.0
2015-04-10,19.3
2015-04-13,19.1
2015-04-15,18.9
2015-04-16,19.0
2015-04-17,18.85
2015-04-20,18.5
2015-04-21,19.2
2015-04-22,18.65
2015-04-23,18.5
2015-04-24,18.4
2015-04-27,18.45
2015-04-28,19.15
2015-04-29,19.25
2015-04-30,19.2
2015-05-04,19.25
2015-05-05,19.1
2015-05-06,18.7
2015-05-07,18.65
2015-05-08,19.1
2015-05-11,19.05
2015-05-12,18.45
2015-05-13,18.8
2015-05-14,19.0
2015-05-15,19.05
2015-05-18,18.7
2015-05-19,18.85
2015-05-20,18.8
2015-05-21,18.9
2015-05-22,19.05
2015-05-25,19.4
2015-05-26,18.95
2015-05-27,18.9
2015-05-28,19.05
2015-05-29,18.6
2015-06-01,17.9
2015-06-02,17.7
2015-06-03,16.45
2015-06-04,16.85
2015-06-05,16.7
2015-06-08,16.35
2015-06-09,16.35
2015-06-10,16.7
2015-06-11,16.1
2015-06-12,15.95
2015-06-15,16.45
2015-06-16,16.35
2015-06-17,16.4
2015-06-18,16.6
2015-06-19,16.25
2015-06-22,16.75
2015-06-23,16.65
2015-06-24,16.2
2015-06-25,16.2
2015-06-26,16.35
2015-06-29,16.1
2015-06-30,16.1
2015-07-01,16.25
2015-07-02,16.35
2015-07-03,16.25
2015-07-06,16.65
2015-07-07,16.5
2015-07-08,16.05
2015-07-09,16.5
2015-07-10,16.65
2015-07-13,16.45
2015-07-14,16.25
2015-07-15,16.55
2015-07-16,16.25
2015-07-17,16.3
2015-07-20,16.55
2015-07-21,16.25
2015-07-22,16.5
2015-07-23,16.15
2015-07-24,16.1
2015-07-27,16.1
2015-07-28,15.9
2015-07-29,16.0
2015-07-30,16.2
2015-07-31,15.55
2015-08-03,16.2
2015-08-04,15.9
2015-08-05,16.5
2015-08-06,16.6
2015-08-07,16.45
2015-08-10,16.5
2015-08-11,16.15
2015-08-12,15.85
2015-08-13,16.05
2015-08-14,16.15
2015-08-17,16.3
2015-08-18,16.15
2015-08-19,15.9
2015-08-20,15.85
2015-08-21,15.7
2015-08-24,15.0
2015-08-25,14.7
2015-08-26,14.6
2015-08-27,14.95
2015-08-28,14.75
2015-08-31,15.25
2015-09-01,15.0
2015-09-02,14.65
2015-09-03,14.4
2015-09-04,14.05
2015-09-07,13.95
2015-09-08,14.0
2015-09-09,14.05
2015-09-10,14.15
2015-09-11,14.05
2015-09-14,14.25
2015-09-15,14.1
2015-09-16,14.2
2015-09-18,14.5
2015-09-21,14.45
2015-09-22,14.15
2015-09-23,14.4
2015-09-24,14.2
2015-09-28,14.5
2015-09-29,14.7
2015-09-30,14.1
2015-10-01,15.05
2015-10-05,15.95
2015-10-06,17.05
2015-10-07,18.6
2015-10-08,18.95
2015-10-09,18.8
2015-10-12,18.2
2015-10-13,19.25
2015-10-14,18.5
2015-10-15,18.3
2015-10-16,19.6
2015-10-19,19.9
2015-10-20,20.6
2015-10-21,20.45
2015-10-23,21.25
2015-10-26,19.95
2015-10-27,20.7
2015-10-28,20.75
2015-10-29,21.0
2015-10-30,20.25
2015-11-02,20.35
2015-11-03,21.0
2015-11-04,20.9
2015-11-05,20.2
2015-11-06,19.85
2015-11-09,20.75
2015-11-10,20.3
2015-11-11,21.65
2015-11-13,22.9
2015-11-16,26.15
2015-11-17,26.3
2015-11-18,28.35
2015-11-19,26.65
2015-11-20,25.8
2015-11-23,25.6
2015-11-24,24.85
2015-11-26,25.15
2015-11-27,24.9
2015-11-30,27.95
2015-12-01,27.8
2015-12-02,28.5
2015-12-03,28.05
2015-12-04,27.95
2015-12-07,27.8
2015-12-08,27.15
2015-12-09,24.95
2015-12-10,24.95
2015-12-11,24.3
2015-12-14,24.65
2015-12-15,26.2
2015-12-16,25.8
2015-12-17,25.85
2015-12-18,25.3
2015-12-21,25.05
2015-12-22,25.95
2015-12-23,25.9
2015-12-24,26.2
2015-12-28,26.4
2015-12-29,26.35
2015-12-30,26.35
2015-12-31,25.95
2016-01-01,27.5
2016-01-04,29.0
2016-01-05,29.25
2016-01-06,29.5
2016-01-07,27.65
2016-01-08,30.25
2016-01-11,31.7
2016-01-12,30.05
2016-01-13,30.15
2016-01-14,29.1
2016-01-15,27.9
2016-01-18,24.7
2016-01-19,26.05
2016-01-20,24.6
2016-01-21,25.15
2016-01-22,25.9
2016-01-25,25.6
2016-01-27,25.7
2016-01-28,24.95
2016-01-29,25.25
2016-02-01,26.15
2016-02-02,24.7
2016-02-03,23.8
2016-02-04,23.1
2016-02-05,24.5
2016-02-08,24.5
2016-02-09,24.2
2016-02-10,22.7
2016-02-11,20.0
2016-02-12,19.2
2016-02-15,19.5
2016-02-16,18.35
2016-02-17,19.4
2016-02-18,20.05
2016-02-19,20.05
2016-02-22,20.15
2016-02-23,20.65
2016-02-24,21.15
2016-02-25,20.85
2016-02-26,20.25
2016-02-29,19.5
2016-03-01,21.35
2016-03-02,21.5
2016-03-03,21.65
2016-03-04,23.75
2016-03-08,25.0
2016-03-09,25.65
2016-03-10,25.1
2016-03-11,24.25
2016-03-14,25.05
2016-03-15,27.2
2016-03-16,27.55
2016-03-17,26.2
2016-03-18,26.9
2016-03-21,27.15
2016-03-22,27.45
2016-03-23,27.55
2016-03-28,26.5
2016-03-29,26.1
2016-03-30,28.1
2016-03-31,28.0
2016-04-01,29.5
2016-04-04,29.7
2016-04-05,28.7
2016-04-06,29.9
2016-04-07,29.5
2016-04-08,29.45
2016-04-11,28.25
2016-04-12,27.45
2016-04-13,27.65
2016-04-18,28.15
2016-04-20,26.6
2016-04-21,26.45
2016-04-22,26.4
2016-04-25,25.95
2016-04-26,25.9
2016-04-27,25.4
2016-04-28,24.85
2016-04-29,25.6
2016-05-02,26.25
2016-05-03,25.8
2016-05-04,25.3
2016-05-05,26.3
2016-05-06,26.1
2016-05-09,27.05
2016-05-10,27.55
2016-05-11,28.55
2016-05-12,29.8
2016-05-13,30.0
2016-05-16,30.15
2016-05-17,28.95
2016-05-18,29.9
2016-05-19,29.15
2016-05-20,28.8
2016-05-23,28.9
2016-05-24,28.05
2016-05-25,28.9
2016-05-26,28.9
2016-05-27,27.6
2016-05-30,26.7
2016-05-31,27.0
2016-06-01,27.15
2016-06-02,27.25
2016-06-03,27.65
2016-06-06,28.55
2016-06-07,28.7
2016-06-08,28.7
2016-06-09,28.9
2016-06-10,32.4
2016-06-13,33.75
2016-06-14,33.8
2016-06-15,40.55
2016-06-16,43.3
2016-06-17,39.0
2016-06-20,38.95
2016-06-21,37.9
2016-06-22,35.05
2016-06-23,36.85
2016-06-24,36.1
2016-06-27,39.7
2016-06-28,41.35
2016-06-29,40.9
2016-06-30,40.45
2016-07-01,41.15
2016-07-04,41.2
2016-07-05,39.0
2016-07-07,43.75
2016-07-08,41.3
2016-07-11,41.95
2016-07-12,41.05
2016-07-13,39.6
2016-07-14,41.2
2016-07-15,40.3
2016-07-18,39.8
2016-07-19,39.55
2016-07-20,40.5
2016-07-21,39.95
2016-07-22,40.45
2016-07-25,42.05
2016-07-26,42.05
2016-07-27,42.4
2016-07-28,40.85
2016-07-29,42.5
2016-08-01,39.95
2016-08-02,38.65
2016-08-03,36.6
2016-08-04,38.05
2016-08-05,38.45
2016-08-08,37.55
2016-08-09,35.65
2016-08-10,34.7
2016-08-11,35.2
2016-08-12,34.55
2016-08-16,33.5
2016-08-17,32.4
2016-08-18,36.6
2016-08-19,36.15
2016-08-22,34.65
2016-08-23,36.05
2016-08-24,35.4
2016-08-25,34.3
2016-08-26,34.5
2016-08-29,33.65
2016-08-30,33.05
2016-08-31,33.95
2016-09-01,33.65
2016-09-02,33.5
2016-09-06,33.4
2016-09-07,34.1
2016-09-08,34.4
2016-09-09,34.5
2016-09-12,33.3
2016-09-14,32.25
2016-09-15,30.9
2016-09-16,32.9
2016-09-19,33.9
2016-09-20,33.3
2016-09-21,33.25
2016-09-22,33.75
2016-09-23,33.35
2016-09-26,32.45
2016-09-27,32.95
2016-09-28,33.6
2016-09-29,31.65
2016-09-30,32.65
2016-10-03,34.45
2016-10-04,34.0
2016-10-05,34.45
2016-10-06,33.6
2016-10-07,34.25
2016-10-10,33.35
2016-10-13,32.8
2016-10-14,32.8
2016-10-17,32.45
2016-10-18,32.4
2016-10-19,32.45
2016-10-20,32.2
2016-10-21,31.95
2016-10-24,31.3
2016-10-25,31.15
2016-10-26,31.8
2016-10-27,30.95
2016-10-28,31.4
2016-10-30,31.75
2016-11-01,31.9
2016-11-02,30.95
2016-11-03,31.55
2016-11-04,30.05
2016-11-07,31.35
2016-11-08,30.9
2016-11-09,29.75
2016-11-10,30.6
2016-11-11,29.85
2016-11-15,28.0
2016-11-16,27.2
2016-11-17,26.85
2016-11-18,28.4
2016-11-21,27.05
2016-11-22,26.75
2016-11-23,28.85
2016-11-24,29.2
2016-11-25,29.1
2016-11-28,28.6
2016-11-29,29.6
2016-11-30,29.25
2016-12-01,28.95
2016-12-02,28.4
2016-12-05,28.25
2016-12-06,27.9
2016-12-07,27.4
2016-12-08,27.85
2016-12-09,27.85
2016-12-12,27.6
2016-12-13,27.2
2016-12-14,27.1
2016-12-15,27.15
2016-12-16,27.2
2016-12-19,26.9
2016-12-20,26.7
2016-12-21,27.6
2016-12-22,28.0
2016-12-23,28.55
2016-12-26,27.4
2016-12-27,27.9
2016-12-28,29.15
2016-12-29,29.3
2016-12-30,30.45
2017-01-02,32.7
2017-01-03,32.25
