Date,SURYAROSNI
2014-12-08,113.35
2014-12-09,111.7
2014-12-10,111.7
2014-12-11,108.85
2014-12-12,105.5
2014-12-15,101.6
2014-12-16,94.2
2014-12-17,93.25
2014-12-18,97.9
2014-12-19,95.45
2014-12-22,104.4
2014-12-23,103.65
2014-12-24,102.2
2014-12-26,101.1
2014-12-29,104.05
2014-12-30,102.5
2014-12-31,103.4
2015-01-01,104.9
2015-01-02,104.45
2015-01-05,109.45
2015-01-06,102.9
2015-01-07,102.5
2015-01-08,104.35
2015-01-09,103.35
2015-01-12,106.25
2015-01-13,103.25
2015-01-14,102.3
2015-01-15,103.3
2015-01-16,123.95
2015-01-19,124.8
2015-01-20,134.0
2015-01-21,131.8
2015-01-22,129.35
2015-01-23,125.95
2015-01-27,130.45
2015-01-28,125.35
2015-01-29,125.35
2015-01-30,121.0
2015-02-02,124.6
2015-02-03,122.85
2015-02-04,120.1
2015-02-05,118.95
2015-02-06,115.6
2015-02-09,113.65
2015-02-10,113.6
2015-02-11,118.45
2015-02-12,122.5
2015-02-13,119.75
2015-02-16,119.0
2015-02-18,118.2
2015-02-19,118.8
2015-02-20,119.5
2015-02-23,115.7
2015-02-24,114.15
2015-02-25,114.75
2015-02-26,114.15
2015-02-27,116.55
2015-02-28,119.0
2015-03-02,127.2
2015-03-03,125.05
2015-03-04,118.4
2015-03-05,118.3
2015-03-09,117.0
2015-03-10,116.1
2015-03-11,116.95
2015-03-12,123.85
2015-03-13,118.6
2015-03-16,116.65
2015-03-17,117.7
2015-03-18,116.95
2015-03-19,117.35
2015-03-20,110.9
2015-03-23,108.4
2015-03-24,108.8
2015-03-25,110.15
2015-03-26,106.5
2015-03-27,104.35
2015-03-30,108.9
2015-03-31,111.8
2015-04-01,114.6
2015-04-06,117.75
2015-04-07,119.65
2015-04-08,119.5
2015-04-09,118.45
2015-04-10,119.65
2015-04-13,123.0
2015-04-15,124.45
2015-04-16,125.05
2015-04-17,120.85
2015-04-20,115.85
2015-04-21,113.55
2015-04-22,115.0
2015-04-23,113.8
2015-04-24,109.75
2015-04-27,104.55
2015-04-28,106.85
2015-04-29,109.7
2015-04-30,110.55
2015-05-04,112.45
2015-05-05,113.0
2015-05-06,107.2
2015-05-07,105.1
2015-05-08,105.7
2015-05-11,108.35
2015-05-12,104.45
2015-05-13,105.7
2015-05-14,106.7
2015-05-15,108.1
2015-05-18,113.0
2015-05-19,113.35
2015-05-20,114.5
2015-05-21,121.75
2015-05-22,118.05
2015-05-25,114.55
2015-05-26,116.35
2015-05-27,120.7
2015-05-28,121.05
2015-05-29,122.95
2015-06-01,119.05
2015-06-02,117.2
2015-06-03,112.25
2015-06-04,111.25
2015-06-05,111.75
2015-06-08,106.45
2015-06-09,105.85
2015-06-10,111.3
2015-06-11,105.6
2015-06-12,106.65
2015-06-15,106.8
2015-06-16,105.75
2015-06-17,105.75
2015-06-18,108.15
2015-06-19,108.55
2015-06-22,109.95
2015-06-23,112.0
2015-06-24,108.9
2015-06-25,115.0
2015-06-26,114.5
2015-06-29,110.0
2015-06-30,117.05
2015-07-01,118.95
2015-07-02,128.4
2015-07-03,131.85
2015-07-06,134.05
2015-07-07,131.1
2015-07-08,139.05
2015-07-09,140.55
2015-07-10,136.9
2015-07-13,135.45
2015-07-14,131.85
2015-07-15,134.8
2015-07-16,132.4
2015-07-17,132.25
2015-07-20,137.2
2015-07-21,132.55
2015-07-22,134.9
2015-07-23,139.0
2015-07-24,139.25
2015-07-27,136.05
2015-07-28,134.85
2015-07-29,136.8
2015-07-30,138.3
2015-07-31,138.2
2015-08-03,150.1
2015-08-04,149.6
2015-08-05,147.2
2015-08-06,156.35
2015-08-07,155.2
2015-08-10,148.45
2015-08-11,145.7
2015-08-12,138.05
2015-08-13,131.75
2015-08-14,136.2
2015-08-17,138.7
2015-08-18,140.65
2015-08-19,142.85
2015-08-20,136.85
2015-08-21,136.0
2015-08-24,114.65
2015-08-25,115.6
2015-08-26,121.15
2015-08-27,126.5
2015-08-28,128.8
2015-08-31,129.0
2015-09-01,121.15
2015-09-02,120.75
2015-09-03,122.8
2015-09-04,116.05
2015-09-07,112.35
2015-09-08,114.85
2015-09-09,117.15
2015-09-10,116.35
2015-09-11,118.2
2015-09-14,120.45
2015-09-15,117.3
2015-09-16,119.2
2015-09-18,121.15
2015-09-21,126.6
2015-09-22,123.1
2015-09-23,125.2
2015-09-24,125.35
2015-09-28,122.5
2015-09-29,127.8
2015-09-30,131.3
2015-10-01,130.2
2015-10-05,131.8
2015-10-06,130.0
2015-10-07,131.4
2015-10-08,130.5
2015-10-09,137.2
2015-10-12,141.25
2015-10-13,143.45
2015-10-14,141.8
2015-10-15,140.05
2015-10-16,139.25
2015-10-19,138.95
2015-10-20,144.05
2015-10-21,142.65
2015-10-23,146.3
2015-10-26,140.1
2015-10-27,140.7
2015-10-28,134.8
2015-10-29,137.4
2015-10-30,133.45
2015-11-02,133.3
2015-11-03,132.95
2015-11-04,132.9
2015-11-05,129.25
2015-11-06,126.8
2015-11-09,129.6
2015-11-10,131.15
2015-11-11,131.95
2015-11-13,129.65
2015-11-16,133.35
2015-11-17,131.45
2015-11-18,128.3
2015-11-19,130.35
2015-11-20,131.35
2015-11-23,130.55
2015-11-24,131.9
2015-11-26,131.4
2015-11-27,137.05
2015-11-30,142.75
2015-12-01,139.7
2015-12-02,138.75
2015-12-03,139.8
2015-12-04,135.85
2015-12-07,134.6
2015-12-08,132.75
2015-12-09,128.5
2015-12-10,135.05
2015-12-11,133.2
2015-12-14,133.45
2015-12-15,133.35
2015-12-16,137.05
2015-12-17,140.95
2015-12-18,143.45
2015-12-21,147.9
2015-12-22,148.7
2015-12-23,146.5
2015-12-24,147.8
2015-12-28,146.25
2015-12-29,143.6
2015-12-30,142.05
2015-12-31,142.15
2016-01-01,143.55
2016-01-04,145.85
2016-01-05,175.0
2016-01-06,165.4
2016-01-07,159.05
2016-01-08,169.15
2016-01-11,167.8
2016-01-12,162.5
2016-01-13,154.05
2016-01-14,151.85
2016-01-15,143.9
2016-01-18,133.25
2016-01-19,141.35
2016-01-20,138.5
2016-01-21,137.35
2016-01-22,142.1
2016-01-25,143.55
2016-01-27,146.75
2016-01-28,146.6
2016-01-29,150.75
2016-02-01,148.55
2016-02-02,144.85
2016-02-03,137.05
2016-02-04,141.3
2016-02-05,143.85
2016-02-08,144.55
2016-02-09,141.95
2016-02-10,140.15
2016-02-11,130.15
2016-02-12,130.6
2016-02-15,134.85
2016-02-16,131.2
2016-02-17,128.85
2016-02-18,136.3
2016-02-19,135.4
2016-02-22,135.1
2016-02-23,126.65
2016-02-24,124.1
2016-02-25,122.5
2016-02-26,124.2
2016-02-29,123.6
2016-03-01,127.5
2016-03-02,131.05
2016-03-03,134.4
2016-03-04,137.9
2016-03-08,139.3
2016-03-09,138.15
2016-03-10,133.95
2016-03-11,133.2
2016-03-14,134.85
2016-03-15,133.5
2016-03-16,133.4
