Date,ZODJRDMKJ
2016-08-29,35.2
2016-08-31,34.35
2016-09-02,34.35
2016-09-06,36.5
2016-09-07,36.3
2016-09-09,34.45
2016-09-12,36.5
2016-09-14,37.0
2016-09-15,35.8
2016-09-16,35.45
2016-09-19,35.0
2016-09-20,36.95
2016-09-21,35.6
2016-09-22,37.65
2016-09-23,37.9
2016-09-26,37.5
2016-09-27,35.8
2016-09-28,36.0
2016-09-29,36.0
2016-09-30,35.4
2016-10-03,35.35
2016-10-04,37.55
2016-10-05,38.3
2016-10-06,39.0
2016-10-07,37.05
2016-10-13,37.6
2016-10-14,35.8
2016-10-17,35.1
2016-10-18,35.55
2016-10-19,37.3
2016-10-20,37.0
2016-10-21,36.5
2016-10-24,38.25
2016-10-25,37.0
2016-10-26,38.4
2016-10-27,39.0
2016-10-28,38.1
2016-10-30,39.1
2016-11-01,38.4
2016-11-03,40.3
2016-11-04,38.3
2016-11-07,39.35
2016-11-08,39.9
2016-11-10,38.0
2016-11-11,39.75
2016-11-15,37.8
2016-11-16,36.15
2016-11-17,35.15
2016-11-22,35.0
2016-11-23,35.0
2016-11-28,35.7
2016-11-30,35.7
2016-12-02,37.35
2016-12-05,37.95
2016-12-06,39.75
2016-12-09,39.9
2016-12-13,39.0
2016-12-23,38.4
2016-12-28,38.2
2016-12-29,39.5
2017-01-05,41.0
2017-01-09,38.95
2017-01-10,37.2
2017-01-17,38.35
2017-01-18,36.45
2017-01-19,38.25
2017-01-20,38.0
2017-01-23,36.3
2017-01-25,35.05
2017-01-27,36.8
2017-01-31,37.45
2017-02-02,35.6
2017-02-03,34.25
2017-02-06,33.75
2017-02-07,34.2
2017-02-08,35.9
2017-02-09,36.65
2017-02-10,35.1
2017-02-13,34.0
2017-02-14,35.5
2017-02-15,35.0
2017-02-16,35.0
2017-02-17,33.45
2017-02-21,35.1
2017-02-23,35.95
2017-02-27,36.45
2017-02-28,36.45
2017-03-01,35.5
2017-03-02,34.25
2017-03-03,34.2
2017-03-07,34.0
2017-03-08,34.0
2017-03-14,32.3
2017-03-16,33.5
2017-03-17,33.65
2017-03-20,33.8
2017-03-21,33.7
2017-03-22,35.0
2017-03-23,34.75
2017-03-31,34.7
2017-04-03,34.85
2017-04-06,34.3
2017-04-07,34.4
2017-04-10,32.85
2017-04-12,32.8
2017-04-13,32.5
2017-04-17,32.1
2017-04-18,32.25
2017-04-19,32.95
2017-04-20,33.0
2017-04-21,33.0
2017-04-24,33.5
2017-04-25,33.1
2017-04-26,33.95
2017-04-27,34.6
2017-04-28,34.0
2017-05-02,33.0
2017-05-03,32.8
2017-05-04,32.5
2017-05-05,34.05
2017-05-08,33.0
2017-05-09,32.45
2017-05-10,32.65
2017-05-11,32.85
2017-05-12,32.55
2017-05-16,32.9
2017-05-17,32.5
2017-05-18,33.3
2017-05-19,31.65
2017-05-22,30.7
2017-05-23,29.5
2017-05-24,28.05
2017-05-25,29.4
2017-05-26,30.5
2017-05-29,31.35
2017-05-30,30.7
2017-06-01,29.7
2017-06-02,28.65
2017-06-05,30.05
2017-06-06,29.05
2017-06-07,31.0
2017-06-08,29.7
2017-06-09,29.7
2017-06-12,30.85
2017-06-13,29.4
2017-06-14,30.0
2017-06-15,30.45
2017-06-16,30.0
2017-06-19,31.65
2017-06-20,30.5
2017-06-21,33.15
2017-06-22,31.7
2017-06-23,31.35
2017-06-27,31.5
2017-06-28,32.3
2017-06-29,32.95
2017-06-30,31.1
2017-07-03,31.45
2017-07-04,32.5
2017-07-06,32.0
2017-07-07,34.35
2017-07-11,32.7
2017-07-13,33.0
2017-07-14,33.1
2017-07-17,32.55
2017-07-19,32.6
2017-07-20,32.9
2017-07-21,36.15
2017-07-24,39.75
2017-07-25,43.7
2017-07-26,45.85
2017-07-27,48.1
2017-07-28,50.5
2017-07-31,53.0
2017-08-01,52.65
2017-08-02,51.35
2017-08-03,49.1
2017-08-04,47.5
2017-08-07,46.9
2017-08-08,45.1
2017-08-09,44.35
2017-08-10,42.2
2017-08-11,40.1
2017-08-14,38.1
2017-08-16,36.2
2017-08-17,38.0
2017-08-18,39.9
2017-08-21,41.85
2017-08-22,43.9
2017-11-14,40.75
2017-11-15,42.0
2017-11-16,41.0
2017-11-17,40.5
2017-11-20,42.0
2017-11-21,43.9
2017-11-22,43.0
2017-11-23,44.7
2017-11-24,45.8
2017-11-27,44.5
2017-11-28,45.0
2017-11-29,45.0
2017-11-30,45.8
2017-12-01,45.7
2017-12-04,44.5
2017-12-05,44.0
2017-12-06,42.95
2017-12-07,42.75
2017-12-08,44.3
2017-12-11,43.0
2017-12-12,43.35
2017-12-13,43.05
2017-12-14,41.55
2017-12-15,42.6
2017-12-18,41.3
2017-12-19,41.5
2017-12-20,43.5
2017-12-21,43.0
2017-12-22,44.5
2017-12-26,45.75
2017-12-27,45.8
2017-12-28,44.65
2017-12-29,44.25
