Date,GEOJITFSL
2014-09-11,40.05
2014-09-12,41.75
2014-09-15,40.95
2014-09-16,39.35
2014-09-17,39.3
2014-09-18,41.3
2014-09-19,40.75
2014-09-22,41.25
2014-09-23,39.25
2014-09-24,38.25
2014-09-25,37.3
2014-09-26,37.45
2014-09-29,38.85
2014-09-30,38.45
2014-10-01,38.85
2014-10-07,37.7
2014-10-08,38.45
2014-10-09,38.4
2014-10-10,37.9
2014-10-13,38.45
2014-10-14,41.05
2014-10-16,40.9
2014-10-17,37.9
2014-10-20,37.6
2014-10-21,37.65
2014-10-22,37.65
2014-10-23,38.1
2014-10-27,37.6
2014-10-28,37.65
2014-10-29,37.45
2014-10-30,37.3
2014-10-31,38.95
2014-11-03,38.55
2014-11-05,38.65
2014-11-07,37.9
2014-11-10,37.5
2014-11-11,37.15
2014-11-12,36.9
2014-11-13,36.9
2014-11-14,37.55
2014-11-17,37.7
2014-11-18,38.15
2014-11-19,36.8
2014-11-20,36.25
2014-11-21,36.2
2014-11-24,37.15
2014-11-25,36.45
2014-11-26,36.6
2014-11-27,38.0
2014-11-28,38.0
2014-12-01,36.95
2014-12-02,36.6
2014-12-03,36.75
2014-12-04,36.65
2014-12-05,36.85
2014-12-08,37.05
2014-12-09,36.65
2014-12-10,37.4
2014-12-11,37.0
2014-12-12,36.85
2014-12-15,36.75
2014-12-16,34.95
2014-12-17,34.45
2014-12-18,35.4
2014-12-19,35.95
2014-12-22,35.65
2014-12-23,35.25
2014-12-24,35.2
2014-12-26,35.0
2014-12-29,34.95
2014-12-30,35.05
2014-12-31,35.5
2015-01-01,35.5
2015-01-02,36.2
2015-01-05,38.65
2015-01-06,36.9
2015-01-07,35.8
2015-01-08,37.0
2015-01-09,38.65
2015-01-12,39.0
2015-01-13,40.7
2015-01-14,38.55
2015-01-15,38.45
2015-01-16,38.05
2015-01-19,37.6
2015-01-20,37.95
2015-01-21,37.4
2015-01-22,37.9
2015-01-23,38.1
2015-01-27,42.85
2015-01-28,44.5
2015-01-29,48.9
2015-01-30,48.85
2015-02-02,51.0
2015-02-03,49.75
2015-02-04,52.55
2015-02-05,51.75
2015-02-06,53.05
2015-02-09,50.25
2015-02-10,51.8
2015-02-11,53.15
2015-02-12,54.45
2015-02-13,53.65
2015-02-16,54.15
2015-02-18,54.1
2015-02-19,54.1
2015-02-20,54.1
2015-02-23,53.85
2015-02-24,54.05
2015-02-25,53.95
2015-02-26,54.0
2015-02-27,53.8
2015-02-28,53.9
2015-03-02,53.05
2015-03-03,55.55
2015-03-04,52.9
2015-03-05,50.95
2015-03-09,53.0
2015-03-10,52.0
2015-03-11,52.25
2015-03-12,52.1
2015-03-13,52.15
2015-03-16,47.9
2015-03-17,50.9
2015-03-18,51.05
2015-03-19,51.05
2015-03-20,50.85
2015-03-23,50.45
2015-03-24,50.7
2015-03-25,51.3
2015-03-26,50.85
2015-03-27,50.85
2015-03-30,51.0
2015-03-31,52.1
2015-04-01,52.05
2015-04-06,52.85
2015-04-07,53.25
2015-04-08,52.9
2015-04-09,53.8
2015-04-10,54.0
2015-04-13,54.95
2015-04-15,58.25
2015-04-16,59.75
2015-04-17,57.65
2015-04-20,57.6
2015-04-21,57.5
2015-04-22,57.5
2015-04-23,56.35
2015-04-24,54.4
2015-04-27,51.25
2015-04-28,52.8
2015-04-29,52.55
2015-04-30,53.5
2015-05-04,53.65
2015-05-05,53.95
2015-05-06,52.15
2015-05-07,49.4
2015-05-08,51.15
2015-05-11,52.3
2015-05-12,50.95
2015-05-13,51.5
2015-05-14,52.35
2015-05-15,52.15
2015-05-18,54.15
2015-05-19,54.2
2015-05-20,57.3
2015-05-21,54.25
2015-05-22,53.1
2015-05-25,53.6
2015-05-26,53.6
2015-05-27,53.45
2015-05-28,54.45
2015-05-29,55.35
2015-06-01,55.5
2015-06-02,54.0
2015-06-03,52.25
2015-06-04,52.05
2015-06-05,53.1
2015-06-08,51.45
2015-06-09,52.45
2015-06-10,53.4
2015-06-11,52.0
2015-06-12,52.55
2015-06-15,52.25
2015-06-16,53.7
2015-06-17,53.5
2015-06-18,54.5
2015-06-19,53.85
2015-06-22,54.05
2015-06-23,53.5
2015-06-24,52.6
2015-06-25,52.55
2015-06-26,52.25
2015-06-29,52.05
2015-06-30,51.95
2015-07-01,53.3
2015-07-02,53.1
2015-07-03,53.6
2015-07-06,53.5
2015-07-07,52.65
2015-07-08,52.0
2015-07-09,52.35
2015-07-10,52.2
2015-07-13,52.45
2015-07-14,53.05
2015-07-15,55.9
2015-07-16,54.0
2015-07-17,54.0
2015-07-20,54.3
2015-07-21,53.9
2015-07-22,53.05
2015-07-23,54.25
2015-07-24,52.4
2015-07-27,48.85
