Date,GALLISPAT
2016-12-26,489.45
2016-12-27,489.6
2016-12-28,489.7
2016-12-29,489.7
2016-12-30,489.6
2017-01-02,489.25
2017-01-03,489.3
2017-01-04,489.15
2017-01-05,489.3
2017-01-06,489.3
2017-01-09,489.3
2017-01-10,489.35
2017-01-11,481.7
2017-01-12,488.95
2017-01-13,494.1
2017-01-16,489.7
2017-01-17,486.1
2017-01-18,485.9
2017-01-19,485.0
2017-01-20,483.4
2017-01-23,483.1
2017-01-24,483.5
2017-01-25,484.25
2017-01-27,484.6
2017-01-30,484.6
2017-01-31,484.6
2017-02-01,484.5
2017-02-02,502.7
2017-02-03,485.25
2017-02-06,485.65
2017-02-07,485.95
2017-02-08,485.85
2017-02-09,486.05
2017-02-10,485.9
2017-02-13,485.55
2017-02-14,485.7
2017-02-15,485.2
2017-02-16,485.0
2017-02-17,485.55
2017-02-20,485.75
2017-02-21,485.55
2017-02-22,485.1
2017-02-23,485.6
2017-02-27,485.2
2017-02-28,485.45
2017-03-01,485.15
2017-03-02,485.6
2017-03-03,485.05
2017-03-06,485.55
2017-03-07,485.4
2017-03-08,485.8
2017-03-09,485.3
2017-03-10,485.3
2017-03-14,485.4
2017-03-15,485.55
2017-03-16,486.35
2017-03-17,485.95
2017-03-20,485.0
2017-03-21,484.85
2017-03-22,495.7
2017-03-23,449.5
2017-03-24,412.3
2017-03-27,416.65
2017-03-28,411.35
2017-03-29,410.6
2017-03-30,416.0
2017-03-31,408.55
2017-04-03,420.5
2017-04-05,343.55
2017-04-06,274.85
2017-04-07,247.4
2017-04-10,248.05
2017-04-11,235.25
2017-04-12,234.9
2017-04-13,233.6
2017-04-17,256.95
2017-04-18,256.8
2017-04-19,250.45
2017-04-20,250.3
2017-04-21,247.45
2017-04-24,239.9
2017-04-25,238.0
2017-04-26,237.6
2017-04-27,237.6
2017-04-28,241.0
2017-05-02,242.5
2017-05-03,240.95
2017-05-04,247.35
2017-05-05,245.7
2017-05-08,251.65
2017-05-09,248.0
2017-05-10,245.6
2017-05-11,245.2
2017-05-12,239.95
2017-05-15,237.6
2017-05-16,232.25
2017-05-17,232.25
2017-05-18,228.25
2017-05-19,230.8
2017-05-22,227.05
2017-05-23,217.65
2017-05-24,216.05
2017-05-25,210.05
2017-05-26,211.55
2017-05-29,209.75
2017-05-30,222.85
2017-05-31,226.1
2017-06-01,217.35
2017-06-02,223.0
2017-06-05,221.95
2017-06-06,218.95
2017-06-07,219.15
2017-06-08,215.9
2017-06-09,216.0
2017-06-12,214.85
2017-06-13,210.05
2017-06-14,213.0
2017-06-15,210.45
2017-06-16,210.9
2017-06-19,214.45
2017-06-20,214.2
2017-06-21,216.7
2017-06-22,215.0
2017-06-23,211.45
2017-06-27,202.15
2017-06-28,207.55
2017-06-29,206.35
2017-06-30,202.7
2017-07-03,206.4
2017-07-04,205.0
2017-07-05,205.1
2017-07-06,205.75
2017-07-07,206.2
2017-07-10,207.05
2017-07-11,210.0
2017-07-12,211.15
2017-07-13,211.2
2017-07-14,207.0
2017-07-17,208.95
2017-07-18,209.15
2017-07-19,218.15
2017-07-20,222.2
2017-07-21,226.15
2017-07-24,220.65
2017-07-25,220.5
2017-07-26,221.7
2017-07-27,221.05
2017-07-28,220.95
2017-07-31,225.0
2017-08-01,220.55
2017-08-02,219.3
2017-08-03,216.4
2017-08-04,219.8
2017-08-07,213.75
