Date,GOODLUCK
20151116,0.6131015624002827
20151117,0.6439986695670978
20151118,-0.4136439152969773
20151119,-0.07035484267403525
20151120,1.7496036014502723
20151123,0.37082799691207013
20151124,-0.15490832269591126
20151126,1.1454343769610413
20151127,-5.2816126536555315
20151130,-2.3377533058094944
20151201,3.786075020927758
20151202,1.8721397290047659
20151203,1.843059423295831
20151204,0.017304918749772802
20151207,0.4231325738002398
20151208,-2.0195254352392666
20151209,-1.7670071477887295
20151210,0.16322589257775877
20151211,-0.6691181923304722
20151214,-3.6028341943006787
20151215,3.724884836462977
20151216,1.2713931138869816
20151217,-0.6471107403200029
20151218,-1.0579522576365725
20151221,-1.8887647209787346
20151222,-4.074056596561253
20151223,0.9910629736771244
20151224,1.183143042408094
20151228,0.8178195139015013
20151229,0.2658551028435544
20151230,-1.004489096324943
